"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"PFKFB3",114,1,37,5,4,31,12,0,0,16,17,1,2,0,3,13,1,0,11,6,2,0
"RP11-563J2.2",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-563J2.3",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PRKCQ",0,1,0,0,0,1,0,0,0,3,2,0,0,1,0,3,0,0,0,0,0,0
"SFMBT2",14,0,6,0,1,5,0,0,0,4,2,0,0,1,1,3,0,2,0,1,1,0
"RP5-1031D4.2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITIH5",1,0,0,0,59,612,1,1,0,0,0,13,0,0,0,6,9,0,1,0,14,13
"KIN",14,0,10,0,14,84,3,2,4,1,0,3,1,0,0,53,0,1,2,0,8,5
"ATP5C1",177,2,113,4,50,640,6,9,11,22,13,31,1,2,6,1395,15,11,35,13,43,27
"TAF3",16,0,13,1,5,95,7,0,8,2,5,2,2,2,1,34,2,0,4,0,6,1
"RP11-379F12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GATA3",0,1,0,0,0,0,6,0,0,8,6,0,2,2,6,1,0,4,0,6,1,0
"SFTA1P",0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP1-251M9.2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELF2",108,4,72,1,16,442,19,0,11,24,20,12,2,2,12,74,0,4,26,7,4,3
"USP6NL",4,0,0,0,5,12,0,0,4,0,0,0,0,0,0,27,0,1,1,0,2,1
"RP11-138I18.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"ECHDC3",1,0,4,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"PROSER2",2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"PROSER2-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UPF2",32,3,22,0,17,145,8,4,19,15,8,7,1,3,5,173,3,3,10,10,12,4
"DHTKD1",8,0,7,0,2,31,0,1,2,1,0,0,0,0,0,52,0,1,1,0,1,3
"SEC61A2",2,0,1,0,0,4,1,0,0,0,0,0,0,0,0,5,2,0,1,0,0,1
"NUDT5",43,3,17,5,10,198,6,1,5,12,14,1,0,0,3,236,4,2,4,3,12,3
"CDC123",36,2,26,2,19,197,2,4,5,3,5,8,1,0,2,184,3,1,7,2,17,3
"RP11-186N15.3",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"CAMK1D",48,0,32,0,2,117,0,0,9,2,2,1,0,0,0,85,0,0,2,1,0,0
"CCDC3",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,42
"OPTN",7,2,1,2,32,500,13,6,3,17,7,9,1,1,6,195,11,5,2,8,12,22
"MCM10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,1,0
"PHYH",22,1,7,1,4,157,1,0,3,0,1,6,1,2,1,206,0,3,3,0,9,5
"SEPHS1",3,0,2,0,1,33,1,0,0,0,2,3,0,0,0,65,1,0,1,1,7,0
"BEND7",0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,19,0,0,0,0,2,0
"PRPF18",19,1,9,0,6,95,4,0,5,8,5,2,1,1,3,91,2,0,7,1,7,2
"RP11-295P9.13",1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"FRMD4A",48,0,5,0,24,48,1,0,1,1,1,3,0,0,0,4,1,0,0,0,18,6
"RP11-295P9.12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-142M10.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM107B",11,1,6,1,4,93,5,2,6,7,5,0,1,1,3,102,0,2,1,0,1,3
"CDNF",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
"HSPA14",11,0,5,0,3,61,0,0,1,3,1,2,1,0,3,68,3,1,2,2,2,2
"RP11-398C13.6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"SUV39H2",0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,1
"DCLRE1C",9,0,8,0,0,27,1,0,4,1,0,1,0,0,0,15,1,1,5,2,3,1
"MEIG1",1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
