"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-108L7.14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRPL43",166,137,18,27,19,3,8,6,85,27,2,3,1,4,15,55,42,48,4,9,39,2,3,1,5,20,3,10,39,21,20,95,178,146,26
"SEMA4G",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2,0
"C10orf2",5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,1,0,3,0,0,1,0,0,0,1,0,0,0,0,2,12,9,3
"LZTS2",26,35,1,1,2,0,2,1,28,2,0,1,0,0,0,2,6,5,1,2,3,0,0,0,0,10,0,0,1,0,3,13,25,48,6
"PDZD7",4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,0
"SFXN3",57,59,3,5,11,0,2,2,26,2,0,0,0,4,2,7,13,12,1,1,8,0,1,1,0,7,0,1,0,3,6,14,42,82,6
"RP11-108L7.15",0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,9,0,0
"KAZALD1",3,5,0,0,0,0,0,0,21,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,31,6,1
"TLX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"BTRC",9,10,0,2,1,0,2,0,9,3,1,0,0,0,0,5,2,4,0,1,2,1,1,0,0,2,0,0,4,1,3,7,13,12,2
"DPCD",45,38,0,4,0,0,0,1,27,1,0,0,0,4,1,0,1,1,0,1,2,0,0,0,0,10,0,3,0,3,0,5,91,25,5
"POLL",20,17,6,5,2,2,1,1,16,9,0,0,0,1,3,15,10,8,1,2,6,0,0,1,0,7,2,1,6,4,2,20,41,17,3
"FBXW4",19,18,4,2,4,0,0,1,7,3,2,2,0,1,1,18,6,4,1,1,13,1,2,0,1,1,0,1,9,2,2,12,19,22,4
"NPM3",87,63,8,20,5,0,2,0,45,4,0,0,1,5,9,20,16,9,1,3,26,2,5,2,0,8,0,5,50,26,11,18,202,28,3
"MGEA5",93,62,17,15,25,5,8,3,50,30,7,3,2,3,4,121,55,52,1,25,53,0,6,8,8,8,7,7,75,12,30,153,144,103,20
"KCNIP2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"C10orf76",29,7,1,7,2,0,0,0,0,2,0,0,0,1,1,10,13,5,2,4,5,0,1,0,0,2,0,2,6,3,2,16,21,14,3
"HPS6",26,5,0,5,3,0,1,0,1,3,0,0,0,1,0,4,7,2,0,2,4,0,0,0,0,0,0,1,5,3,4,8,24,17,0
"LDB1",12,13,2,1,2,0,1,0,8,0,0,1,0,1,0,4,7,1,1,1,7,0,1,0,0,1,0,0,2,3,6,8,14,8,0
"PPRC1",7,9,1,2,2,0,0,0,11,1,2,0,0,0,0,2,7,3,0,0,7,0,0,0,1,1,1,0,4,3,1,10,20,23,0
"NOLC1",60,35,11,13,15,3,7,0,25,8,1,1,2,0,4,34,16,16,0,14,18,2,4,1,1,8,2,2,44,22,8,29,145,51,6
"ELOVL3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PITX3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBF1",16,19,2,5,3,0,0,1,10,6,2,1,0,1,3,12,9,5,0,2,2,1,0,0,2,6,3,1,7,5,3,12,35,32,5
"NFKB2",67,68,13,11,15,2,7,1,23,14,1,5,0,7,7,65,48,13,0,13,37,1,4,1,5,13,2,1,26,24,13,100,33,61,4
"PSD",0,1,0,0,0,1,0,0,4,1,0,0,0,0,1,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0
"FBXL15",130,67,9,19,15,1,8,1,26,24,2,2,3,3,11,44,45,35,6,11,35,1,2,1,3,13,2,5,30,4,9,69,136,103,13
"CUEDC2",208,157,4,30,18,1,5,7,71,7,2,2,1,10,5,35,37,25,3,8,26,1,7,4,2,35,4,9,46,20,27,63,52,122,22
"C10orf95",4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0,1,1,0,1,0,0,0,1,0,4,0,0,2,6,0,0
"MFSD13A",34,3,0,4,5,0,1,0,3,1,0,0,0,0,1,5,4,1,1,0,7,0,2,1,0,0,0,3,4,4,1,3,23,14,0
"ACTR1A",139,84,4,25,19,0,2,3,62,9,4,3,4,6,9,29,25,17,2,3,31,2,3,1,4,13,3,6,36,8,30,50,72,118,15
"RP11-18I14.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SUFU",24,3,2,2,2,1,0,0,5,1,0,0,1,0,1,2,10,3,0,0,1,0,0,0,0,5,1,1,2,1,2,13,4,27,1
"RP11-47A8.5",10,5,0,2,0,0,0,0,3,3,0,1,0,0,1,0,0,1,1,0,4,0,0,0,0,1,0,0,0,0,1,5,3,5,1
"TRIM8",48,60,10,6,12,3,3,3,44,19,1,1,1,1,2,16,12,11,5,4,8,0,3,0,3,10,1,3,11,4,7,25,47,75,9
"ARL3",112,131,4,10,47,3,3,9,62,13,0,5,3,5,3,18,33,16,2,5,9,4,4,2,0,30,3,3,18,18,31,28,90,101,23
"SFXN2",11,0,2,1,2,0,0,0,0,1,0,0,0,0,0,4,1,1,0,1,0,0,2,0,0,2,0,0,4,3,1,1,9,0,0
"WBP1L",56,61,1,5,4,1,1,1,49,6,1,1,1,0,8,13,8,4,0,3,18,1,1,2,4,9,0,2,6,1,6,14,26,68,7
"CYP17A1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"CYP17A1-AS1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BORCS7",75,89,6,7,12,6,5,6,67,6,4,0,1,6,6,32,27,16,2,5,27,2,5,1,2,13,0,9,14,10,12,43,77,107,13
"CNNM2",8,14,0,1,1,0,0,0,3,0,1,0,0,0,0,1,4,4,0,1,2,0,0,0,1,13,0,1,0,1,0,3,5,4,2
"NT5C2",61,27,3,2,7,0,1,0,6,4,0,2,0,0,1,9,8,7,1,2,8,1,3,0,2,3,0,0,21,3,4,14,44,31,4
"RPEL1",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"INA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCGF6",27,17,3,2,7,0,2,2,10,2,0,1,2,1,1,10,3,7,0,2,4,0,0,2,0,4,3,0,10,1,15,8,20,20,1
"TAF5",4,5,0,1,1,0,0,1,2,1,0,0,0,0,1,2,3,2,1,1,2,0,1,0,1,0,1,0,11,9,6,4,7,7,0
"USMG5",1245,380,88,142,108,18,38,14,237,93,14,19,9,31,64,235,245,208,40,58,196,8,27,15,28,134,16,54,310,115,143,395,2159,677,174
"PDCD11",36,17,2,4,5,0,2,0,11,5,1,1,0,0,3,15,12,7,0,2,8,1,3,0,0,3,1,0,13,9,6,18,69,18,2
"CALHM2",117,68,8,15,6,1,3,0,70,10,1,0,0,2,2,27,24,23,1,2,19,2,3,2,0,25,0,2,0,3,12,56,3,107,20
"RP11-225H22.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"RP11-225H22.4",1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"CALHM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NEURL1",9,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,3,12,0,0
"SH3PXD2A",45,130,0,3,3,0,1,4,51,5,0,0,0,8,5,3,11,2,0,1,4,0,0,0,1,9,1,2,1,3,5,21,59,45,8
"RP11-416N2.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"SH3PXD2A-AS1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
"OBFC1",40,20,8,6,15,1,6,1,8,8,0,1,4,0,6,9,30,13,4,2,30,2,9,0,3,9,4,0,17,9,18,73,33,76,3
"SLK",49,31,3,7,6,0,1,1,17,5,5,1,1,2,2,10,16,7,1,4,6,0,1,0,1,4,1,1,1,1,7,22,42,121,12
"COL17A1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0
"SFR1",28,14,3,2,6,0,1,0,16,1,2,0,0,1,7,10,7,6,2,5,3,0,2,1,0,2,1,2,13,10,2,13,24,19,5
"CFAP43",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GSTO1",1148,316,28,89,64,8,12,7,130,40,1,2,1,30,28,105,94,63,14,29,51,6,13,2,6,47,7,51,68,35,92,179,441,397,22
"GSTO2",5,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,1,0,0,0,0,1,0,2,119,2,2
"ITPRIP",30,40,1,3,0,1,1,0,8,0,0,0,0,6,1,8,3,2,0,2,5,0,0,0,1,1,0,4,11,1,6,6,2,101,4
"SORCS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SORCS1",2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XPNPEP1",48,52,5,9,5,1,2,1,23,4,1,1,2,2,3,14,18,5,0,2,13,2,0,1,4,9,0,3,31,6,4,16,105,47,1
"ADD3",38,131,18,10,13,6,9,7,186,65,4,0,4,21,6,70,73,18,0,11,80,6,5,5,4,10,1,2,26,21,30,104,350,85,7
"MXI1",26,19,4,1,0,0,1,1,12,0,0,0,0,0,0,3,4,4,0,0,14,0,0,0,1,5,1,1,1,1,1,11,40,25,16
"SMNDC1",83,29,9,6,13,0,3,0,24,12,3,3,2,3,2,34,22,19,3,7,23,0,5,2,0,6,2,3,19,5,10,38,68,44,10
"RP11-525A16.4",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DUSP5",15,20,1,5,11,0,1,0,1,1,1,0,0,0,0,1,6,9,0,0,3,0,0,0,3,0,3,0,0,1,5,7,10,23,0
"SMC3",112,106,23,23,30,3,12,8,60,30,4,3,5,3,8,51,40,41,4,19,43,2,10,3,5,28,4,8,112,36,64,135,160,117,23
"RBM20",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"PDCD4-AS1",6,7,1,1,4,0,2,0,2,0,0,0,0,1,0,9,13,5,0,4,10,2,1,0,0,0,0,1,1,0,1,5,9,7,0
"PDCD4",83,44,50,24,20,10,15,1,32,34,8,9,0,3,14,115,138,72,3,21,100,7,10,7,8,8,8,3,4,16,17,92,149,180,6
"BBIP1",34,50,13,8,11,2,4,2,32,8,1,1,0,2,3,23,14,18,0,2,20,1,3,1,2,11,3,3,24,6,6,43,54,73,14
"RP11-348N5.9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-348N5.7",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"SHOC2",90,42,13,11,8,1,3,4,28,9,1,1,0,5,8,57,27,26,3,14,28,0,3,2,1,11,0,9,31,6,8,52,49,95,12
"ADRA2A",0,9,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,22,3,0
"GPAM",3,3,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,3,7,0
"ACSL5",37,12,7,15,9,2,1,0,16,4,3,2,0,3,4,14,14,16,0,5,12,0,2,1,1,1,2,3,28,6,10,28,423,73,3
"RP11-324O2.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,3,0
"ZDHHC6",66,42,4,9,9,3,1,0,16,6,0,3,1,3,3,25,24,12,0,9,16,0,2,0,2,8,2,1,23,10,10,40,84,35,5
"VTI1A",33,12,1,3,4,2,2,1,5,5,0,1,0,1,4,15,7,7,0,2,10,2,1,0,1,1,1,2,13,5,4,20,42,21,4
"TCF7L2",43,55,1,3,1,0,1,0,50,0,0,0,0,2,0,0,3,2,0,1,2,0,1,0,0,10,0,1,0,0,1,0,60,72,8
"RP11-57H14.2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CASP7",63,50,3,3,14,2,4,4,17,4,1,1,0,3,1,14,10,7,1,4,7,0,0,1,6,6,2,1,19,3,13,32,82,57,5
"PLEKHS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"DCLRE1A",3,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,15,0,0
"NHLRC2",28,19,2,1,2,1,0,0,8,1,1,0,1,3,1,9,6,7,0,3,3,0,2,0,3,5,1,3,6,0,2,6,28,26,3
"ADRB1",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
"CCDC186",50,64,8,15,12,3,5,1,35,5,0,0,0,3,3,27,26,18,1,8,23,0,4,1,9,6,1,2,15,3,5,47,113,51,10
"VWA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
"AFAP1L2",1,19,0,0,26,1,3,2,2,1,0,0,2,0,1,2,0,7,0,0,3,0,9,0,0,16,0,0,3,2,12,7,7,35,5
"ABLIM1",10,10,1,1,7,3,1,3,46,4,0,0,0,4,0,25,37,17,0,14,34,5,8,1,0,2,1,1,26,5,3,17,147,184,0
"RP11-106M7.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM160B1",13,11,12,3,6,5,7,0,12,3,1,1,0,2,1,4,15,20,0,4,3,1,2,0,0,2,0,2,4,2,3,12,9,40,4
"TRUB1",12,12,1,4,4,0,1,0,10,0,0,0,0,0,4,8,7,5,0,2,4,0,0,1,1,0,1,1,5,0,1,15,19,16,3
"RP11-383C6.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ATRNL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GFRA1",2,6,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PNLIPRP1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C10orf82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-498B4.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"HSPA12A",0,7,0,0,0,0,0,3,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,13,4,0
"RP11-539I5.1",2,0,0,1,1,0,0,0,1,13,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,12,7,0,0
"ENO4",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SHTN1",118,8,0,21,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,6,1,0,0,2,41,0,1
"RP11-501J20.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC18A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-129M16.4",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"PDZD8",18,18,3,6,1,2,0,1,15,2,0,0,0,0,3,1,4,4,0,0,7,2,1,1,0,2,0,0,3,2,0,8,108,37,8
"EMX2OS",0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,1,4
"EMX2",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"RP11-355F22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RAB11FIP2",15,22,1,4,0,0,2,0,14,5,0,0,0,1,4,5,8,4,1,3,4,0,0,0,1,4,1,1,7,0,1,7,19,15,4
"CASC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0
"FAM204A",120,82,20,32,18,3,9,2,60,13,3,2,0,9,7,56,41,30,3,15,33,0,7,0,5,20,3,13,39,20,14,82,160,99,21
"LINC00867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRLHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CACUL1",114,43,5,12,5,1,6,0,17,5,0,0,2,3,1,20,17,3,1,2,27,1,2,2,3,5,0,6,14,6,3,27,80,55,10
"NANOS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
"EIF3A",283,159,28,64,40,5,13,2,83,35,6,5,5,6,8,123,99,56,6,19,78,2,13,2,11,32,12,18,141,45,56,130,326,228,30
"FAM45A",72,44,10,8,19,1,4,0,36,3,0,4,2,2,3,16,15,7,2,1,18,0,3,3,2,7,2,8,16,5,16,29,63,61,0
"SFXN4",57,11,2,4,7,0,3,1,16,3,1,0,0,0,3,8,2,4,1,0,1,0,3,1,1,0,2,0,29,10,2,18,62,17,2
"PRDX3",358,108,10,45,21,5,4,2,64,22,3,5,1,4,13,45,29,23,9,7,33,5,4,2,5,25,4,13,127,53,49,100,261,128,28
"GRK5",5,40,4,3,4,0,4,0,16,3,0,0,0,2,0,13,9,8,0,6,9,0,1,0,0,33,0,0,2,2,0,34,12,56,16
"RGS10",1394,143,58,198,53,7,30,0,51,126,13,11,2,0,50,57,232,90,11,22,231,19,11,5,9,18,5,35,145,62,57,313,150,24,2
"TIAL1",121,78,18,20,18,4,11,2,34,21,3,0,1,7,5,66,45,47,3,12,41,1,7,1,4,15,3,3,68,19,27,104,110,96,11
"BAG3",75,48,3,3,0,0,1,0,16,3,0,1,0,3,0,3,5,1,1,1,12,0,0,1,0,9,0,1,2,1,4,7,36,112,13
"INPP5F",13,11,0,2,5,0,1,0,3,10,0,2,0,1,0,14,1,2,0,3,3,0,0,0,1,2,0,1,13,8,3,36,21,25,5
"MCMBP",88,45,3,10,11,3,3,2,27,12,1,2,0,2,2,28,18,11,0,8,22,1,6,3,4,12,3,2,32,20,19,35,94,52,5
"SEC23IP",62,35,4,7,7,1,5,0,15,5,0,3,2,2,1,13,7,6,1,3,8,2,3,0,1,4,3,2,13,10,5,23,41,28,3
"PLPP4",0,40,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"WDR11",85,35,4,6,4,1,3,2,21,11,3,1,0,5,2,36,19,13,0,7,5,0,3,2,3,6,0,6,14,1,3,23,53,49,3
"RP11-95I16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGFR2",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"ATE1",28,18,5,2,3,1,2,0,9,2,2,0,0,2,1,12,6,3,2,2,5,0,3,0,1,3,0,0,4,1,3,14,40,35,6
"ATE1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NSMCE4A",71,46,8,12,12,3,6,2,33,14,2,1,0,1,3,33,17,15,1,4,18,2,0,0,2,9,0,1,36,15,10,41,164,73,10
"TACC2",0,10,0,0,0,0,0,1,11,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,8,0,0,0,0,0,2,55,56,10
"BTBD16",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"PLEKHA1",67,44,12,1,20,3,4,1,59,12,0,1,1,9,0,20,42,24,2,8,48,4,4,2,1,12,0,4,1,3,11,54,83,167,7
"HTRA1",25,99,0,1,5,0,2,0,120,3,0,0,0,8,0,4,1,2,1,0,0,1,0,0,0,9,0,2,0,0,1,1,3,492,10
"DMBT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CUZD1",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FAM24B",12,2,3,1,2,0,1,0,2,1,0,0,0,0,7,8,4,5,0,1,9,0,1,0,0,0,0,1,2,1,4,4,19,15,1
"C10orf88",3,12,1,1,1,0,0,0,3,2,0,0,0,0,4,2,1,1,0,2,4,0,1,0,0,3,0,0,4,1,2,8,5,6,2
"PSTK",11,4,2,2,0,0,1,1,8,0,1,0,0,0,0,2,1,4,0,1,3,0,0,0,0,0,0,0,4,1,1,10,4,1,0
"IKZF5",19,8,4,5,5,1,0,1,5,3,0,0,0,0,1,4,10,6,1,3,6,0,1,1,0,2,0,0,10,2,1,8,34,12,2
"ACADSB",15,10,2,0,4,0,0,2,2,5,0,1,1,0,1,15,10,4,1,3,3,1,2,0,1,1,0,0,2,0,2,4,13,3,4
"HMX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"BUB3",155,95,37,27,92,6,20,3,50,33,11,9,4,7,9,83,85,102,4,16,84,4,14,3,2,20,11,5,146,59,136,246,265,105,19
"CPXM2",0,24,1,0,0,0,0,0,89,0,0,0,0,0,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,124,0
"CHST15",37,13,0,2,0,1,0,0,3,0,0,0,0,6,1,10,0,0,1,2,0,0,0,0,0,6,1,1,2,0,0,0,2,31,1
"OAT",160,176,5,14,13,0,3,4,108,7,1,2,0,2,18,11,8,10,4,8,17,0,3,3,0,20,7,2,20,3,11,29,79,56,40
"LHPP",40,17,1,6,4,0,2,1,7,1,0,0,0,0,8,58,10,1,1,10,4,0,0,1,2,3,0,3,16,2,3,17,38,19,2
"RP11-12J10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM53B",26,8,6,6,12,1,3,0,7,8,2,1,1,0,2,17,4,13,0,10,7,1,0,0,2,2,1,0,14,4,7,30,30,18,1
"RP11-12J10.4",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM53B-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"METTL10",31,24,6,5,3,1,1,0,21,9,2,0,0,1,4,24,11,6,0,4,11,1,5,1,1,6,0,0,15,9,8,33,36,43,3
"FAM175B",45,15,4,6,3,0,0,1,18,3,0,2,0,1,1,18,7,3,1,5,4,1,2,0,0,5,1,5,5,3,4,10,30,12,1
"ZRANB1",18,14,3,0,1,0,3,0,16,3,0,0,0,0,1,5,2,1,1,0,9,0,1,0,0,5,1,1,5,2,2,12,22,28,3
"RP11-298J20.3",7,7,4,5,4,3,3,1,9,2,1,0,0,2,0,16,11,9,0,5,10,1,1,1,0,1,0,0,2,1,2,18,7,6,1
"CTBP2",113,58,1,12,0,0,0,0,26,0,0,0,0,4,7,2,1,3,4,1,0,0,5,0,1,11,0,2,1,0,0,4,140,110,17
"RP11-59C5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,19
"RP11-151A10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FLJ37035",2,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,2,2,1,2,9,5,0
"EDRF1",14,6,0,0,2,0,2,0,4,4,0,1,1,0,0,8,0,6,0,4,7,0,0,0,1,1,3,1,10,4,3,5,12,18,3
"EDRF1-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
