"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"TFCP2L1",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
"CLASP1",35,37,5,3,15,1,6,1,27,13,1,1,2,0,5,25,26,31,1,3,12,3,5,1,1,10,1,1,14,7,12,30,25,56,4
"NIFK-AS1",14,11,4,6,6,3,2,1,9,4,3,0,0,2,0,10,12,9,0,5,15,0,0,0,0,10,0,0,6,5,4,19,9,16,5
"NIFK",119,65,15,17,26,2,7,5,51,11,5,2,1,2,12,55,47,21,0,13,48,1,6,1,4,9,1,4,69,20,23,33,251,71,4
"TSN",71,62,10,17,14,0,3,3,34,12,2,2,1,7,10,38,25,19,1,2,23,0,3,3,1,19,0,3,50,23,16,64,171,82,13
"GYPC",167,173,73,10,50,25,31,0,251,96,16,8,1,42,6,189,171,106,11,64,173,10,18,10,1,29,18,10,201,70,55,284,24,207,16
"BIN1",79,63,47,22,62,15,17,0,58,26,6,5,1,7,0,142,118,108,3,27,110,10,16,2,2,12,2,9,27,19,43,115,151,19,5
"CYP27C1",0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ERCC3",27,27,2,0,2,3,2,0,12,4,0,3,0,1,1,12,8,6,1,1,12,0,2,1,2,5,1,1,12,3,9,14,28,19,1
"MAP3K2",157,54,10,11,8,2,1,0,29,6,2,0,1,1,4,39,24,11,0,9,20,1,2,1,7,9,1,8,14,6,7,44,54,52,7
"AC068282.3",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PROC",10,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,35,0,0
"IWS1",71,61,7,16,16,2,5,1,20,11,1,2,2,1,3,44,32,20,2,15,28,3,3,7,4,13,1,2,47,13,18,62,77,52,6
"MYO7B",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,5,1,0,0,0,0,0,0,0,2,0,0,0,53,14,0
"RP11-286H15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0
"LIMS2",5,29,1,1,0,0,2,2,20,8,0,0,0,2,0,12,9,2,15,7,9,0,1,0,0,12,1,0,8,3,1,7,25,307,31
"GPR17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"WDR33",133,66,13,17,26,2,4,2,50,22,1,0,2,6,9,46,54,41,1,20,46,6,3,2,4,12,5,4,61,15,16,74,106,111,15
"SFT2D3",5,2,1,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,1,0,1,3,1,1,3,15,17,1
"POLR2D",36,18,3,5,2,0,1,1,5,4,0,2,1,1,7,10,12,5,1,4,13,1,3,2,0,1,2,3,33,16,13,16,60,32,7
"AMMECR1L",8,5,0,1,2,1,2,0,11,0,0,0,0,0,0,5,3,2,1,0,3,0,2,0,1,3,0,0,4,3,1,7,22,16,1
