"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"C1orf52",20,15,10,7,5,2,3,2,51,8,1,2,7,3,53,20,14,1,18,35,1,0,0,2,5,1,0,60,8,9,26,23,40,4
"BCL10",18,10,4,15,1,1,3,1,31,8,0,0,3,1,30,7,5,1,11,8,0,0,0,1,1,0,1,51,1,2,16,47,37,0
"RP11-131L23.1",2,0,1,0,0,0,0,0,3,0,0,0,0,0,9,1,1,0,2,0,0,0,0,0,0,0,1,10,0,0,2,0,0,1
"DDAH1",1,2,0,0,0,1,0,0,20,2,0,0,4,0,3,3,1,1,1,2,0,0,0,0,0,0,1,4,0,0,1,125,7,4
"RP11-131L23.2",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"RP4-621F18.2",0,8,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2
"RP11-290M5.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYR61",4,139,1,2,1,0,1,11,1671,2,0,0,83,0,5,4,2,20,2,6,1,0,0,0,9,0,2,4,0,0,2,11,239,23
"ZNHIT6",8,9,7,5,1,2,2,2,44,5,0,0,3,1,26,6,8,1,11,16,0,0,1,0,5,0,1,23,3,1,15,24,22,2
"COL24A1",1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
