"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"PQLC1",2,0,2,0,7,0,0,0,2,0,1,0,1,0,0,11,0,1,1,0,1
"HSBP1L1",6,0,2,1,17,1,1,0,13,1,0,1,5,0,0,135,0,1,1,1,0
"TXNL4A",3,0,4,0,13,5,0,0,9,5,1,2,3,0,3,105,3,2,0,2,2
"RBFA",2,0,6,0,9,2,0,0,4,3,1,2,1,0,0,21,1,0,0,0,1
"RP11-795F19.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"ADNP2",0,0,0,0,1,1,0,0,0,2,1,1,0,0,1,9,0,0,1,0,0
"PARD6G",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"C20orf96",0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,8,0,0,1,0,0
"ZCCHC3",0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,11,0,0,0,0,1
"NRSN2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
"SOX12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"NRSN2",0,0,0,0,9,0,0,0,0,0,2,0,1,1,0,5,0,0,0,0,0
"TRIB3",0,0,0,1,0,5,0,0,3,3,0,1,0,0,1,3,0,2,0,0,0
"RBCK1",10,0,8,2,29,17,0,2,18,21,3,5,7,3,6,122,1,1,2,5,1
"TBC1D20",3,0,1,0,10,3,0,1,9,8,0,2,2,1,2,19,0,0,0,0,0
"CSNK2A1",5,0,4,1,12,5,2,4,11,6,2,3,3,1,0,52,2,1,2,0,0
"SLC52A3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0
"FAM110A",2,0,4,1,3,1,0,1,4,1,0,0,5,0,1,8,0,0,0,0,0
"PSMF1",8,0,17,0,17,7,1,5,29,18,2,9,11,0,4,89,1,4,3,3,0
"RP4-545L17.11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM74B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
"C20orf202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"SDCBP2",0,0,1,0,3,0,0,0,1,0,0,0,2,1,1,328,0,0,0,0,3
"SDCBP2-AS1",0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0
"FKBP1A",58,2,68,3,164,78,4,16,85,61,5,18,24,10,16,584,5,4,42,5,36
"NSFL1C",6,1,6,0,26,7,0,9,13,5,1,1,7,0,0,74,3,0,0,1,3
"SIRPB2",2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"SIRPB1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"SIRPG",0,1,0,0,2,43,0,0,29,15,0,0,14,3,7,1,0,0,0,5,0
"SIRPA",10,0,5,0,9,0,0,1,0,0,1,0,0,0,0,4,0,0,2,0,2
"STK35",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,10,0,0,1,0,0
"RP11-128M1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TGM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SNRPB",19,9,29,2,43,38,5,28,80,52,1,20,23,6,9,340,4,4,8,5,8
"ZNF343",0,0,0,0,2,2,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0
"NOP56",8,0,9,1,30,14,0,10,29,15,2,7,14,0,2,96,1,0,3,4,2
"IDH3B",7,2,10,0,33,8,1,4,24,8,2,3,11,1,7,152,3,2,5,2,0
"EBF4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"CPXM1",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCED1A",1,0,2,0,8,0,0,0,2,0,0,0,1,0,1,5,0,1,0,0,1
"VPS16",1,0,1,0,3,3,0,0,5,8,0,0,8,2,0,21,1,0,2,0,1
"PTPRA",1,2,4,0,23,4,0,1,10,4,3,1,7,1,2,22,1,0,1,0,3
"GNRH2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRPS26",3,0,5,1,33,8,2,2,12,6,5,5,7,1,2,138,0,1,0,2,3
"OXT",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"UBOX5",0,0,0,0,3,0,0,0,0,3,0,0,2,0,0,2,1,0,0,0,0
"FASTKD5",1,0,2,0,3,3,1,1,0,1,0,0,0,0,1,6,0,1,0,0,0
"RP5-1187M17.10",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDRGK1",10,4,11,0,32,11,3,2,13,9,2,0,7,1,1,100,1,5,2,1,2
"ITPA",7,0,4,0,22,8,0,2,21,10,0,2,2,0,3,92,0,1,2,3,0
"C20orf194",8,0,1,0,4,0,0,0,1,2,0,0,1,0,0,1,0,0,1,2,2
"ATRN",3,0,0,0,4,0,0,0,1,0,0,0,0,0,1,12,0,0,1,0,1
"ADAM33",1,0,0,0,23,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0
"SIGLEC1",10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"HSPA12B",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"C20orf27",9,1,23,0,14,3,0,4,6,5,2,2,4,1,1,31,5,1,5,2,1
"CENPB",1,0,1,0,4,1,0,0,5,1,1,0,1,0,1,21,0,1,0,0,0
"CDC25B",2,0,0,1,6,1,1,0,1,6,1,0,6,0,1,31,1,1,0,1,0
"RP5-1009E24.8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AP5S1",1,0,2,0,5,2,0,0,1,0,1,0,1,0,0,9,0,0,0,0,0
"MAVS",3,0,3,0,4,3,0,1,9,4,2,1,4,1,0,47,1,1,1,1,0
"RP11-119B16.2",0,1,1,0,4,2,0,1,4,0,0,0,1,0,0,4,0,0,0,1,0
"PANK2",10,0,8,0,11,5,0,1,6,5,1,1,2,1,0,20,0,1,1,0,1
"RNF24",0,0,6,0,10,2,0,0,8,1,1,0,5,0,0,3,1,0,1,0,0
"SMOX",2,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
