"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"SLC25A45",2,15,1,0,4,3,1,1,3,0,2,0,5,45,2
"FRMD8",11,40,0,1,0,2,0,1,1,0,7,0,3,190,22
"NEAT1",2187,8405,6,163,102,83,46,499,32,6,621,304,134,14655,1025
"CMB9-22P13.1",15,39,0,1,4,3,1,1,1,1,3,2,14,154,3
"MALAT1",17769,103678,860,1562,5803,6756,3289,6250,2384,770,11740,2205,9991,137805,10442
"AP000769.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AP000769.1",4,13,0,0,1,0,3,0,0,1,0,0,0,38,1
"SCYL1",25,148,0,2,5,4,0,8,0,1,12,1,3,222,8
"LTBP3",21,363,0,0,1,9,3,6,0,0,21,0,5,453,13
"SSSCA1",34,167,0,0,3,3,2,5,1,0,32,5,4,297,14
"FAM89B",6,111,0,1,1,2,0,3,0,0,5,1,4,173,19
"EHBP1L1",40,70,0,2,0,3,1,1,0,0,17,3,0,426,14
"SIPA1",16,49,1,1,2,2,0,5,0,0,10,2,0,454,10
"KCNK7",1,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"MAP3K11",29,30,0,5,3,0,2,1,0,0,4,3,2,352,25
"PCNXL3",6,35,0,0,0,0,0,1,0,0,1,0,0,87,6
"RELA",12,111,0,1,7,0,1,7,1,2,16,1,3,282,13
"KAT5",6,78,0,0,5,2,0,3,2,0,9,1,2,94,3
"RNASEH2C",99,439,2,4,20,8,4,20,1,1,52,3,14,420,39
"AP5B1",9,16,0,1,0,1,1,1,0,0,2,1,0,29,2
"OVOL1",1,2,0,0,1,0,0,0,0,0,0,0,0,75,1
"OVOL1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CFL1",1261,4260,11,87,107,216,120,211,41,18,590,104,231,8850,504
"SNX32",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS81",11,65,0,1,3,0,0,3,2,0,15,0,6,177,12
"EFEMP2",6,1347,0,0,1,1,0,19,0,1,86,1,0,60,9
"CTSW",1,2,3,0,27,5,22,0,1,7,0,0,1,4,0
"FIBP",75,317,0,11,14,12,5,8,1,0,40,1,6,510,30
"CCDC85B",115,857,3,2,40,18,19,33,4,1,54,11,20,1109,306
"FOSL1",1,56,0,0,0,0,0,0,0,0,1,1,0,58,2
"C11orf68",11,82,0,0,1,1,1,4,0,0,4,0,3,123,9
"DRAP1",183,667,0,14,49,54,21,30,11,2,88,19,34,1058,43
"SART1",25,78,1,0,10,9,4,5,4,0,7,4,3,168,9
"EIF1AD",27,39,0,0,1,1,0,0,2,0,5,2,1,84,4
"BANF1",125,605,1,6,38,22,11,34,3,1,89,7,20,1128,67
"CST6",70,3,0,0,10,0,0,0,0,0,1,3,0,75,0
"CATSPER1",33,0,0,0,17,0,0,0,0,0,0,6,0,37,1
"SF3B2",49,280,1,4,15,19,8,11,7,1,40,1,13,635,30
"PACS1",13,94,1,1,0,0,0,5,0,0,9,0,2,122,6
"RP11-755F10.1",0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
"KLC2",2,49,0,0,1,1,0,1,0,0,9,0,2,67,4
"RP11-755F10.3",0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-867G23.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RAB1B",31,152,0,2,4,4,6,6,1,0,21,4,3,455,21
"RP11-867G23.4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CNIH2",0,5,0,0,0,0,0,0,0,0,0,0,0,2,0
"YIF1A",64,772,0,5,6,9,2,18,0,0,63,8,8,758,32
"TMEM151A",1,3,0,0,0,0,0,0,0,0,0,0,0,101,1
"CD248",1,350,0,0,0,0,0,1,0,0,96,0,0,8,1
"RIN1",6,34,0,3,1,0,0,0,0,0,2,1,0,143,3
"BRMS1",39,115,2,2,2,6,1,6,1,0,9,1,8,264,13
"B4GAT1",3,49,0,0,0,1,0,1,0,0,9,0,0,52,4
"RP11-867G23.8",0,12,0,0,0,0,1,0,0,0,3,0,1,64,0
"SLC29A2",0,2,1,0,0,0,0,0,0,0,0,0,0,89,1
