"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CHIT1",15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"LINC01353",1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"LINC01136",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"BTG2",41,85,1,12,0,27,58,11,9,9,2,13,6,3,38,464,23
"FMOD",0,448,0,0,0,0,0,0,2,0,0,10,0,0,1,5,0
"PRELP",1,152,1,0,0,0,0,0,5,0,0,6,0,0,1,8,0
"ATP2B4",10,148,0,4,0,1,3,3,16,0,0,17,1,2,3,177,27
"LAX1",0,0,0,0,0,10,2,3,0,2,1,0,0,1,4,1,0
"ZC3H11A",40,222,0,3,1,5,1,3,4,2,0,18,2,0,6,478,35
"ZBED6",8,37,1,1,0,0,4,2,4,1,0,3,3,1,3,56,4
"SNRPE",169,707,2,26,6,18,19,8,27,4,1,76,16,42,30,1591,104
"SOX13",1,5,0,0,1,0,0,0,1,0,1,5,0,0,0,91,9
"ETNK2",0,11,0,1,0,0,2,0,1,0,0,0,0,1,0,3,0
"REN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KISS1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0
"GOLT1A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0
"PLEKHA6",1,12,0,0,1,0,0,0,0,1,0,0,0,0,0,220,0
"RP11-739N20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PPP1R15B",33,72,1,0,0,3,3,0,1,0,0,6,4,0,3,140,11
"PIK3C2B",0,14,0,2,0,1,0,0,0,1,0,1,0,0,2,155,7
"MDM4",38,152,1,4,1,5,7,3,4,6,0,13,5,3,8,279,32
"RP11-430C7.4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRN2",0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
"NFASC",0,11,0,0,0,0,0,0,0,0,0,23,0,0,0,8,0
"TMEM81",0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0
"RBBP5",9,27,0,1,0,3,1,1,2,1,0,2,1,3,4,107,6
"DSTYK",6,80,0,0,0,3,0,1,6,0,0,5,1,0,1,84,4
"TMCC2",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1
"NUAK2",2,15,0,0,0,0,0,1,0,0,0,2,1,0,0,51,1
"KLHDC8A",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
"LEMD1",6,23,0,0,0,0,0,1,0,0,0,0,2,0,1,1048,5
"BLACAT1",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,60,1
"RP11-576D8.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"CDK18",7,28,0,0,1,0,0,0,0,0,0,12,1,0,0,172,1
"MFSD4",0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,104,1
"ELK4",17,84,1,0,2,1,5,0,3,2,0,12,0,0,2,214,19
"SLC45A3",0,7,0,1,0,20,0,0,1,0,0,1,0,0,0,49,4
"NUCKS1",127,1214,1,9,7,21,18,8,29,3,1,98,7,39,15,1590,97
"RAB29",31,52,0,2,2,4,5,1,6,0,0,6,4,3,1,112,8
"SLC41A1",1,21,0,0,0,2,1,0,1,0,0,0,0,1,3,40,8
"SLC26A9",2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,205,3
"RAB7B",11,40,0,0,0,0,0,0,0,0,0,3,1,0,0,118,1
"CTSE",0,4,0,0,0,0,1,1,0,0,0,3,2,0,0,418,0
"C1orf186",0,2,0,0,0,76,0,0,0,0,0,0,0,0,0,8,0
"RP11-38J22.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM72A",9,10,0,1,0,0,0,0,0,0,0,1,2,1,0,13,0
"SRGAP2",18,74,0,2,0,0,0,0,1,0,0,5,3,2,0,93,17
"IKBKE",7,12,0,0,0,1,1,0,0,1,0,4,1,4,8,33,3
"RP11-534L20.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"RASSF5",16,18,2,6,0,10,14,8,0,0,0,0,2,7,21,89,1
"EIF2D",10,87,1,1,0,4,0,2,2,2,0,2,0,0,3,130,12
"RP11-343H5.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"DYRK3",0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2
"MAPKAPK2",25,170,0,1,0,0,1,1,6,0,2,24,3,1,2,424,30
"IL10",35,12,0,1,0,0,0,0,0,0,0,0,6,0,8,1,0
"IL20",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL24",0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"FCMR",1,7,2,0,0,0,3,0,0,5,0,1,0,1,9,22,1
"PIGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FCAMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"C1orf116",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,192,1
