"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"AC012363.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"TMEM185B",5,61,1,1,1,0,0,0,0,1,0,2,1,0,0,1,55,10
"RALB",37,216,1,4,5,1,3,0,1,2,0,17,3,7,2,1,266,52
"INHBB",0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76,33
"GLI2",0,42,0,0,0,0,0,0,1,0,0,4,0,0,0,1,47,2
"RP11-297J22.1",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"TFCP2L1",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,1
"CLASP1",10,70,0,0,1,0,1,0,1,0,0,5,2,3,3,2,112,13
"NIFK-AS1",9,39,0,1,3,1,2,0,4,1,1,1,2,0,6,0,59,4
"NIFK",30,438,1,4,1,0,2,2,2,6,2,39,12,6,5,3,409,29
"TSN",24,272,0,2,5,0,4,0,4,1,2,13,7,4,2,13,352,35
"GYPC",88,1014,8,0,8,4,22,5,22,18,8,86,65,11,16,43,28,140
"RP11-521O16.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-521O16.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIN1",15,191,3,2,0,5,14,2,1,11,3,9,1,5,10,16,164,9
"CYP27C1",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"ERCC3",7,96,0,0,2,0,0,0,2,0,0,9,1,0,1,2,92,13
"MAP3K2",47,295,0,2,1,0,2,0,3,2,1,14,5,10,0,3,447,34
"AC068282.3",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"PROC",2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,63,0
"IWS1",15,174,0,0,0,1,7,2,2,1,1,11,2,0,4,4,234,28
"AC010976.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYO7B",3,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,158,3
"RP11-286H15.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9
"LIMS2",1,141,0,0,0,1,0,0,25,0,0,8,0,0,1,0,18,77
"GPR17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"WDR33",28,307,0,0,4,1,11,1,8,2,1,24,15,3,3,8,290,35
"SFT2D3",0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,6
"POLR2D",8,79,0,1,0,0,1,0,1,2,0,4,5,5,9,3,146,12
"AMMECR1L",1,67,0,0,1,0,1,0,2,0,0,8,1,2,0,0,85,10
"RP11-395A13.2",8,36,0,0,3,0,0,0,0,0,0,1,2,0,1,1,48,8
"SAP130",1,50,0,0,0,0,0,0,0,1,0,4,0,0,0,0,68,6
"UGGT1",12,120,0,0,1,0,0,0,1,1,1,2,3,2,1,3,146,16
"HS6ST1",1,53,0,0,3,0,0,1,1,0,0,1,1,0,0,0,62,4
"RAB6C",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CCDC74B",0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"SMPD4",5,83,0,0,0,0,0,1,1,0,0,6,3,3,1,1,159,13
"MZT2B",98,2156,6,8,11,7,30,2,35,17,3,128,98,14,38,22,3553,215
"CCDC115",22,273,1,4,9,3,9,2,6,2,0,16,3,5,3,7,366,13
