"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"DHH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-386G11.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LMBR1L",0,2,4,0,0,0,29,4,0,0,0,12,17,6,2,1,1,0,6,14,4,3,2,21,8
"TUBA1B",91,33,184,5,16,86,723,40,4,101,25,120,243,117,9,60,21,5,37,273,73,30,5,328,78
"RP11-386G11.10",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2,1
"TUBA1A",9,23,50,6,10,138,1027,31,7,98,29,70,265,142,10,53,24,4,30,25,85,9,11,140,64
"TUBA1C",20,1,32,4,1,1,127,8,4,6,0,8,45,18,2,8,2,0,5,140,10,3,1,40,10
"RP11-977B10.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRPH",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
"TROAP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"DNAJC22",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0
"SPATS2",0,1,1,0,0,0,58,1,1,3,0,2,3,3,0,1,0,0,1,23,2,13,0,29,1
"MCRS1",0,1,4,1,0,2,48,3,0,0,1,6,5,7,0,1,0,0,0,36,1,0,0,14,2
"PRPF40B",0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1
"FAM186B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FMNL3",4,0,2,0,1,0,8,1,1,1,0,2,2,4,0,0,0,0,3,1,0,0,0,19,2
"TMBIM6",66,20,70,7,11,31,483,29,3,44,2,106,161,112,14,31,13,4,30,520,23,20,6,167,27
"NCKAP5L",0,0,3,0,1,2,84,4,0,1,0,2,10,3,0,1,0,0,2,6,2,1,0,23,0
"BCDIN3D-AS1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCDIN3D",0,0,0,0,0,2,10,1,0,0,0,4,3,1,0,0,0,1,0,3,0,0,1,1,0
"FAIM2",0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"AQP5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RACGAP1",2,0,0,0,0,0,7,0,1,0,0,0,3,1,0,0,0,0,0,3,0,0,0,1,0
"ASIC1",1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SMARCD1",3,0,1,1,0,0,27,2,0,0,0,9,14,9,1,4,1,0,3,30,3,3,0,25,2
"GPD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"COX14",7,7,22,1,2,3,137,14,1,12,1,20,40,24,1,11,6,1,14,185,7,8,1,65,19
"RP4-605O3.4",0,1,1,0,0,1,8,0,0,0,0,2,3,2,0,1,0,0,2,9,0,2,0,3,1
"CERS5",1,1,2,0,0,2,43,5,0,2,0,6,8,6,0,5,1,2,1,8,3,0,3,7,1
"LIMA1",2,0,0,0,0,4,235,1,1,2,0,0,4,1,0,4,0,0,1,155,9,0,0,73,2
"LARP4",1,0,1,0,0,1,17,1,0,0,1,5,3,5,2,1,0,0,1,20,0,1,0,13,2
"DIP2B",5,0,1,0,0,1,7,1,0,0,0,2,5,3,0,1,1,0,0,16,0,0,0,20,0
"ATF1",0,1,3,0,0,3,82,4,0,7,0,10,11,4,0,6,1,0,6,18,3,2,0,23,1
"METTL7A",4,0,8,0,0,2,232,2,0,12,1,2,0,0,0,0,0,0,0,64,2,8,0,10,7
"SLC11A2",3,0,1,0,0,1,11,1,0,2,0,0,3,3,1,0,0,0,0,13,0,3,1,6,0
"LETMD1",2,2,3,1,0,0,121,2,0,2,1,4,11,6,2,2,1,0,2,31,4,1,1,13,2
"CSRNP2",0,1,1,2,0,3,31,0,1,1,0,4,10,7,0,1,1,0,2,23,3,5,0,20,0
"TFCP2",1,0,3,0,0,1,21,1,0,1,0,2,2,4,0,0,0,1,0,13,3,0,0,6,0
"POU6F1",0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
"DAZAP2",38,10,34,4,2,9,267,19,2,20,5,99,120,72,10,30,8,3,21,207,10,12,4,114,5
