"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"ITPKB-AS1",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0
"PSEN2",23,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,3,0,38,3
"ADCK3",10,3,1,1,0,0,0,0,3,2,0,1,1,0,0,0,0,2,4,6,171,10
"CDC42BPA",5,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,101,46
"CTD-2090I13.1",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,0
"ZNF678",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,2
"SNAP47",5,9,0,1,4,3,0,0,7,10,3,3,8,0,0,1,1,5,8,25,69,6
"JMJD4",10,3,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,3,2,4,63,4
"WNT9A",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"WNT3A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ARF1",501,115,11,38,15,19,15,5,57,64,16,10,46,2,7,7,35,84,496,147,1591,206
"C1orf35",40,11,2,4,0,0,1,1,5,8,2,1,2,0,1,0,3,9,16,22,412,24
"MRPL55",136,53,6,19,4,3,2,1,15,15,7,2,11,0,5,2,8,32,92,38,732,58
"GUK1",591,240,18,81,27,30,19,8,64,103,43,10,64,3,11,7,82,129,797,220,2461,717
"GJC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6
"IBA57",12,1,0,0,1,1,2,0,3,5,0,1,1,0,0,0,1,1,9,6,48,12
"C1orf145",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OBSCN",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46,3
"RP5-1139B12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TRIM11",9,1,1,2,0,0,0,1,2,5,3,0,5,0,1,0,2,1,17,7,126,9
"HIST3H2A",46,5,1,7,0,2,0,0,5,12,3,0,6,1,1,0,0,4,57,15,478,11
"HIST3H2BB",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"RNF187",110,40,0,11,6,8,2,1,8,14,7,2,6,0,1,1,1,20,63,63,481,77
"RHOU",25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,66,0,159,3
"RP5-1061H20.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RAB4A",76,22,1,10,0,1,0,1,12,6,8,0,8,0,2,0,5,8,49,20,476,49
"RP4-803J11.2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CCSAP",15,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,6,0,22,0
"ACTA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"NUP133",15,2,0,0,0,0,0,0,2,0,0,1,3,0,0,0,2,3,8,4,87,6
"RP4-613A2.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB10",11,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,5,4,53,6
"TAF5L",6,3,0,2,1,1,0,0,0,3,1,0,0,0,0,1,2,2,5,3,67,7
"URB2",3,5,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,45,2
"GALNT2",27,13,1,0,5,4,1,2,1,2,4,1,2,0,0,1,11,10,45,8,102,19
"PGBD5",0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0
"COG2",11,7,1,0,1,2,0,1,1,8,0,1,2,0,0,0,1,1,5,11,83,5
"AGT",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0
"RP11-99J16--A.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAPN9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"C1orf198",3,14,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,7,2,0,96,13
"RP5-858B6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTC13",8,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,5,0,4,1,43,6
"ARV1",15,9,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,6,2,71,11
"FAM89A",4,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,4,0,55,17
"C1orf131",25,14,0,2,5,2,2,1,4,8,2,1,10,0,1,1,2,8,12,23,136,9
"GNPAT",30,12,0,3,0,0,0,2,7,7,3,0,4,1,1,1,1,5,18,14,130,12
"EXOC8",7,1,0,0,0,0,2,0,0,1,1,1,0,1,0,0,3,1,15,1,35,6
"SPRTN",12,5,2,3,0,3,2,0,9,11,3,0,7,0,1,1,1,1,13,19,71,17
"EGLN1",32,7,3,1,1,2,0,1,7,5,3,0,2,1,0,0,0,8,42,17,132,31
"RP11-295G20.2",12,5,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,55,2,54,19
"TSNAX-DISC1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"TSNAX",61,5,2,2,2,2,1,0,6,8,2,1,3,1,0,0,1,15,46,15,156,38
"DISC1",9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,8
"SIPA1L2",28,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,43,24
"MAP10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
"NTPCR",39,16,0,5,1,1,3,1,5,7,0,1,0,0,0,0,1,7,22,14,232,34
"PCNXL2",8,3,0,1,0,2,2,1,0,4,1,0,0,0,0,0,0,1,2,4,11,3
"RP5-862P8.2",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,53,1
"KCNK1",0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,114,2
"SLC35F3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"RP5-827C21.4",4,0,1,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,8,1,9,1
"COA6",98,22,2,5,1,1,1,0,3,9,0,1,13,0,1,1,1,11,44,22,456,29
"TARBP1",14,4,1,0,0,0,0,0,0,1,2,0,1,0,0,0,2,2,8,3,83,7
"IRF2BP2",160,28,2,23,4,1,1,1,29,37,13,2,33,1,2,2,78,6,172,44,1000,62
"RP4-781K5.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-781K5.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LINC01132",2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-443B7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-443B7.1",10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,24,0
"RP11-443B7.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1
"LINC01348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP4-597N16.4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1
"TOMM20",242,62,5,22,14,19,11,5,49,67,17,4,45,3,3,4,34,27,262,90,2562,124
"RBM34",7,1,1,1,0,0,1,0,3,1,1,0,3,0,0,0,0,0,2,4,23,2
"ARID4B",110,48,7,24,10,16,8,11,42,86,16,8,65,4,6,8,20,29,139,163,394,139
"GGPS1",35,9,1,1,1,2,4,1,5,6,1,0,7,0,0,0,2,13,22,7,187,15
"TBCE",11,1,0,1,2,0,0,0,0,2,0,1,0,0,1,0,1,2,2,0,54,3
"B3GALNT2",4,4,0,3,2,0,0,0,4,2,0,0,1,0,2,0,0,3,3,3,91,2
"GNG4",0,1,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,7,1,296,0
"LYST",24,12,6,3,13,8,4,2,16,15,7,4,14,0,0,0,6,9,30,52,103,19
"NID1",1,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,61,9,0,5,63
"GPR137B",183,8,2,23,2,2,5,0,1,13,5,0,1,0,3,1,0,2,129,22,62,4
"ERO1B",23,9,1,0,1,1,1,0,3,4,0,0,6,0,1,0,5,4,25,6,15,17
"EDARADD",0,0,0,0,1,0,1,0,0,3,0,0,2,0,0,0,0,1,4,6,6,2
"LGALS8",64,0,3,7,1,3,7,3,4,18,5,0,17,1,0,0,1,4,80,30,165,41
"LGALS8-AS1",0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0
"RP11-385F5.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0
"HEATR1",8,3,2,1,1,1,0,1,2,3,0,0,3,0,0,0,3,2,3,1,91,4
"ACTN2",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTR",13,7,0,0,0,1,0,0,4,0,1,0,2,0,0,0,7,2,2,6,75,12
"MT1HL1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"RYR2",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
"MTRNR2L11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0
"RP11-544D21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"CHRM3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0
"CHRM3-AS2",0,0,0,0,1,0,0,1,0,4,1,0,2,0,2,0,0,0,2,6,1,0
"FMN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GREM2",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"FH",37,18,0,5,0,0,0,0,3,10,1,2,7,0,0,0,2,11,24,8,232,19
"KMO",100,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,7,0,155,0,9,1
"OPN3",60,2,0,14,0,0,0,0,2,0,0,0,0,0,0,0,36,0,46,0,163,10
"CHML",31,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,9,0,47,0,33,1
"EXO1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,1
"CEP170",77,8,0,4,1,0,0,0,4,1,0,0,0,0,0,1,0,4,68,5,28,23
"SDCCAG8",83,8,0,6,0,0,0,0,3,6,0,2,4,0,0,0,2,5,67,9,116,14
"AKT3",7,10,2,0,1,1,1,1,1,1,0,0,2,1,2,0,0,10,21,3,1,23
"ZBTB18",9,2,0,0,0,0,0,0,4,2,0,0,1,0,0,0,11,0,6,3,89,9
"RP11-518L10.5",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
"ADSS",63,5,2,6,3,8,7,3,8,15,5,2,16,0,0,1,2,5,59,32,258,41
