"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"ADGRG7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TFG",70,167,9,7,4,9,7,1,4,24,47,14,15,1,0,1,8,12,26,2,21,455,20
"ABI3BP",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMPG2",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"SENP7",11,17,4,2,6,4,1,1,3,4,12,1,3,1,2,0,0,1,2,1,11,18,3
"TRMT10C",19,22,15,10,11,6,10,2,7,24,50,21,16,4,5,2,4,6,7,0,34,347,1
"PCNP",86,139,21,13,26,17,25,3,14,72,101,35,21,9,12,2,8,16,44,3,59,458,14
"ZBTB11",9,24,4,1,3,2,2,0,0,2,14,3,3,2,0,1,2,3,4,1,3,79,2
"ZBTB11-AS1",2,4,0,0,0,2,1,0,0,0,5,1,0,0,0,0,0,1,0,0,1,28,0
"RPL24",1350,2477,405,171,414,257,290,35,161,1394,1517,514,411,103,126,92,121,343,793,32,1089,11698,395
"CEP97",0,5,1,0,0,0,0,0,0,2,4,0,1,0,0,0,1,3,2,0,4,6,0
"NXPE3",4,6,2,1,3,1,0,0,2,3,9,3,3,0,1,1,1,12,1,0,4,5,1
"RP11-49I4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NFKBIZ",382,719,3,3,10,3,5,2,10,7,38,11,1,1,0,3,17,4,106,3,29,263,41
"RP11-221J22.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALCAM",94,4,1,0,0,0,0,0,0,10,1,0,0,0,0,1,2,4,22,0,0,31,0
"CBLB",30,34,14,18,33,12,17,2,10,8,58,30,10,8,8,0,0,0,1,2,29,43,10
"LINC00882",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DUBR",0,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
"RP11-115H18.1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BBX",72,117,27,15,30,16,17,0,4,53,75,28,17,7,4,2,7,13,23,1,51,235,12
"LINC00636",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CD47",230,119,32,13,47,29,18,2,9,90,164,49,34,9,11,8,3,23,74,2,93,492,14
"LINC01215",1,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,0,2,0,0
"IFT57",26,111,7,4,3,5,5,1,2,86,29,12,8,3,4,1,6,10,14,0,22,225,7
"HHLA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"KIAA1524",2,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,9,2
"DZIP3",8,12,10,3,12,3,0,0,0,3,4,7,0,3,1,0,0,1,0,0,6,47,0
"TRAT1",5,3,79,22,85,45,34,5,24,0,205,79,46,1,10,0,0,1,3,1,59,0,1
"FLJ22763",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,59,0
"RP11-553A10.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVRL3-AS1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"PVRL3",0,19,1,1,3,1,0,0,0,1,5,7,1,0,0,0,1,0,0,1,4,127,2
"CD96",11,2,39,36,49,20,15,3,20,19,178,73,31,17,20,0,0,0,3,2,62,3,1
"ZBED2",1,1,0,6,2,0,5,0,1,6,9,0,0,0,0,0,0,0,0,0,5,1,1
"PLCXD2",0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
"PHLDB2",4,35,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,3,0,14
"ABHD10",11,12,1,1,0,0,0,0,0,1,5,0,0,0,0,0,1,4,3,0,1,48,0
"TAGLN3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TMPRSS7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"C3orf52",0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,63,0
"GCSAM",1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
