"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"DOCK1",0,0,0,0,0,1,23,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,21
"CLRN3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"PTPRE",9,4,10,1,0,2,13,4,2,1,13,9,0,5,1,5,2,1,1,2,17,2,1,78
"MKI67",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,2,0,0
"RP11-264E18.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"MGMT",4,5,4,2,1,7,74,2,1,50,22,24,3,16,10,1,8,6,3,8,3,11,4,68
"RP11-109A6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"EBF3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"LINC00959",0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"GLRX3",2,5,5,0,1,4,44,7,0,26,20,20,3,16,3,2,9,2,3,1,3,14,12,30
"TCERG1L",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP2R2D",4,2,0,0,0,2,13,1,2,12,10,7,1,9,1,0,5,4,1,1,3,1,3,5
"BNIP3",2,3,0,4,0,6,36,1,0,9,18,18,4,8,10,0,4,0,3,2,0,3,5,46
"RP11-45A17.2",0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"RP11-45A17.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"STK32C",0,0,2,2,0,1,10,0,3,4,3,5,1,6,0,0,0,0,0,0,1,0,1,10
"LRRC27",0,0,0,0,0,0,6,1,0,4,3,6,0,1,0,0,0,0,0,0,0,0,0,0
"PWWP2B",0,3,0,0,0,0,1,4,2,8,4,8,0,7,3,0,1,3,0,0,0,0,0,3
"RP11-432J24.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C10orf91",0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
"RP11-432J24.5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"INPP5A",0,0,1,0,0,0,6,2,0,4,0,1,0,1,0,0,0,1,1,0,1,0,0,17
"CFAP46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"UTF1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VENTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MIR202HG",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM8",0,12,1,3,1,0,0,11,7,25,24,25,0,19,5,3,13,0,0,2,1,0,0,1
"TUBGCP2",1,1,0,1,1,5,17,1,3,11,9,8,0,10,0,2,7,2,0,2,1,7,1,7
"ZNF511",0,4,4,0,2,0,34,4,8,22,10,18,2,11,5,1,6,5,2,1,4,1,2,8
"PRAP1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"CALY",0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1
"FUOM",3,3,7,3,0,0,17,7,1,14,22,11,0,25,1,0,4,3,1,4,6,0,1,2
"ECHS1",4,6,2,1,1,4,76,8,7,36,21,23,3,22,6,1,9,13,1,6,7,5,0,45
"PAOX",1,0,0,0,0,0,9,0,0,10,0,2,0,10,0,0,1,0,0,2,1,3,0,3
"MTG1",1,0,0,0,0,0,3,1,0,4,1,2,1,3,0,0,0,1,0,2,1,0,1,1
"SPRN",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP2E1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYCE1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-598F7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0
"SLC6A12",1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"SLC6A13",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KDM5A",1,19,3,1,3,4,24,10,4,50,21,29,0,49,6,3,13,13,2,3,5,22,4,38
"CCDC77",0,0,0,0,0,0,3,1,0,2,2,2,0,4,0,0,0,0,0,0,0,1,0,3
"B4GALNT3",0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,1,0
"NINJ2",3,1,1,0,2,0,9,0,0,2,3,2,0,1,1,0,2,0,0,0,0,0,7,9
"RP11-218M22.1",0,0,0,0,0,1,2,0,0,0,4,2,1,0,0,0,0,0,0,1,0,0,1,2
"WNK1",3,19,0,4,6,3,36,16,1,50,50,59,1,22,12,7,22,4,1,4,4,8,12,66
"RAD52",0,1,0,1,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2
"RP11-359B12.2",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"ERC1",0,0,1,0,0,3,20,1,2,11,9,4,2,8,0,0,1,0,0,1,0,0,1,10
"WNT5B",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FBXL14",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADIPOR2",2,2,2,1,1,5,11,3,3,19,8,11,0,10,3,0,7,5,0,1,1,8,2,21
"CACNA2D4",0,0,0,0,0,0,0,0,1,0,5,4,1,1,0,0,1,1,0,0,3,0,3,0
"DCP1B",0,0,0,0,0,0,3,0,0,1,4,1,3,1,0,0,1,1,0,0,0,0,1,1
"CACNA1C",0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"CACNA1C-AS2",0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0
"CACNA1C-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"FKBP4",4,2,0,0,0,2,14,5,3,22,18,11,2,14,4,0,1,13,2,2,1,2,0,19
"RP4-816N1.6",0,0,1,0,0,2,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
"ITFG2",1,4,0,1,0,1,12,2,1,17,5,16,0,20,3,1,2,0,0,5,1,5,2,3
"NRIP2",0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FOXM1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1
"RHNO1",1,2,1,2,1,0,4,1,1,9,5,10,0,8,2,0,7,1,0,1,1,3,1,2
"TULP3",0,3,0,0,0,3,19,0,1,6,7,10,0,5,0,0,1,0,0,1,0,0,2,9
"TEAD4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,6
"RP11-253E3.3",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3
"TSPAN9",0,0,0,0,0,1,20,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,27
"CRACR2A",0,0,0,0,0,0,1,0,0,5,12,6,0,2,1,0,1,2,0,0,0,0,0,0
"PARP11",0,2,1,0,0,0,10,1,1,3,3,5,0,5,4,0,2,1,0,0,1,2,0,3
"RP11-664D1.1",0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,1,0,0,0,0,0,0,0
"CCND2-AS1",0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"CCND2",3,16,3,1,5,4,47,28,3,27,47,89,2,15,12,8,37,12,3,3,1,0,13,21
"TIGAR",2,2,0,1,0,1,7,3,1,17,2,9,0,15,0,1,4,1,0,2,0,2,4,6
"FGF23",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"C12orf4",0,0,0,0,0,1,10,0,0,4,1,0,1,4,0,0,0,0,0,0,1,0,0,6
"RAD51AP1",0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,1,0,1
"DYRK4",1,2,0,1,1,1,23,1,0,3,2,3,2,2,1,1,0,2,0,0,2,2,0,6
"NDUFA9",2,8,1,0,0,4,43,9,4,16,26,30,4,16,7,1,15,7,5,5,1,7,10,23
"RP11-234B24.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"GALNT8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"KCNA5",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
"NTF3",0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
"ANO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"VWF",0,0,0,0,0,0,4,0,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,339
"CD9",6,3,5,0,2,211,90,3,120,5,11,21,16,10,1,0,9,78,7,5,6,2,1,243
"PLEKHG6",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,1
"TNFRSF1A",1,4,9,0,0,4,124,1,0,0,3,7,3,3,0,0,3,5,11,0,7,0,1,80
"SCNN1A",0,1,1,0,0,0,1,0,1,1,4,1,0,0,0,0,0,13,0,0,1,0,0,1
"LTBR",1,0,1,0,0,1,48,0,0,0,0,0,2,1,0,2,0,5,3,0,0,1,0,28
"RP1-102E24.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CD27",0,27,0,9,12,1,2,4,1,72,34,43,0,7,11,1,7,0,0,52,0,21,53,3
"TAPBPL",1,5,1,1,2,0,20,6,2,10,18,21,1,10,3,3,5,1,0,6,0,0,3,6
"VAMP1",0,1,0,0,0,2,3,4,0,8,4,11,0,5,0,1,3,0,0,8,1,9,6,2
"MRPL51",5,16,7,3,3,13,129,23,13,71,51,70,7,61,17,2,26,13,5,12,13,30,11,79
"NCAPD2",0,0,0,0,0,2,2,0,0,3,1,0,1,2,0,0,0,2,0,0,0,2,0,1
"GAPDH",46,282,89,58,53,89,1009,391,115,570,1006,1191,46,306,169,83,342,321,53,107,181,528,222,747
"RP5-940J5.9",0,3,1,1,0,0,1,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0
"IFFO1",3,3,0,1,0,1,14,0,1,9,4,4,1,5,0,0,3,0,1,0,1,2,1,1
"RP5-940J5.8",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"NOP2",0,4,0,1,1,2,12,3,1,13,7,10,0,12,0,0,2,4,1,1,0,3,0,11
"CHD4",1,15,6,1,4,13,86,11,7,55,30,31,4,40,6,6,16,9,1,2,1,12,8,98
"RP5-940J5.6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LPAR5",0,0,0,0,0,0,0,1,0,11,1,0,0,10,0,0,0,1,0,0,0,0,0,0
"ACRBP",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ING4",0,4,0,0,0,2,22,2,1,17,6,6,3,10,1,1,2,1,0,2,3,2,3,16
"RP4-761J14.8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF384",0,2,1,0,0,1,8,1,1,5,3,1,1,5,1,1,3,0,0,0,0,0,2,9
"PIANP",0,0,0,0,0,0,2,1,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0
"COPS7A",0,4,3,0,2,1,33,0,0,3,3,4,1,3,2,0,1,3,1,0,2,4,0,12
"RP4-761J14.10",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"MLF2",2,11,4,2,5,11,79,10,6,43,31,37,7,37,10,3,16,8,5,9,2,12,6,48
"PTMS",15,16,9,6,6,19,348,17,12,6,27,71,49,2,1,2,23,21,23,0,2,8,4,232
"LAG3",2,18,0,11,7,0,12,22,0,1,47,145,2,1,0,6,43,0,0,0,0,0,3,13
"CD4",19,2,9,0,0,0,10,0,1,0,45,0,2,1,6,0,1,1,4,0,17,0,14,3
"GPR162",0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
"P3H3",0,0,0,0,0,1,63,1,0,0,1,0,4,0,1,0,0,0,1,1,0,0,0,2
"GNB3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CDCA3",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0
"USP5",0,1,0,0,0,1,9,4,1,10,7,6,2,7,0,1,0,2,0,1,1,3,1,11
"TPI1",28,41,28,8,9,43,440,71,46,203,155,205,32,127,27,26,74,55,19,11,64,67,41,229
"SPSB2",0,1,0,0,0,0,10,1,1,3,7,5,0,1,2,0,1,1,0,0,0,0,1,2
"LRRC23",1,0,0,0,0,5,22,0,2,7,4,3,0,2,1,0,0,0,1,3,0,3,0,10
"U47924.32",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENO2",0,4,0,0,1,2,14,0,1,2,9,11,0,1,5,0,2,0,0,0,0,3,0,5
"ATN1",1,2,0,1,0,2,38,1,3,9,3,3,2,4,0,1,5,4,1,1,1,0,3,28
"C12orf57",2,53,2,9,3,11,400,26,17,139,150,182,15,146,55,13,45,52,15,36,5,13,62,104
"U47924.31",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PTPN6",2,3,5,0,1,0,2,8,7,47,12,11,0,25,1,1,8,2,0,3,10,13,0,4
"U47924.27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"PHB2",4,4,3,0,0,6,70,9,9,51,26,18,3,41,7,3,5,16,5,7,5,25,9,47
"EMG1",2,2,2,1,3,1,30,7,2,23,18,15,0,21,7,1,6,5,2,1,1,6,1,13
"LPCAT3",3,4,1,2,2,1,13,2,4,10,9,12,1,11,2,0,5,7,1,0,2,1,4,12
"C1S",1,1,0,0,1,14,1627,1,1,6,3,1,29,5,0,1,0,1,15,1,0,0,0,25
"C1R",0,0,0,0,0,16,1925,2,0,7,3,6,14,5,3,1,1,2,14,1,0,0,0,19
"C1RL",0,1,0,0,1,1,35,2,0,3,3,2,1,1,2,0,1,1,0,0,0,2,1,7
"C1RL-AS1",0,0,0,0,0,0,6,0,0,4,2,3,2,1,1,0,0,0,0,0,0,0,0,1
"ABC12-49244600F4.4",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RBP5",0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124
"RP11-273B20.1",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
"CLSTN3",0,2,1,0,0,1,23,5,0,2,5,17,0,1,0,1,1,0,0,0,0,2,0,20
"PEX5",0,0,0,1,0,2,6,1,0,4,1,1,0,3,1,0,1,1,0,0,0,7,0,10
"CD163L1",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CD163",11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NANOG",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"SLC2A14",0,0,1,0,1,2,31,0,3,13,9,5,0,14,2,0,3,0,0,0,0,1,0,23
"SLC2A3",24,33,17,12,9,4,317,24,45,278,207,180,11,403,67,11,39,1,23,8,21,14,28,389
"FOXJ2",0,2,0,1,0,0,7,1,0,2,3,9,0,2,4,0,1,0,0,1,1,0,0,5
"C3AR1",4,3,5,0,0,0,0,2,2,1,18,5,0,0,1,1,1,0,0,0,0,0,2,0
"NECAP1",0,4,1,0,0,2,15,5,3,16,7,16,0,21,0,1,6,2,0,3,0,4,1,9
"CLEC4A",3,0,3,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,7,0,0,0
"FAM66C",0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-266K4.13",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-266K4.9",0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"LINC00937",1,1,0,0,0,3,1,0,0,0,2,0,2,1,1,0,1,4,0,1,2,1,0,0
"RP11-90D4.3",0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0
"CLEC4E",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"AICDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"MFAP5",0,2,0,0,0,0,537,0,0,2,0,1,35,0,2,1,1,0,0,0,0,1,0,1
"RIMKLB",1,0,0,0,0,0,14,0,2,6,2,2,1,6,0,0,1,0,0,0,0,1,0,18
"RP11-20D14.6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PHC1",0,1,0,0,0,3,15,1,1,5,8,8,1,5,1,0,1,0,0,1,0,1,1,8
"M6PR",11,12,7,1,1,3,34,11,7,59,58,58,1,40,12,3,15,4,2,3,13,11,8,23
"KLRG1",0,19,0,3,2,1,4,7,8,0,30,17,0,1,2,7,8,0,0,0,0,0,1,0
"A2M-AS1",0,6,0,1,0,0,1,1,2,1,4,4,0,0,0,0,4,0,0,0,0,0,1,0
"A2M",32,4,17,0,1,2,761,1,1,6,9,4,23,5,0,1,1,1,14,1,5,1,3,539
"PZP",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00987",0,0,0,0,0,0,10,0,2,0,0,2,1,1,0,0,2,0,0,0,0,0,0,6
"RP13-735L24.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLRB1",1,165,0,5,0,7,16,167,0,8,1630,912,0,6,236,129,97,1,0,20,0,2,62,6
"CLEC2D",1,45,0,14,16,0,13,69,0,30,168,274,1,96,56,6,79,0,0,11,1,35,32,3
"CLECL1",0,2,7,1,0,0,0,3,2,97,16,16,0,13,3,3,2,0,0,8,1,5,0,2
"CD69",3,75,2,16,12,6,9,61,87,497,362,390,1,662,78,32,116,0,0,7,1,5,37,7
"KLRF1",0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,40,0,0,0,0,0,0,0,1
"CLEC2B",11,44,15,15,3,0,177,24,13,25,113,108,5,25,21,3,51,1,6,2,5,2,9,122
"RP11-290C10.1",0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
"AC091814.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC091814.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLEC12A",2,2,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,8,0,0,4
"CLEC12B",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLEC9A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CLEC1A",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,13
"CLEC7A",10,0,9,0,0,0,1,0,0,2,1,0,0,1,2,0,0,0,0,0,17,0,1,12
"OLR1",11,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,78,0,0,1
"TMEM52B",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"GABARAPL1",13,39,1,7,4,6,80,39,3,7,76,180,2,57,14,5,46,2,3,6,15,3,8,58
"KLRD1",0,20,0,5,0,1,1,67,0,4,2,195,0,2,1,26,84,0,0,0,0,0,0,0
"RP11-277P12.10",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-277P12.20",0,0,0,0,0,0,1,1,0,0,1,6,1,0,0,0,0,2,0,0,0,0,0,0
"KLRK1",0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"KLRC4-KLRK1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"KLRC4",0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0
"KLRC3",0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"KLRC2",0,1,0,0,0,0,2,83,0,1,0,36,0,0,0,11,92,0,0,0,0,0,0,0
"KLRC1",0,6,0,0,0,0,0,26,0,0,0,15,0,0,0,14,48,0,0,0,0,0,0,0
"EIF2S3L",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-291B21.2",0,2,0,0,0,0,0,15,0,0,1,61,0,0,0,2,11,0,0,0,0,0,0,0
"MAGOHB",0,4,1,0,0,0,23,5,0,11,7,17,0,11,4,2,5,2,0,2,0,3,2,12
"STYK1",0,1,0,0,0,0,1,2,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,0
"YBX3",17,10,24,2,5,21,344,6,11,47,11,53,12,208,5,1,4,33,17,5,25,5,4,406
"PRH1",0,1,1,0,0,0,3,1,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,1
"PRR4",2,4,0,0,1,1,13,0,1,12,7,11,2,8,2,1,0,0,0,2,0,1,4,4
"TAS2R14",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"TAS2R30",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SMIM10L1",0,2,1,1,1,3,30,10,4,17,16,25,3,22,9,4,7,3,0,2,2,4,1,18
"LINC01252",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"ETV6",6,1,3,1,0,2,18,1,6,25,15,3,0,10,2,0,0,5,1,1,5,1,4,35
"BCL2L14",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1
"LRP6",0,0,0,0,0,1,14,0,0,2,0,1,4,1,0,0,0,0,1,0,1,0,0,6
"MANSC1",0,1,1,0,0,1,9,0,3,3,3,5,0,5,0,0,3,7,0,1,0,0,1,19
"LOH12CR2",0,0,0,0,0,0,1,0,0,0,1,3,0,3,0,0,3,0,0,3,0,0,0,1
"BORCS5",1,5,2,1,2,0,9,3,0,18,8,22,0,20,8,0,6,0,1,2,2,0,5,8
"DUSP16",0,3,0,2,1,0,8,9,2,2,31,21,0,0,9,1,5,7,0,0,0,0,17,7
"RP11-253I19.3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CREBL2",2,1,2,1,0,0,15,3,1,8,14,13,1,5,4,1,5,1,0,2,4,3,3,15
"RP11-180M15.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GPR19",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
"CDKN1B",4,13,3,1,5,4,25,18,5,35,72,62,1,67,18,2,17,4,2,11,2,5,24,23
"APOLD1",0,2,0,1,0,0,5,2,0,4,1,1,0,1,0,0,3,3,2,2,1,0,2,211
"DDX47",0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,1,0,0,0,0,0,0,4
"GPRC5A",0,0,0,0,0,0,143,0,0,3,2,4,12,1,0,0,1,53,0,1,1,1,0,12
"RP11-392P7.6",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEBP1",2,0,2,0,0,3,96,0,0,3,3,2,5,2,1,0,4,3,1,0,1,0,0,41
"FAM234B",0,0,0,0,0,0,4,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,2
"EMP1",4,1,0,0,0,26,319,1,1,5,6,6,4,2,1,0,0,22,10,5,2,1,2,424
"LINC01559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"RP11-134N1.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ATF7IP",0,11,2,1,0,3,18,8,3,44,40,41,1,24,10,4,22,0,0,6,3,2,5,17
"PLBD1",2,0,1,0,0,3,53,0,0,0,0,1,0,0,0,0,0,7,0,1,2,0,0,0
"PLBD1-AS1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUCY2C",0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,8,0,0,0,2,0,0
"HIST4H4",0,0,0,0,0,0,1,0,0,7,2,4,1,2,2,1,2,0,0,0,0,0,0,0
"H2AFJ",4,11,9,3,1,20,170,14,4,20,43,56,9,18,12,9,19,37,24,9,6,7,10,45
"WBP11",3,12,4,2,1,1,37,14,4,76,42,54,1,57,11,4,22,8,3,4,3,13,6,24
"C12orf60",0,0,0,0,0,1,1,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0
"SMCO3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ART4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MGP",4,3,2,1,2,2,7357,6,6,26,27,16,20,13,12,3,9,2,72,4,2,6,3,544
"ERP27",0,1,0,0,0,0,1,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,1,0
"ARHGDIB",26,181,22,44,27,3,22,147,74,485,781,726,0,435,180,34,229,2,13,21,46,193,165,144
"RERG",0,0,0,0,0,8,35,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,8
"PTPRO",0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,0,0,0
"EPS8",0,0,0,0,0,0,37,0,0,1,1,0,2,1,1,0,1,4,12,0,0,0,0,46
"STRAP",5,23,8,3,2,4,69,25,6,122,98,100,1,125,27,4,38,13,10,9,13,31,23,63
"DERA",0,1,2,0,1,2,20,1,6,9,9,3,2,9,1,0,3,2,1,2,4,8,2,18
"MGST1",1,0,0,0,0,0,246,1,0,2,0,0,0,0,0,0,0,35,1,1,0,0,1,1
