"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"C1orf131",1,5,2,0,1,0,17,1,1,12,4,9,0,12,3,1,2,1,1,2,1,4,3,7
"GNPAT",1,4,1,0,1,2,10,2,2,10,6,9,5,11,6,1,4,2,2,2,2,6,3,13
"EXOC8",0,2,1,1,0,0,3,2,0,4,2,5,0,6,2,0,4,0,0,0,1,1,1,5
"SPRTN",0,7,0,1,1,1,14,8,0,26,22,21,2,20,3,2,8,3,0,0,0,1,4,16
"EGLN1",0,2,1,0,1,2,10,3,1,15,5,17,0,6,1,4,3,2,2,2,3,5,3,24
"RP11-295G20.2",0,0,0,0,0,0,4,1,2,1,2,1,0,1,1,0,0,1,0,0,0,1,2,12
"TSNAX",1,3,3,0,1,5,22,3,4,18,15,11,2,25,2,1,3,2,1,2,3,5,0,24
"DISC1",0,0,0,0,0,3,3,0,1,1,1,0,0,0,0,0,1,0,0,0,3,0,0,7
"SIPA1L2",1,0,2,0,0,12,11,0,0,0,3,3,0,0,0,0,1,4,1,0,0,0,0,30
"MAP10",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"NTPCR",0,3,0,0,0,1,30,0,2,5,6,6,3,5,1,1,5,2,0,4,0,5,0,32
"PCNXL2",0,3,0,0,0,0,15,0,0,2,12,13,0,4,0,0,3,0,0,0,0,0,1,0
"RP5-862P8.2",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"KCNK1",0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,8,0,1,0,0,0,1
"RP5-827C21.4",0,1,0,0,1,0,3,1,0,4,6,5,0,1,0,1,3,3,0,0,1,1,1,0
"COA6",0,3,1,0,2,1,13,1,2,19,7,10,0,6,3,0,2,3,1,1,1,4,4,7
"TARBP1",0,1,1,0,0,2,11,2,1,10,2,3,0,5,2,0,0,2,0,0,0,0,2,8
"LINC01354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"IRF2BP2",5,19,9,3,1,8,82,18,17,93,126,98,2,85,41,4,33,13,2,3,12,4,36,29
"RP4-781K5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LINC01132",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-443B7.1",0,0,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"RP11-443B7.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-597N16.4",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOMM20",5,31,8,4,8,6,105,19,9,186,120,98,8,136,33,5,24,10,10,21,18,25,29,89
"RBM34",1,2,0,0,0,1,0,0,0,4,2,4,0,7,3,1,1,0,0,0,0,1,0,1
"ARID4B",1,43,6,7,4,7,156,50,22,155,160,145,6,149,47,17,62,12,7,9,7,45,46,163
"GGPS1",0,2,0,0,0,8,14,2,2,13,11,5,0,11,2,0,5,0,0,1,1,1,2,16
"TBCE",0,0,0,0,0,0,4,2,0,0,1,3,1,3,0,0,0,0,1,0,0,0,1,1
"B3GALNT2",0,3,0,0,0,0,12,0,0,9,4,3,2,6,3,0,2,2,0,1,0,1,0,2
"GNG4",0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
"LYST",0,41,3,13,8,7,23,9,8,35,42,56,7,48,14,4,7,0,1,1,10,2,17,33
"NID1",2,0,0,0,0,4,86,1,0,0,0,0,9,0,0,0,0,0,3,0,6,0,0,13
"GPR137B",6,4,4,1,1,4,33,3,1,6,15,27,4,6,7,1,8,0,1,0,2,9,7,8
"ERO1B",2,6,2,1,3,3,24,9,1,20,18,22,2,28,0,2,9,0,1,2,1,4,0,22
"EDARADD",0,2,0,0,0,0,2,1,5,0,13,4,0,0,1,0,3,0,0,0,0,0,3,0
"LGALS8",2,6,0,1,1,0,28,2,7,11,16,13,0,23,5,1,3,1,1,0,1,2,1,35
"LGALS8-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RP11-385F5.5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"RP11-385F5.4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEATR1",0,0,0,0,2,0,13,3,0,9,3,6,0,8,3,0,3,0,0,0,0,2,2,4
"ACTN2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTR",0,2,1,0,0,2,6,4,3,11,7,8,0,11,4,0,8,0,0,0,0,0,3,5
"RYR2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"MTRNR2L11",0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"LINC01139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-177F15.1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-544D21.2",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CHRM3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CHRM3-AS2",0,0,0,0,0,0,0,1,0,0,10,6,0,0,1,1,2,0,0,0,0,0,4,0
"FMN2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"GREM2",0,0,0,0,0,0,43,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"RGS7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FH",1,0,2,0,1,3,29,1,0,7,8,7,3,5,2,1,0,5,1,1,3,2,0,13
"KMO",0,0,1,0,0,0,1,0,0,4,0,0,0,7,0,0,1,0,0,0,3,2,0,0
"OPN3",1,1,4,0,0,2,4,0,0,9,0,0,1,8,0,1,0,1,0,0,4,0,0,2
"CHML",4,2,1,0,0,0,2,0,0,6,0,1,0,4,0,0,0,4,0,0,3,0,0,0
"WDR64",0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"EXO1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CEP170",1,0,1,2,0,4,17,0,1,16,1,2,2,15,0,1,1,0,0,1,1,3,2,9
"SDCCAG8",1,3,1,0,0,3,24,2,1,23,6,3,0,14,2,0,1,4,0,4,3,1,1,13
"AKT3",0,2,0,1,0,5,14,2,0,6,14,10,0,4,4,0,3,1,0,0,0,0,1,23
"ZBTB18",0,0,0,0,0,1,1,1,1,17,5,3,0,12,3,0,1,3,0,0,0,2,0,3
"RP11-518L10.5",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADSS",0,12,0,2,1,2,27,10,0,25,31,37,0,17,8,1,9,3,0,4,4,4,12,13
"C1orf101",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DESI2",1,2,0,0,1,0,49,2,0,18,20,16,2,25,1,4,4,3,2,2,3,4,3,16
"RP11-173A6.3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COX20",3,4,3,1,4,1,44,11,4,51,58,50,5,66,13,7,17,19,0,3,2,6,9,28
"HNRNPU-AS1",2,0,0,0,0,2,42,0,0,7,1,3,4,2,3,1,2,2,1,1,1,2,1,12
"HNRNPU",27,27,18,5,6,18,165,25,22,130,101,111,6,111,33,8,33,24,11,12,23,16,21,103
"RP11-11N7.4",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP11-156E8.1",0,1,0,0,1,0,1,0,0,5,1,1,0,4,0,0,1,1,0,0,1,0,0,1
"EFCAB2",0,1,0,0,0,0,5,0,1,6,6,10,2,7,1,0,1,1,0,2,1,0,3,4
"KIF26B",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
