"","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"CTD-2020K17.4",1,0,0,0,0,1,6,3,1,4,1,0,0,0,0,0,0,0
"MAP3K14-AS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SPATA32",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MAP3K14",1,4,0,6,1,1,7,9,1,4,0,0,4,2,1,1,1,1
"ARHGAP27",0,1,0,4,2,6,4,5,1,1,1,1,0,8,1,0,1,6
"PLEKHM1",4,2,0,4,3,2,14,9,5,11,2,3,5,6,2,0,2,3
"RP11-798G7.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RP11-798G7.6",0,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,1
"CRHR1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MAPT",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0
"KANSL1",6,0,1,10,4,4,20,14,1,18,2,1,5,4,3,1,3,4
"KANSL1-AS1",1,1,0,3,2,4,8,3,1,5,1,1,2,0,0,0,2,1
"ARL17B",0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0
"LRRC37A",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"ARL17A",1,0,0,0,1,2,7,3,0,3,0,0,0,0,1,0,2,2
"FAM215B",1,0,2,5,0,7,9,4,3,4,3,0,2,1,0,0,0,1
"NSF",1,0,0,3,2,1,2,2,2,2,0,0,0,3,0,1,2,4
"GOSR2",2,2,0,1,3,4,13,9,4,3,0,2,3,2,4,0,3,1
"CDC27",1,2,0,16,1,7,19,5,5,8,2,0,0,0,1,0,0,17
"MYL4",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"ITGB3",0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"EFCAB13",0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,1
"NPEPPS",5,5,2,14,2,13,12,8,8,12,1,1,4,4,1,0,2,4
"RP11-580I16.2",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"KPNB1",8,4,3,24,10,40,58,37,23,27,7,4,15,13,8,1,12,18
