"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells"
"CCDC113",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23
"GINS3",2,2,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,4,15
"RP11-481J2.3",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3
"NDRG4",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SETD6",2,2,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,8,58
"CNOT1",20,12,3,1,3,0,7,2,3,3,3,4,11,1,2,0,8,0,23,165
"RP11-481J2.4",0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,4
"AC010287.1",2,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,3,1
"SLC38A7",17,9,1,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,5,16
"GOT2",16,23,0,2,0,0,3,1,0,0,2,0,5,2,1,0,3,0,34,267
"RP11-430C1.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-368L12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"RP11-21L1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CDH11",1,293,0,0,1,0,0,0,0,0,0,0,0,0,16,0,1,0,0,1
"RP11-95H3.1",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00922",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00920",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,23
"TK2",13,18,0,2,1,0,1,0,0,0,1,1,0,0,0,0,3,0,10,21
"RP11-403P17.3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-403P17.4",0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,3
"CKLF",252,80,30,18,33,12,52,32,5,19,50,5,110,9,8,8,87,27,587,311
"CKLF-CMTM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"RP11-403P17.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"CMTM1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CMTM2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,1
"CMTM3",100,165,5,4,12,3,13,7,1,7,19,3,34,4,7,0,17,5,219,7
"CMTM4",1,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,89
"DYNC1LI2",22,87,1,0,0,1,3,0,1,1,7,2,6,2,12,0,4,1,30,112
"RP11-61A14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NAE1",14,42,4,0,1,4,1,3,0,1,7,4,13,7,11,0,5,0,43,231
"RP11-61A14.1",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,4
"CA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PDP2",2,5,0,0,1,1,0,4,0,0,3,1,7,1,0,0,1,0,5,16
"RRAD",23,135,0,0,0,0,4,5,0,0,3,0,9,1,7,0,15,0,24,63
"FAM96B",184,157,14,8,17,5,23,14,12,12,27,7,61,15,18,2,47,7,222,657
"CES2",5,11,0,0,3,2,3,3,2,0,1,1,5,3,2,0,2,0,9,92
"CES3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54
"CES4A",1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,8,43
"CBFB",24,24,2,5,2,0,8,5,3,3,5,6,13,2,3,1,9,6,89,67
"C16orf70",8,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,9,19
"B3GNT9",1,24,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,21
"TRADD",33,40,6,2,4,2,11,2,12,8,10,3,10,5,8,0,11,0,127,100
"FBXL8",1,5,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,3,23
"HSF4",1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,17
"NOL3",7,12,1,0,1,1,1,0,0,0,1,0,2,0,5,0,1,0,4,159
"KIAA0895L",2,7,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,35
"EXOC3L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
"E2F4",14,36,3,1,2,0,2,2,3,0,3,3,14,3,5,1,4,1,41,151
"ELMO3",2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,110
"LRRC29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"TMEM208",87,130,3,5,11,1,7,7,4,2,11,0,21,7,8,1,22,1,79,423
"FHOD1",9,13,0,0,0,0,4,1,0,0,0,0,3,0,7,0,4,0,14,48
"SLC9A5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PLEKHG4",2,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,32
"KCTD19",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"LRRC36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
"TPPP3",3,16,0,0,0,0,0,0,0,0,0,0,0,0,77,0,2,0,0,16
"ZDHHC1",0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,25
"HSD11B2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,105
"RP11-297D21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ATP6V0D1",166,72,1,6,3,2,9,2,2,2,13,3,22,8,15,2,43,4,67,230
"RP11-297D21.4",1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,9
