"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"KLF1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GCDH",18,61,1,1,2,8,0,2,1,1,9,2,1,0,1,0,0,10,1,2,3,6,36,7,4
"SYCE2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0
"FARSA",65,148,0,4,1,14,0,3,4,1,10,1,1,0,3,0,0,15,0,9,2,24,453,30,12
"CALR",853,2814,4,29,9,263,1,14,68,24,128,19,18,13,15,3,13,257,17,186,15,141,4465,522,76
"CTC-425F1.4",6,21,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,1,3,0,0,14,1,0
"RAD23A",305,671,3,10,5,79,4,8,16,8,34,6,3,7,14,1,4,98,9,73,17,89,1843,171,63
"GADD45GIP1",285,955,1,11,7,124,1,8,30,18,55,8,8,9,10,2,9,129,12,40,9,97,2161,262,63
"NFIX",6,159,0,0,0,67,0,0,5,0,0,0,3,0,0,0,0,12,0,0,1,1,252,3,13
"LYL1",57,4,0,2,0,0,0,0,2,8,1,0,0,0,0,0,0,1,0,12,2,4,10,46,1
"TRMT1",87,71,1,4,0,9,0,0,2,3,5,4,0,4,0,0,0,16,1,22,0,13,146,29,2
"NACC1",34,34,0,2,1,2,0,2,2,1,2,0,0,0,1,0,0,4,1,7,1,9,123,16,3
"STX10",109,298,0,7,2,35,1,6,8,3,19,4,2,2,4,2,3,36,2,21,3,36,280,71,16
"IER2",430,1764,9,39,5,413,7,16,43,19,79,8,5,23,44,10,1,102,37,213,19,167,1201,282,92
"CTC-250I14.6",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
