"","Transcriptomics","Final"
"4144",1,1
"4143",0,0
"4548",2,1
"4598",1,1
"8867",0,0
"3635",1,1
"3632",0,0
"3636",1,1
"27124",0,0
"3633",0,0
"56623",1,1
"3628",2,1
"3706",0,0
"3707",2,2
"80271",0,0
"51477",0,0
"8821",1,1
"3631",1,1
"2595",0,0
"84693",1,1
"4594",1,1
"80168",0,0
"116255",0,0
"4507",1,1
"10797",2,1
"56913",1,1
"91703",1,1
"443",0,0
"4668",1,1
"9498",0,0
"57282",0,0
"6528",1,1
"482",0,0
"476",2,2
"480",0,0
"483",2,2
"23439",0,0
"477",0,0
"481",1,1
"478",0,0
"6549",0,0
"6550",0,0
"6548",1,1
"84735",0,0
"55748",1,1
"6559",0,0
"57419",0,0
"123041",0,0
"9187",1,1
"25769",0,0
"124583",1,1
"79077",2,2
"9583",1,1
"1841",2,1
"4832",2,2
"4830",2,1
"29922",1,1
"10201",1,1
"4831",0,0
"4833",1,1
"57127",0,0
"6005",0,0
"6557",0,0
"6558",0,0
"349565",0,0
"64802",0,0
"23057",0,0
"10135",2,2
"4837",0,0
"5409",1,1
"4843",1,1
"4846",0,0
"4842",0,0
"4860",2,2
"6580",0,0
"55808",0,0
"30833",1,1
"5251",1,1
"56953",1,1
"4907",0,0
"6476",0,0
"5009",0,0
"5019",2,2
"64064",0,0
"1629",1,1
"594",1,1
"593",1,1
"26873",1,1
"4942",2,2
"7372",2,1
"10861",1,1
"1811",0,0
"1836",0,0
"1583",0,0
"1584",0,0
"1585",0,0
"1586",0,0
"1588",0,0
"1576",1,1
"1593",0,0
"1548",1,1
"1553",0,0
"1562",0,0
"1558",0,0
"1559",0,0
"1565",0,0
"1572",0,0
"51302",0,0
"64816",0,0
"1577",0,0
"1551",0,0
"10858",0,0
"66002",0,0
"8529",0,0
"4051",0,0
"9420",0,0
"1582",0,0
"5831",0,0
"5050",1,1
"5051",1,1
"5049",1,1
"5048",2,2
"7941",0,0
"347734",2,1
"57194",1,1
"5337",0,0
"5338",1,1
"130013",0,0
"5091",0,0
"5244",0,0
"5136",0,0
"5142",0,0
"5137",0,0
"5151",0,0
"50940",0,0
"5139",0,0
"5140",1,1
"27115",0,0
"5144",1,1
"5153",0,0
"5150",0,0
"5138",0,0
"8622",0,0
"5141",1,1
"5143",0,0
"10846",0,0
"5152",1,1
"5148",1,1
"8654",0,0
"5145",0,0
"5147",1,1
"5146",0,0
"5158",0,0
"5149",0,0
"1737",0,0
"5162",2,2
"5160",2,2
"5161",0,0
"55163",1,1
"10396",1,1
"5105",0,0
"5106",1,1
"8310",1,1
"5833",1,1
"10400",1,1
"26227",0,0
"5730",0,0
"27306",0,0
"9536",1,1
"80142",1,1
"5740",0,0
"114971",0,0
"9489",1,1
"5743",0,0
"5742",0,0
"6898",1,1
"5053",0,0
"5264",1,1
"5728",2,2
"8871",0,0
"8395",0,0
"8394",0,0
"23396",0,0
"5297",2,1
"55361",1,1
"5298",2,2
"5295",0,0
"23533",1,1
"5290",0,0
"5293",2,2
"5296",0,0
"8503",0,0
"5291",1,1
"5294",1,1
"10870",2,1
"4952",0,0
"23236",0,0
"5336",0,0
"5335",0,0
"5334",0,0
"5331",0,0
"257068",1,1
"84812",0,0
"5330",1,1
"23007",0,0
"51196",0,0
"5332",0,0
"113026",0,0
"5333",1,1
"89869",0,0
"5288",0,0
"5286",0,0
"5287",1,1
"200576",0,0
"5305",2,2
"79837",2,2
"5289",0,0
"5277",0,0
"51227",2,1
"8818",2,2
"9091",0,0
"5279",1,1
"5283",2,2
"123745",0,0
"8398",1,1
"64600",0,0
"81579",0,0
"100137049",2,2
"5322",0,0
"5320",0,0
"30814",0,0
"26279",1,1
"5319",0,0
"10654",2,2
"117283",0,0
"9807",1,1
"51447",2,2
"8876",0,0
"8875",0,0
"55350",0,0
"27068",2,1
"8613",0,0
"8611",0,0
"8612",0,0
"5498",1,1
"8288",0,0
"9588",2,2
"4353",0,0
"5625",0,0
"6578",0,0
"23761",2,2
"9791",2,2
"81490",1,1
"10005",1,1
"10965",1,1
"122970",0,0
"5805",2,2
"6303",2,2
"112483",2,2
"8566",1,1
"151531",0,0
"7378",1,1
"2944",1,1
"64080",1,1
"5959",0,0
"8608",0,0
"112724",0,0
"157506",1,1
"51109",2,2
"57665",2,1
"195814",0,0
"145226",0,0
"50700",0,0
"8228",1,1
"113278",0,0
"54981",2,1
"6482",1,1
"6484",0,0
"6483",0,0
"10090",0,0
"9653",1,1
"3423",1,1
"222537",0,0
"9957",0,0
"9951",0,0
"9956",0,0
"9955",0,0
"9953",1,1
"55501",0,0
"113189",0,0
"50515",2,1
"166012",0,0
"411",0,0
"23563",0,0
"4166",0,0
"10164",0,0
