"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"MLLT4-AS1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
"MLLT4",64,8,1,1,0,0,0,0,0,0,0,1,0,2,0,0,13,0,0,4,5,0,0,3,408,34
"KIF25",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FRMD1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,26,0
"SMOC2",0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,5,0
"RP3-495K2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LINC01615",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,1
"RP11-417E7.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"THBS2",8,273,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,22,0,0,1,0,0,4,1
"RP1-137D17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"WDR27",5,12,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,0,1,0,0,0,0,36,4
"C6orf120",47,15,0,4,1,4,0,0,0,0,0,2,0,1,0,0,3,0,3,3,3,0,0,4,99,2
"PHF10",64,22,1,0,1,2,0,0,0,0,1,1,1,2,0,0,1,0,3,4,4,1,0,4,113,13
"RP1-266L20.2",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"TCTE3",6,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,9,1
"ERMARD",11,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,3,14,0
"LINC00242",0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC00574",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"RP11-302L19.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP5-894D12.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DLL1",29,44,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,9,9
"FAM120B",16,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,31,3
"PSMB1",761,259,15,11,16,29,9,13,10,3,7,19,28,18,4,11,73,3,38,55,63,15,15,160,2119,74
"TBP",18,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,5,37,3
"PDCD2",148,31,6,1,4,8,4,6,3,1,1,8,7,17,2,1,24,0,11,9,15,6,2,56,490,11
"XX-C2158C12.2",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AC093627.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"AC093627.10",8,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FAM20C",164,72,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,11,0,6,0,0,0,38,1
"PDGFA",26,17,0,0,0,0,1,1,0,0,0,1,0,0,0,3,15,0,45,0,2,0,0,9,319,22
"HRAT92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,47,0
"PRKAR1B",64,5,0,0,4,3,1,0,1,0,0,4,2,0,0,0,4,0,2,1,3,1,1,22,130,8
"AC147651.4",77,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,1,3,0,0,7,1,4
"DNAAF5",17,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,3,2,0,0,0,1,84,3
"SUN1",37,30,2,0,2,1,1,3,0,1,0,3,0,6,0,1,11,0,4,4,3,1,0,6,292,21
"GET4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-449P15.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
"ADAP1",44,1,0,2,0,0,0,0,0,0,1,2,0,0,0,1,5,0,0,0,4,0,1,5,244,1
"COX19",65,26,6,1,3,5,2,1,1,0,2,10,2,5,3,1,8,0,6,5,3,3,3,37,134,6
"CYP2W1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
"C7orf50",300,61,3,8,8,11,5,4,5,0,5,10,10,11,1,0,15,2,17,11,19,3,2,48,392,31
"GPR146",11,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,7
"GPER1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2
"ZFAND2A",102,35,2,0,1,8,1,2,1,1,0,5,4,4,1,3,19,1,2,9,8,1,2,20,371,15
"AC091729.9",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,23,0
"MICALL2",29,50,0,1,0,1,0,4,0,0,0,0,0,0,0,0,7,0,6,2,1,1,0,4,222,9
"RP11-1246C19.1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
"INTS1",41,9,0,0,1,2,0,1,0,0,1,2,0,0,0,0,5,0,4,1,1,1,0,3,112,7
"MAFK",76,12,0,1,1,0,0,0,0,0,0,2,0,1,0,0,7,0,5,0,4,1,0,5,181,18
"TMEM184A",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,85,0
"PSMG3",151,68,2,1,1,6,1,3,2,1,0,6,5,4,1,2,12,2,10,6,4,4,0,21,380,12
"PSMG3-AS1",7,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,2,10,1
"ELFN1",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6
"ELFN1-AS1",4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,2,1,0,0,0,145,1
"MAD1L1",100,26,2,4,1,5,0,3,0,1,1,11,5,1,0,1,7,1,4,2,13,1,2,34,58,9
"FTSJ2",46,21,1,0,1,1,1,0,1,0,0,1,2,0,0,0,1,0,5,4,1,2,2,11,99,5
"NUDT1",221,48,9,7,8,8,1,5,3,0,0,7,9,6,0,1,7,2,8,2,15,9,6,32,243,9
"SNX8",183,13,1,1,1,0,1,3,1,0,2,1,2,0,0,0,5,0,1,3,12,2,0,6,104,2
"EIF3B",131,29,2,2,5,4,0,1,0,2,0,4,2,2,1,1,12,1,12,9,7,1,2,20,469,17
"CHST12",43,59,7,0,11,25,2,5,3,6,0,7,10,3,5,9,4,0,5,16,1,7,4,24,39,11
"LFNG",46,3,0,0,0,0,0,0,1,1,0,2,0,3,0,1,0,0,0,0,3,2,0,11,61,3
"BRAT1",40,11,2,0,0,2,0,2,1,0,0,1,0,0,0,0,1,0,2,1,2,0,0,8,51,3
"IQCE",33,7,0,0,0,0,0,1,0,0,1,2,0,2,0,0,1,0,1,1,1,0,0,4,57,1
"TTYH3",459,44,0,4,2,1,0,0,1,0,0,0,3,0,0,0,2,1,3,1,14,1,0,4,97,40
"AMZ1",10,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"GNA12",171,25,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,4,9,0,12,0,0,11,50,14
"CARD11",24,0,1,0,2,1,1,0,1,0,0,0,2,1,1,1,0,0,0,1,0,0,1,13,1,0
"SDK1",0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOXK1",36,19,2,0,1,2,1,1,3,0,0,4,0,5,0,0,4,0,1,2,2,1,0,10,61,13
"AP5Z1",42,9,0,1,0,1,0,0,0,0,0,1,3,2,0,0,1,0,0,0,4,0,0,8,61,3
"PAPOLB",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBAK-RBAKDN",15,7,1,0,0,1,0,1,0,0,0,1,1,1,0,1,3,0,0,1,0,1,0,9,17,0
"RBAK",11,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,32,2
"WIPI2",176,55,5,2,4,9,4,2,4,1,4,15,11,6,0,3,12,4,10,12,12,7,2,43,275,21
"SLC29A4",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
"TNRC18",41,21,1,1,0,3,0,2,1,0,0,1,1,1,0,2,2,1,2,0,2,1,0,10,84,6
"RP11-1275H24.2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RP11-1275H24.1",2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"RP11-1275H24.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FBXL18",4,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,10,0
"ACTB",37983,4545,583,1214,469,1318,152,153,271,177,152,1201,854,738,119,238,1561,59,1562,432,4119,671,551,4584,30042,2020
"FSCN1",76,76,0,2,0,0,0,4,2,0,0,0,0,1,1,0,1,0,11,0,1,0,0,3,28,72
"RNF216",39,18,1,1,0,7,0,0,0,0,1,1,3,6,1,2,2,0,2,2,2,2,0,17,68,2
"OCM",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CCZ1",78,26,3,2,1,6,3,0,1,0,0,7,9,6,2,0,7,0,2,4,5,2,1,27,140,13
"PMS2",12,7,1,1,4,1,0,0,1,0,0,0,0,2,1,0,0,0,3,2,1,0,1,2,41,5
"AIMP2",60,15,1,1,2,1,0,0,0,0,4,2,1,2,0,0,8,0,8,1,4,1,0,8,296,9
"EIF2AK1",137,19,1,4,6,9,2,5,1,2,1,8,1,4,0,1,12,0,5,9,8,4,0,37,291,10
"USP42",23,9,3,0,3,1,2,0,0,0,0,1,2,3,0,0,1,1,1,1,1,2,0,17,74,9
"CYTH3",19,13,2,0,0,1,0,0,0,0,0,2,3,1,0,0,2,0,9,0,2,0,0,3,21,2
"FAM220A",13,10,0,0,1,4,0,0,0,1,0,2,0,0,0,0,3,0,0,2,0,0,0,1,36,1
"RAC1",2453,497,9,31,15,24,7,26,17,3,2,29,19,33,4,9,213,6,139,38,149,11,9,195,3792,275
"DAGLB",27,3,2,0,1,1,2,0,0,0,0,2,0,0,1,0,1,0,1,0,0,1,0,6,37,8
"KDELR2",798,532,11,11,11,27,4,26,3,0,0,22,6,17,1,7,71,9,76,105,58,8,6,79,1627,79
"ZDHHC4",143,55,0,3,1,4,3,5,0,3,2,2,2,5,0,0,10,4,5,6,1,2,0,12,189,6
"C7orf26",30,16,1,0,1,1,1,0,0,1,0,2,3,3,0,0,2,0,4,2,3,2,1,11,68,13
"ZNF853",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"ZNF316",21,5,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,45,3
"ZNF12",9,18,2,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,2,0,3,0,0,3,60,3
"CCZ1B",88,28,1,4,2,2,1,0,2,0,1,1,2,4,0,1,4,1,8,4,6,0,0,9,125,10
"C1GALT1",58,10,2,0,0,5,0,0,0,2,1,13,4,9,0,2,19,0,1,5,4,1,2,18,376,1
"COL28A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP5-1159O4.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"RP5-1159O4.1",5,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,67,0
"MIOS",34,5,1,0,2,3,0,0,0,1,1,2,1,0,0,0,1,2,0,1,5,1,1,3,46,1
"RP5-1007H16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RPA3",264,49,7,4,11,15,6,2,4,0,3,16,8,10,0,1,16,0,7,20,12,14,14,47,598,13
"UMAD1",48,12,0,0,0,2,2,3,1,1,0,1,0,1,0,1,3,0,1,5,4,0,0,16,53,2
"AC009473.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"GLCCI1",36,5,4,0,2,2,0,1,2,0,0,6,2,1,0,0,0,0,1,6,2,1,0,31,13,4
"ICA1",45,0,0,1,1,0,2,1,2,0,0,5,0,2,0,1,23,0,0,0,1,4,1,81,296,11
"AC007009.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NDUFA4",1803,1004,53,41,31,78,15,32,23,16,16,76,47,71,13,5,201,23,96,112,135,27,27,387,4674,190
"RP5-855F16.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHF14",100,75,5,1,8,9,3,5,1,1,2,7,6,5,3,0,27,3,13,0,5,2,0,28,417,30
"THSD7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24
"AC004160.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM106B",83,36,2,0,0,1,0,5,0,0,1,2,4,3,1,0,7,0,6,5,3,2,0,8,287,12
"AC005281.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SCIN",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,24,1
"ARL4A",314,45,3,5,2,13,5,2,2,4,7,26,8,21,2,4,13,3,6,3,31,4,0,60,468,55
"ETV1",2,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,8,1
"DGKB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AGMO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MEOX2",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
"AC005550.3",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,128,1
"ISPD",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
"GS1-166A23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ANKMY2",16,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,1,0,50,0
"BZW2",92,24,3,4,0,2,0,2,1,0,0,4,5,2,0,1,12,2,5,9,5,1,1,8,370,13
"TSPAN13",29,4,0,0,2,0,0,1,0,0,3,1,0,1,0,0,16,36,2,19,2,2,0,25,398,27
"AGR2",236,46,8,2,1,5,3,4,3,1,2,9,2,7,0,1,421,1,4,19,21,0,2,28,13299,18
"AGR3",23,6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,58,0,2,1,1,1,0,8,1741,0
"AC003075.4",27,5,0,0,5,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,5,1,0,4,21,4
"AHR",344,30,1,2,1,2,0,2,1,1,0,9,0,2,0,0,7,0,5,0,14,10,1,21,173,20
"AC019117.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SNX13",50,16,1,0,0,4,2,0,0,0,1,1,1,2,0,0,2,0,0,2,5,1,0,4,67,8
"HDAC9",15,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,32,0
"TWIST1",6,84,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0
"TWISTNB",449,70,1,9,3,6,1,5,1,2,3,7,2,7,2,0,6,2,13,6,84,3,2,19,142,3
"MACC1",33,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,1,0,1,1,1,0,1,355,0
"AC099342.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTA-293F17.1",9,2,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,5,0,0,0,4,47,0
"ITGB8",46,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,9,0,0,3,146,0
"ABCB5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SP4",13,5,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,1,0,2,7,1
"CDCA7L",23,4,0,0,0,0,1,0,0,0,1,1,1,1,0,0,3,1,0,0,1,0,0,4,36,0
"RAPGEF5",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26,18
"STEAP1B",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC002480.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002480.4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC002480.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC073072.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"IL6",996,60,0,10,0,0,1,1,0,0,0,0,0,0,0,0,1,0,7,1,140,0,0,2,12,9
"TOMM7",1584,542,59,29,34,93,34,47,18,11,43,113,60,124,9,13,169,10,80,55,98,18,16,323,3322,108
"FAM126A",40,21,1,0,0,4,1,2,1,0,0,0,0,3,0,0,0,0,6,4,6,1,0,12,1,9
"KLHL7",43,17,2,1,2,3,2,2,2,0,0,3,0,3,0,1,7,1,2,3,3,1,0,10,100,3
"NUPL2",33,23,0,0,4,2,0,0,1,0,0,1,4,3,1,0,3,1,1,2,0,0,3,8,66,5
"AC005082.12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPNMB",1901,150,1,1,0,3,0,16,0,0,0,0,1,0,0,0,2,0,10,1,24,0,1,2,36,1
"MALSU1",77,44,2,1,2,4,2,0,0,0,0,9,2,2,1,0,15,0,12,6,2,1,0,16,368,7
"IGF2BP3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,0
"TRA2A",171,63,1,2,11,14,6,2,9,5,5,12,9,25,3,1,10,3,5,9,27,7,3,51,339,28
"CCDC126",25,8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,3,0,0,1,12,22,6
"FAM221A",7,0,0,0,0,2,0,0,0,0,0,1,1,2,0,1,3,0,0,0,0,0,0,4,55,0
"STK31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NPY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MPP6",10,7,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,41,2
"DFNA5",75,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,1
"OSBPL3",58,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,0,0,1,9,83,2
"CYCS",1370,195,35,41,33,68,24,10,12,7,8,59,38,43,7,12,145,6,53,103,159,12,26,223,3290,78
"C7orf31",9,2,0,0,1,0,1,0,0,0,0,0,2,3,0,0,1,0,2,0,1,0,1,2,5,0
"CTD-2227E11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
"NFE2L3",63,7,1,0,0,1,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,6,251,3
"CTB-119C2.1",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0
"HNRNPA2B1",1326,270,29,17,27,51,10,37,10,7,6,45,40,36,8,6,76,14,58,44,134,20,31,181,2523,123
"CBX3",433,159,7,8,8,13,2,9,5,2,3,16,14,16,0,2,30,2,24,18,34,12,13,84,1122,60
"SNX10",656,27,2,0,5,1,0,3,2,0,1,1,9,1,1,1,2,1,0,0,37,2,2,5,67,2
"AC004540.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AC004540.5",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"SKAP2",341,41,2,9,0,7,1,1,0,1,2,2,4,3,0,2,1,3,6,3,13,1,1,11,186,9
"HOXA1",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"HOTAIRM1",51,13,2,0,0,1,0,1,1,1,0,5,3,1,0,0,1,1,5,3,11,4,2,13,32,24
"HOXA2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HOXA3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0
"HOXA-AS2",1,13,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2
"HOXA4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"HOXA5",9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,4
"HOXA7",1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
"HOXA9",0,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,2,0,0,1,0,0,147,1
"HOXA10-AS",3,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0,1,0,1,0,0,0,100,2
"HOXA10",3,26,0,0,0,0,1,1,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,154,8
"HOXA11",1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
"HOXA11-AS",0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,1
"HOXA13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,48,0
"HOTTIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0
"RP1-170O19.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EVX1-AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"EVX1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"AC004009.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"HIBADH",79,20,1,1,1,2,0,3,1,0,0,3,0,2,0,0,14,0,4,2,4,0,1,11,226,3
"AC004549.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TAX1BP1",327,84,13,5,6,19,6,7,8,4,2,25,11,19,3,2,31,4,10,8,21,7,7,73,691,21
"JAZF1",58,23,1,5,1,5,3,4,1,1,2,6,4,7,1,0,0,1,6,1,5,2,1,27,4,8
"CREB5",171,10,0,8,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,1,8,0,0,1,70,5
"TRIL",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
"CTB-113D17.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPVL",328,3,0,9,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,20,0,0,2,18,2
"CHN2",14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,2
"PRR15",6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,1,1,0,0,0,316,1
"WIPF3",7,0,1,0,0,3,0,1,0,0,0,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0
"SCRN1",41,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,2,3,0,0,1,18,1
"FKBP14",14,34,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,4,42,1
"PLEKHA8",13,6,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,3,36,4
"MTURN",19,12,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,2,1,1,0,0,7,46,1
"ZNRF2",65,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,4,0,0,10,59,3
"LINC01176",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NOD1",7,3,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19,4
"GS1-114I9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"GGCT",240,88,1,6,0,5,0,13,0,2,0,4,1,5,0,1,26,0,15,10,16,2,2,18,777,38
"RP4-777O23.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GARS",105,41,2,3,0,5,3,1,0,0,0,3,3,2,0,1,18,0,5,15,11,2,1,26,357,7
"INMT",2,56,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
"FAM188B",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1
"AQP1",0,9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,165
"PPP1R17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PDE1C",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5
"LSM5",577,139,11,4,8,27,5,12,5,3,3,19,15,40,4,3,43,10,21,56,38,23,12,63,1367,44
"AVL9",42,14,0,0,1,2,0,0,1,0,0,3,0,1,0,0,4,0,0,1,2,1,1,2,132,6
"RP11-225B17.2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2
