"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RAB43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-434H6.6",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"ISY1",88,24,1,2,2,9,0,1,1,0,0,10,3,4,0,2,3,1,4,3,7,2,2,27,86,4
"RP11-434H6.7",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7,0
"CNBP",759,207,26,12,18,42,11,22,15,4,15,56,30,59,2,6,67,4,36,34,59,13,8,193,1407,54
"COPG1",92,32,1,3,1,2,0,1,0,0,0,1,1,3,0,3,9,0,8,10,1,1,0,6,285,7
"HMCES",45,10,0,0,1,1,1,0,0,1,0,3,3,9,0,0,6,0,7,9,1,0,3,20,151,5
"H1FX",181,76,3,3,5,3,0,7,2,1,0,6,6,3,1,1,11,7,17,25,7,7,3,31,375,48
"H1FX-AS1",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EFCAB12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MBD4",113,20,5,0,4,6,0,1,0,3,1,8,4,7,0,0,3,0,1,9,5,3,2,34,105,5
"IFT122",28,5,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,3,28,2
"PLXND1",328,20,1,1,2,2,0,0,0,0,0,5,0,0,0,0,2,0,17,0,14,0,0,2,66,76
"TMCC1",24,8,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1,0,1,1,0,2,78,6
"TMCC1-AS1",6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
