"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"NAMPT",140,10,132,3,2,21,1107,49,8,13,16,54,39,14,12,1,1,3,86,17,25,86,18,172,16
"RP11-22N19.2",0,0,1,0,0,1,31,2,0,0,2,2,1,0,0,0,0,0,3,0,2,2,0,3,0
"CCDC71L",1,0,2,0,1,3,242,2,2,2,2,5,1,1,0,0,0,1,10,3,0,1,1,18,0
"RP5-884M6.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3CG",2,4,1,1,0,0,2,1,0,0,2,4,2,2,2,0,1,2,0,0,2,1,0,1,0
"PRKAR2B",2,0,2,0,0,1,180,4,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,6,0
"HBP1",6,3,8,0,1,23,281,9,1,6,7,18,12,4,12,2,3,4,20,4,3,3,4,55,1
"CTA-363E19.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"COG5",1,0,1,0,0,2,23,1,3,0,0,6,2,0,2,0,0,1,9,0,1,1,0,6,0
"DUS4L",0,0,0,0,0,0,11,1,0,0,0,1,2,0,0,0,0,0,3,2,0,0,0,1,0
"RP4-593H12.1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"BCAP29",5,2,7,0,0,15,190,5,12,0,1,6,8,2,2,0,0,1,39,7,2,0,0,65,13
"SLC26A4-AS1",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC26A4",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002467.7",1,0,0,0,0,2,12,1,0,0,0,0,1,0,2,0,0,0,7,0,0,0,0,4,0
"CBLL1",0,1,1,0,0,1,24,5,2,1,1,5,2,2,2,0,0,1,21,0,1,0,0,10,1
"SLC26A3",11,1,0,0,0,6,30,5,0,0,1,6,0,1,2,0,0,0,289,1,2,0,0,3,2
"DLD",2,3,2,0,0,13,86,8,1,3,2,8,8,2,1,0,1,2,62,1,0,0,3,29,3
"LAMB1",0,0,1,0,0,3,199,0,1,0,0,1,1,0,0,0,0,0,11,1,0,0,0,39,0
"CTB-13F3.1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"LAMB4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NRCAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PNPLA8",11,3,12,3,4,6,118,4,3,20,7,24,25,7,8,0,1,5,35,4,1,15,3,52,5
"THAP5",2,0,0,0,0,4,44,4,2,0,0,5,4,1,0,0,0,0,7,2,4,0,0,10,6
"DNAJB9",15,10,11,4,2,10,235,28,1,22,5,50,28,2,11,2,3,10,37,8,60,3,3,112,4
"IMMP2L",0,0,0,0,0,2,60,2,2,2,0,2,3,0,2,1,0,1,14,1,1,0,0,8,3
"LRRN3",0,2,0,0,0,1,3,12,0,0,0,8,7,0,1,0,0,2,0,0,2,0,0,2,0
"DOCK4",2,0,1,0,0,1,22,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0
"ZNF277",3,2,2,2,0,0,58,0,4,2,1,7,5,0,4,0,0,0,26,0,3,3,1,14,2
"IFRD1",13,13,15,6,8,62,540,46,9,17,16,73,46,30,28,2,6,26,167,7,28,3,13,103,9
"LSMEM1",0,1,0,0,0,1,20,0,0,0,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0
"TMEM168",0,1,0,0,0,1,41,0,0,0,1,4,2,1,1,0,0,1,9,0,0,1,0,9,1
"C7orf60",0,0,1,0,0,1,19,1,1,0,0,0,1,1,1,0,0,0,3,0,0,0,0,3,2
"GPR85",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC00998",26,1,7,0,0,19,275,5,6,6,2,4,11,0,3,1,0,3,45,5,1,3,3,75,11
"FOXP2",0,0,0,0,0,0,64,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0
"MDFIC",1,0,3,0,0,1,56,3,3,0,0,11,5,1,2,0,0,1,6,0,3,1,1,13,1
"TFEC",3,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"TES",2,1,2,0,0,0,68,2,2,0,2,10,6,3,3,0,1,1,88,0,6,2,1,29,3
"AC002066.1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAV2",2,0,0,0,0,2,135,0,16,0,0,2,0,2,0,0,0,1,9,16,0,0,0,223,32
"CAV1",0,0,0,0,0,1,439,1,64,0,1,1,0,0,1,0,0,0,12,42,6,0,0,759,94
"MET",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,7,0
"CAPZA2",23,6,23,2,0,37,387,19,11,7,2,41,21,6,13,0,3,8,84,10,3,5,7,166,25
"ST7-AS1",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ST7",0,0,0,0,0,1,38,1,0,1,0,2,1,0,0,0,1,0,8,0,1,0,1,5,1
"WNT2",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CFTR",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0
"CTTNBP2",1,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
"LSM8",9,11,8,2,2,16,265,8,8,8,2,45,23,11,13,2,0,8,67,3,10,2,3,54,3
"KCND2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSPAN12",0,0,0,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,17,3,0,0,0,46,0
"ING3",4,1,4,0,0,2,55,8,3,0,6,9,5,7,5,3,2,2,17,1,2,1,2,16,0
"CPED1",2,0,2,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"FAM3C",6,5,4,0,0,33,385,36,25,1,3,11,14,6,1,0,0,5,41,6,11,1,0,50,7
"PTPRZ1",0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AASS",0,1,0,0,0,9,57,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0
"CADPS2",0,0,0,0,0,0,33,1,2,0,0,0,0,0,0,0,0,0,5,0,2,0,0,6,0
"RNF148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"IQUB",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDUFA5",8,8,4,3,1,23,346,24,13,3,6,52,33,3,9,3,2,12,132,10,5,2,6,74,19
"ASB15",0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"WASL",2,0,3,0,0,4,117,2,7,1,0,2,3,1,2,0,1,1,56,2,2,0,0,29,2
"RP11-390E23.6",0,0,0,0,0,3,33,1,0,3,0,0,0,0,0,0,0,1,15,0,0,0,0,14,1
"RP5-921G16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"GPR37",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"POT1",1,0,0,0,0,1,16,0,0,0,1,0,2,0,0,0,0,0,2,0,1,1,0,3,1
"POT1-AS1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GRM8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"ZNF800",4,5,6,0,1,3,72,3,0,0,1,20,13,1,1,0,0,2,28,0,2,0,1,18,3
"GCC1",1,0,0,0,0,0,25,4,0,1,1,6,7,1,2,0,0,0,3,0,0,0,0,9,1
"ARF5",7,2,10,2,1,16,250,21,7,4,3,26,21,1,11,1,1,3,78,2,0,6,4,39,8
"FSCN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"PAX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"AC073934.6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SND1",9,1,9,0,0,5,152,6,3,0,6,8,5,2,5,2,1,3,35,2,3,1,2,26,3
"SND1-IT1",1,0,0,0,0,4,15,2,2,1,0,1,4,1,0,0,0,1,10,0,4,0,0,1,0
"LRRC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RBM28",5,1,0,0,0,2,34,1,2,0,4,7,3,0,3,0,0,2,14,0,3,1,1,4,0
"PRRT4",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMPDH1",8,4,3,1,1,5,106,6,6,1,0,7,7,1,0,1,2,5,13,2,5,4,2,13,1
"HILPDA",0,0,0,0,0,4,37,0,0,0,0,0,1,0,0,0,0,0,8,0,2,1,1,4,2
"METTL2B",1,0,0,0,0,1,26,3,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,17,0
"RP11-212P7.2",0,0,1,0,0,0,16,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,6,0
"RP11-274B21.10",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"FAM71F2",0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"RP11-274B21.9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CALU",5,1,5,0,0,34,624,6,5,2,4,13,7,0,3,0,0,0,16,9,3,0,0,65,6
"CCDC136",0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FLNC",0,0,0,0,0,1,44,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,2
"KCP",1,1,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0
"ATP6V1F",91,11,73,1,6,24,621,31,28,36,10,58,67,6,13,2,4,12,86,2,15,23,7,114,9
"RP11-309L24.4",0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRF5",4,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,2,0
"RP11-309L24.10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNPO3",2,3,1,0,0,5,62,2,1,0,2,7,5,1,3,0,1,3,19,1,2,1,1,15,2
"TSPAN33",11,0,6,0,0,1,104,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0
"SMO",0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHCYL2",0,0,0,0,0,1,8,0,1,1,0,0,3,0,0,0,0,0,25,0,0,0,0,1,0
"STRIP2",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SMKR1",0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0
"RP11-448A19.1",0,0,0,0,0,3,16,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0
"NRF1",0,1,0,1,0,1,18,2,1,0,1,3,2,0,2,0,1,2,8,0,0,0,1,2,0
"UBE2H",6,4,2,0,1,6,134,3,2,2,5,13,13,4,2,2,1,3,37,2,6,1,0,30,7
"RP11-306G20.1",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2
"ZC3HC1",0,0,0,0,0,2,18,1,0,1,1,1,2,0,1,0,0,0,2,1,0,0,0,2,0
"KLHDC10",1,0,0,1,0,5,31,2,0,0,1,4,0,0,0,0,0,0,17,1,0,0,0,3,0
"RP11-775D22.2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMEM209",0,1,0,0,0,1,21,2,0,3,1,5,2,0,0,0,0,0,10,0,1,0,0,8,0
"CEP41",1,0,1,0,0,1,17,0,0,0,0,2,0,0,0,1,0,0,5,0,0,0,0,3,1
"MEST",1,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,32,2,0,0,0,12,0
"COPG2",0,0,1,0,0,3,21,0,0,0,0,1,0,0,0,0,0,1,10,2,1,0,1,4,1
"RP11-2E11.9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"TSGA13",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"KLF14",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-36B6.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC016831.7",3,12,4,3,2,2,70,44,0,0,15,85,52,14,15,0,2,10,0,0,23,0,7,8,0
"AC058791.1",4,3,4,1,1,2,24,12,0,0,3,22,10,0,4,0,1,0,10,0,3,3,0,7,0
"RP11-138A9.1",6,26,15,13,15,8,247,109,0,2,33,221,114,23,39,4,6,33,16,1,60,1,17,46,1
"RP11-138A9.2",3,19,9,6,9,7,138,87,1,5,18,162,69,22,26,5,7,28,14,3,39,0,5,11,0
"LINC-PINT",2,13,3,7,4,0,116,42,2,3,16,71,51,13,19,3,8,16,4,1,22,1,4,26,4
"MKLN1",1,1,0,0,0,11,72,5,2,0,0,9,3,0,2,0,0,4,11,3,1,1,0,14,1
"RP11-180C16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PODXL",1,0,0,0,0,0,7,1,5,0,0,0,0,0,0,0,0,1,4,0,1,0,0,173,0
"PLXNA4",0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"CHCHD3",9,3,4,0,1,11,172,7,4,0,4,7,1,0,4,0,0,2,59,5,2,6,1,27,4
"EXOC4",2,1,1,0,1,0,56,3,4,0,0,5,6,1,3,0,0,1,19,0,5,0,0,15,1
"SLC35B4",1,0,1,0,0,3,29,3,0,1,0,3,1,0,1,0,0,0,3,1,0,0,0,3,0
"RP11-38M8.1",1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKR1B1",32,3,17,2,3,24,539,17,1,4,5,18,16,8,7,1,1,5,16,1,4,6,3,41,4
"AKR1B10",0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0
"BPGM",0,1,2,1,0,21,109,4,1,2,3,9,3,0,5,0,1,6,5,2,1,0,0,21,2
"AC009276.4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALD1",2,0,1,0,0,33,3450,3,50,0,2,3,3,0,0,0,0,2,10,134,1,0,2,560,310
"AGBL3",0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"C7orf49",1,2,1,1,0,3,64,2,2,0,1,2,1,2,0,0,0,1,9,2,1,1,0,7,1
"TMEM140",3,1,0,0,0,5,77,5,7,0,2,1,0,1,1,1,0,1,0,1,0,0,2,44,0
"RP11-134L10.1",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"WDR91",2,0,0,0,0,0,11,0,1,1,0,2,1,0,0,0,0,0,2,0,1,0,0,3,0
"CNOT4",1,3,2,1,2,8,132,10,3,2,2,19,11,7,6,0,3,3,24,3,8,0,1,29,2
"NUP205",0,1,0,0,0,0,11,0,1,0,0,1,3,0,1,0,0,0,6,0,0,0,0,4,0
"C7orf73",15,6,27,3,1,7,498,22,8,13,7,40,18,5,2,3,1,9,83,1,2,7,3,44,4
"SLC13A4",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM180A",0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC015987.1",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTPN",8,4,8,1,1,10,223,13,10,4,3,12,12,4,10,1,2,6,40,2,1,8,1,83,5
"AC009784.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHRM2",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTN",1,1,0,0,0,0,1151,0,0,1,0,0,1,0,0,0,0,0,3,8,1,0,0,13,0
"DGKI",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090498.1",20,16,22,2,3,15,437,35,11,8,23,75,46,8,33,3,2,17,246,2,21,9,9,53,10
"CREB3L2",2,2,1,0,1,8,123,3,0,1,0,3,3,1,1,0,0,2,15,0,8,0,0,32,9
"TRIM24",0,4,0,0,0,2,26,1,0,1,0,1,0,0,1,0,0,0,12,1,1,0,0,8,0
"SVOPL",0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
"KIAA1549",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"ZC3HAV1L",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZC3HAV1",18,11,7,4,6,16,742,33,5,10,7,63,40,17,15,6,4,13,31,10,11,6,4,237,2
"TTC26",0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"UBN2",0,0,0,0,0,0,21,1,1,1,2,1,1,1,1,0,1,0,10,0,2,0,0,8,1
"C7orf55",2,0,2,0,0,14,122,1,3,2,1,2,5,1,0,0,0,0,71,0,5,0,0,14,4
"LUC7L2",4,5,3,0,0,22,166,10,5,0,1,19,14,3,7,1,0,1,30,1,5,1,0,37,6
"RP11-634H22.1",0,0,0,0,0,0,9,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"HIPK2",0,0,1,0,1,5,44,2,1,2,6,4,1,1,1,0,0,1,26,1,5,0,0,41,3
"TBXAS1",18,0,16,0,0,0,17,0,0,5,1,1,0,1,0,0,0,1,6,0,0,9,0,0,0
"PARP12",2,0,1,0,0,2,20,4,1,2,1,3,2,0,2,0,0,1,13,1,2,0,0,14,0
"KDM7A",4,0,10,0,0,0,29,1,0,1,3,4,1,1,5,0,1,0,18,0,1,2,1,12,1
"JHDM1D-AS1",2,0,6,0,0,0,10,0,0,0,0,1,0,0,0,0,0,1,23,0,0,0,0,0,0
"SLC37A3",1,1,0,0,2,2,108,2,0,0,2,2,3,0,1,0,0,1,20,0,1,1,2,5,2
"MKRN1",4,3,8,0,0,11,180,10,1,6,6,21,14,4,15,4,2,6,71,1,2,3,3,35,8
"DENND2A",0,0,0,0,0,3,43,0,1,1,0,0,0,0,1,0,0,0,38,0,0,0,0,5,0
"ADCK2",1,1,2,1,0,2,15,2,0,0,0,2,2,3,0,0,0,0,10,1,4,0,0,5,2
"NDUFB2",50,20,72,5,2,50,1023,62,22,8,10,131,75,12,23,7,9,33,489,23,32,24,17,174,46
"NDUFB2-AS1",0,0,0,0,0,0,4,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
"BRAF",4,4,3,1,1,3,31,11,2,1,3,11,13,4,3,0,1,3,8,0,6,0,0,18,2
"MRPS33",3,3,12,1,0,7,179,12,3,3,3,18,10,0,10,5,1,5,145,1,7,2,3,28,2
"TMEM178B",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGK",1,1,0,0,0,3,21,1,1,1,0,1,2,0,1,0,0,0,3,0,0,0,0,5,2
"RP5-894A10.2",0,0,0,0,0,0,7,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0
"KIAA1147",0,0,0,1,0,0,10,1,0,1,1,3,0,0,0,0,0,0,15,1,0,1,0,7,0
"WEE2-AS1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSBP1",7,7,12,2,1,26,465,41,11,8,13,60,29,10,19,4,1,9,145,4,13,4,8,99,22
"TAS2R4",0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"CLEC5A",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MGAM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"TRBV6-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TRBV7-2",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV14",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"TRBV19",0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTRNR2L6",0,0,1,0,0,0,28,0,0,0,1,1,2,0,1,0,1,0,26,0,2,0,0,0,2
"TRBV28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TRBC1",4,58,1,32,22,0,43,76,0,0,0,399,237,0,129,14,17,70,3,0,9,1,49,11,1
"TRBV29-1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"PRSS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TRBC2",1,88,1,11,24,4,66,179,0,0,6,386,484,15,125,28,5,87,18,1,17,2,55,14,0
"EPHB6",0,0,0,0,0,0,19,1,0,0,0,4,1,1,1,0,0,0,0,0,0,0,1,2,0
"TRPV6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GSTK1",25,26,40,6,4,39,457,62,15,9,12,126,110,4,38,4,5,24,282,11,15,15,13,102,9
"TMEM139",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"CASP2",1,0,0,1,0,1,14,1,0,0,0,3,2,4,1,0,1,0,8,2,1,0,0,5,1
"FAM131B",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-563K23.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC093673.5",0,0,2,0,0,0,29,7,0,1,0,3,4,0,1,0,0,0,8,0,0,0,0,4,0
"ZYX",16,4,10,0,0,1,222,10,3,0,1,7,10,0,1,0,0,4,38,4,1,4,1,44,11
"EPHA1",0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
"EPHA1-AS1",0,0,1,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
"TCAF2",0,0,0,0,0,0,9,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,2,0
"TCAF1",1,1,0,0,0,4,112,1,1,0,0,3,0,1,0,2,0,0,13,0,0,0,0,28,5
"ARHGEF35",1,0,0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,42,0,0,0,1,5,0
"RP4-545C24.1",0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"OR2A1-AS1",0,0,0,0,0,0,29,0,0,0,0,0,1,0,1,0,0,0,5,1,2,0,0,6,0
"ARHGEF5",0,0,0,0,0,3,12,1,0,0,1,0,0,0,0,0,0,0,28,0,0,0,1,2,0
"TPK1",4,0,2,0,0,0,26,1,0,1,0,2,1,3,2,1,0,0,11,0,1,2,0,8,1
"CNTNAP2",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0
"RP5-1136G13.2",0,0,1,0,0,2,12,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,4,0
"CUL1",3,1,2,0,0,1,66,2,1,1,3,9,9,0,7,0,0,2,16,3,1,1,2,17,5
"EZH2",2,2,2,1,0,2,24,3,0,0,0,2,6,2,1,0,1,1,24,1,0,0,1,7,0
"PDIA4",22,5,12,0,1,12,470,12,6,2,2,16,15,3,6,0,3,5,153,6,35,3,1,93,3
"ZNF786",0,1,0,0,0,0,8,2,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,4,0
"ZNF425",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ZNF398",0,1,1,0,0,0,14,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0
"ZNF282",0,0,0,0,0,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2
"ZNF212",0,1,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,4,1
"ZNF783",1,0,0,0,0,1,21,0,0,1,1,1,1,1,1,1,0,1,2,0,0,0,0,4,0
"ZNF777",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
"ZNF746",0,0,0,0,0,2,16,3,0,0,0,4,3,0,0,0,0,0,5,0,0,0,0,1,0
"KRBA1",0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0
"ZNF467",1,0,1,0,0,0,26,0,5,0,0,2,0,0,1,0,0,0,0,0,2,0,0,20,0
"SSPO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF862",0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0
"ATP6V0E2-AS1",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ATP6V0E2",2,0,3,0,0,13,49,3,0,0,1,22,13,0,6,0,0,3,2,0,0,1,3,2,3
"ACTR3C",0,2,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,1,9,0,0,0,0,0,0
"LRRC61",0,0,0,0,0,0,16,0,0,0,0,1,0,1,0,0,0,0,7,0,1,1,1,0,0
"ZBED6CL",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"RARRES2",7,3,2,0,0,119,4880,9,7,1,2,6,6,2,1,0,0,1,228,31,4,3,1,52,24
"REPIN1",1,0,0,0,0,11,78,3,3,0,2,2,1,2,2,0,0,2,76,0,5,1,0,20,1
"ZNF775",0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,4,0
"RP11-511P7.5",0,0,0,0,0,2,26,0,1,1,8,3,3,10,1,0,0,3,3,2,2,0,0,1,1
