"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"NBPF9",1,0,0,0,0,1,25,1,2,0,1,0,3,0,0,0,0,0,3,0,0,0,0,3,1
"CH17-189H20.1",3,9,5,2,1,22,273,29,2,5,2,23,27,2,8,0,2,9,5,4,9,1,0,9,6
"RP11-326G21.1",0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"NBPF19",2,1,3,0,1,0,35,2,0,1,0,3,2,0,1,2,1,0,21,0,1,2,1,2,0
"LINC00869",0,6,0,0,0,6,86,10,0,2,2,19,10,0,1,1,2,6,7,0,2,0,2,4,1
"FAM231D",0,1,0,0,0,0,8,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,3,0
"FCGR1A",13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"HIST2H2BF",0,0,0,0,0,1,14,1,0,0,0,1,2,0,0,0,0,0,2,0,3,0,0,0,0
"HIST2H3D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"HIST2H4A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIST2H2AA3",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"HIST2H2BE",1,2,1,0,0,2,22,1,1,0,1,6,2,2,1,0,1,2,8,0,6,5,1,8,3
"RP11-196G18.24",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HIST2H2AA4",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
"HIST2H4B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-196G18.23",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0
"HIST2H2AC",0,2,3,0,0,1,16,2,1,1,1,4,3,1,2,1,0,4,2,0,1,1,0,3,0
"HIST2H2AB",0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
"BOLA1",1,0,0,0,1,7,67,0,3,0,0,3,0,0,0,0,0,1,14,0,2,0,0,12,5
"SV2A",0,0,0,0,0,3,19,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
"SF3B4",2,4,2,0,0,6,113,23,5,3,4,22,14,3,8,0,2,3,38,3,4,2,4,13,4
"MTMR11",0,0,3,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,6,3
"OTUD7B",0,0,0,0,0,8,32,1,1,0,0,0,0,0,1,0,0,1,5,1,0,0,0,10,1
"VPS45",3,0,4,0,0,3,35,3,1,0,0,0,2,1,0,0,0,0,8,0,0,0,0,5,0
"PLEKHO1",10,2,16,1,1,12,74,9,1,0,3,8,9,3,2,1,0,4,3,1,5,1,1,27,7
"ANP32E",4,4,2,1,1,6,157,16,3,4,5,40,18,10,6,2,1,7,14,1,1,2,1,54,4
"APH1A",21,7,22,3,0,13,321,27,16,3,8,37,17,2,6,2,2,6,103,3,2,3,3,90,6
"C1orf54",29,0,24,0,0,0,116,0,0,0,0,0,2,0,0,0,0,0,6,9,0,1,0,59,7
"CIART",0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0
"MRPS21",19,10,8,3,0,15,636,18,18,10,11,38,28,2,16,5,1,10,70,6,13,6,10,91,14
"PRPF3",1,0,1,0,0,4,25,1,1,1,1,4,2,1,2,0,0,0,9,0,0,0,1,7,1
"RPRD2",0,3,0,0,1,0,49,0,3,0,1,4,1,0,1,0,0,2,14,0,2,0,3,10,0
"TARS2",1,2,1,0,0,1,19,2,0,0,0,1,2,0,1,0,0,2,5,0,1,0,0,5,0
"ECM1",0,0,0,0,0,51,965,1,0,0,0,1,0,0,1,0,0,1,4,7,1,0,0,16,0
"FALEC",0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
"ADAMTSL4",0,0,3,0,0,4,214,2,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,0
"MCL1",126,78,103,25,28,68,1665,183,16,77,52,462,305,55,81,15,39,70,364,27,142,37,20,407,25
"ENSA",24,20,24,8,4,18,497,57,19,10,25,99,84,11,29,3,4,20,153,9,24,9,9,102,18
"GOLPH3L",1,0,0,0,0,2,23,1,4,0,1,2,1,1,1,0,0,0,24,0,0,0,0,4,0
"HORMAD1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CTSS",161,14,158,2,4,1,238,22,2,4,15,24,21,19,21,3,6,6,171,0,13,60,4,66,1
"CTSK",3,0,0,0,0,11,1555,1,0,0,0,2,0,0,1,1,0,1,12,1,0,1,0,6,0
"ARNT",1,0,1,0,0,3,81,1,1,0,0,4,2,0,1,0,0,1,9,3,1,0,0,8,1
"SETDB1",0,0,0,0,0,2,16,0,1,0,1,1,1,2,1,0,0,0,8,1,0,0,0,4,0
"CERS2",6,4,2,1,0,32,186,14,8,0,2,18,14,2,6,1,1,2,31,1,2,2,0,45,6
"RP11-316M1.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-316M1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ANXA9",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM63A",1,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,4,0
"PRUNE",0,1,0,0,0,1,26,2,1,0,1,5,0,0,0,0,0,0,4,0,0,0,0,4,1
"BNIPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"C1orf56",10,4,8,3,0,6,115,24,1,4,0,26,21,10,12,0,7,7,11,1,2,2,2,24,0
"CDC42SE1",12,14,16,6,0,8,88,21,1,2,12,34,37,11,14,3,8,11,18,1,5,2,6,20,1
"MLLT11",2,0,0,0,0,5,25,0,0,0,0,1,1,0,2,0,2,1,0,0,1,0,1,2,2
"GABPB2",2,0,0,0,0,0,34,1,0,1,0,1,2,0,1,0,0,1,7,0,1,0,0,9,3
"SEMA6C",0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,16,2
"TNFAIP8L2",3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SCNM1",7,3,3,0,1,4,65,6,3,1,1,18,9,0,13,0,1,0,17,1,5,6,5,8,4
"LYSMD1",0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"VPS72",1,0,0,0,0,3,74,5,7,0,0,3,3,0,1,0,0,1,20,3,0,0,2,22,4
"PIP5K1A",1,2,1,1,0,2,32,2,1,0,1,5,3,1,0,0,0,2,12,0,0,1,1,7,1
"PSMD4",11,3,7,2,1,32,392,17,20,9,7,25,24,4,3,2,1,5,83,11,8,4,5,86,14
