"","GSM2859418","GSM2859446","GSM3045787","GSM3045788","GSM3319762","GSM3319763","GSM3319799","GSM3319800","GSM3319836","GSM3319837","GSM3319871","GSM3319872","GSM1414746","GSM1414747","GSM1414748","GSM1414749","GSM1414750","GSM1414751"
"10312",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"6817",1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1
"535",1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1
"127124",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
"523",1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1
"1376",0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0
"6799",1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1
"9060",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1
"8992",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9061",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"158",0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4363",0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1
"529",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6573",1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1
"146712",1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1
"528",0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1
"316",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"10678",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6571",1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
"6570",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"10331",1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
"51382",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"2348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90423",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1
"534",0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
"374907",0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"2352",0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1
"51606",0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
"11041",1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
"93010",1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"79369",0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"4125",0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"954",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"79814",0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
"53947",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"51146",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"28",0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"953",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
