"","GSM1621305","GSM1621306","GSM1621307","GSM1621308","GSM1621309","GSM1621310","GSM1621311"
"6541",0,1,0,1,1,0,1
"6543",0,0,1,0,1,1,1
"6515",1,1,1,1,1,1,1
"59272",0,0,0,0,0,0,0
"84889",0,0,0,1,0,0,0
"6517",1,0,0,1,0,1,0
"81539",1,1,1,1,1,1,1
"340024",1,0,0,1,1,1,1
"6513",1,0,0,1,1,0,0
"55089",0,0,0,0,0,0,0
"1718",1,1,1,1,1,0,0
"2538",0,0,0,0,0,0,0
"1581",0,0,0,0,0,0,0
"57818",0,0,0,0,0,0,0
"92579",0,1,1,1,1,0,1
"1373",0,0,0,0,0,0,0
"873",0,0,1,0,1,1,1
"11254",0,0,0,0,0,0,0
"57393",0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0
"84706",1,0,1,1,1,0,0
"1717",0,1,1,1,1,0,0
"2875",1,0,0,1,0,1,1
"8560",1,1,1,1,1,1,1
"10423",1,1,1,1,1,1,1
"123099",0,0,0,0,1,1,0
"92745",1,0,0,1,0,0,1
"10991",0,1,0,0,0,1,0
"1040",0,0,0,0,0,0,0
"11309",0,0,0,1,1,1,0
"8760",1,0,1,0,0,1,0
"284273",1,1,0,0,0,1,0
"6783",0,0,0,0,0,0,0
"1723",1,0,1,1,1,0,0
"10327",1,1,1,1,1,1,1
"10390",0,0,0,0,1,1,0
"56994",0,1,0,0,0,0,0
"1807",0,0,0,0,0,0,0
"64781",1,1,1,1,1,1,1
"1809",1,0,0,1,1,1,0
"8854",0,0,0,1,1,1,0
"1808",1,1,1,1,1,1,1
"10087",1,1,1,1,1,1,1
"23539",0,0,0,0,1,1,1
"6565",1,0,0,0,0,0,0
"9023",1,1,1,1,1,1,1
"224",1,1,1,1,1,1,1
"501",0,0,0,0,0,0,0
"2224",1,1,1,1,1,1,1
"1103",0,1,1,0,1,1,1
"29958",0,0,0,0,0,0,0
"60386",1,1,0,1,1,1,1
"223",1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0
"162466",0,0,0,0,0,0,0
"84920",0,0,1,0,1,1,1
"5130",0,0,1,1,0,0,0
"9468",0,0,0,0,0,0,0
"6579",0,0,0,0,0,0,0
"217",1,1,0,1,1,0,0
"219",1,0,1,0,1,1,0
"79087",1,0,0,1,1,0,1
"239",0,0,0,0,0,0,0
"6555",0,0,0,0,0,0,0
"6554",1,1,0,0,0,1,0
"26002",0,0,0,0,0,0,0
"1621",1,0,0,0,0,1,0
"8647",0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0
"7299",0,0,0,0,0,0,0
"55349",0,0,0,0,0,0,0
"6530",0,0,0,0,0,1,0
"246",0,0,0,0,0,0,0
"6531",0,1,0,0,0,0,1
"6581",0,0,0,0,0,0,0
"240",0,0,0,0,0,0,0
"231",1,1,1,1,1,1,1
"8574",1,1,1,1,1,1,1
"23600",1,0,1,1,0,0,1
"1119",1,1,0,1,1,1,1
"1120",1,1,1,1,1,1,1
"5224",0,1,0,1,0,1,1
"60482",0,0,0,0,0,0,0
"6582",1,1,1,0,0,0,1
"115286",1,1,1,1,1,1,1
"5223",1,1,1,1,1,1,1
"6584",0,1,1,1,0,0,1
"669",1,0,1,1,1,0,0
"271",1,1,1,1,1,1,1
"6820",1,0,1,1,1,0,0
"4597",0,1,0,1,0,0,0
"51071",1,1,1,1,1,1,1
"10948",1,1,0,1,0,0,1
"19",0,0,0,0,0,0,0
"272",0,1,1,1,0,0,0
"1806",1,1,0,0,0,0,0
"270",0,0,0,0,0,0,0
"7083",1,1,1,0,1,0,0
"290",1,1,0,1,0,1,0
"1118",0,0,1,0,0,0,0
