"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"LINC00969",16,12,7,7,2,5,12,5,86,7,1,1,9,2,81,26,16,5,22,48,2,4,0,2,8,4,0,17,24,81,41,7
"MUC20",0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,2,0,21,1,0
"MUC4",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,200,1,0
"TNK2",9,1,11,4,4,0,1,3,9,10,1,0,1,0,35,13,10,1,12,15,1,2,1,1,3,0,1,19,15,40,29,1
"TNK2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AC124944.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0
"RP11-352G9.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-480A16.1",0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0
"TFRC",54,4,8,11,1,2,1,0,8,12,1,2,0,0,32,16,6,0,7,15,0,1,0,1,1,2,3,18,26,172,6,0
"LINC00885",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"SLC51A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,2,0,0,0,0,2,1,0
"PCYT1A",15,7,6,7,0,1,1,1,24,6,0,0,0,2,24,11,7,3,5,22,2,0,0,0,4,1,3,6,11,38,40,5
"TCTEX1D2",1,2,5,3,4,0,0,3,17,1,0,0,0,0,17,9,6,0,4,9,2,1,1,0,3,0,0,29,6,10,19,3
"TM4SF19-TCTEX1D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TM4SF19-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"TM4SF19",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBXN7",9,14,6,2,2,1,2,2,28,2,3,0,0,1,28,13,5,0,6,14,0,0,0,0,1,0,1,16,12,14,23,2
"RNF168",8,5,10,7,3,2,4,5,40,3,1,1,3,2,36,11,13,0,10,17,4,2,1,0,3,2,0,19,14,15,39,1
"CTD-2002J20.1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WDR53",5,1,2,3,2,0,0,0,8,1,0,0,2,0,7,6,0,0,1,8,0,0,1,0,1,0,0,6,11,8,8,2
"FBXO45",2,1,0,1,0,0,0,2,5,2,1,1,0,0,1,1,2,0,0,1,0,1,0,0,1,0,0,1,3,18,8,0
"LINC01063",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,2,2,0,0
"NRROS",18,0,0,21,0,2,0,1,1,1,0,0,0,1,25,5,1,0,6,3,0,0,0,1,1,0,3,1,5,1,16,0
"PIGX",3,12,3,9,2,0,2,4,61,3,1,2,5,1,23,19,6,1,4,17,1,1,0,0,3,0,0,13,9,39,23,7
"CEP19",0,9,2,0,1,1,0,0,12,2,0,0,0,0,3,10,1,0,2,10,0,1,2,0,1,0,0,3,4,3,4,0
"PAK2",68,14,17,38,10,3,3,12,81,38,5,1,9,3,116,70,34,1,40,77,2,4,0,0,4,3,8,60,98,101,104,12
"SENP5",14,9,5,4,2,4,1,6,31,3,1,0,0,1,25,7,7,3,6,11,1,2,0,0,1,0,0,14,8,19,23,4
"NCBP2",31,23,13,28,6,4,3,3,91,14,1,0,3,5,96,38,18,1,28,66,3,4,2,1,9,3,0,64,46,120,82,7
"NCBP2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCBP2-AS2",17,21,7,9,5,4,2,3,64,14,5,0,3,2,46,26,21,2,22,31,1,3,0,0,3,5,3,29,19,90,49,11
"PIGZ",1,1,0,1,0,0,0,0,13,0,0,0,2,0,3,0,1,0,1,2,0,0,0,0,0,0,0,0,1,49,7,1
"MFI2",4,2,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,7,1,0
"MFI2-AS1",1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0
"DLG1",7,19,16,8,1,5,0,5,52,10,1,0,6,1,42,20,13,2,25,17,3,0,0,0,4,0,0,24,20,52,34,2
"DLG1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP13-616I3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"BDH1",12,8,6,9,4,1,1,3,26,8,3,0,1,2,42,20,13,0,10,36,4,0,2,0,2,0,1,13,16,97,15,2
"AC024560.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RUBCN",6,4,3,5,1,1,4,1,10,3,0,0,0,0,40,14,5,1,13,31,0,0,1,5,4,1,1,16,14,5,13,2
"FYTTD1",22,20,8,10,6,1,4,4,60,15,3,0,3,1,42,21,11,2,18,24,2,0,2,1,7,2,2,72,28,42,59,12
"LRCH3",10,11,7,7,0,1,4,4,44,7,2,0,1,0,34,7,6,1,13,23,2,2,0,0,3,0,0,30,9,23,22,8
"IQCG",2,3,1,5,0,0,1,0,7,4,0,0,0,0,7,3,3,0,4,3,0,1,0,0,0,0,0,4,5,4,6,0
"RPL35A",1191,1119,1314,1253,244,295,410,140,4878,1242,173,44,315,255,8860,3752,1810,135,2818,6363,338,170,86,146,346,155,203,2037,2279,4955,3430,593
"LMLN",1,4,1,0,0,0,0,0,10,1,0,0,0,0,0,3,0,0,1,2,0,0,0,0,1,0,0,0,4,4,5,0
"ZNF595",2,1,3,1,1,2,1,1,17,0,1,1,0,1,15,9,3,1,7,7,1,0,0,0,0,0,0,17,1,2,8,2
"ZNF718",0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,2,1,0,2,3,0,0,0,0,0,0,0,3,0,1,3,1
"ZNF141",3,1,1,3,0,0,0,0,6,4,0,1,0,0,17,3,2,0,4,8,1,1,0,0,1,1,0,14,5,5,4,3
"RP11-2H3.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF721",9,7,10,4,2,0,4,1,34,12,0,1,6,0,56,22,12,1,32,41,1,1,0,4,3,0,2,23,17,25,28,4
"PIGG",2,11,1,2,1,0,0,1,12,1,0,0,2,0,8,7,3,1,3,5,0,1,0,0,0,1,0,2,9,13,17,1
"PDE6B",1,0,0,0,0,1,0,0,6,1,0,0,0,0,9,4,2,0,5,7,0,0,0,1,0,0,0,2,7,1,1,1
"RP11-1191J2.5",2,0,2,0,0,0,0,0,3,1,0,0,1,1,4,2,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0
"ATP5I",250,135,87,132,52,32,27,33,603,105,11,4,31,35,375,200,123,40,136,222,13,10,2,13,59,23,25,304,225,1185,420,108
"MYL5",12,6,3,3,0,0,1,0,16,2,0,0,1,0,15,4,2,2,4,9,0,0,0,0,0,0,0,12,8,9,9,2
"MFSD7",18,8,0,5,0,0,0,1,16,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,1,4,19,0
"PCGF3",5,9,1,6,1,0,0,1,21,3,0,0,1,0,10,5,2,1,3,10,0,0,0,0,1,2,0,7,1,17,36,0
"RP11-440L14.4",0,0,1,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-440L14.1",1,2,1,2,0,0,1,1,4,1,0,0,0,0,3,5,2,0,3,4,1,1,2,0,0,0,0,5,5,1,6,1
"CPLX1",1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,2,6,72,0
"GAK",19,11,9,9,5,3,6,1,26,6,2,0,0,0,37,18,9,1,14,16,2,0,0,0,4,1,2,15,19,64,28,5
"TMEM175",14,7,2,4,0,3,1,2,34,7,0,1,2,0,27,10,7,2,13,13,0,1,0,0,1,1,2,6,7,18,13,2
"DGKQ",1,0,2,0,1,0,2,0,2,0,0,0,0,1,5,0,3,0,3,2,0,1,0,0,0,1,0,5,1,23,3,0
"SLC26A1",0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"IDUA",4,8,2,6,1,0,0,0,33,3,0,0,2,0,4,7,1,0,3,1,0,0,0,0,1,0,0,1,0,8,9,0
"FGFRL1",0,2,0,1,0,0,0,0,5,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,2,13,2,1
"RNF212",0,0,1,0,1,0,0,0,23,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,2,0
"SPON2",2,420,17,4,0,5,9,4,939,22,1,0,2,0,4,32,14,5,4,24,1,5,0,4,17,0,0,8,26,35,7,4
"RP11-20I20.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CTBP1-AS",0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,4,2,0,2,2,0,0,0,0,0,1,0,8,2,0,0,0
"CTBP1",25,21,10,20,1,2,3,4,74,11,2,0,2,2,40,22,10,1,22,18,2,4,0,4,4,1,3,26,22,78,46,7
"CTBP1-AS2",2,6,3,1,1,1,0,1,10,3,0,1,4,0,13,8,6,1,3,18,3,0,0,1,1,0,0,7,4,5,4,1
"MAEA",14,19,5,12,4,1,2,2,73,11,2,1,6,1,32,15,9,3,14,19,1,2,1,2,3,0,3,24,19,44,34,5
"UVSSA",6,1,2,2,0,0,1,0,6,2,1,0,1,0,1,5,3,0,2,3,1,0,0,0,2,0,0,2,3,8,3,1
"CRIPAK",3,0,1,0,0,0,0,0,3,0,0,0,0,0,4,1,0,1,2,2,0,0,0,0,0,0,0,1,0,3,2,1
"RP13-1016M1.2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-1398P2.1",5,4,3,4,2,0,0,0,10,1,0,0,1,0,9,6,7,0,6,13,1,0,0,0,0,0,0,3,7,6,13,0
"FAM53A",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLBP",28,22,12,17,6,14,4,6,87,12,3,0,2,2,54,31,23,4,22,40,2,3,2,1,11,4,3,171,31,31,45,14
"RP11-572O17.1",1,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0
"TMEM129",10,9,0,4,4,0,2,6,44,8,0,0,2,2,31,16,5,3,6,16,1,1,0,0,6,2,2,16,13,28,25,10
"TACC3",13,0,12,9,2,0,2,0,7,12,0,0,0,0,17,30,12,0,16,23,3,0,1,0,0,0,1,87,34,12,9,0
"FGFR3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0
