"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"CUL1",39,32,5,8,10,3,2,3,13,5,2,1,4,3,21,18,11,3,9,16,0,4,0,1,17,0,7,2,33,48,54,8
"EZH2",8,4,1,2,2,1,0,0,1,8,0,0,0,0,3,8,3,0,2,6,0,0,1,0,0,0,0,16,25,42,9,0
"GHET1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"PDIA4",168,181,10,28,16,0,6,1,84,8,3,2,11,5,24,29,11,0,12,24,0,2,2,7,30,13,9,27,60,217,117,7
"ZNF786",2,4,0,1,1,0,2,0,4,0,0,0,0,0,2,4,3,0,1,8,0,0,0,1,0,0,0,2,5,7,9,3
"ZNF425",1,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0
"ZNF398",7,6,0,2,2,0,0,0,5,1,0,0,1,3,3,5,1,0,1,1,1,0,0,1,2,0,0,3,6,10,10,1
"ZNF282",3,6,0,0,4,0,1,0,3,0,0,0,0,0,3,0,2,0,0,2,1,0,1,0,1,0,0,0,7,19,16,1
"ZNF212",1,8,2,2,2,0,1,0,8,0,0,0,1,0,4,5,4,0,1,1,1,0,0,0,3,0,1,1,7,6,11,2
"ZNF783",5,6,4,0,1,0,0,0,8,0,0,0,0,1,7,7,1,1,2,2,1,0,0,0,4,0,0,0,4,11,4,1
"RP11-143I21.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZNF777",2,2,1,1,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,5,3,0
"ZNF746",6,8,0,2,0,0,0,1,8,0,0,0,0,0,6,4,1,0,0,4,0,0,0,0,0,0,0,0,4,12,13,2
"KRBA1",3,3,1,0,0,1,0,1,3,1,0,0,0,0,1,1,4,0,1,3,0,1,0,0,3,1,0,0,3,1,1,2
"ZNF467",21,2,0,9,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,2,1,0,0,1,1,0,2,0,0,0,92,1
"SSPO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF862",0,3,0,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,1,5,0,0,0,0,0,0,1,0,2,3,1,0
"ATP6V0E2-AS1",2,0,0,0,0,0,1,0,2,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP6V0E2",23,8,11,3,19,2,5,2,22,19,4,4,0,0,13,43,29,1,2,55,3,1,4,0,2,0,1,9,66,12,11,4
"RP11-728K20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"ACTR3C",7,5,0,0,1,0,0,0,2,1,0,0,0,1,5,7,4,0,1,1,0,0,0,1,1,0,1,1,6,16,0,0
"LRRC61",24,20,1,1,9,0,0,4,14,6,0,1,1,1,9,4,5,0,1,2,2,0,0,1,3,0,1,3,34,58,1,0
"ZBED6CL",2,5,0,1,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0
"RARRES2",19,3996,5,1,4,1,2,43,1517,2,1,0,14,1,16,6,9,54,0,10,0,0,0,2,102,0,3,3,9,48,15,49
"RP4-584D14.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"REPIN1",63,51,4,19,3,1,3,3,21,9,1,1,4,3,34,10,5,5,8,16,0,1,0,10,15,1,2,2,22,193,60,8
"ZNF775",1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,4,4,0
"RP11-511P7.5",2,17,4,0,3,1,4,1,7,2,0,0,0,0,15,18,13,2,8,11,0,0,0,1,1,0,0,2,16,32,10,1
"LINC00996",58,0,0,2,0,0,0,0,0,0,0,4,0,2,5,0,0,0,2,0,0,8,1,14,0,0,0,0,0,0,0,0
"GIMAP8",39,3,5,5,2,0,0,0,0,2,1,0,4,0,0,10,3,0,0,10,1,0,0,0,0,0,3,0,4,0,69,0
"GIMAP7",208,3,123,13,45,21,59,1,2,46,13,4,27,1,4,228,192,0,1,193,11,9,11,0,5,0,7,1,87,9,499,0
"GIMAP4",320,5,121,30,42,28,59,0,1,48,9,2,16,1,1,223,175,0,2,204,12,16,17,0,3,5,21,0,84,15,369,1
"GIMAP6",74,1,15,3,9,5,8,0,0,18,2,4,10,1,3,48,37,0,0,33,2,8,2,0,0,0,2,1,23,4,160,0
"GIMAP2",90,13,35,8,18,15,16,2,11,21,2,2,1,0,24,103,62,1,3,102,8,7,3,0,2,1,10,0,58,30,51,0
"GIMAP1",131,2,39,11,7,15,29,2,2,12,12,2,17,0,3,106,78,0,2,107,9,4,3,0,0,2,8,0,45,7,242,0
"GIMAP5",9,0,3,1,2,1,3,0,0,1,0,0,3,0,0,8,5,0,0,6,1,1,0,0,0,0,0,0,2,0,9,0
"TMEM176B",1761,1314,4,62,2,0,4,73,405,4,2,0,1,37,18,7,6,6,5,8,0,0,0,0,14,1,32,3,9,880,19,2
"TMEM176A",936,959,2,24,4,0,3,43,313,2,0,0,0,9,20,6,4,5,0,19,0,0,1,0,19,0,30,0,7,1092,23,3
"AOC1",17,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,157,2,0
"KCNH2",1,2,0,0,0,0,1,1,1,0,0,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"NOS3",1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,4,1,0,0,2,0,1,0,0,1,0,0,0,3,22,98,0
"ATG9B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,9,0,0,0,0,0,0,0,0,2,4,1,0
"ABCB8",13,13,2,1,5,0,2,0,23,2,1,0,0,2,12,9,4,1,2,8,2,2,0,0,3,1,0,1,17,39,17,4
"RP11-148K1.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASIC3",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CDK5",37,19,3,4,5,1,0,0,13,7,0,1,3,4,4,5,5,0,5,6,0,0,0,0,3,0,2,0,17,37,32,1
"SLC4A2",34,42,5,6,7,1,1,1,24,3,0,2,1,6,4,10,4,4,2,4,1,0,1,2,8,1,0,1,24,58,36,4
"RP11-148K1.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FASTK",44,71,12,14,21,3,1,1,48,12,0,0,5,3,46,37,23,1,8,32,0,3,2,3,21,1,1,4,44,100,59,4
"TMUB1",66,33,14,16,16,3,5,2,17,5,1,0,2,2,52,27,24,3,10,26,5,1,1,4,4,3,1,6,53,145,31,6
"AGAP3",37,23,3,5,3,0,0,0,15,1,0,1,0,1,1,4,0,0,0,3,0,2,1,1,0,0,2,0,2,46,25,2
"ABCF2",21,45,3,14,6,1,3,1,10,5,1,0,0,2,18,14,9,5,3,7,0,1,0,1,10,0,0,4,31,77,45,4
"CHPF2",18,39,7,8,2,0,0,0,16,2,0,0,1,1,13,11,6,0,2,9,1,1,1,0,6,0,2,2,22,23,26,3
"SMARCD3",3,34,1,0,0,3,1,0,23,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,9,0,1,0,1,2,3,10
"RP4-548D19.3",0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,3,5,0
"NUB1",100,83,14,19,11,6,5,7,46,12,2,3,2,2,41,33,19,3,12,32,0,1,1,1,10,0,4,7,51,130,72,10
"WDR86",0,6,0,0,0,0,0,2,8,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"CRYGN",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHEB",305,224,21,41,18,1,8,10,132,17,0,3,12,7,53,39,31,18,8,34,1,0,2,8,60,0,16,7,82,447,225,40
"PRKAG2",41,14,5,6,13,2,0,0,19,10,3,0,3,1,31,21,20,3,6,17,0,1,0,0,6,0,2,0,24,23,20,7
"PRKAG2-AS1",24,7,1,3,1,0,0,0,9,3,1,0,0,1,8,6,7,0,4,4,1,0,1,0,0,1,0,0,8,2,3,0
"GALNT11",29,59,1,0,5,2,2,1,48,5,1,1,2,2,12,11,16,1,1,16,0,1,3,2,12,0,0,0,11,19,52,6
"KMT2C",54,50,18,11,14,3,8,3,38,11,1,1,5,1,51,35,28,1,9,33,2,4,0,2,10,0,7,8,37,70,59,5
"LINC01003",6,6,3,5,1,0,0,0,3,2,0,0,0,1,13,5,4,0,2,6,2,0,1,0,1,0,0,4,6,60,19,2
"XRCC2",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
"ACTR3B",1,6,1,0,1,2,0,0,1,1,0,0,0,0,5,0,4,0,4,0,0,0,0,0,0,0,2,0,2,18,4,0
