"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CD93",141,0,1,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,19,0,0,0,0,7,301
"RP5-851M4.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"NXT1",53,27,27,25,4,5,5,7,7,20,4,1,35,98,36,12,68,4,10,9,1,14,25,36,13,4,7,6,50,752,48
"LINC01431",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,18,0
"GZF1",21,2,1,8,0,3,1,0,1,0,0,1,14,11,6,4,6,0,0,1,0,2,1,3,9,2,0,1,1,55,3
"NAPB",2,1,1,0,3,0,0,0,0,1,0,1,3,5,0,0,1,0,1,1,0,1,1,3,0,0,0,0,2,36,1
"CSTL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CST3",3809,473,18,1521,7,5,4,276,7,23,2,1,30,81,26,9,47,4,9,7,42,336,332,57,585,5,0,0,33,15055,591
"RP11-218C14.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CST1",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"CST2",0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"SYNDIG1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-568C11.4",0,0,2,0,0,1,0,0,0,1,0,0,0,5,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,115,0
"CST7",91,4,301,61,89,191,117,0,9,157,4,0,1,278,319,0,47,15,131,84,1,18,3,0,18,0,14,83,236,185,3
"APMAP",89,38,32,26,9,11,5,10,5,29,2,1,8,82,50,1,31,1,15,10,1,9,25,19,9,0,1,13,38,1230,40
"ACSS1",14,0,6,4,5,1,3,1,0,8,0,0,9,20,11,3,13,1,3,1,1,1,7,11,2,0,0,1,14,266,7
"RP5-1025A1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"RP4-738P15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENTPD6",26,2,3,10,0,1,2,2,0,2,0,0,2,23,1,2,12,0,1,0,1,0,8,9,2,1,1,2,6,634,5
"RP5-965G21.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"RP5-965G21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PYGB",14,7,0,5,1,0,0,0,1,0,0,0,2,3,2,0,4,1,0,3,2,2,2,7,3,1,0,1,7,258,16
"RP5-965G21.6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ABHD12",130,7,3,15,1,1,3,3,0,7,0,1,6,13,3,0,4,1,3,0,2,3,10,8,4,0,0,1,11,727,19
"GINS1",8,3,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,85,2
"NINL",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,5
