"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"HNRNPD",8,9,5,1,20,220,40,27,28,64,21,10,23,28,5,8,5,132,3,5,10,2,204,12
"RP11-127B20.3",0,0,0,0,2,9,0,2,3,8,2,1,4,3,0,0,0,4,0,0,0,0,15,0
"HNRNPDL",8,46,12,24,80,716,178,43,249,430,190,20,176,207,16,21,54,207,6,13,17,33,374,50
"ENOPH1",2,5,0,1,16,59,9,8,10,15,6,3,7,9,0,1,0,22,1,0,2,1,30,4
"TMEM150C",0,0,0,0,1,83,0,2,1,0,0,3,0,0,0,0,0,5,0,0,0,0,67,1
"SCD5",1,1,0,0,2,51,2,0,0,2,0,2,0,0,0,0,0,1,2,0,0,0,17,3
"SEC31A",0,1,3,2,15,152,10,7,17,46,15,7,6,14,0,1,6,57,3,3,4,3,76,3
"THAP9-AS1",1,2,2,0,2,29,5,5,13,17,10,0,6,8,0,5,3,28,0,2,2,3,29,2
"THAP9",0,0,0,0,0,6,2,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,4,0
"LIN54",0,0,0,0,2,8,2,0,1,4,1,0,0,2,0,2,0,4,0,0,0,0,7,0
"COPS4",1,4,1,1,3,118,10,12,10,15,13,4,8,9,1,4,0,35,1,0,3,4,57,5
"PLAC8",1,9,10,3,1,18,5,0,47,176,21,0,33,99,9,15,9,212,0,2,0,1,6,1
"RP11-576N17.5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COQ2",0,0,3,2,0,17,3,5,20,22,12,0,13,8,0,3,2,45,0,1,0,3,11,0
"HPSE",1,0,0,0,0,4,4,0,1,7,0,0,1,1,1,0,0,5,0,0,0,1,1,0
"HELQ",3,1,0,0,2,31,3,0,11,13,5,1,6,7,0,0,1,8,1,1,3,2,13,1
"MRPS18C",4,5,0,0,22,109,12,5,17,19,9,1,7,9,0,2,3,93,1,0,3,5,86,9
"FAM175A",0,2,0,0,2,50,5,0,6,11,3,1,3,13,0,0,1,12,2,1,2,2,16,2
"GPAT3",3,0,5,0,0,17,4,4,2,7,2,0,1,4,0,0,0,17,0,0,0,0,2,0
"CDS1",0,0,0,0,0,8,0,0,0,2,0,0,0,1,0,0,0,36,0,0,0,0,2,0
"WDFY3",1,0,1,0,1,20,0,0,1,2,0,1,0,0,0,0,0,7,1,0,0,0,27,2
"ARHGAP24",2,0,2,0,16,90,0,0,127,0,0,10,34,0,0,0,0,2,0,0,1,0,14,2
