"","GSM2359397","GSM2359398","GSM2859440","GSM2859469","GSM2859498"
"9058",0,0,0,0,0
"6576",1,1,1,1,0
"1159",0,0,0,0,0
"548596",0,0,0,0,0
"1160",1,0,0,1,1
"1158",1,0,1,1,1
"1152",0,1,0,0,0
"5172",0,1,0,1,0
"65010",0,1,1,1,0
"54675",1,0,1,0,0
"10559",1,0,1,0,1
"55907",1,1,1,1,1
"8034",0,1,1,1,0
"8824",1,1,1,1,1
"51805",1,0,0,0,1
"51004",0,1,1,0,0
"10229",0,1,0,1,1
"2650",1,0,1,0,1
"9245",0,0,0,0,0
"51301",1,1,1,1,1
"192134",0,0,0,0,0
"386757",0,0,0,0,0
"6535",1,0,0,1,1
"1384",1,0,1,0,0
"6583",1,0,0,1,1
"1431",1,1,1,1,1
"54677",1,0,1,1,0
"8140",0,1,1,1,0
"23428",1,0,0,1,1
"1036",0,1,0,1,0
"23657",1,0,0,0,0
"57379",0,0,0,0,0
"978",1,0,0,0,0
"7371",0,1,0,1,0
"83549",1,1,1,1,0
"51727",1,1,1,1,1
"129607",0,1,0,1,1
"160851",1,0,0,1,0
"8526",1,0,0,1,0
"1606",1,1,1,1,1
"8527",1,1,1,1,1
"1607",0,0,0,0,0
"1608",1,0,1,1,1
"1609",1,1,1,1,0
"8525",1,1,1,1,1
"9162",0,0,0,0,0
"1610",0,0,0,0,0
"51022",1,0,0,1,0
"2745",1,0,0,0,1
"8528",1,0,1,1,1
"10455",1,0,0,0,1
"1632",1,0,0,1,0
"1633",1,1,1,1,1
"1638",1,0,1,0,0
"6319",0,1,1,0,0
"9415",0,1,0,1,1
"3992",0,1,1,0,1
"8694",1,0,1,0,0
"84649",1,0,0,0,1
"1716",1,1,1,1,1
"6513",1,1,1,1,1
"6517",0,0,0,0,0
"6515",1,1,1,1,1
"1718",0,1,1,0,1
"1581",0,0,0,0,0
"1717",0,1,1,0,1
"8560",1,1,1,1,1
"123099",1,0,0,1,1
"11309",0,0,0,0,0
"6783",0,0,0,0,0
"1723",1,0,1,0,1
"1809",0,0,0,0,0
"1808",1,0,0,1,1
"1807",0,0,0,0,0
"23539",0,1,1,0,1
"2224",1,0,0,0,1
"29958",1,0,0,1,0
"60386",0,1,0,0,1
"84920",0,1,0,1,0
"79087",0,1,1,1,0
"26002",0,1,1,1,1
"1621",0,1,0,1,1
"7299",0,0,0,0,0
"6530",0,0,0,0,0
"6581",1,0,0,1,1
"669",0,1,1,1,1
"5224",0,0,0,0,0
"5223",1,1,1,1,1
"4597",0,1,1,1,1
"51071",1,0,0,0,1
"1806",1,1,1,1,1
"7083",1,0,0,0,1
"7084",1,0,0,1,0
"1854",1,1,1,1,1
"3704",1,1,1,1,1
"10682",0,1,0,0,1
"1892",1,1,1,1,1
"549",1,0,0,1,0
"1962",1,0,1,0,0
"1891",1,1,1,1,1
"11001",0,1,1,0,1
"28231",0,1,0,1,1
"53919",0,0,0,0,0
"10257",1,0,1,0,0
"28232",0,1,1,1,0
"2109",1,0,0,1,1
