"","ImmProt_T8.CM_01","ImmProt_T8.CM_02","ImmProt_T8.CM_03","ImmProt_T8.CM_04","ImmProt_T8.CM_01_activated","ImmProt_T8.CM_02_activated","ImmProt_T8.CM_03_activated","ImmProt_T8.CM_04_activated"
"51733",NA,NA,NA,NA,NA,NA,NA,NA
"7108",0,0,1,1,0,1,0,0
"50814",0,0,1,1,1,0,1,0
"3295",1,0,1,1,1,1,1,1
"6307",1,1,0,1,1,0,0,0
"493",1,0,1,0,1,1,0,1
"492",1,1,0,1,1,1,0,1
"491",NA,NA,NA,NA,NA,NA,NA,NA
"490",1,0,0,1,0,0,0,1
"847",1,1,1,1,1,1,1,1
"6543",NA,NA,NA,NA,NA,NA,NA,NA
"6547",NA,NA,NA,NA,NA,NA,NA,NA
"6546",0,0,0,0,0,0,0,0
"166785",1,1,0,0,1,0,1,1
"2538",NA,NA,NA,NA,NA,NA,NA,NA
"92579",1,1,1,0,1,1,0,1
"1373",0,0,0,0,0,0,0,0
"873",1,1,1,1,1,1,1,1
"10423",1,0,1,0,1,1,0,1
"8760",0,0,0,1,0,0,0,1
"1040",NA,NA,NA,NA,NA,NA,NA,NA
"56994",0,1,0,1,0,0,0,0
"10390",0,1,0,1,0,1,0,1
"64781",0,0,0,0,0,0,0,0
"10087",1,0,0,1,0,0,1,1
"6565",NA,NA,NA,NA,NA,NA,NA,NA
"9023",NA,NA,NA,NA,NA,NA,NA,NA
"1103",NA,NA,NA,NA,NA,NA,NA,NA
"162466",1,1,1,1,0,0,1,1
"9468",NA,NA,NA,NA,NA,NA,NA,NA
"5130",1,0,1,0,0,0,0,1
"6579",NA,NA,NA,NA,NA,NA,NA,NA
"6555",NA,NA,NA,NA,NA,NA,NA,NA
"6554",NA,NA,NA,NA,NA,NA,NA,NA
"55349",0,1,0,0,0,0,0,0
"1120",1,0,1,0,1,1,0,1
"1119",NA,NA,NA,NA,NA,NA,NA,NA
"60482",NA,NA,NA,NA,NA,NA,NA,NA
"6582",NA,NA,NA,NA,NA,NA,NA,NA
"6584",NA,NA,NA,NA,NA,NA,NA,NA
"6820",NA,NA,NA,NA,NA,NA,NA,NA
"10948",0,0,1,1,1,0,1,1
"19",0,1,0,0,1,1,0,1
"1118",1,0,1,0,0,0,1,0
"27159",NA,NA,NA,NA,NA,NA,NA,NA
"54682",NA,NA,NA,NA,NA,NA,NA,NA
"9058",NA,NA,NA,NA,NA,NA,NA,NA
"6576",1,1,1,1,1,1,1,1
"1159",0,0,1,1,0,0,0,0
"548596",0,0,1,1,0,0,0,0
"1160",NA,NA,NA,NA,NA,NA,NA,NA
"1158",0,0,0,0,1,0,0,0
"1152",1,1,1,1,0,0,1,1
"5172",NA,NA,NA,NA,NA,NA,NA,NA
"65010",NA,NA,NA,NA,NA,NA,NA,NA
"54675",NA,NA,NA,NA,NA,NA,NA,NA
"10559",1,0,0,1,0,0,1,1
"55907",1,1,1,1,1,1,1,1
"8034",0,1,1,1,1,1,0,0
"8824",NA,NA,NA,NA,NA,NA,NA,NA
"51805",0,0,1,0,0,1,0,1
"51004",0,1,0,1,0,1,0,1
"10229",0,1,0,1,1,1,0,0
"2650",1,1,0,0,0,1,1,1
"9245",NA,NA,NA,NA,NA,NA,NA,NA
"51301",0,0,1,0,1,0,0,0
"192134",NA,NA,NA,NA,NA,NA,NA,NA
"386757",NA,NA,NA,NA,NA,NA,NA,NA
"6535",NA,NA,NA,NA,NA,NA,NA,NA
"1384",0,0,1,0,1,1,0,1
"6583",0,0,0,0,0,0,0,0
"1431",1,1,1,1,1,1,1,1
"54677",1,0,1,0,1,1,0,0
"8140",1,0,1,0,0,0,1,1
"23428",NA,NA,NA,NA,NA,NA,NA,NA
"1036",NA,NA,NA,NA,NA,NA,NA,NA
"23657",0,0,0,0,0,0,0,0
"57379",0,0,0,0,0,0,0,0
"978",0,0,0,0,0,0,0,0
"7371",1,1,0,1,0,1,0,1
"83549",1,1,1,0,1,1,0,0
"51727",1,1,1,1,1,1,1,1
"129607",1,0,1,0,0,1,1,1
"160851",1,0,0,0,1,1,0,0
"8526",1,1,1,0,0,0,1,1
"1606",1,1,1,1,1,1,1,1
"8527",0,0,0,0,0,0,0,0
"1607",1,1,0,0,0,1,0,0
"1608",0,0,0,0,0,0,0,0
"1609",1,1,1,0,0,0,1,0
"8525",1,0,0,0,0,1,0,0
"9162",NA,NA,NA,NA,NA,NA,NA,NA
"1610",NA,NA,NA,NA,NA,NA,NA,NA
"51022",NA,NA,NA,NA,NA,NA,NA,NA
"2745",1,1,1,1,1,1,1,1
"8528",NA,NA,NA,NA,NA,NA,NA,NA
"10455",1,0,1,0,1,1,0,0
"1632",1,1,1,1,1,1,1,1
"1633",1,1,1,1,1,1,1,1
"1638",NA,NA,NA,NA,NA,NA,NA,NA
"6319",1,0,0,0,0,0,1,1
"9415",0,0,1,0,1,0,1,0
"3992",1,1,0,0,1,0,1,0
"8694",1,1,0,1,0,1,0,0
