"","ImmProt_T8.CM_01","ImmProt_T8.CM_02","ImmProt_T8.CM_03","ImmProt_T8.CM_04","ImmProt_T8.CM_01_activated","ImmProt_T8.CM_02_activated","ImmProt_T8.CM_03_activated","ImmProt_T8.CM_04_activated","ImmProt_T8.EM_01","ImmProt_T8.EM_02","ImmProt_T8.EM_03","ImmProt_T8.EM_04","ImmProt_T8.EM_01_activated","ImmProt_T8.EM_02_activated","ImmProt_T8.EM_03_activated","ImmProt_T8.EM_04_activated"
"4668",0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0
"9498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57282",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"6528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3098",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"80201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8654",0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1
"2645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3101",0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0
"5149",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"478",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481",0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0
"3099",0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"5147",1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
"482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"477",0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1
"23439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3081",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11112",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3067",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6548",0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
"495",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55748",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
