"","x"
"3098",3
"80201",0
"8654",0
"2645",0
"483",3
"3101",0
"5149",0
"478",0
"480",0
"481",1
"3099",0
"5147",1
"482",0
"476",3
"477",0
"23439",0
"3081",0
"11112",1
"3067",0
"6549",0
"6550",0
"5148",1
"496",0
"6548",1
"495",0
"55748",1
"5158",0
"84735",0
"6559",0
"8942",0
"5162",3
"3157",1
"5161",0
"123041",0
"1737",0
"3158",0
"5160",3
"55163",1
"25769",0
"54511",0
"10396",1
"57419",0
"9187",1
"5105",0
"124583",1
"3155",3
"5106",1
"3162",0
"3163",3
"79077",3
"8310",1
"9583",1
"26062",0
"197257",0
"5833",1
"1841",3
"10400",1
"6448",1
"29922",1
"26227",0
"10201",1
"5730",0
"4830",3
"27306",0
"80142",1
"4831",0
"4832",3
"200576",0
"8396",0
"9536",1
"4833",1
"6005",0
"79837",3
"5740",0
"5289",0
"57127",0
"6557",0
"5277",0
"114971",0
"6558",0
"349565",0
"9489",1
"64802",0
"23057",0
"8818",3
"5743",0
"5742",0
"10135",3
"6898",1
"5053",0
"5283",3
"5264",1
"4837",0
"5409",1
"5728",3
"645740",0
"8871",0
"51227",3
"8395",0
"9091",0
"4842",0
"23396",0
"4843",1
"5279",1
"8394",0
"55361",1
"201288",0
"4846",0
"5297",3
"4860",3
"5298",3
"5294",1
"123745",0
"5290",0
"6580",0
"5295",0
"10870",3
"55808",0
"5251",1
"5320",0
"8503",0
"30833",1
"81579",0
"56953",1
"23533",1
"8398",1
"5296",0
"5322",0
"4907",0
"5291",1
"5293",3
"6476",0
"5009",0
"4952",0
"64600",0
"64064",0
"23236",0
"100137049",3
"30814",0
"26279",1
"5335",0
"8399",0
"5332",0
"257068",1
"5319",0
"6489",1
"5336",0
"23007",0
"29906",0
"5334",0
"10654",3
"9651",0
"9807",1
"412",1
"51196",0
"117283",0
"5331",0
"84812",0
"5330",1
"6391",0
"113026",0
"6392",3
"6390",3
"51447",3
"5333",1
"6389",3
"6821",0
"89869",0
"6533",1
"5288",0
"55350",0
"5092",1
"5287",1
"23530",1
"5286",0
"8876",0
"79178",0
"5305",3
"8875",0
"64499",0
"6567",0
"7177",1
"1890",0
"27068",3
"1636",0
"9365",0
"9331",0
"55217",0
"7368",0
"7296",3
"8613",0
"5315",3
"8611",0
"26063",0
"8612",0
"1666",3
"874",0
"5498",1
"11181",0
"10901",1
"126410",0
"80162",3
"7166",0
"8288",0
"2053",1
"9588",3
"121278",0
"8897",1
"4353",0
"8898",1
"169355",0
"6999",0
"2880",0
"5625",0
"9152",0
"6578",0
"6561",0
"9497",0
"115584",0
"6575",1
"6916",0
"23761",3
"6574",3
"7054",0
"142680",1
"9791",3
"6534",0
"81490",1
"10005",1
"3293",0
"1622",3
"225",0
"10965",1
"28965",0
"122970",0
"10020",3
"23205",0
"5805",3
"26061",3
"112483",3
"6303",3
"29880",3
"54716",0
"7355",0
"6564",0
"8566",1
"113235",0
"151531",0
"1200",3
"2168",0
"7358",1
"23169",0
"51056",3
"7378",1
"9390",0
"80146",3
"5184",3
"4891",0
"5168",1
"2944",1
"30061",1
"84912",0
"248",0
"64080",1
"4524",1
"3906",0
"65263",0
"8608",0
"25796",3
"5959",0
"7357",3
"28982",1
"6120",0
"11046",0
"54576",0
"54575",0
"51109",3
"157506",1
"54578",0
"54579",0
"10864",0
"9356",0
"54657",0
"195814",0
"9376",0
"112724",0
"50700",0
"54658",0
"348932",0
"54659",0
"54577",0
"57665",3
"120103",0
"1080",0
"85320",0
"145226",0
"54600",0
"222962",1
"8228",1
"113278",0
"10351",0
"54981",3
"7364",0
"9429",0
"7367",0
"55867",0
"54490",0
"364",0
"7366",0
"6482",1
"360",3
"6484",0
"7363",0
"89872",0
"7365",0
"6483",0
"21",0
"10720",0
"24",0
"54963",1
"10057",0
"125206",0
"7498",0
"10090",0
"200010",0
"9653",1
"9942",0
"6524",0
"159963",0
"64131",1
"55065",0
"64132",0
"3423",1
"79581",0
"10060",0
"9957",0
"51181",3
"6833",0
"9951",0
"3764",0
"222537",0
"64077",0
"3767",0
"5464",3
"64220",0
"10724",3
"5950",0
"1356",0
"2495",3
"9956",0
"5947",0
"9955",0
"2512",3
"94033",0
"5948",1
"29881",0
"1727",3
"9953",1
"64711",0
"949",0
"2350",0
"55501",0
"51706",1
"3248",0
"51700",0
"166929",0
"10587",1
"166012",0
"113189",0
"56261",3
"50515",3
"80347",3
"3658",0
"93034",0
"84618",1
"411",0
"203",1
"22978",3
"122481",0
"100526794",0
"159",3
"51251",3
"23563",0
"122622",0
"10164",0
"353",3
"11212",3
"3251",3
"383",0
"9435",1
"1371",0
"4166",0
"56954",3
"1503",0
"9469",0
"56474",1
"8534",0
"1491",1
"5313",0
"92086",0
"2987",3
"56548",1
"5860",3
"9394",1
"728441",0
"124975",0
"9453",1
"2686",0
"2023",1
"2027",0
"90161",0
"91227",0
"2026",1
"102724197",0
"266722",0
"9843",0
"2799",1
"80308",1
"10157",0
"118881",1
"5211",1
"7360",3
"2819",0
"3176",0
"26330",0
"1757",0
"81537",0
"2597",3
"29926",1
"2673",1
"9945",0
"6652",0
"29925",0
"51557",0
"875",0
"6342",3
"2752",0
"102724560",0
"1800",0
"249",0
"9056",1
"2762",1
"10558",3
"2643",3
"22934",3
"761",0
"51292",3
"55304",0
"766",0
"9517",0
"2098",3
"8879",1
"2766",0
"771",0
"4284",0
"57571",1
"8869",1
"362",0
"358",0
"8833",1
"641371",1
"361",0
"5538",3
"56848",0
"359",0
"8877",0
"3145",0
"9374",0
"11332",1
"586",3
"55825",0
"130752",0
"51102",1
"3615",3
"3614",1
"37",3
"55512",1
"55627",1
"33",0
"682",3
"132158",0
"339221",0
"6609",1
"641649",1
"4351",0
"23475",3
"6610",0
"100287639",0
"259230",1
"93100",0
"441024",0
"50484",1
"65220",1
"6241",0
"116369",0
"115111",0
"389015",0
"6240",3
"6553",0
"3156",3
"284129",3
"2821",3
"115019",0
"5230",3
"79966",0
"5232",0
"375056",1
"10588",3
"5236",3
"26266",0
"84890",0
"55276",1
"6646",1
"5372",3
"6649",1
"55229",3
"5373",1
"79646",1
"80025",1
"53354",0
"6648",0
"6647",3
"6697",0
"6611",3
"83594",0
"7263",1
"26275",0
"6723",3
"6713",1
"2222",3
"210",1
"29920",3
"6715",0
"60490",1
"6716",0
"79717",3
"15",0
"7389",1
"58510",0
"1595",1
"130367",3
"6532",0
"153201",0
"10478",1
"221823",0
"23443",0
"5634",3
"64240",0
"6487",1
"5631",3
"29968",1
"64241",0
"284111",0
"8781",1
"8435",0
"5723",1
"3988",1
"55312",1
"6888",3
"79896",0
"8277",0
"768",0
"84076",0
"762",0
"765",0
"7086",1
"10402",0
"27010",3
"286016",0
"10610",0
"23632",0
"7167",3
"760",0
"256435",0
"2582",1
"30815",0
"81849",0
"767",0
"759",0
"91373",1
"377677",0
"31",1
"6675",3
"6556",0
"7390",1
"6563",1
"8170",0
