"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"AVPR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ARHGAP4",33,0,9,4,16,8,4,0,10,5,4,0,8,14,10,3,8,4,1,6,0,0,12,3,6,39,12,18
"NAA10",51,94,6,19,35,13,3,6,27,12,6,5,9,23,24,4,11,6,7,7,33,7,23,10,6,59,2499,76
"RENBP",48,1,0,3,4,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,2,0,8,0,0,15,4,1
"HCFC1",7,10,1,1,9,1,0,0,5,1,0,0,1,8,1,0,1,1,0,1,4,1,1,0,2,10,287,7
"HCFC1-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM187",2,2,0,0,3,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,2,0,5,76,1
"IRAK1",18,15,1,0,7,3,1,1,3,2,0,0,1,8,2,0,1,1,2,4,2,1,10,1,0,9,595,5
"MECP2",15,22,4,0,24,4,1,1,15,5,6,1,8,33,13,2,7,6,3,2,4,2,9,1,4,41,196,6
"TKTL1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLNA",67,133,12,13,37,15,4,2,23,12,11,8,7,43,18,1,11,10,12,10,44,2,41,17,2,47,151,56
"EMD",20,33,11,4,28,15,5,2,17,9,4,2,6,37,18,2,9,9,4,6,10,2,13,2,7,47,905,17
"RPL10",2153,5169,1232,655,2681,1230,441,300,1952,886,561,203,1611,4754,2136,588,2637,788,589,1231,1063,558,1790,275,529,5980,114103,2051
"XX-FW83563B9.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,20,1
"DNASE1L1",5,7,0,3,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,2,0,2,1,0,3,136,10
"TAZ",3,13,3,1,9,7,0,0,5,4,0,0,3,11,4,0,4,0,3,1,1,0,1,1,3,16,233,3
"CH17-340M24.3",30,4,0,2,3,0,0,0,2,0,0,0,0,4,0,0,1,0,1,1,3,0,7,0,1,4,119,5
"ATP6AP1",104,39,3,10,17,4,1,4,12,6,4,2,1,11,5,2,2,2,1,10,11,2,41,0,2,25,877,29
