"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL22+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"ARVCF",0,0,0,0,0,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,4,2
"TANGO2",1,0,1,0,0,0,5,2,1,2,1,1,8,3,1,2,2,0,0,1,3,2,0,1,0,2,0
"AC006547.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DGCR8",0,1,0,1,0,2,5,1,0,0,0,2,2,0,0,0,0,0,1,1,8,0,0,0,0,3,0
"AC006547.8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRMT2A",0,0,2,1,0,3,25,2,0,0,1,2,14,4,1,1,2,0,3,1,15,0,2,0,1,10,0
"RANBP1",11,8,40,2,1,27,170,8,3,10,13,33,134,45,14,22,22,1,6,15,326,11,12,5,8,90,11
"ZDHHC8",0,0,0,0,0,2,7,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0,1,0,0,3,0
"CCDC188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"XXbac-B444P24.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00896",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RTN4R",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0
