"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"STK25",12,14,0,0,2,2,0,2,3,4,1,2,18,3,0,3,7,1,6,2,0,1,1,1,8,150,11
"BOK",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,26,7
"THAP4",6,5,0,1,3,1,0,2,4,2,1,1,8,4,0,1,0,1,3,5,0,0,0,0,6,104,4
"ATG4B",9,8,1,0,2,1,0,8,4,10,2,1,21,5,0,3,6,3,0,5,0,1,1,0,15,117,6
"DTYMK",4,4,0,0,1,0,0,2,2,3,2,0,9,0,1,5,5,1,5,15,0,0,6,7,7,113,8
"AC133528.2",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"ING5",2,1,1,0,1,3,0,2,2,3,1,0,11,2,0,5,1,0,2,2,0,0,1,0,3,55,1
"D2HGDH",0,4,1,0,3,2,0,4,0,2,1,1,6,1,1,0,2,0,3,0,0,0,0,0,3,28,1
"AC114730.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"NEU4",3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,13,0
"PDCD1",2,0,6,1,15,4,2,19,2,9,9,3,55,9,0,11,6,0,0,1,0,0,2,7,20,1,0
"RTP5",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC093642.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-341N2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
