"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"C8G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"LCN12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"PTGDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"C9orf142",15,1,5,6,6,3,8,2,5,28,7,3,7,4,1,14,3285
"CLIC3",0,2,0,0,1,1,1,0,0,3,2,0,0,2,0,0,771
"ABCA2",0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,358
"C9orf139",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FUT7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
"NPDC1",2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4828
"ENTPD2",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,841
"RP11-229P13.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-229P13.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SAPCD2",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1575
"UAP1L1",2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,132
"MAN1B1-AS1",0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,256
"MAN1B1",5,1,2,0,0,0,0,1,0,3,0,0,2,1,1,1,600
"DPP7",40,1,2,3,1,4,4,4,3,27,9,1,6,2,8,25,2439
"GRIN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"LRRC26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450
