"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NKT cells","Normal Epithelial cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"SYN3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"TIMP3",0,102,0,1,0,0,109,0,0,0,0,2,0,0,5,0,0,1,0,1,20,22
"LARGE",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1
"LL22NC03-32F9.1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0
"RP1-101G11.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0
"RP3-323A16.1",1,0,1,1,0,0,0,0,0,1,1,2,0,3,3,1,0,1,0,3,4,0
"HMGXB4",3,0,3,0,3,0,2,0,3,0,15,20,5,9,18,0,0,3,0,17,66,0
"RP3-510H16.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TOM1",3,6,1,7,3,0,3,0,3,0,5,16,5,1,19,0,0,1,0,11,44,0
"HMOX1",12,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,57,0
"MCM5",2,1,3,0,1,1,0,2,3,0,24,7,1,14,11,0,0,0,1,4,39,0
"RASD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
"APOL6",1,1,1,2,4,1,3,2,9,0,0,36,8,0,26,2,0,1,0,13,48,0
"RBFOX2",0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,88,4
"CTA-212A2.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CTA-212A2.3",0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,9,1
"CTA-212A2.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
