"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NKT cells","Normal Epithelial cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"VPS72",0,2,0,0,0,1,1,0,0,0,4,8,2,6,4,0,1,1,0,0,103,0
"PIP5K1A",0,3,1,5,1,0,3,0,2,0,1,10,3,2,10,1,0,3,0,2,49,0
"PSMD4",5,15,2,12,7,1,7,1,6,0,15,35,6,5,42,1,2,6,5,18,419,3
"RP11-126K1.2",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,17,0
"ZNF687",0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,0,0,3,0,1,16,0
"PI4KB",1,2,2,3,1,0,2,0,2,1,9,15,6,9,19,2,0,1,0,6,72,0
"RFX5",1,3,0,2,2,0,1,0,3,0,7,10,2,8,10,0,1,1,1,7,34,0
"RP11-126K1.6",0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,3,1,0
"SELENBP1",0,3,2,0,0,1,6,0,1,0,2,3,0,2,5,0,1,9,0,2,450,4
"PSMB4",2,12,3,5,5,1,7,2,1,2,17,31,5,16,33,2,1,6,1,17,295,2
"POGZ",2,4,1,4,2,1,4,0,3,1,13,16,6,14,16,1,1,5,0,3,136,2
"CGN",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,114,0
"TUFT1",0,0,0,1,0,0,1,0,1,0,4,15,1,1,5,0,2,2,0,1,144,0
"SNX27",3,6,0,3,1,1,1,0,0,0,4,8,5,3,6,0,0,0,0,4,39,0
"RP11-98D18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RIIAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MRPL9",0,4,2,7,2,2,3,2,5,2,12,19,8,14,28,2,2,2,1,16,222,1
"OAZ3",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7,0
"TDRKH",0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0
"RP11-98D18.9",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0
"LINGO4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RORC",0,0,0,0,0,1,1,0,1,0,0,8,1,0,1,0,0,5,0,1,35,0
"C2CD4D",0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,18,0
"AL450992.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"THEM4",0,0,0,0,0,0,0,0,1,1,4,20,2,1,14,1,0,2,0,9,55,0
"S100A10",40,82,31,75,29,18,52,11,50,13,89,316,70,38,233,17,13,200,23,93,9299,51
"AL591893.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"S100A11",123,127,15,188,19,7,52,9,88,9,41,323,56,26,206,5,11,141,61,82,6437,24
"TCHH",3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLG-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SPRR2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LOR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"S100A9",10,0,0,24,0,0,0,0,0,0,1,0,0,0,1,0,0,0,161,0,23,0
"S100A12",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"S100A8",5,0,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,66,0,1,0
"BX470102.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"S100A6",99,554,52,149,100,34,501,46,198,28,233,952,178,110,597,19,66,1501,85,261,44230,81
"S100A5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0
"S100A4",52,255,41,173,50,17,186,81,486,80,63,1491,200,19,653,10,44,11,82,603,403,4
"S100A3",0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"S100A2",0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,0,3,0,0,152,0
"S100A16",3,37,2,1,3,0,4,0,2,0,2,11,4,3,19,1,2,18,1,4,1340,10
"S100A14",0,2,1,0,1,0,0,1,3,1,4,4,1,1,9,0,1,19,1,2,1191,0
"S100A13",2,96,1,3,1,0,59,0,0,1,6,6,1,5,2,0,1,27,0,2,846,17
"S100A1",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0
"RP1-178F15.4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0
"CHTOP",2,7,1,3,0,2,9,3,8,1,21,34,7,15,29,0,1,3,3,12,183,0
"SNAPIN",1,3,0,4,0,1,0,0,2,0,9,18,2,4,7,1,0,1,0,6,123,1
"ILF2",0,21,6,20,6,4,8,3,12,3,45,80,14,31,84,2,4,7,3,23,526,5
"NPR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"INTS3",0,0,0,3,0,0,2,1,0,1,4,3,0,2,1,0,0,0,2,3,46,0
"SLC27A3",0,2,0,1,1,0,3,0,1,0,3,9,2,0,1,0,0,0,0,0,42,0
"GATAD2B",0,1,0,0,2,0,1,0,2,0,15,18,6,1,16,0,0,1,0,10,54,0
"DENND4B",1,0,0,2,1,0,1,0,1,0,3,3,1,4,4,0,0,1,0,1,17,0
"CRTC2",0,4,0,1,0,0,2,0,2,2,3,8,1,3,5,0,0,0,0,2,51,0
"SLC39A1",6,22,1,8,2,0,10,0,2,0,8,16,0,9,17,1,0,1,1,7,198,4
"RP11-422P24.12",0,0,1,0,0,0,0,0,2,0,1,0,0,3,1,0,0,0,0,0,11,0
"CREB3L4",0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,49,0
"JTB",6,35,9,17,16,6,13,3,27,4,62,127,37,48,124,3,2,18,5,50,1117,5
"RP11-422P24.11",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RAB13",1,41,0,4,2,2,15,0,0,0,1,2,0,1,1,0,0,12,7,0,451,8
"RPS27",161,497,574,610,842,471,397,189,907,135,6737,9071,1891,4216,11340,444,384,919,158,2310,25527,104
"TPM3",20,17,8,46,33,5,5,7,42,5,89,186,35,41,156,4,10,17,15,71,864,17
"C1orf43",4,13,4,13,5,2,2,0,13,2,39,77,11,28,67,2,4,8,3,30,561,7
"UBAP2L",3,0,1,2,2,1,1,0,2,0,4,2,1,4,9,0,0,2,1,6,86,1
"HAX1",3,7,4,6,10,2,4,3,8,0,38,64,10,15,101,3,3,12,2,27,285,1
"ATP8B2",0,1,0,0,1,0,1,0,0,0,0,3,0,1,4,0,0,0,0,1,0,0
"IL6R",7,0,0,4,0,0,1,0,1,0,1,15,0,0,27,0,0,0,2,4,32,2
"SHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"TDRD10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UBE2Q1",1,5,1,2,0,0,1,1,2,0,3,12,3,3,11,0,1,2,1,2,100,3
"ADAR",2,7,5,3,3,4,2,2,12,1,21,46,11,15,40,2,1,2,3,13,117,5
"KCNN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"PMVK",1,5,3,4,3,0,2,1,12,3,12,36,6,2,23,1,0,2,0,24,278,0
"RP11-307C12.13",0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0
"PBXIP1",0,14,5,1,3,5,3,3,60,13,37,216,24,16,162,2,7,2,0,92,100,1
"PYGO2",1,0,1,0,1,0,0,1,2,1,6,10,1,3,17,0,0,0,0,1,20,0
"RP11-307C12.12",0,0,0,0,0,0,0,0,1,0,2,4,0,1,4,0,0,0,0,0,3,0
"SHC1",1,3,0,2,1,0,2,0,1,1,4,9,3,1,6,0,0,0,1,1,60,3
"CKS1B",1,3,1,4,1,1,2,0,1,0,13,12,5,7,11,0,1,7,0,2,265,3
"FLAD1",1,0,0,4,0,0,0,0,3,0,6,9,2,3,11,2,1,4,2,3,88,0
"ZBTB7B",1,0,1,0,0,1,0,1,2,0,1,6,2,2,3,0,0,0,0,1,93,1
"RP11-307C12.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ADAM15",1,1,1,5,1,0,0,0,0,0,0,3,0,0,3,0,0,3,0,2,202,14
"EFNA4",0,2,0,2,3,0,2,0,0,0,5,2,2,1,1,0,0,2,1,3,66,0
"EFNA3",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,61,1
"EFNA1",0,2,0,0,0,1,4,0,0,0,3,1,2,1,5,0,0,8,0,1,274,10
"SLC50A1",2,5,0,4,3,0,6,1,4,0,11,17,3,15,10,0,1,4,0,4,194,4
"DPM3",5,8,3,6,2,2,9,2,4,2,13,44,5,5,30,1,2,13,1,11,397,3
"KRTCAP2",1,25,9,8,10,3,10,2,13,3,32,91,23,17,81,1,4,10,2,28,666,11
"MUC1",0,1,0,0,0,1,3,0,0,0,4,3,0,0,3,0,0,5,0,1,371,0
"RP11-263K19.4",0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,3,1
"THBS3",0,3,0,0,0,0,3,0,1,0,0,0,1,0,2,0,0,1,0,0,17,1
"MTX1",0,9,1,2,1,0,6,1,1,0,6,14,1,6,13,1,0,3,0,3,156,0
"GBA",2,3,0,2,1,0,2,0,2,0,3,2,1,0,3,0,1,2,0,1,39,0
"FAM189B",0,1,1,1,0,0,1,0,0,0,2,4,0,0,1,0,0,1,0,1,35,0
"SCAMP3",3,3,0,4,3,1,0,1,10,2,9,15,5,5,13,1,0,2,0,3,112,0
"CLK2",0,0,0,0,1,0,0,0,1,0,4,6,1,1,2,0,0,1,0,1,13,0
"HCN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1
"FDPS",2,7,0,4,8,1,3,5,4,1,26,54,12,9,26,1,0,8,1,12,369,2
"RUSC1-AS1",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0
"RUSC1",2,8,0,1,0,1,2,0,1,1,2,8,0,0,6,0,0,3,1,1,85,1
"ASH1L",4,8,5,3,2,2,6,1,10,2,35,48,10,20,47,1,3,9,1,21,223,2
"ASH1L-AS1",0,0,1,0,1,0,0,0,2,0,1,2,0,1,7,0,1,2,0,2,16,0
"RP11-29H23.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MSTO1",0,0,0,1,1,0,0,0,2,0,3,3,2,0,2,0,0,1,0,1,20,0
"YY1AP1",1,3,1,2,2,0,2,0,2,1,7,5,4,3,7,0,1,3,2,5,79,0
"DAP3",1,5,2,2,4,2,4,0,9,0,19,52,13,6,49,6,0,0,2,8,247,1
"GON4L",0,2,2,1,2,1,1,1,6,4,13,30,7,9,29,2,0,7,1,9,70,2
"SYT11",1,0,0,0,3,0,1,0,1,0,0,6,3,1,4,2,0,0,0,3,1,1
"RIT1",0,4,2,2,1,0,2,0,7,0,9,17,6,10,9,1,0,1,2,5,55,5
"KIAA0907",1,4,0,0,0,0,2,0,6,2,13,21,2,9,18,0,3,4,1,3,164,2
"RXFP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"ARHGEF2",6,7,0,6,3,1,2,0,4,0,10,17,9,15,11,0,0,2,2,8,91,3
"RP11-336K24.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"SSR2",12,54,23,30,17,10,19,9,42,7,88,245,40,44,231,10,13,12,12,69,1007,2
"UBQLN4",0,1,0,1,0,0,0,0,1,0,2,6,0,1,3,0,0,2,0,1,47,0
"LAMTOR2",7,9,2,30,5,1,3,2,9,1,15,37,4,10,30,0,2,14,2,15,557,7
"RAB25",0,1,0,0,0,2,0,0,4,0,5,5,4,0,13,0,1,16,0,1,937,0
"MEX3A",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0
"LMNA",70,243,15,84,7,16,170,7,74,8,129,476,79,38,387,18,8,80,4,256,3821,101
"SEMA4A",5,0,1,6,0,0,14,0,0,0,1,2,1,4,2,0,0,1,0,1,45,4
"SLC25A44",0,2,3,0,3,0,5,0,2,0,3,8,2,2,8,0,1,0,0,3,46,2
"PMF1-BGLAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PMF1",0,2,7,5,15,2,8,4,4,1,14,23,9,14,33,3,0,1,0,14,201,4
"BGLAP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PAQR6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
"SMG5",2,1,0,0,0,0,1,0,1,0,3,5,0,4,5,0,1,0,1,1,58,0
"TMEM79",0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,7,0
"GLMP",1,9,0,0,0,0,0,0,0,0,3,5,0,1,5,0,0,0,3,2,77,1
"CCT3",5,13,4,13,8,3,4,1,10,1,32,57,14,17,46,2,1,13,0,27,659,1
"TSACC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0
"C1orf61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
"RP11-98G7.1",0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,1,4,0
"MEF2D",3,4,2,8,0,1,3,0,0,0,3,11,2,6,6,0,3,1,1,6,105,1
"IQGAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"TTC24",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"APOA1BP",1,3,4,2,2,2,4,1,5,2,27,32,8,10,20,1,2,2,0,9,299,1
"GPATCH4",0,2,0,1,0,0,1,0,1,1,12,19,3,12,8,2,0,0,1,2,166,2
"AL365181.2",0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,1,3,0
"HAPLN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-284F21.9",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0
"BCAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-284F21.10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0
"NES",0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"CRABP2",0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ISG20L2",0,2,6,4,8,0,1,2,11,1,32,40,12,23,49,3,2,2,0,10,115,0
"RRNAD1",0,3,0,0,0,0,0,0,1,0,3,2,0,1,4,0,1,0,0,2,56,0
"MRPL24",3,5,1,3,4,1,4,0,3,0,8,17,2,4,16,0,0,4,0,5,305,1
"HDGF",1,7,1,5,1,0,5,0,7,0,5,14,6,5,19,0,0,5,2,8,431,2
"PRCC",2,11,4,3,7,0,2,1,3,0,9,15,4,6,12,0,1,5,0,7,144,3
"SH2D2A",0,1,7,1,17,3,0,7,53,7,6,140,39,1,93,3,6,0,0,61,25,0
"NTRK1",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"PEAR1",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6,2
"ARHGEF11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0
"ETV3",5,2,0,26,1,0,0,1,2,0,5,25,2,7,20,1,2,1,3,1,58,2
"FCRL5",0,0,1,0,0,0,0,0,0,0,5,0,0,14,0,0,1,0,0,0,4,0
"FCRL4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"FCRL3",0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,1,0
"FCRL2",0,0,0,0,0,0,0,0,0,0,16,0,0,12,0,0,0,3,0,0,2,0
"FCRL1",0,0,0,0,0,0,0,0,0,0,31,0,0,57,2,0,0,0,0,2,1,0
"KIRREL",0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CD1D",1,0,0,13,0,0,0,0,0,0,6,0,0,3,0,0,0,0,2,0,2,0
"RP11-404O13.5",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD1A",9,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CD1C",0,0,0,55,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,1,0
"CD1B",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD1E",2,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"MNDA",6,0,0,51,5,0,0,0,0,0,10,2,0,1,0,0,1,0,20,0,2,0
"PYHIN1",0,0,3,0,10,4,0,2,4,2,4,29,6,0,17,0,3,0,0,12,1,0
"IFI16",4,16,6,9,15,3,21,3,16,3,33,74,30,27,69,0,4,1,0,46,50,14
"AIM2",0,0,1,1,3,0,0,0,1,0,21,1,0,0,0,1,0,0,0,1,2,0
"CADM3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACKR1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,3,91
"FCER1A",4,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"DUSP23",3,3,1,6,5,0,0,1,3,2,6,29,3,2,16,0,0,6,2,7,459,10
"FCRL6",0,0,0,1,3,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,1,0
"SLAMF8",6,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C1orf204",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
"VSIG8",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,3,0,1,4,0
"RP11-190A12.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CFAP45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TAGLN2",16,88,14,59,18,8,45,12,66,12,208,446,78,125,347,8,21,24,7,122,1543,26
"IGSF9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"SLAMF9",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"LINC01133",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,67,0
"PIGM",0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,24,0
"IGSF8",1,2,2,0,1,0,1,1,3,1,4,13,1,1,12,2,0,3,0,3,168,1
"ATP1A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-536C5.7",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"PEA15",4,9,1,15,2,0,4,0,2,1,15,12,1,10,5,1,0,2,2,9,82,3
"DCAF8",2,7,2,2,2,0,4,0,2,1,11,18,6,6,16,1,0,3,0,9,80,1
"RP11-574F21.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-574F21.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"PEX19",1,5,0,0,1,0,0,0,3,0,3,10,1,2,5,0,0,1,0,2,63,0
"COPA",3,5,1,6,3,1,3,3,6,1,21,45,11,15,32,4,1,5,4,12,199,5
"NCSTN",2,1,0,0,1,0,1,0,2,1,10,5,1,7,7,1,0,1,0,5,97,1
"NHLH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"VANGL2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
"SLAMF6",0,0,2,0,2,1,0,0,0,0,0,6,3,8,3,0,0,0,0,1,1,0
"CD84",5,0,4,2,3,4,0,1,6,0,6,25,8,4,19,0,0,0,1,9,1,0
"SLAMF1",0,0,3,0,0,0,0,2,11,1,6,28,6,4,33,0,3,0,3,9,1,0
"RP11-404F10.2",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"CD48",4,0,15,24,12,10,0,6,41,2,161,225,53,91,279,13,9,1,31,53,23,0
"SLAMF7",3,1,1,4,3,0,0,4,0,0,5,3,5,1,1,0,2,0,7,0,3,0
"LY9",0,1,3,2,2,0,0,0,5,0,264,39,2,231,19,0,5,0,1,6,7,0
"CD244",0,0,0,3,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0
"ITLN1",0,2,1,2,0,1,0,0,1,0,5,11,0,1,4,0,0,15,0,5,2006,0
"ITLN2",0,2,0,1,5,0,1,0,1,0,5,8,6,3,10,1,0,20,1,1,3011,0
"F11R",1,0,1,2,0,0,0,0,0,0,3,5,1,0,6,0,1,3,0,1,290,2
"TSTD1",3,3,7,3,13,1,0,5,20,0,37,94,17,26,106,3,3,19,0,26,1282,0
"USF1",0,1,0,0,1,0,0,0,0,0,3,3,0,1,0,0,0,0,0,1,8,0
"ARHGAP30",3,0,1,5,5,2,0,0,9,2,27,51,12,21,27,2,4,1,1,14,14,0
"PVRL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,0
"RP11-544M22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"KLHDC9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,34,0
"PFDN2",3,16,2,4,9,2,4,3,9,0,27,57,13,24,47,1,2,9,7,25,489,5
"NIT1",0,1,1,0,0,0,1,0,2,0,1,4,1,0,4,1,0,3,0,1,75,0
"DEDD",1,1,0,1,2,0,1,0,1,0,3,5,1,1,4,0,1,1,0,2,31,1
"UFC1",5,18,4,15,12,4,10,3,19,8,60,96,23,42,98,4,6,15,4,38,857,2
"RP11-297K8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"USP21",0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,2,4,0
"PPOX",0,2,0,2,0,0,1,0,0,0,2,5,0,2,4,0,1,0,0,2,28,1
"B4GALT3",0,4,0,1,3,1,1,0,7,1,7,22,4,6,16,2,0,1,0,5,110,0
"ADAMTS4",0,7,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3
"NDUFS2",2,9,3,11,3,0,5,0,6,1,10,24,5,8,18,0,2,7,1,7,320,2
"FCER1G",118,1,0,187,0,0,0,0,0,0,0,0,0,0,2,0,0,1,116,0,6,0
"TOMM40L",2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,6,0
"NR1I3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"MPZ",0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,0
"SDHC",6,17,0,6,11,4,8,0,6,1,19,49,9,16,34,2,1,10,2,10,492,1
"CFAP126",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"FCGR2A",21,2,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,28,0
"HSPA6",2,0,0,4,0,0,5,0,0,0,1,0,1,0,1,0,0,17,1,6,54,0
"FCGR3A",9,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,5,0,11,0,0,0
"FCGR3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"FCGR2B",11,0,0,36,0,1,0,0,0,0,28,0,0,10,0,0,0,0,4,0,1,0
"FCRLA",0,0,0,0,0,0,1,0,0,0,54,0,0,25,0,0,0,0,0,0,5,0
"FCRLB",0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0
"DUSP12",1,0,0,1,2,0,0,0,0,1,5,8,0,6,14,0,0,2,0,2,47,0
"RP11-474I16.8",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"ATF6",3,5,0,6,1,1,4,0,1,0,14,10,3,5,12,1,0,2,1,2,84,2
"OLFML2B",3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOS1AP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
"C1orf226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"SH2D1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UHMK1",1,2,3,6,2,0,0,0,6,0,24,24,10,15,36,2,3,2,0,6,88,0
"RP11-359K18.3",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"UAP1",5,13,3,5,2,0,10,0,7,1,10,20,5,16,27,1,4,5,1,7,250,2
"DDR2",0,5,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
"HSD17B7",1,2,0,0,2,1,0,1,0,1,6,10,1,7,12,1,0,1,0,5,44,2
"RGS4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RGS5",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,2,11,0
"RGS5.1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"NUF2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,0
"PBX1",0,4,0,0,0,0,3,1,0,0,2,1,0,0,1,0,0,1,0,0,120,1
"MGST3",9,44,4,13,17,1,14,3,12,0,19,59,13,16,64,1,4,19,8,26,1060,10
"ALDH9A1",2,3,2,5,2,0,2,0,4,0,10,17,0,3,23,0,0,3,0,5,158,1
"TMCO1",3,15,5,9,10,6,13,5,11,3,27,71,15,21,59,4,4,3,0,25,512,7
"RP11-466F5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"UCK2",1,5,0,1,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,1,59,1
"FAM78B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-479J7.2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POGK",1,1,1,0,1,0,0,1,2,2,1,12,2,1,7,0,0,0,0,2,46,0
"TADA1",0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,14,0
"ILDR2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAEL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
