"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"HOXD9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
"HOXD8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"HOXD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"HOXD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HAGLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1
"HAGLROS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"HOXD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
"MTX2",6,1,0,1,2,0,0,1,0,2,3,11,2,2,5,0,1,3,0,1,2,261,3
"LINC01116",0,0,1,0,0,0,0,2,0,0,1,2,2,4,2,1,1,0,0,0,3,13,3
"HNRNPA3",44,20,33,6,17,8,13,31,5,6,41,134,29,27,66,8,5,18,23,12,50,1254,21
"NFE2L2",30,11,30,2,1,4,2,12,1,6,22,56,13,12,42,6,8,4,33,4,40,718,12
"AC079305.10",1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,5,0
"RP11-337N6.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"AGPS",8,2,0,0,1,1,1,3,0,0,6,13,2,1,4,1,1,1,5,0,3,165,1
"TTC30B",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,8,0
"TTC30A",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
"PDE11A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RBM45",1,1,1,0,0,0,0,1,0,0,0,3,0,0,4,0,0,1,0,0,2,33,2
"AC009948.5",3,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,1,0,0,3,6,2
"PRKRA",2,5,6,3,4,3,0,5,2,1,10,32,7,9,18,0,3,3,3,1,8,350,4
"DFNB59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FKBP7",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,6,3
"PLEKHA3",5,3,0,0,3,2,3,2,2,0,3,14,2,2,13,4,3,5,2,0,7,141,5
"TTN-AS1",0,0,0,0,1,0,0,1,0,0,3,4,0,1,1,0,0,0,0,0,4,4,1
"TTN",0,1,0,0,0,0,1,0,0,0,9,1,0,1,1,0,0,0,0,0,2,1,1
"RP11-65L3.2",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"RP11-171I2.5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"RP11-171I2.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-171I2.4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CCDC141",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"SESTD1",5,0,1,0,0,0,0,0,0,0,6,0,0,4,2,0,0,0,7,0,0,112,2
"CWC22",1,4,0,1,1,2,2,0,0,1,5,8,3,2,4,2,3,0,1,0,9,52,3
"UBE2E3",10,4,3,2,1,4,2,1,0,3,10,15,5,4,8,4,2,8,5,0,13,324,9
"AC068196.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC104820.2",0,2,0,0,0,0,0,4,1,1,1,15,1,0,8,2,0,1,0,2,11,2,0
"ITGA4",3,7,4,2,3,0,4,7,1,0,8,52,8,3,12,2,6,0,1,1,20,5,1
"SSFA2",3,3,3,1,2,0,0,0,0,1,0,3,0,0,3,0,0,0,1,0,1,325,9
"PPP1R1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"PDE1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DNAJC10",8,3,0,1,0,1,1,1,0,0,9,4,3,1,0,1,1,2,5,0,7,148,11
"FRZB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"NCKAP1",2,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,2,347,20
"DUSP19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"NUP35",1,1,1,0,2,1,0,1,0,0,1,5,0,1,2,0,0,0,1,0,3,77,1
"RP11-438L19.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"ZNF804A",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"FSIP2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"FSIP2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"LINC01473",0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,25,0
"RP11-410E4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ZC3H15",14,9,16,3,11,4,7,11,9,3,27,66,14,12,31,6,4,5,8,6,34,962,12
"ITGAV",5,1,2,0,0,0,1,0,0,1,1,1,2,0,3,0,0,1,5,0,4,98,14
"FAM171B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"AC007319.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALCRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,28
"TFPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,34,11
"GULP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,3
"COL3A1",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0
"COL5A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"WDR75",2,0,3,0,0,1,0,1,0,0,3,3,1,1,4,0,3,2,1,0,1,78,3
"SLC40A1",31,0,10,0,0,0,0,1,0,1,2,2,1,0,2,0,0,1,0,0,1,340,0
"ASNSD1",3,1,3,0,2,5,5,8,2,0,11,26,5,3,12,2,2,3,2,0,6,186,5
"ANKAR",0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0
"OSGEPL1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,21,0
