"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CA14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"APH1A",86,71,1,3,6,0,8,5,8,2,1,2,53,35,13,667,84
"C1orf54",179,77,0,3,0,0,0,0,0,0,0,0,113,4,0,30,317
"CIART",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5
"MRPS21",95,190,1,5,10,4,30,1,9,0,0,12,192,44,27,1226,143
"PRPF3",8,4,0,0,0,1,2,0,1,0,1,2,7,7,4,59,8
"RPRD2",5,7,0,0,0,1,1,0,0,1,0,0,8,2,4,68,8
"TARS2",3,3,0,0,0,0,3,0,0,0,0,0,3,1,1,50,4
"ECM1",39,143,0,2,0,0,0,0,0,0,0,0,121,0,0,252,5
"FALEC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"RP11-54A4.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ADAMTSL4",17,3,0,4,0,0,0,0,0,0,0,0,3,9,0,21,1
"MCL1",661,290,6,41,42,14,146,11,45,15,16,41,323,459,99,2022,264
"ENSA",81,95,4,18,20,7,32,2,15,6,3,8,95,66,31,920,118
"GOLPH3L",4,8,0,0,2,0,2,0,2,0,0,0,7,1,0,197,13
"CTSS",802,23,2,22,6,1,13,1,5,2,1,9,28,433,11,846,60
"CTSK",76,703,0,0,1,0,4,0,0,0,0,1,57,1,0,22,1
"ARNT",13,12,0,1,0,0,2,0,0,0,0,0,20,5,0,46,7
"SETDB1",6,7,0,0,1,0,1,0,0,0,0,1,1,1,0,26,5
"CERS2",30,43,0,1,2,1,8,0,2,0,1,1,30,6,8,217,22
"RP11-316M1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ANXA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"FAM63A",0,2,0,0,0,0,0,0,0,0,0,2,6,0,0,38,7
"PRUNE",5,8,0,0,0,0,0,0,0,0,0,0,3,0,1,31,2
"BNIPL",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"C1orf56",32,62,1,5,9,2,13,0,2,16,3,0,40,20,10,103,46
"CDC42SE1",83,73,0,10,8,0,18,0,5,12,3,4,47,47,11,193,49
"MLLT11",8,55,0,0,0,0,1,0,0,0,0,2,24,2,1,7,10
"GABPB2",3,3,0,0,0,0,3,0,0,0,0,0,7,1,0,42,2
"SEMA6C",2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11
"TNFAIP8L2",22,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"SCNM1",29,30,1,4,6,0,19,0,2,1,2,1,25,8,11,120,22
"LYSMD1",0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,16,2
"VPS72",12,22,0,0,2,0,2,0,1,0,0,0,23,1,2,129,26
"PIP5K1A",14,18,0,0,0,1,1,0,2,0,0,2,18,2,0,70,15
"PSMD4",71,123,2,1,6,2,11,1,9,0,0,9,137,33,12,509,112
"RP11-126K1.2",1,2,0,0,0,0,0,0,0,0,0,0,1,5,0,14,2
"ZNF687",0,0,1,0,0,0,0,0,0,0,0,0,9,3,0,38,1
"PI4KB",15,30,0,1,0,1,2,0,0,0,1,0,37,2,9,86,19
"RFX5",19,8,0,3,1,0,3,0,1,0,0,1,5,10,4,46,4
"RP11-126K1.6",5,4,0,0,0,0,0,0,0,0,0,0,1,2,0,2,5
"SELENBP1",0,36,0,0,0,0,1,0,0,0,0,0,18,0,0,89,1
"PSMB4",61,99,1,5,8,1,17,2,4,0,1,4,97,38,20,518,99
"POGZ",22,23,0,0,2,0,4,1,2,3,0,0,18,8,2,117,30
"CGN",0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,226,2
"TUFT1",9,6,0,0,0,0,1,0,1,0,0,0,2,1,1,181,2
"SNX27",23,24,0,1,1,0,2,1,0,0,0,0,13,12,1,94,11
"RIIAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-98D18.15",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MRPL9",19,44,0,0,3,1,10,1,4,1,2,1,43,5,8,223,63
"OAZ3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25
"RP11-98D18.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TDRKH",2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0
"RP11-98D18.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"RP11-98D18.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RORC",1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,55,0
"C2CD4D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
"THEM4",8,15,3,1,0,0,7,0,3,1,0,0,13,1,10,75,11
"S100A10",1021,555,10,111,33,5,163,15,62,10,7,40,520,1119,91,21029,965
"AL591893.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"S100A11",2567,1515,10,172,57,3,172,16,70,13,6,42,1480,1528,70,14696,1156
"TCHH",30,0,0,7,0,0,0,0,0,0,0,0,0,4,0,2,0
"RP11-107M16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"FLG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FLG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CRCT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"LCE1E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"SPRR1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SPRR3",2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,728,1
"SPRR1B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,1
"SPRR2D",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0
"SPRR2A",1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,159,0
"SPRR2E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SPRR2F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"LOR",1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0
"PGLYRP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"S100A9",1653,12,0,8,0,1,3,0,0,0,1,0,8,3194,4,114,4
"S100A12",17,0,0,0,0,0,1,0,0,0,0,0,0,261,0,4,1
"S100A8",764,3,0,3,0,0,1,0,1,0,0,1,6,2021,0,41,1
"S100A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"BX470102.3",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
"S100A6",3242,4994,25,165,93,14,425,40,138,22,24,75,2110,2486,328,118136,4712
"S100A5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0
"S100A4",2127,1022,17,261,160,10,681,34,187,16,26,21,1973,2029,790,3707,178
"S100A3",1,10,0,0,0,0,0,0,0,0,0,0,29,0,0,80,62
"S100A2",5,12,0,0,0,0,0,0,0,0,0,0,3,4,1,550,10
"S100A16",29,229,0,0,2,0,7,0,3,0,0,2,16,15,6,4675,390
"S100A14",44,32,0,2,5,1,10,1,6,1,1,2,36,30,5,8635,31
"S100A13",36,407,0,1,3,0,7,1,1,1,0,0,142,14,2,2258,355
"S100A1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"RP1-178F15.4",1,2,0,0,0,0,2,0,0,0,0,0,1,1,0,10,0
"CHTOP",30,50,1,4,2,2,8,2,6,1,0,3,47,21,8,315,47
"SNAPIN",30,29,0,0,1,1,5,1,1,0,1,2,37,6,5,128,23
"ILF2",53,114,2,7,8,1,19,5,7,1,2,4,106,37,21,526,118
"NPR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"INTS3",3,8,0,0,1,0,2,0,1,0,0,0,6,2,0,90,21
"SLC27A3",19,8,0,2,1,2,0,0,0,0,0,0,15,7,1,32,23
"GATAD2B",10,13,0,1,3,0,5,0,3,0,0,1,7,5,2,68,21
"DENND4B",15,4,0,0,0,1,0,0,1,1,0,2,4,4,2,33,6
"CRTC2",4,4,0,0,0,0,2,0,0,0,3,0,8,7,2,75,6
"SLC39A1",78,133,0,5,1,1,3,0,1,0,1,0,94,35,6,352,74
"RP11-422P24.12",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1
"RP11-422P24.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CREB3L4",3,3,0,0,0,0,0,0,0,0,0,0,3,1,1,62,2
"JTB",148,304,2,10,16,3,45,11,11,3,2,11,170,80,45,2046,121
"RP11-422P24.11",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0
"RAB13",141,462,1,1,0,0,0,0,0,0,0,2,358,89,0,704,419
"RPS27",2187,3529,249,334,397,327,2346,175,1215,186,126,344,3680,2782,1097,25140,2629
"NUP210L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TPM3",303,132,3,34,17,3,61,4,24,5,2,22,102,215,43,1605,380
"C1orf43",113,136,1,8,4,2,14,1,5,1,1,4,114,64,23,789,132
"UBAP2L",34,30,0,0,2,0,1,0,0,0,0,0,20,17,6,142,24
"HAX1",42,72,3,2,3,3,11,0,3,3,0,5,75,19,12,411,59
"ATP8B2",0,9,0,0,0,0,1,1,0,0,0,0,7,0,1,1,9
"RP11-350G8.5",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"IL6R",52,3,0,2,0,0,2,0,0,0,0,1,15,59,1,46,4
"SHE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,44
"TDRD10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"UBE2Q1",26,25,0,0,0,0,2,0,2,0,0,2,18,4,2,126,25
"ADAR",60,44,3,0,6,1,11,2,11,1,0,3,34,20,6,330,43
"KCNN3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14
"PMVK",48,59,1,1,2,0,11,0,6,0,0,0,52,20,20,306,33
"RP11-307C12.13",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PBXIP1",10,26,0,0,5,2,37,1,14,5,0,1,28,5,62,84,11
"PYGO2",3,3,0,0,0,0,6,1,1,0,0,0,9,0,2,31,4
"RP11-307C12.12",0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0
"SHC1",10,115,0,0,1,0,2,0,2,0,0,2,55,6,2,155,84
"CKS1B",52,43,0,2,2,1,5,0,2,0,0,3,58,6,2,547,79
"FLAD1",11,17,0,1,1,0,5,1,1,1,1,0,21,2,2,114,14
"ZBTB7B",11,10,1,1,1,0,0,1,1,0,0,0,7,8,2,112,7
"DCST2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"RP11-307C12.11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"ADAM15",20,18,1,0,0,1,3,0,0,0,0,2,10,11,4,586,328
"EFNA4",4,12,0,0,0,1,2,0,0,0,0,0,5,1,1,90,2
"EFNA3",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,128,3
"EFNA1",8,7,0,0,0,0,2,0,0,2,0,1,5,11,1,892,306
"SLC50A1",31,38,0,1,2,0,3,0,1,0,0,2,14,21,10,412,38
"DPM3",42,59,0,2,3,0,12,0,1,1,0,2,49,22,6,731,70
"KRTCAP2",93,178,4,6,10,1,19,3,4,3,1,6,101,43,11,1015,133
"TRIM46",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUC1",44,41,0,2,5,0,6,0,2,0,0,6,26,17,3,4668,36
"RP11-263K19.4",0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0
"THBS3",6,19,0,0,0,0,1,0,0,0,0,1,40,0,0,22,3
"MTX1",29,65,0,1,2,2,4,0,0,0,0,2,53,7,5,202,29
"GBA",58,25,0,0,0,1,0,0,0,0,0,1,10,13,2,108,13
"FAM189B",2,22,0,0,0,0,1,0,0,0,0,0,13,3,2,86,16
"SCAMP3",19,57,1,1,2,0,2,2,1,0,0,5,31,13,4,136,47
"CLK2",4,4,0,0,0,0,0,1,0,0,0,0,7,3,1,24,2
"HCN3",1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,11,3
"FDPS",28,73,1,4,8,0,11,2,5,1,0,6,78,19,13,1317,172
"RUSC1-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1
"RUSC1",9,23,0,1,0,0,4,0,2,0,0,0,22,3,0,178,18
"ASH1L",27,41,1,3,6,4,12,0,2,1,1,3,36,16,14,226,43
"ASH1L-AS1",3,3,0,0,0,0,1,0,0,1,0,0,6,0,0,19,3
"MSTO1",1,10,0,0,0,0,1,0,1,0,0,0,5,1,0,44,2
"YY1AP1",13,19,1,1,0,1,4,0,3,1,1,0,21,17,3,106,19
"DAP3",30,49,0,3,5,1,10,2,3,2,1,3,43,24,12,298,36
"GON4L",8,23,1,1,4,0,5,0,2,2,0,2,21,5,2,74,18
"SYT11",12,10,0,0,0,0,1,1,2,0,1,2,20,1,4,1,14
"RIT1",36,30,1,1,2,0,4,1,1,0,2,2,37,25,4,71,44
"KIAA0907",9,20,0,2,2,1,8,0,1,0,2,3,23,9,4,242,21
"RXFP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARHGEF2",36,35,0,4,1,0,1,0,0,0,0,0,35,28,3,90,30
"RP11-336K24.12",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
"SSR2",158,513,10,18,19,6,86,5,29,10,3,18,297,113,68,2246,242
"UBQLN4",5,9,0,0,0,0,1,0,5,0,0,0,7,3,0,82,4
"LAMTOR2",197,154,0,12,5,0,11,4,3,0,1,4,120,99,23,1161,150
"RAB25",5,3,0,0,0,0,2,0,0,0,0,0,2,1,0,1021,2
"MEX3A",0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7
"LMNA",565,705,18,39,8,21,133,6,61,23,10,14,1276,184,125,3785,924
"SEMA4A",29,11,0,2,1,0,4,1,0,0,1,4,15,17,0,45,7
"SLC25A44",42,9,0,0,0,0,3,0,1,0,0,2,16,4,0,66,22
"PMF1-BGLAP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PMF1",43,48,5,5,6,2,18,3,6,1,1,3,53,10,14,224,63
"BGLAP",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PAQR6",1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,11,1
"SMG5",14,10,0,1,0,0,0,0,0,1,2,1,11,2,4,122,13
"TMEM79",1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,9,2
"GLMP",46,49,0,0,0,0,5,0,0,0,0,0,28,6,3,128,19
"CCT3",62,97,1,5,3,2,13,2,2,1,1,2,128,27,21,836,113
"TSACC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"RP11-139I14.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"C1orf61",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"RP11-98G7.1",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,11,2
"MEF2D",18,26,1,1,5,1,3,1,1,0,1,4,48,9,3,216,45
"RP11-284F21.8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IQGAP3",6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,41,1
"APOA1BP",28,63,0,4,2,1,14,1,8,3,0,6,48,19,11,551,39
"GPATCH4",13,19,1,2,5,1,4,0,2,0,0,0,25,4,4,179,24
"AL365181.2",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1
"RP11-284F21.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"BCAN",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
"RP11-284F21.10",2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,44,0
"RP11-284F21.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"NES",2,9,0,0,0,0,0,0,0,0,0,0,81,0,0,5,117
"RP11-66D17.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CRABP2",1,156,0,0,0,0,1,0,0,0,0,0,3,1,0,169,1
"ISG20L2",20,19,0,3,3,2,8,2,2,1,2,2,31,18,6,138,22
"RRNAD1",3,7,0,0,1,0,0,1,0,0,0,0,11,3,1,48,10
"MRPL24",21,45,1,3,1,0,4,0,0,1,1,0,50,11,8,265,42
"HDGF",53,73,0,3,0,0,3,0,1,1,1,1,50,21,5,761,52
"PRCC",17,34,1,1,5,0,8,2,1,1,1,4,42,10,6,176,24
"SH2D2A",3,0,3,1,11,0,30,3,12,7,4,0,1,3,41,26,1
"NTRK1",0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0
"INSRR",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"PEAR1",0,3,0,0,0,0,0,0,0,0,0,0,31,0,0,3,19
"LRRC71",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ARHGEF11",4,4,0,0,0,0,0,0,0,0,0,0,1,2,0,24,1
"ETV3",32,8,0,10,2,0,2,2,1,1,0,17,7,44,1,48,23
"RP11-71G12.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FCRL5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"FCRL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FCRL2",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"KIRREL",0,14,0,0,0,0,0,0,0,0,0,0,26,0,0,8,2
"RP11-404O13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"CD1D",2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,7,9
"CD1A",4,1,0,13,0,0,0,0,0,0,0,0,0,1,0,3,0
"CD1C",1,0,0,37,0,0,0,0,0,0,0,0,0,7,0,2,0
"CD1B",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"CD1E",0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0
"MNDA",189,0,0,19,1,1,0,0,0,0,0,0,1,70,0,6,1
"PYHIN1",0,0,3,0,0,0,4,0,0,1,0,0,0,0,6,2,0
"IFI16",88,111,1,1,10,2,28,2,7,2,3,3,182,32,34,233,163
"AIM2",4,0,0,0,0,1,0,0,0,0,0,0,0,1,4,58,1
"CADM3",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CADM3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACKR1",0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,7,404
"FCER1A",0,0,0,31,0,0,0,0,0,0,0,2,0,3,0,1,0
"RP11-550P17.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DUSP23",98,54,1,5,4,1,6,1,1,0,1,0,44,32,6,424,108
"SLAMF8",60,7,0,0,0,0,0,0,0,0,0,0,9,7,0,2,1
"C1orf204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VSIG8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
"RP11-190A12.8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CFAP45",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1
"TAGLN2",331,778,7,59,30,21,153,8,56,13,8,31,856,336,135,3198,763
"IGSF9",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,2
"SLAMF9",47,1,0,2,0,0,0,0,0,0,0,0,0,46,0,5,0
"LINC01133",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,521,1
"PIGM",2,3,0,0,0,0,1,0,1,0,0,0,2,0,0,32,2
"IGSF8",16,14,1,1,2,0,1,1,1,0,0,0,8,4,3,167,2
"RP11-536C5.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PEA15",116,95,0,16,0,2,3,1,2,0,0,7,110,48,3,152,130
"DCAF8",12,25,1,0,1,1,5,0,2,0,0,2,24,6,3,106,20
"RP11-574F21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"PEX19",13,15,0,1,0,0,2,0,0,0,0,0,16,2,5,61,12
"COPA",49,65,0,5,1,2,10,2,2,3,1,7,35,28,4,430,47
"NCSTN",40,26,1,2,1,0,3,0,2,2,0,1,29,11,2,192,25
"NHLH1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"VANGL2",0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"SLAMF6",0,1,0,0,1,0,1,2,0,0,0,0,0,0,3,0,0
"CD84",92,2,2,0,1,0,3,0,3,0,0,0,0,15,6,2,0
"SLAMF1",1,0,0,0,2,0,3,0,0,0,0,0,1,2,8,1,0
"RP11-404F10.2",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"CD48",163,2,6,15,10,6,78,6,16,1,4,5,1,244,25,10,0
"SLAMF7",34,0,0,1,0,0,2,0,0,0,0,6,1,31,0,5,0
"LY9",3,0,1,0,0,9,4,0,0,0,1,1,0,0,1,4,0
"CD244",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ITLN1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
"F11R",24,1,0,0,1,0,3,1,3,0,0,2,0,6,1,575,29
"TSTD1",15,13,2,3,7,2,26,5,9,1,1,7,8,7,26,1061,3
"USF1",2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9,2
"ARHGAP30",39,0,1,4,4,0,14,0,3,1,0,2,1,15,7,20,0
"PVRL4",4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,128,0
"RP11-544M22.8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KLHDC9",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
"PFDN2",77,146,2,7,12,1,13,1,7,3,0,5,124,50,22,715,133
"NIT1",9,20,0,0,0,1,1,1,0,0,0,0,13,11,3,94,10
"DEDD",7,13,1,0,0,0,2,0,0,0,0,0,22,4,1,66,16
"UFC1",78,126,4,5,15,2,42,2,10,4,1,10,130,36,36,931,116
"RP11-297K8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"USP21",1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,9,0
"PPOX",3,6,0,0,1,0,1,1,0,0,0,0,5,0,0,26,12
"B4GALT3",15,43,0,1,4,0,11,0,2,0,1,3,34,11,5,128,15
"ADAMTS4",1,33,0,0,0,0,0,0,0,0,0,0,175,1,0,10,53
"NDUFS2",32,84,0,3,3,0,10,1,2,1,0,4,113,24,9,482,84
"FCER1G",2567,16,0,144,0,1,1,1,2,20,1,36,17,1845,4,108,20
"TOMM40L",3,10,0,1,0,0,0,0,0,0,0,0,4,6,0,8,4
"NR1I3",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"MPZ",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,3
"SDHC",88,114,3,8,4,0,12,0,6,2,0,6,119,40,16,659,75
"CFAP126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FCGR2A",463,3,0,11,0,1,0,0,0,0,1,0,4,173,1,17,0
"HSPA6",23,127,0,1,20,0,2,0,0,0,0,0,14,135,0,136,2
"FCGR3A",354,3,0,2,0,0,0,0,0,4,2,0,2,96,0,13,0
"FCGR3B",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"FCGR2B",95,0,0,8,0,1,1,1,0,0,0,0,2,52,0,3,0
"FCRLA",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
"FCRLB",9,0,0,1,0,0,0,0,0,0,0,0,7,5,0,0,2
"DUSP12",9,20,0,1,1,0,2,0,0,0,0,2,24,2,3,70,14
"RP11-474I16.8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ATF6",45,21,1,1,1,0,5,1,2,0,0,3,25,17,3,147,32
"OLFML2B",51,31,0,1,0,0,0,0,0,0,0,0,248,2,0,4,2
"NOS1AP",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1
"C1orf226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2
"SH2D1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"UHMK1",30,19,0,2,8,3,4,0,4,0,1,3,21,15,5,192,24
"RP11-359K18.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"UAP1",29,56,0,3,5,0,7,1,1,2,2,4,33,28,2,380,20
"DDR2",3,138,0,0,0,0,1,0,0,0,0,0,70,0,0,7,2
"HSD17B7",7,11,0,0,4,0,1,0,1,0,0,0,4,0,4,106,5
"CCDC190",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RGS4",0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"RGS5",2,10,0,0,1,0,0,0,2,0,0,0,1454,4,0,35,47
"RGS5.1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1
"NUF2",2,6,0,0,0,0,0,0,1,0,0,0,4,1,0,28,5
"PBX1",1,37,0,0,1,0,0,0,0,0,0,0,32,1,0,19,10
"RP11-306I1.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"MGST3",252,286,2,5,13,0,13,2,9,3,1,4,309,74,11,1385,277
"ALDH9A1",30,35,0,0,1,1,2,1,4,0,1,2,33,8,8,198,43
"RP11-466F5.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMCO1",99,112,2,9,12,1,21,0,7,1,0,9,102,48,23,591,88
"UCK2",7,16,0,3,2,0,2,0,0,0,0,2,13,2,1,102,35
"RP11-525G13.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FAM78B",0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,13,1
"RP11-276E17.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"POGK",25,13,0,0,0,0,3,0,1,1,1,2,10,6,0,58,17
"TADA1",3,1,0,0,0,0,0,0,0,0,0,0,3,0,1,31,7
"ILDR2",0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"MAEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GPA33",3,1,1,1,1,0,0,0,0,0,0,0,1,3,0,398,2
"DUSP27",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,1
"RP11-277B15.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"POU2F1",5,3,0,0,0,0,0,0,0,0,0,0,10,2,1,73,10
"CD247",2,0,2,0,11,0,40,4,10,8,5,0,1,0,30,10,0
"RP11-104L21.3",0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0
"CREG1",328,96,0,2,1,0,2,0,1,1,0,0,33,99,0,199,35
"RP3-455J7.4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RCSD1",20,2,0,1,2,1,9,1,2,0,1,0,56,16,3,1,5
"MPZL1",43,99,0,1,0,0,3,0,1,0,0,0,43,22,0,323,90
"ADCY10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP1-313L4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
