"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"ASAH1",620,94,2,3,1,0,9,2,5,1,1,2,126,231,12,567,39
"CTD-2547L16.1",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"NAT1",0,0,0,0,0,0,4,0,0,0,0,0,1,5,2,42,2
"NAT2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"PSD3",17,33,0,0,0,0,0,0,0,0,0,0,12,6,0,96,1
"SH2D4A",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,103,1
"CSGALNACT1",0,23,1,0,7,0,3,0,1,0,0,0,39,2,5,15,45
"INTS10",14,24,0,3,2,1,6,0,0,0,2,0,35,5,6,196,15
"LPL",19,1,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0
"SLC18A1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ATP6V1B2",222,31,1,13,6,1,9,0,1,0,2,3,33,103,6,172,19
"LZTS1",0,3,0,0,0,0,0,0,0,0,0,0,40,0,0,0,2
"GFRA2",1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"DOK2",55,0,0,3,4,0,6,1,3,1,3,1,1,29,13,5,0
"XPO7",9,12,0,0,1,0,1,0,0,0,0,0,8,7,4,75,13
"NPM2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"DMTN",0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,58,11
"FAM160B2",3,19,1,1,1,0,1,0,0,0,0,0,7,6,0,71,14
"NUDT18",6,10,0,0,1,0,1,0,0,0,0,0,9,2,0,44,12
"HR",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,34,0
"REEP4",26,13,0,0,1,0,2,0,3,0,0,0,10,9,4,160,16
"BMP1",2,159,0,0,0,0,0,0,0,0,0,0,115,1,1,82,27
"PHYHIP",0,4,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1
"POLR3D",10,39,0,0,1,0,2,1,0,0,0,0,23,2,0,97,18
"PIWIL2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"SLC39A14",1,84,0,0,2,0,3,0,0,0,1,0,26,2,0,276,25
"PPP3CC",14,28,1,1,3,1,5,0,3,1,1,2,37,5,8,30,16
"RP11-582J16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SORBS3",15,78,0,1,0,0,1,0,1,1,0,0,69,3,1,117,44
"PDLIM2",29,253,3,1,1,0,13,1,6,0,0,0,208,7,5,222,73
"C8orf58",1,9,0,0,0,0,3,0,0,0,0,1,6,1,1,14,7
"CCAR2",13,9,1,0,2,0,4,0,1,1,0,0,16,0,4,83,13
"RP11-582J16.5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2
