"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"TMEM91",29,26,1,0,0,0,0,0,1,1,0,3,0,0,1,2,2,10,8,3,15,19
"B9D2",8,20,4,1,0,4,3,1,2,11,5,1,0,4,0,2,0,6,11,11,67,11
"EXOSC5",19,34,2,3,0,2,1,0,1,5,1,2,0,1,1,2,0,13,17,2,187,17
"BCKDHA",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,2
"B3GNT8",6,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,0,71,2
"ATP5SL",13,53,3,1,1,5,0,1,0,10,5,6,1,5,1,2,2,13,6,12,125,37
"PCAT19",2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,335
"LINC01480",13,11,0,0,2,1,0,0,2,1,0,0,0,0,2,0,0,0,1,9,0,2
"AC006129.2",0,0,0,0,0,1,1,0,1,9,3,0,0,3,1,1,1,0,0,5,1,1
"CEACAM21",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CEACAM4",7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"CEACAM7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"CEACAM5",7,9,0,0,0,0,0,0,0,3,0,1,0,0,1,1,1,2,4,1,1506,3
"CEACAM6",10,10,0,1,0,1,0,4,0,4,4,0,0,0,0,0,0,2,10,3,1650,6
"CEACAM3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
