"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"C1orf168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DAB1",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,0
"OMA1",4,32,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,2,1,85,1
"TACSTD2",143,374,1,21,0,5,4,2,10,14,5,5,0,13,5,2,11,60,44,18,21053,39
"MYSM1",14,26,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,4,1,2,146,3
"JUN",863,7114,32,67,3,32,25,30,58,245,90,163,11,276,17,37,36,517,109,218,12702,229
"LINC01135",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP4-794H19.1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"LINC01358",2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"RP11-467C18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FGGY",11,22,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,115,0
"HOOK1",0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,205,0
"CYP2J2",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,85,0
"C1orf87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-776H12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
"RP11-436K8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NFIA",4,19,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,18,1,0,560,22
"NFIA-AS2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TM2D1",43,232,0,7,1,3,2,2,6,5,7,3,2,9,1,0,14,34,14,20,900,14
"RP11-430G17.3",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0
"INADL",1,5,0,0,0,0,0,1,2,1,0,0,0,3,0,0,1,1,0,1,347,1
"L1TD1",2,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,262,0
"KANK4",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USP1",15,100,1,6,1,2,1,1,5,10,2,2,0,7,1,0,5,11,1,7,355,5
"DOCK7",15,57,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7,3,0,127,0
"ATG4C",19,41,0,2,0,0,0,0,0,3,1,0,1,0,0,0,1,4,3,1,41,4
"RP4-771M4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FOXD3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ALG6",7,27,0,1,0,0,0,0,1,2,2,0,0,1,0,1,1,5,3,3,95,4
"ITGB3BP",15,56,0,1,0,2,1,0,1,3,0,1,0,3,1,0,0,9,5,6,135,9
"EFCAB7",1,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,12,2
"PGM1",12,169,0,2,2,1,0,0,0,5,2,1,0,2,0,1,4,17,5,3,340,3
"ROR1",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1
"ROR1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CACHD1",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3
"RAVER2",1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,4
"JAK1",46,220,2,13,0,2,3,2,9,21,9,2,2,16,2,3,5,54,29,39,849,53
"RP4-535B20.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-535B20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AK4",8,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,0,80,0
"DNAJC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"LEPROT",98,739,2,11,0,1,0,1,1,8,0,5,0,6,0,1,7,101,32,9,754,35
"LEPR",3,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
"PDE4B",116,40,3,59,0,8,6,4,5,36,18,0,4,33,1,3,21,0,107,28,55,18
"SGIP1",0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,4,0,4,11
"RP4-598P13.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCTEX1D1",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
"WDR78",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,21,0
"MIER1",23,142,1,2,0,1,1,2,4,9,5,3,2,8,0,3,4,13,12,13,409,9
"SLC35D1",5,38,0,2,1,0,1,0,0,0,1,1,0,1,1,2,1,5,3,2,152,1
"IL23R",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0
"IL12RB2",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,5,0
"SERBP1",100,628,5,26,2,5,9,11,5,25,16,11,3,39,4,10,20,121,41,48,2742,60
"GADD45A",48,392,2,17,0,2,5,2,0,8,2,0,2,7,2,2,12,23,20,25,1963,20
"GNG12",13,207,0,1,0,1,0,1,0,0,0,1,0,3,0,0,1,26,1,2,601,7
"GNG12-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
"DIRAS3",2,35,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"WLS",16,148,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,20,3,0,113,8
"DEPDC1",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"DEPDC1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LRRC7",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
"LRRC40",5,38,0,0,1,0,1,2,0,2,3,0,0,3,0,1,0,8,1,2,64,3
"SRSF11",90,438,3,20,3,3,6,1,7,25,11,6,2,29,3,8,15,57,39,30,1487,57
"ANKRD13C",10,42,0,2,0,0,0,3,0,4,2,1,0,3,1,3,1,4,2,5,100,3
"HHLA3",9,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,1,62,0
"CTH",1,13,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,20,0
"RP11-42O15.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP5-952N6.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTGER3",0,72,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,1,3,0
"ZRANB2",13,108,1,5,0,1,1,0,1,4,3,3,1,6,1,4,5,10,4,6,284,9
"NEGR1",0,53,0,1,0,0,0,2,0,0,0,3,0,0,0,0,3,0,1,0,1,0
"LRRIQ3",2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,18,0
"FPGT",6,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,62,1
"FPGT-TNNI3K",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-17E13.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CRYZ",6,25,3,1,0,0,0,0,1,0,1,1,0,1,1,0,0,11,1,0,141,2
"TYW3",14,77,1,3,0,2,0,0,2,4,2,1,1,5,0,0,2,11,8,7,195,3
"SLC44A5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"ACADM",30,112,1,7,0,0,0,0,1,2,5,0,0,4,4,2,3,13,8,6,149,9
"RABGGTB",44,181,0,6,0,2,0,2,4,6,4,1,2,11,1,3,4,26,20,14,504,16
"ST6GALNAC3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6
"ST6GALNAC5",2,115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
"PIGK",16,109,0,3,0,3,0,0,1,2,1,1,0,3,0,0,0,12,2,4,181,7
"AK5",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZZZ3",8,36,1,0,0,0,0,1,0,3,4,0,0,2,0,0,0,5,1,5,154,4
"USP33",14,51,0,2,0,0,1,1,0,3,2,1,0,3,0,0,2,11,5,4,218,4
"FAM73A",4,27,0,0,0,0,0,0,2,0,1,0,0,3,0,1,0,7,3,4,129,4
"NEXN-AS1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEXN",1,158,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,28,2,0,4,0
"FUBP1",13,114,2,2,1,1,2,3,2,4,3,2,1,6,2,0,2,11,8,15,331,7
"DNAJB4",68,181,0,7,1,1,0,0,2,2,0,1,0,3,0,1,1,43,11,6,75,29
"GIPC2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0
"RP11-386I14.4",70,24,0,25,0,0,0,2,1,2,2,0,1,2,1,1,8,4,44,4,167,7
"PTGFR",0,40,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0
"IFI44L",7,24,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,5,4,0,1,1
"IFI44",41,60,0,6,0,0,1,0,0,2,1,0,0,3,0,0,0,6,15,2,36,14
"ADGRL4",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,119
"RP5-887A10.1",0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRL2",1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,17
"RP11-475O6.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TTLL7",5,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,16,1
"RP11-486G15.2",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"PRKACB",21,56,0,1,0,0,0,4,2,0,4,0,0,2,1,0,1,4,5,8,206,2
"SAMD13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2
"RPF1",14,85,0,1,0,2,1,1,2,9,1,3,0,4,0,4,4,21,3,10,388,17
"GNG5",229,472,0,55,0,2,4,4,10,8,8,6,3,13,2,2,36,109,84,26,4371,86
"CTBS",40,63,0,0,0,1,1,0,2,2,0,0,1,4,1,1,1,11,15,4,213,5
"SSX2IP",4,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,0,108,0
"LPAR3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCOLN2",16,0,1,15,1,0,0,0,0,1,2,0,0,0,0,1,2,0,6,1,6,0
"WDR63",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MCOLN3",2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"SYDE2",0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0
"C1orf52",25,135,0,4,0,0,0,2,1,7,1,0,1,4,1,0,7,12,8,5,636,15
"BCL10",44,74,0,3,0,2,0,1,6,2,1,1,1,6,1,3,5,19,11,11,2035,11
"RP11-131L23.1",7,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,1
"DDAH1",1,56,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,0,765,14
"RP11-131L23.2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
"RP4-621F18.2",0,30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,2,0
"RP11-290M5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CYR61",7,1195,0,0,0,0,0,0,0,1,1,151,0,2,0,0,2,175,3,2,235,63
"ZNHIT6",4,32,0,0,0,0,0,0,1,4,0,0,1,2,0,0,0,4,1,0,82,2
"COL24A1",4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0
"ODF2L",15,250,2,1,0,1,3,1,1,21,6,3,1,21,0,4,2,62,6,16,553,29
"CLCA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"CLCA1",21,34,0,1,1,0,0,0,0,4,0,4,0,3,0,2,1,7,4,4,4035,2
"CLCA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-651E10.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP4-612B15.3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,1
"SH3GLB1",77,371,0,11,1,4,4,2,4,14,4,1,0,9,3,5,9,87,16,21,1322,52
"SEP15",241,928,2,38,2,7,6,9,18,23,21,13,2,30,6,5,46,133,82,43,2440,70
"HS2ST1",11,97,0,2,0,0,0,1,0,0,1,2,0,1,0,0,1,12,4,0,187,12
"LINC01140",1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LMO4",55,370,1,9,2,1,2,1,4,3,3,4,0,3,2,2,1,55,6,0,721,6
"PKN2",8,64,1,1,0,0,1,0,1,2,0,0,1,2,1,0,1,7,2,3,573,7
"GTF2B",101,148,1,29,0,4,0,1,4,12,6,1,1,17,2,2,13,32,28,31,544,8
"CCBL2",13,70,0,3,0,1,0,0,5,2,0,2,0,3,0,2,2,20,6,5,128,1
"RBMXL1",19,49,0,3,0,2,2,1,1,1,1,2,0,1,0,2,1,5,13,4,192,1
"GBP3",19,79,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,12,2,2,322,5
"GBP1",31,99,1,2,1,0,0,0,0,1,2,2,0,1,0,0,0,19,9,8,23,18
"GBP2",71,142,4,7,0,2,0,2,1,6,5,9,1,9,2,3,0,21,30,53,188,17
"GBP4",28,19,1,8,0,1,1,0,0,2,1,0,1,3,2,0,0,6,4,5,12,21
"GBP5",6,10,0,0,0,1,0,0,0,5,2,0,0,3,0,0,0,0,11,23,3,1
"GBP6",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LRRC8B",4,10,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,5,202,2
"FLJ27354",5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3
"LRRC8C",24,7,0,9,0,3,0,0,2,4,1,0,0,2,0,0,0,1,7,2,3,12
"RP5-943J3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"LRRC8D",6,14,0,0,0,0,0,2,0,2,1,0,0,1,0,0,3,1,4,2,78,4
"ZNF326",13,82,0,2,2,1,1,0,2,4,1,1,0,1,0,1,3,14,6,7,588,19
"RP4-665J23.1",0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,3
"ZNF644",36,103,3,3,0,1,2,0,4,3,5,3,1,5,2,3,3,13,10,12,420,8
"CDC7",1,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,2,16,5
"TGFBR3",0,21,0,0,0,1,0,0,0,0,0,1,0,4,1,2,0,2,1,0,40,13
"BRDT",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"EPHX4",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,7
"SETSIP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BTBD8",0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0
"KIAA1107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"RP4-621B10.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLMN",4,10,2,2,0,0,0,1,1,4,0,0,0,4,0,2,1,1,1,6,38,4
"RPAP2",4,40,0,1,0,0,0,1,1,5,0,1,0,1,0,0,0,2,0,2,90,1
"GFI1",0,0,0,0,0,2,0,2,0,1,1,0,0,2,0,0,1,0,0,0,7,0
"EVI5",21,70,0,4,0,0,0,0,2,0,0,1,0,0,0,0,1,16,8,1,179,7
"RPL5",642,5072,28,319,20,39,44,57,163,298,80,111,38,414,34,68,192,709,356,343,12183,342
"FAM69A",0,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,15,1
"MTF2",8,82,3,5,0,1,2,0,4,7,1,0,1,6,3,2,5,14,4,13,425,17
"TMED5",54,72,1,4,1,1,0,1,2,4,1,0,0,5,1,1,4,14,18,8,275,7
"CCDC18",5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,19,2
"DR1",33,141,3,6,1,1,4,4,4,5,12,3,2,6,2,3,5,31,8,15,1152,19
"FNBP1L",3,63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,2,280,13
"BCAR3",0,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,94,9
"RP5-1033H22.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0
"RP4-561L24.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"DNTTIP2",27,83,4,14,1,2,2,0,5,12,5,1,1,14,5,5,10,22,35,11,393,14
"GCLM",8,61,1,0,0,0,1,0,2,3,1,0,0,4,0,1,1,7,4,3,309,8
"ABCA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ARHGAP29",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,16,73
"RP11-148B18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ABCD3",9,42,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,9,1,2,312,6
"F3",47,255,2,6,0,1,0,0,2,6,1,2,0,4,4,2,3,37,20,11,6240,6
"RP11-86H7.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC44A3",2,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,655,0
"CNN3",6,1368,0,0,1,0,1,0,0,1,1,21,0,0,0,0,1,266,3,1,565,66
"RP4-639F20.1",0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1
"ALG14",5,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,4,0,186,3
"TMEM56",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,201,0
"TMEM56-RWDD3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"RP11-57H12.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RWDD3",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"PTBP2",6,47,0,0,0,0,0,1,1,1,0,0,1,2,1,0,0,8,1,1,93,23
"DPYD",60,37,0,13,0,0,0,1,0,1,1,0,0,5,0,0,0,4,30,3,19,0
"SNX7",14,234,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,56,8
"PLPPR5",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLPPR4",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"PALMD",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37
"FRRS1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AGL",9,41,0,1,0,0,0,0,0,2,3,1,0,2,1,0,3,1,2,2,74,2
"RP5-884G6.2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0
"SLC35A3",15,39,0,2,1,4,1,1,2,3,3,1,2,2,1,0,6,5,5,4,807,6
"MFSD14A",11,105,0,1,2,2,2,2,1,13,5,1,0,13,0,4,5,16,5,17,309,17
"SASS6",4,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,32,1
"TRMT13",2,27,0,2,1,0,0,0,2,1,0,0,0,2,0,1,2,4,1,4,90,2
"LRRC39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DBT",2,28,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,66,4
"RTCA-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0
"RTCA",27,87,1,7,1,0,0,1,4,9,2,1,1,2,1,0,4,16,8,9,328,7
"CDC14A",2,7,0,0,0,0,0,0,0,9,3,0,0,7,0,0,0,1,1,4,2,6
"VCAM1",1,415,0,0,0,0,0,0,0,0,3,9,0,0,0,3,1,30,0,0,12,8
"EXTL2",6,137,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,10,0,0,46,9
"RP4-549L20.3",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,25,1
"SLC30A7",25,140,1,4,0,0,0,2,2,6,1,1,0,8,0,0,2,24,14,7,500,12
"DPH5",11,44,0,0,0,2,0,0,1,3,1,2,0,2,0,0,0,5,1,4,115,6
"RP11-421L21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-421L21.3",3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,42,2
"RP4-575N6.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"S1PR1",5,6,0,0,0,1,0,0,2,5,0,0,1,15,1,0,0,0,0,5,3,29
"COL11A1",8,1280,0,2,0,0,1,0,0,1,0,0,0,0,1,0,1,13,1,1,44,2
"RNPC3",5,21,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,5,5,3,49,3
"AMY2B",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
"PRMT6",1,29,0,0,0,0,0,1,2,2,0,0,0,1,0,1,0,4,1,4,59,2
"VAV3",14,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,3,3,5,2
"RP11-356N1.2",10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A24",51,76,0,10,0,1,0,0,1,1,2,1,0,3,0,0,1,21,11,3,484,8
"RP11-483I13.5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0
"FAM102B",24,34,0,7,0,1,1,1,0,0,0,0,0,0,0,1,0,3,21,0,154,5
"HENMT1",7,22,0,0,0,0,2,1,0,3,3,0,0,5,2,0,1,8,2,5,201,4
"PRPF38B",65,220,5,13,3,5,3,8,12,23,12,0,2,32,11,3,23,35,30,43,923,42
"FNDC7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"STXBP3",29,38,0,7,1,1,0,0,1,1,5,1,0,4,0,1,0,10,4,2,266,5
"AKNAD1",0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,23,1
"GPSM2",0,22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,1,289,1
"CLCC1",2,23,0,3,0,0,0,0,2,0,0,0,0,1,0,0,1,2,1,0,65,5
"WDR47",9,26,0,3,0,0,0,2,0,3,1,0,0,3,2,2,1,3,3,2,56,3
"TAF13",33,108,1,8,0,1,0,1,2,1,4,2,0,5,3,1,12,20,18,11,635,15
"RP5-1065J22.8",3,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1
"TMEM167B",22,115,2,5,1,1,3,0,2,3,0,0,0,5,2,2,5,14,7,5,350,7
"SCARNA2",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"C1orf194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"KIAA1324",7,19,0,1,0,0,1,1,2,2,0,0,0,0,0,0,6,2,3,2,1184,3
"SARS",33,231,1,6,2,2,2,1,3,3,5,3,1,4,1,0,8,51,10,15,366,19
"CELSR2",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,0
"PSRC1",2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"SORT1",24,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,17,6,0,310,2
"PSMA5",67,237,0,21,1,1,1,5,3,8,2,6,2,8,2,4,7,66,22,29,1215,32
"SYPL2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ATXN7L2",0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,32,1
"CYB561D1",1,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2,36,0
"AMIGO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"GNAI3",87,300,1,24,3,2,0,2,4,19,21,2,4,21,4,7,13,58,31,21,1057,64
"GNAT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AMPD2",19,59,0,11,0,0,0,1,0,3,1,1,0,2,0,0,0,4,16,0,203,5
"GSTM4",11,85,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,18,5,1,92,2
"GSTM2",0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0
"GSTM1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"GSTM5",1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
"GSTM3",13,197,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,38,1,2,276,7
"EPS8L3",4,11,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,4,1,0,489,2
"RP11-195M16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CSF1",5,39,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,7,6,1,32,4
"AHCYL1",53,262,1,1,0,0,0,0,1,2,1,1,0,2,1,0,6,31,13,6,640,19
"STRIP1",10,41,1,3,0,0,0,0,2,3,0,0,1,2,0,1,0,8,1,3,122,2
"RP4-773N10.4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,2
"UBL4B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC6A17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"KCNC4-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
