"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"FIBP",67,334,1,23,0,3,1,1,6,4,9,0,3,8,2,3,7,53,30,15,367,28
"CCDC85B",67,438,6,14,3,3,2,4,4,21,10,11,2,18,7,7,13,43,18,20,438,227
"FOSL1",17,51,1,1,0,0,0,0,1,2,0,0,0,1,0,2,2,7,4,1,1080,12
"C11orf68",3,47,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,1,0,53,3
"DRAP1",177,631,4,49,6,6,1,4,2,35,14,7,1,33,7,7,24,103,82,28,1006,52
"SART1",14,73,1,1,1,0,0,2,4,2,0,0,0,5,0,0,5,10,2,6,145,5
"EIF1AD",14,46,1,0,0,0,0,2,5,0,1,1,1,2,1,1,0,11,8,5,312,3
"BANF1",97,581,1,37,0,3,1,4,15,5,4,4,1,21,0,2,12,94,46,17,1844,57
"CST6",26,28,1,10,0,0,0,0,0,0,1,0,0,2,0,0,0,0,17,0,1565,1
"CATSPER1",21,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,18,0,46,1
"SF3B2",48,347,3,13,2,2,2,4,5,15,10,3,0,26,2,5,14,75,19,34,622,34
"RP11-1167A19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PACS1",16,78,1,3,1,0,1,0,2,2,0,1,0,4,0,1,0,11,2,7,92,4
"RP11-755F10.1",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"KLC2",3,45,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,2,86,2
"RP11-755F10.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAB1B",29,153,0,7,1,1,1,0,3,2,1,2,0,2,1,1,6,24,14,10,344,14
"RP11-867G23.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-867G23.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CNIH2",0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,9,1
"YIF1A",48,638,2,9,0,1,1,2,2,8,4,2,3,7,0,1,10,120,19,16,824,21
"TMEM151A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CD248",1,375,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,152,1,0,24,0
"RIN1",8,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,33,2
"BRMS1",34,125,0,8,0,1,2,2,2,7,5,1,1,5,2,0,2,22,9,16,265,10
"B4GAT1",3,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,10,3
"RP11-867G23.8",1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"SLC29A2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,0
"NPAS4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MRPL11",39,189,1,6,2,0,2,1,11,8,4,1,2,3,1,1,3,21,15,10,550,13
"PELI3",1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
"CTD-3074O7.5",1,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,41,1
"DPP3",7,22,0,2,0,1,0,0,1,2,5,1,0,2,0,0,3,11,3,4,151,4
"BBS1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ZDHHC24",23,88,0,4,1,0,0,0,2,1,1,1,0,2,2,0,13,10,5,6,101,6
"CTSF",20,440,0,1,0,0,0,1,0,1,0,4,0,1,1,1,0,33,1,0,118,13
"CCDC87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CCS",39,207,0,5,0,0,0,2,0,2,5,0,0,1,1,0,6,28,14,8,200,10
"RBM14",16,69,0,5,0,0,0,1,2,4,5,1,1,7,1,2,4,11,10,13,252,11
"RBM14-RBM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RBM4",11,48,0,3,1,0,0,2,5,7,2,0,0,13,1,1,8,8,9,8,135,6
"RBM4B",8,47,0,2,0,0,0,0,2,4,0,0,0,4,0,0,4,11,1,1,49,1
"RP11-658F2.8",1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,2,12,1
"SPTBN2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1
"C11orf80",4,9,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,3,53,2
"RCE1",11,45,0,3,0,0,0,0,4,2,5,1,0,6,0,0,1,12,4,5,163,2
"PC",10,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,8,0
"LRFN4",2,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,59,1
"C11orf86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"SYT12",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"RHOD",2,136,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,2,281,3
"KDM2A",18,82,0,2,2,2,1,1,4,8,1,2,1,8,0,4,4,14,6,19,349,18
"ADRBK1",38,43,0,10,0,0,0,0,3,4,5,1,0,5,1,1,3,8,18,5,644,4
"ANKRD13D",14,30,0,0,0,2,1,3,1,4,3,0,0,4,0,0,1,5,4,3,118,4
"SSH3",3,31,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,119,1
"RAD9A",6,43,0,3,0,2,1,0,1,7,0,2,1,5,0,0,2,3,4,9,162,3
"POLD4",21,65,0,7,0,0,0,0,0,2,1,0,0,3,0,1,0,15,9,8,168,4
"CTC-1337H24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"CLCF1",15,23,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,6,5,2,499,3
"CTC-1337H24.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"PPP1CA",164,396,7,48,5,7,6,6,22,25,14,3,5,26,11,7,24,115,82,50,1311,51
"TBC1D10C",5,1,7,1,0,3,0,1,7,6,11,0,4,15,1,7,0,0,1,25,4,0
