"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-220C2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC084809.2",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
"AC084809.3",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,13,0
"TMEM98",1,47,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,234,1
"SPACA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASIC2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0
"CCL2",954,125,1,1,1,1,0,2,2,2,1,3,1,2,1,0,0,0,170,1231,5,77,153
"CCL7",110,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,52,0,4,0
"CCL11",2,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"CCL8",191,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,10,176,0,2,1
"CCL13",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,7,0
"CCT6B",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,11,0
"ZNF830",8,10,4,0,3,1,1,3,4,12,3,9,3,5,1,2,1,1,1,6,13,83,10
"LIG3",1,3,0,1,1,0,0,0,0,2,2,0,0,0,1,1,0,0,0,5,2,46,1
"RFFL",6,1,3,1,2,0,0,3,5,1,5,3,0,2,2,1,2,1,1,6,9,80,1
"RAD51D",4,3,0,0,0,0,1,0,3,1,0,1,1,0,0,1,0,0,1,2,5,15,4
"NLE1",3,3,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,3,0,68,1
"RP11-799D4.4",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1
"SLFN5",25,12,4,1,2,5,3,0,8,3,10,10,1,5,0,7,3,1,5,16,27,29,20
"RP11-47L3.1",0,2,1,0,3,3,0,0,4,0,0,1,0,1,1,6,1,0,0,0,3,1,2
"SLFN11",27,10,3,1,2,0,0,2,0,3,2,1,1,1,0,2,0,1,3,6,4,21,8
"RP11-686D22.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SLFN12",0,2,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,2,3,0,1
"SLFN13",2,0,0,0,0,2,0,1,4,0,0,4,0,0,0,5,0,1,0,0,0,0,1
"SLFN12L",0,0,4,0,3,5,0,1,3,1,2,3,0,2,0,4,1,0,0,1,3,0,0
"RP11-1094M14.11",9,5,1,1,4,4,2,2,2,3,3,2,3,1,0,2,5,1,4,5,4,47,6
"PEX12",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,0
"AP2B1",46,18,6,0,5,9,3,6,9,12,7,14,5,5,0,6,3,1,4,33,21,499,28
"TAF15",37,8,4,4,10,2,1,8,4,5,8,6,3,6,2,5,3,7,7,24,30,253,13
"RASL10B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MMP28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"C17orf50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"AC015849.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HEATR9",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"AC015849.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL5",786,13,246,14,565,550,73,77,1189,8,216,1176,4,37,34,575,365,2,6,215,31,126,7
"RDM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CCL14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
"CTB-186H2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CCL15-CCL14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CCL15",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,61,1
"CCL23",9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,2,1
"CCL18",1661,8,1,0,1,7,2,4,2,2,3,4,3,2,0,1,2,0,0,54,6,112,7
"AC069363.1",72,0,0,0,1,3,1,1,6,0,1,1,2,0,0,4,3,0,0,136,1,8,1
"CCL3",11093,83,55,96,118,73,13,158,86,53,57,163,45,39,7,72,69,23,25,22618,115,1260,61
"CCL4",6502,47,168,59,427,408,137,298,291,53,67,587,38,30,7,219,241,13,17,9270,147,840,51
"CTB-91J4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC131056.3",0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"CCL3L3",4085,55,30,142,29,32,9,28,62,34,38,82,22,25,2,20,26,16,23,15329,89,909,45
"CCL4L2",2333,42,66,140,88,159,30,43,40,20,21,77,16,18,5,36,38,8,16,6837,46,498,20
"ZNHIT3",34,11,6,1,3,6,6,10,13,13,10,16,3,13,0,10,6,4,1,21,37,219,10
"MYO19",8,4,2,0,0,1,0,3,2,1,3,2,1,2,1,3,1,2,1,5,3,97,3
"PIGW",3,2,0,0,0,1,0,0,4,0,0,2,0,0,0,1,1,1,1,1,2,23,2
"GGNBP2",47,28,5,5,8,8,3,13,15,20,19,17,14,16,2,12,7,7,10,44,37,351,20
"DHRS11",1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2,1,2,41,0
"MRM1",4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,28,1
"CTB-75G16.3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"AATF",23,14,2,1,4,4,2,10,8,9,2,8,2,4,1,9,5,2,1,25,29,196,6
"ACACA",4,7,0,1,1,2,0,1,2,2,0,0,0,0,0,1,1,0,0,2,5,44,7
"TADA2A",1,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,3,1,27,1
"RP11-378E13.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DUSP14",3,9,1,0,1,0,0,2,1,2,3,3,0,2,0,0,0,0,24,1,3,27,9
"SYNRG",18,11,6,2,6,4,5,4,5,10,10,9,6,9,0,6,5,1,2,4,22,73,6
"DDX52",15,9,3,0,7,3,1,7,7,11,7,5,4,5,1,3,4,0,4,15,20,169,13
"HNF1B",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
"TBC1D3L",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"MRPL45",13,14,0,1,0,2,1,1,0,1,2,1,1,2,0,1,0,2,2,6,9,163,7
"SOCS7",6,1,0,0,0,2,0,2,0,0,0,2,1,1,0,0,0,0,0,0,1,37,5
"ARHGAP23",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19
"SRCIN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
"C17orf96",7,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,3,9,2
"CTB-58E17.1",17,0,2,2,0,2,0,1,2,1,1,0,0,0,0,2,1,1,0,53,5,14,1
"CTB-58E17.3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1
"MLLT6",19,11,3,2,2,3,2,12,6,6,9,3,4,9,1,4,3,0,4,16,11,143,7
"CISD3",99,16,3,5,8,4,2,8,11,2,7,5,2,7,0,5,3,1,13,48,24,676,15
"PCGF2",3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,53,14
"CTB-58E17.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"PSMB3",269,107,25,22,30,27,15,50,49,32,40,68,23,35,1,26,16,23,33,313,170,1544,77
"PIP4K2B",4,4,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,18,7
"CWC25",24,5,6,5,6,6,2,11,22,17,10,18,9,16,1,9,6,4,3,36,31,237,18
"RPL23",801,352,135,138,93,142,94,203,243,530,323,284,283,422,21,148,131,142,112,1224,714,6457,413
"LASP1",67,18,7,6,9,7,2,13,16,2,5,10,7,4,0,7,5,2,14,40,33,578,30
"LINC00672",1,1,0,0,1,0,1,2,1,0,0,0,0,0,0,1,1,0,2,2,0,40,0
"PLXDC1",2,22,4,0,3,2,2,0,4,0,1,5,0,0,0,0,0,0,51,0,0,6,0
"CACNB1",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2,0
