"","Anti-inflammatory macro/mono","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"RP11-613D13.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACCS",2,0,0,0,0,0,1,2,2,1,0,0,0,1,0,41
"EXT2",6,1,0,0,0,0,0,11,3,0,0,1,0,2,0,526
"CD82",49,8,3,3,19,1,19,87,18,2,3,2,2,2,41,768
"TSPAN18",0,1,0,1,1,0,0,1,1,0,2,0,0,0,0,201
"TP53I11",0,0,0,0,0,0,2,1,0,3,0,0,1,1,0,537
"PRDM11",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,94
"SYT13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
"RP11-430H10.1",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,109
"DKFZp779M0652",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"SLC35C1",1,1,0,0,0,0,1,5,3,0,1,0,0,0,3,585
"CRY2",4,0,0,0,0,0,1,6,2,0,0,0,0,1,1,123
"MAPK8IP1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,91
"RP11-618K13.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"C11orf94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PEX16",11,2,1,2,2,1,2,28,7,0,5,3,0,0,6,1216
"GYLTL1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308
"PHF21A",3,1,0,0,2,0,0,6,1,0,1,1,1,1,3,133
"RP11-702F3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CTD-2589M5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"CREB3L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637
"DGKZ",8,2,0,0,2,3,3,13,4,0,1,2,0,0,2,973
"MDK",5,1,1,0,1,0,0,11,2,0,0,1,1,0,5,8895
"AMBRA1",1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,144
"HARBI1",0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,65
"ATG13",10,1,1,1,0,2,1,9,3,1,1,1,0,1,5,349
"ARHGAP1",4,1,0,3,1,0,0,15,2,0,1,0,0,0,3,319
"ZNF408",3,0,0,0,1,0,1,4,1,0,0,1,0,0,2,290
"CKAP5",7,0,0,1,1,0,0,2,1,0,0,0,0,0,1,415
"LRP4-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
