"","Anti-inflammatory macro/mono","CAFs","CXCL13+ CD8 Tcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"AFAP1-AS1",0,0,0,0,0,0,0,0,0,1,0
"AFAP1",0,0,0,0,0,1,0,0,0,707,2
"ABLIM2",0,0,0,0,0,0,0,0,0,162,0
"SH3TC1",4,0,0,1,0,0,0,0,1,133,5
"HTRA3",0,7,0,0,0,0,0,0,0,0,1
"RP11-774O3.3",0,0,0,0,0,0,0,0,0,9,1
"ACOX3",0,1,0,0,0,0,1,0,1,263,0
"TRMT44",0,1,0,0,0,0,0,0,0,126,0
"GPR78",0,0,0,0,0,0,0,0,0,1,0
"SLC2A9",0,0,0,0,0,0,0,0,0,17,0
"WDR1",22,10,2,8,6,3,1,3,10,4906,13
"ZNF518B",1,2,0,1,0,0,0,0,0,1,0
"CLNK",0,0,2,0,0,0,0,0,0,18,0
"HS3ST1",5,0,0,0,0,0,0,3,1,368,0
"RP11-281P23.1",0,0,0,0,0,0,0,0,0,2,0
"RP11-281P23.2",0,0,0,0,0,0,0,0,0,2,0
"RP11-22A3.2",0,0,0,0,0,0,0,0,0,14,0
"RP11-22A3.1",0,0,0,0,0,0,0,0,0,4,0
"RAB28",2,5,1,1,1,0,2,0,1,583,0
"NKX3-2",0,1,0,0,0,0,0,0,0,0,0
"BOD1L1",2,0,1,0,0,1,1,1,0,989,0
"LINC00504",0,0,0,0,0,0,0,0,0,8,0
"CPEB2-AS1",0,0,0,0,0,0,0,0,0,3,0
"CPEB2",3,0,0,0,0,0,0,1,0,379,1
"C1QTNF7",0,1,0,0,0,0,0,0,0,0,0
"CC2D2A",0,1,0,0,0,0,0,0,0,280,0
"RP11-799M12.2",0,0,0,0,0,0,0,0,0,1,0
"FBXL5",5,3,0,1,2,1,1,0,3,652,1
"FAM200B",5,3,1,5,2,0,1,2,4,1883,1
"BST1",3,1,0,0,0,0,0,1,0,1,0
"CD38",1,0,0,1,2,2,1,0,0,0,0
"FGFBP1",0,0,0,0,0,0,0,1,0,1839,0
"FGFBP2",0,0,0,0,2,0,13,0,0,8,0
"PROM1",1,1,0,0,0,0,0,0,0,1477,0
"TAPT1",3,0,0,0,0,0,0,0,1,370,0
"TAPT1-AS1",0,0,0,0,0,0,0,0,0,15,0
"LDB2",0,4,0,0,0,0,0,0,0,0,8
"QDPR",5,5,1,0,2,0,0,2,1,2203,0
"LAP3",3,2,2,3,1,0,1,2,1,1522,3
"MED28",8,5,1,6,1,4,1,1,4,2984,3
"FAM184B",0,0,0,0,0,0,0,0,0,1,0
"DCAF16",1,2,0,2,0,0,0,0,1,709,0
"NCAPG",0,0,0,0,0,0,0,0,0,271,0
"LCORL",4,0,0,0,1,0,0,0,1,401,1
"PACRGL",0,1,0,1,0,0,0,0,1,431,1
"ADGRA3",1,1,0,0,0,0,0,0,0,850,0
"PPARGC1A",0,0,0,0,0,0,0,0,0,133,0
"DHX15",0,3,0,2,0,0,0,2,4,2187,4
"RP11-496D24.2",0,0,0,0,0,0,0,0,0,2,0
"SOD3",1,33,0,0,0,0,0,1,0,8317,2
"CCDC149",0,0,0,0,0,0,0,0,0,226,0
"LGI2",0,0,0,0,0,0,0,0,0,39,0
"SEPSECS",1,0,1,0,0,0,0,0,0,144,0
"SEPSECS-AS1",1,0,1,0,0,0,0,0,0,71,0
"RP11-660M5.1",0,0,0,0,0,0,0,0,0,3,0
"PI4K2B",1,0,0,2,0,0,0,0,0,708,0
"ZCCHC4",0,0,1,0,1,0,0,0,0,124,0
"ANAPC4",1,0,1,1,0,0,0,0,0,371,0
"SLC34A2",0,0,0,0,0,0,0,0,0,2,0
"SEL1L3",3,0,0,2,1,1,0,0,3,1196,2
"SMIM20",8,6,0,2,3,0,1,1,3,3127,0
"RP13-494C23.1",0,0,0,0,0,0,0,0,0,1,0
"RBPJ",12,7,5,18,2,0,1,2,13,2103,1
"TBC1D19",0,1,0,0,0,3,0,0,0,58,0
"STIM2",0,4,0,1,0,1,0,0,4,789,3
"RP11-293A21.1",0,0,0,0,0,0,0,0,0,52,0
"PCDH7",0,2,0,0,0,0,0,0,0,1,0
"ARAP2",0,0,0,3,2,1,1,1,4,528,0
"RP11-431M7.3",1,0,0,0,0,0,0,0,0,1,0
"DTHD1",0,0,0,1,0,1,1,0,0,5,0
"C4orf19",0,0,0,0,0,0,0,0,0,569,0
"RP11-36B15.1",0,0,0,0,0,0,0,0,0,1,0
"RELL1",0,1,0,1,0,0,0,0,0,55,0
"PGM2",3,0,0,0,0,0,0,0,0,766,2
"TBC1D1",3,0,2,0,1,1,0,0,2,941,3
"PTTG2",0,0,0,0,0,0,0,0,0,19,0
"KLF3",1,1,0,5,4,4,1,0,1,4609,2
"TLR10",0,0,0,0,0,0,0,0,0,0,0
"TLR1",3,0,0,0,1,0,0,0,0,0,0
"TLR6",0,0,0,0,0,0,0,0,0,10,0
"FAM114A1",2,10,0,0,0,0,0,0,0,807,1
"TMEM156",2,0,1,2,0,1,1,0,1,10,0
"KLHL5",1,5,1,1,0,1,0,0,1,46,2
"WDR19",1,0,0,0,0,0,0,0,0,129,0
"RFC1",1,2,0,3,1,2,0,0,1,1573,1
"KLB",0,0,0,0,0,0,0,0,0,1,0
"RPL9",211,238,41,235,93,269,36,73,140,159768,159
"LIAS",0,0,0,0,0,1,0,0,0,628,1
"UGDH",1,3,0,2,0,0,0,1,0,1232,1
"UGDH-AS1",0,0,0,0,0,0,0,0,0,18,0
"SMIM14",1,8,0,1,0,1,0,1,0,2147,2
"RP11-539G18.3",0,0,0,0,0,0,0,0,0,35,0
"UBE2K",6,6,1,0,3,1,0,1,4,3046,2
"PDS5A",5,2,1,3,1,0,0,0,0,1925,2
"N4BP2",2,0,0,1,0,1,0,1,2,191,0
"RHOH",3,0,1,18,14,11,2,1,16,17,0
"AC195454.1",0,0,0,0,0,0,0,0,0,1,0
"RBM47",14,0,0,1,0,0,0,6,1,3890,0
"NSUN7",0,1,0,0,0,0,0,0,0,179,0
"APBB2",0,0,0,0,0,0,0,1,0,248,4
"LIMCH1",0,3,0,0,0,0,0,0,1,765,1
"TMEM33",5,4,0,4,0,1,0,1,4,2100,1
"DCAF4L1",0,0,0,0,0,0,0,0,0,12,0
"SLC30A9",0,1,1,0,0,1,1,0,1,1137,0
"ATP8A1",0,2,1,7,3,2,0,0,2,469,1
"RP11-109E24.1",0,0,0,0,0,1,0,0,0,0,0
"GUF1",3,2,1,0,0,0,0,0,0,799,0
"GNPDA2",0,0,2,2,0,0,0,0,0,176,1
"RP11-700J17.1",0,0,0,0,0,0,0,0,0,1,0
"RP11-700J17.2",0,0,0,0,0,0,0,0,0,9,0
"GABRA2",0,0,0,0,0,0,0,0,0,5,0
"GABRA4",0,0,0,0,0,0,0,0,0,23,0
"GABRB1",0,0,0,0,0,0,0,0,0,2,0
"COMMD8",4,6,2,5,3,1,0,3,3,1172,0
"ATP10D",1,0,1,1,1,0,0,0,0,15,0
"CORIN",0,0,0,0,0,0,0,0,0,1,0
"RP11-121C2.2",0,0,0,0,0,0,0,0,0,38,0
"NFXL1",0,2,0,2,0,1,0,0,0,398,0
"NIPAL1",0,0,0,0,0,0,0,0,0,521,0
"CNGA1",0,0,0,0,0,0,0,0,0,208,0
"TXK",0,0,0,3,1,2,0,0,0,35,0
"TEC",4,0,0,1,0,0,0,0,0,90,0
"SLAIN2",5,3,0,2,1,1,0,1,0,1000,1
"FRYL",1,2,0,1,1,0,0,0,0,1062,1
"OCIAD1",9,19,1,5,2,3,0,4,7,3577,3
"OCIAD2",9,7,4,13,8,19,3,3,22,25107,12
"DCUN1D4",3,1,0,0,1,0,0,0,1,390,2
"RP11-365H22.2",0,0,0,0,0,0,0,0,0,6,0
"LRRC66",0,0,0,0,0,0,0,0,0,9,0
"SGCB",0,8,0,1,2,2,0,0,0,574,1
"SPATA18",0,0,0,0,0,0,0,0,0,158,0
"USP46",0,0,0,0,1,0,0,0,0,449,3
"USP46-AS1",0,0,0,0,0,0,0,0,0,15,0
"ERVMER34-1",0,0,0,0,0,0,0,0,0,41,0
"RASL11B",0,0,0,0,0,0,0,0,0,2,0
"SCFD2",0,1,0,0,0,0,0,0,0,126,0
"FIP1L1",1,4,0,7,1,0,0,0,2,808,0
"LNX1",0,1,0,0,1,0,0,0,1,324,0
"RP11-571I18.4",0,0,0,0,0,0,0,0,0,4,0
"CHIC2",7,6,1,4,1,4,1,0,3,1102,2
"PDGFRA",0,56,0,0,0,0,0,0,0,5,0
"KIT",0,2,0,0,0,0,0,0,0,0,1
"KDR",0,0,0,0,0,0,0,0,0,0,8
"SRD5A3",4,2,0,1,0,0,0,0,0,1598,0
"RP11-177J6.1",0,0,0,0,0,0,0,0,0,1,0
"TMEM165",15,15,6,9,2,1,2,4,2,4890,7
"CLOCK",3,2,0,2,0,1,0,0,0,1611,2
"RP11-528I4.2",0,0,0,0,0,0,0,0,0,28,0
"NMU",0,0,0,0,0,0,0,0,0,4238,0
"RP11-345F18.1",0,0,0,0,0,0,0,0,0,2,0
"EXOC1",5,0,1,1,0,0,0,0,0,522,2
"CEP135",0,2,0,1,0,0,0,0,2,322,0
"KIAA1211",0,0,0,0,0,0,0,0,0,60,0
"AASDH",1,1,0,3,0,0,0,0,2,367,0
"RP11-646I6.5",0,0,0,0,0,0,0,0,0,16,1
"PPAT",0,0,0,0,0,1,0,0,0,557,0
"RP11-646I6.6",0,0,0,0,0,0,0,0,0,1,0
"PAICS",1,2,0,0,0,0,0,1,1,5063,1
"SRP72",6,12,1,5,0,4,0,4,4,3579,3
"ARL9",0,0,0,0,0,0,0,0,0,17,0
"HOPX",2,15,34,24,16,3,17,0,0,91,0
"SPINK2",0,0,0,2,0,0,0,0,0,16,0
"REST",4,5,4,0,4,0,0,0,2,1077,3
"RP11-738E22.3",0,0,0,0,0,0,0,0,0,11,0
"NOA1",3,0,0,1,0,2,1,0,2,1762,2
"POLR2B",1,5,1,1,1,0,1,0,2,1460,0
"IGFBP7",2,1160,0,1,0,0,0,1,0,101,347
"ADGRL3",0,8,0,0,0,0,0,0,0,0,0
"RP11-798L4.1",0,0,0,0,0,0,0,0,0,14,0
"RP11-584P21.2",0,0,0,0,0,0,0,0,0,1,0
"CENPC",0,2,1,2,0,1,1,0,2,236,1
"UBA6",3,2,1,1,1,1,0,2,0,1133,2
"UBA6-AS1",0,0,0,0,0,0,0,0,0,83,0
"YTHDC1",5,1,1,3,1,5,1,1,3,1772,1
"UGT2B17",0,0,0,0,0,0,0,0,0,3,0
"UGT2B15",0,0,0,0,0,0,0,0,0,5,0
"UGT2A3",0,0,0,0,0,0,0,0,0,6,0
"UGT2B7",0,0,0,0,0,0,0,0,0,15,0
"SULT1B1",0,0,0,0,0,0,0,0,0,313,0
"SULT1E1",0,0,0,0,0,0,0,0,0,8,0
"ODAM",0,0,0,0,0,0,0,0,0,115,0
"JCHAIN",0,0,0,0,0,0,0,0,0,86,0
"UTP3",1,3,0,1,0,3,0,0,2,428,0
"RP11-46J23.1",0,1,0,0,0,0,0,0,0,57,0
"RUFY3",1,4,0,0,0,0,0,0,0,350,2
"GRSF1",5,11,0,7,1,0,0,0,5,4108,4
"MOB1B",1,1,0,0,0,0,1,1,0,254,3
"DCK",1,0,1,2,3,1,0,0,3,788,0
"SLC4A4",0,1,0,0,0,0,0,0,0,692,0
"ADAMTS3",0,1,0,0,0,0,0,0,0,0,0
"COX18",0,2,0,1,0,0,0,0,2,337,0
"ANKRD17",2,4,0,3,2,3,0,1,0,1294,0
"RP11-692D12.1",0,1,0,0,0,0,0,0,0,2,0
"RASSF6",0,0,0,0,0,0,0,0,0,1235,0
"CXCL8",1220,53,2,4,1,2,0,592,4,38026,17
"CXCL6",0,3,0,0,0,0,0,0,0,113,0
"PF4V1",0,0,0,0,0,0,0,0,0,6,0
"CXCL1",381,64,2,11,2,2,1,11,5,29149,1
"PF4",1,0,0,0,0,0,0,0,0,189,0
"PPBP",0,0,0,0,0,0,0,0,0,8,0
"CXCL5",7,0,0,0,0,0,0,3,0,0,0
"CXCL3",880,23,0,4,4,3,2,185,5,21982,8
"CXCL2",595,133,0,1,2,2,0,255,2,11860,4
"MTHFD2L",3,1,0,0,0,1,0,0,2,1070,0
"RP11-629B11.5",0,0,0,0,0,0,0,0,0,140,0
"EREG",85,0,0,0,0,0,0,71,0,352,0
"AREG",53,97,1,6,4,13,6,37,3,97414,2
"AC142293.3",0,0,0,0,0,0,0,0,0,6,0
"BTC",0,0,0,0,0,0,0,0,0,74,0
"PARM1",0,1,0,0,0,0,0,0,0,457,0
"RP11-44F21.5",0,0,0,0,0,0,0,0,0,431,0
"RCHY1",1,1,0,1,3,1,0,0,2,681,0
"THAP6",0,1,0,0,0,0,0,0,1,204,0
"C4orf26",0,0,0,0,0,0,0,0,0,0,0
"CDKL2",0,0,0,0,0,0,0,0,1,9,0
"G3BP2",4,5,3,17,9,7,2,0,15,2498,5
"USO1",0,5,2,2,1,1,0,1,0,1543,0
"RP11-556N4.1",0,0,0,0,0,0,0,0,0,2,0
"NAAA",5,5,0,3,2,1,0,2,2,272,1
"SDAD1",3,3,0,1,1,1,0,2,3,1177,1
"AC110615.1",0,0,0,0,0,0,0,0,0,1,0
"CXCL9",0,0,0,0,0,0,0,0,0,1,0
"ART3",0,0,0,0,0,0,0,0,0,16,0
"CXCL10",0,0,0,0,0,0,0,1,0,7,0
"CXCL11",0,0,0,0,0,0,0,0,0,3,0
"NUP54",0,4,0,3,0,0,0,1,0,827,2
"SCARB2",12,19,0,0,0,1,0,0,1,2221,2
"FAM47E",0,0,0,0,0,0,0,0,0,145,1
"STBD1",0,0,0,0,0,0,0,0,0,9,0
"SHROOM3",1,1,0,0,0,0,0,0,0,1929,0
"SOWAHB",0,0,0,0,0,0,0,0,0,13,0
"SEPT11",5,10,1,2,1,2,0,1,1,1864,4
"CCNI",32,73,7,42,17,32,2,14,40,20126,28
"CCNG2",2,3,3,1,0,0,0,0,0,676,3
"CXCL13",0,0,4,0,0,0,0,0,0,0,0
"CNOT6L",2,4,0,10,8,5,5,1,11,622,0
"MRPL1",4,0,1,4,0,2,1,0,4,1422,0
"FRAS1",0,0,0,0,0,0,0,0,0,94,0
"ANXA3",0,1,0,0,0,0,0,0,0,4787,0
"LINC01094",3,0,0,0,0,0,0,0,0,1,0
"RP11-109G23.3",0,0,0,0,0,0,0,0,1,68,0
"BMP2K",6,3,0,0,0,0,0,0,0,322,2
"PAQR3",0,0,0,0,1,0,0,0,0,142,0
"LINC01088",0,0,0,0,0,0,0,0,0,22,0
"LINC00989",0,0,0,0,0,0,0,0,0,5,0
"RP11-234K19.1",0,0,0,0,0,0,0,0,0,1,0
"ANTXR2",2,5,0,0,0,0,0,0,3,398,0
"PRDM8",1,1,0,0,0,0,0,0,0,27,0
"PRKG2",0,0,0,0,0,0,0,0,0,11,0
"RASGEF1B",9,0,1,0,1,1,0,2,0,183,1
"RP11-127B20.2",1,1,0,0,0,0,0,0,0,21,0
"HNRNPD",6,11,0,6,2,1,2,2,6,4957,9
"RP11-127B20.3",0,0,0,0,1,0,0,0,4,108,0
"HNRNPDL",26,23,6,24,16,9,5,6,27,7482,10
"ENOPH1",2,3,1,0,0,2,0,1,5,1439,0
"TMEM150C",0,0,0,0,0,0,0,0,0,39,0
"SCD5",0,0,0,0,0,0,0,0,0,377,2
"SEC31A",5,14,0,2,2,3,1,0,2,1874,3
"THAP9-AS1",1,5,0,0,0,0,1,1,2,1306,1
"THAP9",0,0,0,0,0,0,0,0,0,27,0
"LIN54",1,0,0,0,0,0,0,0,1,216,0
"COPS4",0,6,0,3,1,1,1,0,4,883,0
"PLAC8",9,2,0,7,1,9,1,4,3,16326,0
"COQ2",3,2,0,1,1,0,0,1,3,1307,0
"HPSE",8,0,0,1,1,0,0,4,2,147,0
"HELQ",0,1,0,0,0,1,1,0,0,213,0
"MRPS18C",8,7,0,3,2,1,0,1,4,2564,0
"FAM175A",3,3,1,1,1,1,0,1,0,397,0
"GPAT3",3,0,0,0,0,1,0,1,1,132,0
"CDS1",0,0,0,0,0,0,0,0,0,1797,0
"WDFY3",0,3,0,0,0,0,0,1,0,257,2
"ARHGAP24",3,2,0,0,0,0,0,0,0,218,0
"RP13-514E23.2",0,0,0,0,0,0,0,0,0,1,0
"MAPK10",0,0,0,0,0,0,0,0,0,7,0
"PTPN13",0,4,0,2,0,0,0,0,0,250,0
"C4orf36",1,0,0,0,0,0,0,0,0,290,2
"AFF1",2,0,0,0,0,1,0,0,0,448,1
"KLHL8",0,0,0,1,0,0,0,1,0,404,0
"HSD17B13",0,0,0,0,0,0,0,0,0,5,0
"HSD17B11",15,4,0,7,4,1,1,3,5,3389,2
"NUDT9",2,5,0,0,0,1,0,1,0,521,1
"SPARCL1",0,13,0,0,0,0,0,0,0,2,48
"SPP1",1142,0,0,0,0,0,0,91,0,48,1
"PKD2",2,0,0,0,1,0,0,0,0,32,0
"ABCG2",2,1,0,0,0,0,0,0,0,15,1
"PPM1K",0,4,0,4,2,2,4,0,8,227,1
"HERC6",1,2,1,1,0,0,0,0,2,120,0
"HERC5",1,0,0,0,0,0,1,0,2,1,0
"PYURF",8,9,3,10,2,6,2,2,14,4699,5
"HERC3",1,0,0,0,0,1,0,0,0,286,0
"NAP1L5",0,0,0,1,0,2,0,0,0,40,0
"FAM13A-AS1",0,0,0,0,0,0,0,0,0,24,0
"FAM13A",1,2,0,0,0,0,0,0,1,1319,1
"TIGD2",0,0,0,0,0,0,0,0,0,91,0
"GPRIN3",6,1,0,8,0,2,0,1,2,728,1
"RP11-115D19.1",1,0,0,0,0,0,0,0,0,1268,0
"SNCA",12,1,0,0,0,0,0,0,0,307,0
"RP11-115D19.3",0,0,0,0,0,0,0,0,0,78,0
"RP11-115D19.2",0,0,0,0,0,0,0,0,0,37,0
"SNCA-AS1",0,0,0,0,0,0,0,0,0,1,0
"MMRN1",0,0,0,0,0,0,0,0,0,4,0
"CCSER1",0,0,0,0,0,0,0,0,0,227,0
"ATOH1",0,0,0,0,0,0,0,0,0,138,0
"SMARCAD1",1,0,0,0,0,0,0,0,0,272,1
"HPGDS",5,0,0,0,0,0,0,0,0,2,0
"PDLIM5",4,6,0,1,0,3,0,1,1,2864,6
"BMPR1B",0,0,0,0,0,0,0,0,0,1,0
"UNC5C",0,3,0,0,0,0,0,0,0,0,0
"RP11-145G20.1",0,0,0,0,0,0,0,0,0,2,0
"RP11-323J4.1",0,0,0,0,0,0,0,0,0,23,0
"RAP1GDS1",0,1,0,2,0,0,0,0,0,789,2
"TSPAN5",1,1,1,3,0,0,0,0,3,1067,1
"RP11-1299A16.3",0,0,0,0,0,0,0,0,1,8,0
"EIF4E",19,10,1,4,2,3,0,3,7,2961,1
"METAP1",2,3,0,0,0,1,1,0,0,1266,0
"RP11-571L19.8",0,0,0,0,0,0,0,0,0,2,0
"ADH5",3,9,0,5,2,0,1,0,2,1703,0
"RP11-696N14.1",0,1,0,0,0,0,0,0,0,2,0
"ADH6",0,0,0,0,0,0,0,0,0,17,0
"ADH1A",0,0,0,0,0,0,0,0,0,2,0
"ADH1B",0,0,0,0,0,0,0,0,0,1,0
"ADH1C",0,0,0,0,0,0,0,0,0,84,0
"C4orf17",0,0,0,0,0,0,0,0,0,1,0
"TRMT10A",1,2,0,1,0,0,0,0,0,242,0
"MTTP",0,0,0,0,0,0,0,0,0,3,0
"DAPP1",1,0,0,0,0,0,0,0,0,265,0
"LAMTOR3",7,6,1,3,1,0,1,4,3,1178,1
"DNAJB14",5,5,2,1,3,2,0,0,2,612,3
"H2AFZ",98,32,10,42,18,28,6,11,40,29195,24
"EMCN",0,0,0,0,0,0,0,0,0,4,11
"PPP3CA",7,13,2,3,0,0,0,0,2,2033,3
"FLJ20021",0,1,0,0,0,0,0,0,1,1477,1
"BANK1",0,1,0,0,0,0,0,0,0,76,0
"SLC39A8",5,4,0,3,0,1,0,2,2,1155,0
"RP11-499E18.1",0,1,0,0,0,0,0,0,1,47,0
"AF213884.2",0,0,0,0,0,0,0,0,0,24,0
"NFKB1",25,14,0,5,4,3,0,23,4,1087,2
"MANBA",5,3,0,1,1,0,0,0,0,596,1
"UBE2D3",37,38,9,44,16,25,6,21,39,8931,12
"RP11-10L12.4",0,0,0,0,0,0,0,1,0,54,0
"CISD2",13,8,2,3,5,4,3,0,8,3402,3
"SLC9B1",0,0,0,0,0,0,0,0,0,16,1
"SLC9B2",0,1,0,1,0,0,0,0,0,77,0
"BDH2",1,5,0,0,0,0,0,0,0,344,1
"CENPE",0,0,1,0,0,1,0,0,0,589,1
"RP11-328K4.1",0,0,0,0,0,0,0,0,0,8,0
"TACR3",0,0,0,0,0,0,0,0,0,0,0
"CXXC4",0,0,0,0,0,0,0,0,0,111,0
"RP11-556I14.1",0,0,0,0,0,0,0,0,0,1,0
"AC004069.2",0,0,0,0,0,0,0,0,0,33,0
"TET2",5,1,0,0,0,0,0,1,1,242,1
"PPA2",2,4,0,1,3,1,0,0,1,2754,1
"ARHGEF38",0,0,0,0,0,0,0,0,0,320,0
"INTS12",0,1,1,1,0,1,0,0,2,488,0
"GSTCD",0,1,0,0,0,0,0,0,2,184,0
"NPNT",2,0,0,0,0,0,0,0,0,1533,0
"RP11-710F7.3",0,0,0,0,0,0,0,0,0,11,0
"TBCK",1,3,0,0,0,0,0,0,0,156,1
"AIMP1",4,5,1,2,2,2,0,3,5,3425,2
"PAPSS1",13,2,1,2,0,0,1,1,1,1238,3
"SGMS2",2,0,0,1,0,1,0,1,0,1161,0
"RP11-286E11.1",0,0,0,0,0,0,0,0,0,48,0
"CYP2U1",0,1,0,0,0,0,0,0,0,66,1
"RP11-286E11.2",0,0,0,0,0,0,0,0,0,8,0
"HADH",4,1,0,0,1,0,0,1,3,4173,1
"LEF1",0,7,0,2,0,1,0,0,1,83,2
"RPL34-AS1",0,0,0,0,0,0,0,0,0,2,0
"RPL34",272,290,50,327,149,367,25,118,200,218486,198
"OSTC",18,29,0,6,4,3,0,2,5,7115,8
"SEC24B-AS1",0,0,0,0,0,0,0,0,0,8,0
"SEC24B",1,0,0,0,0,0,0,0,0,396,2
"CCDC109B",17,1,0,10,2,3,1,3,2,424,0
"CASP6",1,3,0,1,0,0,0,1,2,1509,0
"AC004067.5",0,0,0,0,0,0,0,0,0,2,0
"PLA2G12A",3,0,0,2,0,1,0,0,2,2609,0
"CFI",0,6,0,0,0,0,0,0,0,59,3
"RP11-602N24.3",0,0,0,0,0,0,0,0,0,5,0
"GAR1",2,3,0,1,2,2,0,0,2,1842,0
"RRH",0,0,0,0,0,0,0,0,0,1,0
"LRIT3",0,0,0,0,0,0,0,0,0,1,0
"ELOVL6",0,0,0,0,0,0,0,0,1,449,0
"ENPEP",0,1,0,0,0,0,0,0,0,0,0
"RP11-380D23.1",0,0,0,0,0,0,0,0,0,4,0
"RP11-380D23.2",0,0,0,0,0,0,0,0,0,3,0
"PITX2",0,0,0,0,0,0,0,0,0,229,0
"C4orf32",0,0,0,1,0,0,0,2,1,308,2
"RP11-73K9.2",0,0,0,0,0,0,0,0,0,62,0
"AP1AR",1,0,1,1,0,1,0,0,1,729,0
"RP11-73K9.3",0,0,0,0,0,0,0,0,0,8,0
"TIFA",4,0,0,8,0,4,0,0,2,379,2
"ALPK1",0,0,0,0,0,0,0,0,0,99,0
"ZGRF1",0,0,0,0,0,0,0,0,0,69,0
"LARP7",4,6,0,6,2,3,1,0,4,1531,3
"ANK2",0,0,0,0,0,0,0,0,0,11,0
"CAMK2D",2,2,0,1,0,1,0,1,0,1162,0
"ARSJ",0,1,0,0,0,0,0,0,0,1153,0
"UGT8",0,0,0,0,1,0,0,0,0,893,0
"MTRNR2L13",0,0,0,0,0,0,0,0,0,1,0
"SNHG8",9,16,2,5,4,8,4,2,8,7223,8
"PRSS12",0,0,0,0,0,0,0,0,0,707,0
"RP11-384K6.8",0,1,0,0,0,0,0,0,0,0,0
"METTL14",0,1,0,0,0,2,0,0,0,312,1
"SEC24D",1,11,0,0,0,1,0,0,1,445,1
"SYNPO2",0,8,0,0,0,0,0,0,0,0,0
"USP53",1,2,0,0,0,2,0,0,1,1214,2
"C4orf3",39,38,5,19,11,12,3,18,21,12482,11
"FABP2",0,0,0,0,0,0,0,0,0,111,0
"RP11-33B1.4",0,0,0,0,0,0,0,0,0,1,0
"PDE5A",0,1,0,0,0,0,0,0,0,438,0
"RP11-700N1.1",0,0,0,0,0,0,0,0,0,1,0
"MAD2L1",2,0,0,1,1,0,0,0,1,1732,1
"RP11-679C8.2",0,0,0,0,0,0,0,0,0,2,0
"PRDM5",0,1,0,0,0,0,0,0,0,86,0
"NDNF",0,0,0,0,0,0,0,0,0,2,0
"TNIP3",0,0,1,0,0,0,0,21,4,0,0
"ANXA5",59,32,3,7,2,0,0,28,8,1793,9
"EXOSC9",1,2,0,0,0,0,0,0,2,526,0
"CCNA2",0,0,0,0,0,0,0,0,0,709,0
"BBS7",0,2,0,0,1,0,0,0,1,639,0
"TRPC3",0,0,0,0,0,0,1,0,0,0,0
"KIAA1109",2,1,0,1,0,1,0,1,1,613,1
"BBS12",0,1,0,0,0,0,0,0,0,55,0
"FGF2",0,0,0,0,0,0,0,0,0,155,0
"NUDT6",0,0,0,0,0,0,0,0,0,175,0
"SPATA5",0,0,0,0,1,0,0,0,0,283,0
"SPRY1",1,2,0,2,1,0,0,0,0,358,10
"RP11-381N20.1",0,0,0,0,0,0,0,0,0,3,0
"LINC01091",0,1,0,0,0,0,0,0,0,120,0
"ANKRD50",2,3,0,0,0,0,0,0,0,211,0
"FAT4",0,3,0,0,0,0,0,0,0,0,0
"RP11-125O18.1",0,0,0,0,0,0,0,0,0,7,0
"INTU",0,2,0,0,0,0,0,0,0,177,0
"HSPA4L",1,0,0,0,0,0,0,0,0,659,1
"PLK4",0,0,0,0,0,0,0,0,0,128,0
"MFSD8",0,0,0,0,2,0,0,0,0,156,0
"ABHD18",1,2,2,0,1,0,0,0,2,198,0
"LARP1B",1,2,0,1,0,0,0,1,0,1165,0
"PGRMC2",2,7,0,1,0,0,0,0,3,1591,1
"RP11-420A23.1",0,0,0,0,0,0,0,0,0,45,0
"RP11-184M15.2",0,0,0,0,0,0,0,0,0,1,0
"JADRR",0,0,0,0,0,0,0,0,0,1,0
"JADE1",2,1,1,1,0,0,1,0,1,378,0
"SCLT1",0,0,0,2,0,1,1,0,1,557,0
"C4orf33",2,0,0,0,0,0,0,0,0,325,0
"RP11-745L13.2",0,0,0,0,0,0,0,0,0,1,0
"PABPC4L",0,0,0,0,0,0,0,0,0,0,1
"PCDH18",0,28,0,0,0,0,0,0,0,3,0
"RP11-714L20.1",0,0,0,0,0,0,0,0,0,1,0
"SLC7A11",0,0,0,0,0,1,0,3,0,1505,0
"NOCT",0,1,0,0,0,0,0,0,0,64,0
"ELF2",3,7,1,4,0,2,0,3,2,587,1
"NDUFC1",12,13,1,3,1,3,0,1,8,5950,5
"NAA15",1,4,0,3,1,2,1,0,1,1084,0
"RP11-83A24.2",1,0,0,2,1,0,0,0,0,326,0
"RAB33B",0,1,0,1,2,0,1,0,1,315,2
"SETD7",0,6,0,2,0,0,0,1,4,595,3
"RP11-342I1.2",0,0,0,0,0,0,0,0,0,10,0
"RP11-308D13.3",0,0,0,0,0,0,0,0,0,3,0
"MGST2",17,5,0,1,0,0,0,1,2,4482,11
"MAML3",1,0,0,0,0,0,0,1,0,244,1
"SCOC",4,6,1,1,0,2,0,0,6,2218,3
"SCOC-AS1",0,0,0,0,0,0,0,0,0,18,0
"ELMOD2",0,1,0,2,0,0,0,0,1,386,0
"TBC1D9",5,1,0,0,0,0,0,0,0,1,2
