"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"GLIPR1L2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"GLIPR1",47,84,6,19,11,5,8,2,9,27,7,7,88,85,30,24,60,4,14,6,29,2,17,2,114,45,7
"RP11-585P4.5",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"KRR1",8,45,5,4,11,3,1,3,10,7,1,1,51,41,9,14,22,1,13,4,30,2,0,1,50,220,61
"RP11-114H23.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PHLDA1",88,657,3,19,62,4,3,27,108,78,4,16,10,116,23,4,29,4,7,2,583,2,69,19,217,604,277
"RP11-290L1.2",0,4,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,4,6,0
"NAP1L1",170,471,26,53,58,6,19,22,117,83,8,22,308,212,49,66,205,4,24,17,468,14,65,15,284,811,354
"RP11-54A9.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BBS10",1,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,0,1,0,1,7,7
"OSBPL8",34,110,4,13,12,2,3,7,16,18,2,3,26,32,1,9,20,2,6,3,58,1,16,2,36,147,30
"RP11-20E24.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZDHHC17",2,11,1,3,0,0,0,0,5,0,1,0,5,4,3,3,2,0,1,3,9,0,0,1,5,46,11
"CSRP2",3,43,1,0,1,0,0,9,10,0,1,0,0,0,0,0,1,0,0,0,185,0,1,0,1,115,92
"E2F7",0,1,0,0,3,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,5,4
"NAV3",0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SYT1",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP1-78O14.1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PAWR",0,30,0,0,0,0,0,1,2,0,0,0,17,1,0,4,0,0,1,0,28,0,0,0,1,373,27
"PPP1R12A",20,60,6,5,10,3,1,7,12,11,1,1,23,25,3,4,13,1,5,0,113,0,2,2,48,150,84
"RP11-84G21.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"OTOGL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LIN7A",0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,4
"ACSS3",0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"PPFIA2",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"CCDC59",34,60,13,6,21,1,4,7,20,17,6,10,69,54,17,16,24,1,6,0,37,4,6,4,54,345,62
"METTL25",3,6,0,1,0,0,0,1,1,0,1,0,4,2,1,0,1,0,0,0,6,2,0,0,4,20,8
"TMTC2",0,3,0,0,0,1,0,2,4,0,0,0,1,2,1,1,0,0,1,0,0,0,1,0,2,66,11
"LRRIQ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RASSF9",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"NTS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MGAT4C",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C12orf50",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"C12orf29",1,7,3,1,1,1,0,0,6,3,0,0,7,2,5,1,6,1,1,0,7,1,1,0,13,86,8
"CEP290",2,17,0,0,1,0,4,0,5,3,0,0,8,5,1,0,1,0,1,1,20,0,3,0,15,51,12
"TMTC3",0,21,0,0,0,1,0,1,3,2,0,0,1,3,0,0,2,0,0,0,17,1,0,0,4,44,12
"KITLG",0,26,0,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,1,0,17,0,0,0,1,21,41
"DUSP6",31,30,3,3,3,0,0,2,5,2,0,0,4,8,2,1,6,0,1,2,7,2,39,0,6,150,206
"RP11-823E8.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,2
"RP11-1109F11.5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POC1B",3,14,0,1,1,0,0,0,3,1,1,0,4,5,2,2,5,0,0,0,4,0,1,0,8,94,7
"POC1B-GALNT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GALNT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-734K2.4",1,5,0,0,2,0,0,0,1,0,0,0,2,3,0,1,5,0,1,1,0,0,0,0,3,21,7
"RP11-981P6.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP2B1",36,49,9,20,10,3,2,14,11,13,3,5,107,42,6,19,32,3,7,2,43,6,48,0,78,259,54
