"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-428K3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RALGPS2",0,4,0,0,0,0,0,0,0,0,0,0,56,0,0,11,1,0,0,1,5,1,0,0,2,94,5
"ANGPTL1",0,5,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"FAM20B",1,2,0,0,0,1,0,2,1,1,0,0,6,1,0,1,3,0,1,0,8,0,0,0,1,35,15
"TOR3A",29,31,2,16,2,0,1,2,6,8,2,1,58,17,4,5,5,0,4,18,19,13,3,1,18,98,15
"ABL2",91,221,0,10,2,2,0,35,27,3,0,1,5,5,1,2,5,0,1,2,107,3,17,0,9,56,404
"SOAT1",52,22,2,8,2,1,0,1,4,1,3,1,8,6,2,2,5,2,3,0,13,3,3,0,21,43,17
"AXDND1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-12M5.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOR1AIP2",14,43,5,7,13,0,5,4,6,16,1,3,18,22,8,1,12,0,7,7,33,1,3,0,72,316,50
"RP11-533E19.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
"TOR1AIP1",13,34,5,1,6,2,3,2,8,5,0,3,17,18,7,9,11,0,0,2,26,1,3,0,34,77,34
"RP11-533E19.5",0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
"CEP350",9,27,2,1,7,0,2,5,5,6,0,0,11,12,4,2,5,2,3,1,20,1,0,1,18,93,23
"RP11-502H18.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"QSOX1",55,113,0,10,6,0,0,2,74,7,0,2,10,11,5,1,5,1,1,3,29,3,13,2,15,540,68
"ACBD6",10,27,1,0,2,1,0,1,5,2,1,0,15,4,1,2,4,0,1,1,23,2,2,2,14,114,30
"XPR1",5,8,1,1,3,0,1,1,3,6,0,0,3,5,1,0,3,0,1,0,3,0,1,0,8,48,19
"KIAA1614",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-46A10.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KIAA1614-AS1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"STX6",15,6,1,0,3,0,0,0,2,4,0,0,7,4,2,1,3,0,1,0,7,1,0,0,9,66,34
"MR1",14,15,0,0,1,0,0,1,5,2,0,0,9,6,3,2,3,0,0,0,3,1,3,0,5,14,8
"IER5",192,112,1,17,6,0,0,3,24,13,1,3,81,22,4,15,10,1,3,13,87,23,29,0,27,571,119
"CACNA1E",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-538D16.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GLUL",642,131,5,47,12,2,6,9,42,15,5,1,16,51,12,4,14,4,9,6,132,2,141,2,24,1121,123
"RGSL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RNASEL",1,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1
"RGS16",11,186,0,0,16,0,0,31,24,9,1,2,62,17,2,15,11,0,3,0,319,12,0,3,9,105,148
"RP11-317P15.4",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"NPL",54,3,1,0,0,1,0,0,0,0,0,0,3,4,0,0,2,0,1,0,4,1,1,0,6,1,0
"DHX9",22,40,4,5,4,2,1,2,9,6,1,3,25,22,10,6,17,0,4,1,26,0,2,1,35,194,49
"LAMC1",6,137,0,0,1,0,0,2,22,0,0,0,4,0,1,1,0,0,0,0,175,1,1,0,2,65,226
"LAMC2",0,3,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,203,6
"NMNAT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2
"SMG7",9,6,1,1,1,2,1,3,2,3,0,1,6,4,2,3,1,0,1,0,17,1,1,0,2,108,31
"NCF2",81,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,27,0,0,3,1
"ARPC5",196,191,4,47,22,6,2,12,27,34,4,12,70,70,19,13,29,6,7,8,305,11,46,8,102,606,239
"RGL1",16,4,0,0,0,0,0,3,6,0,0,0,0,0,0,0,1,0,0,0,21,0,3,0,0,4,34
"COLGALT2",1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TSEN15",3,31,5,8,4,2,1,0,7,3,2,2,7,12,6,5,6,1,3,2,15,6,5,2,13,93,16
"RP11-382D12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"C1orf21",11,44,2,0,0,1,2,7,23,0,0,0,0,1,2,0,2,4,10,2,60,0,1,0,4,283,81
"EDEM3",8,25,1,4,6,0,1,1,5,5,2,1,1,5,4,2,5,0,0,0,14,1,2,3,7,62,27
"FAM129A",14,0,4,4,5,3,3,8,1,10,1,3,5,49,19,0,20,0,3,4,9,1,2,1,81,5,44
"RNF2",13,18,1,8,5,0,0,2,3,1,0,1,12,10,2,3,3,0,1,4,11,0,1,0,9,46,20
"TRMT1L",4,7,0,0,0,1,0,1,2,0,0,0,4,2,0,0,2,0,0,0,6,0,1,0,4,35,6
"SWT1",1,1,0,0,0,0,0,0,2,1,0,0,1,2,0,0,2,0,0,0,1,0,0,0,3,16,4
"IVNS1ABP",40,38,2,3,6,2,4,2,18,14,3,7,34,51,12,4,39,3,10,0,22,3,20,1,58,201,188
"GS1-279B7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"GS1-204I12.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMCN1",0,6,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,6
"PRG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TPR",12,70,8,4,11,3,5,4,16,12,2,1,44,35,5,10,22,2,4,0,57,3,3,3,76,212,72
"C1orf27",7,25,0,1,3,1,1,0,7,0,0,0,5,3,1,2,3,0,1,1,14,0,2,0,4,62,12
"OCLM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-295K2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PTGS2",29,39,0,6,1,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,9,1,48,0,1,5,12
"PACERR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PLA2G4A",4,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0
"LINC01037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"BRINP3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"LINC01351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RGS18",9,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0
"RP5-1011O1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP5-1011O1.3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RGS1",656,37,31,118,264,24,45,0,14,338,25,43,298,394,159,56,156,3,64,61,10,65,60,69,826,113,17
"RGS13",2,0,0,0,0,0,0,0,0,0,0,1,7,2,3,0,1,0,2,1,0,0,0,1,1,1,0
"RGS2",408,358,32,86,66,3,12,11,127,78,14,9,293,166,59,58,57,6,18,45,88,38,111,18,140,202,62
"UCHL5",6,14,0,0,1,1,2,1,9,2,1,1,10,10,3,0,4,0,1,1,18,0,1,1,16,68,19
"TROVE2",16,42,2,9,9,4,4,4,4,6,0,3,34,26,5,5,13,1,4,0,23,3,3,2,38,93,37
"RP11-101E13.5",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8,0
"GLRX2",16,22,0,3,4,1,0,3,4,4,0,1,8,3,0,0,2,0,1,0,14,1,3,0,6,104,19
"CDC73",10,21,0,8,6,2,2,3,6,3,1,4,10,21,5,1,7,2,1,1,26,0,2,0,28,111,41
"B3GALT2",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0
"LINC01031",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-563D10.1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNT2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"CFH",4,139,0,0,0,0,0,0,59,0,0,0,2,2,0,0,2,0,0,0,258,0,1,0,0,5,115
"CFHR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
"CFHR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,3
"ASPM",1,4,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3,2,0,7,4,19,1
"ZBTB41",3,7,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,2,0,0,0,1,28,9
"DENND1B",10,7,4,7,6,2,2,0,4,8,1,5,20,16,10,3,4,0,1,0,5,6,3,1,23,117,1
"C1orf53",1,2,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,42,1
"NEK7",14,21,5,2,4,0,1,0,5,7,2,1,9,23,5,5,6,1,3,0,26,1,2,3,42,93,40
"RP11-553K8.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTPRC",128,1,39,28,87,35,23,0,6,106,19,24,123,219,65,25,132,8,45,6,4,3,41,17,352,37,6
"MIR181A1HG",4,5,0,5,3,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,2,0,3,0,8,7,10
"NR5A2",0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,27,18
"ZNF281",8,36,4,1,3,0,2,1,6,25,1,3,19,19,7,4,16,2,1,0,29,4,5,1,57,91,63
"RP11-121P12.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIF14",1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13,2
"DDX59",6,11,1,2,0,1,0,1,2,4,0,0,8,3,3,1,0,0,1,0,11,0,0,0,7,52,16
"RP11-92G12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CAMSAP2",2,32,0,0,0,0,0,2,5,0,0,0,2,2,0,0,0,0,0,0,14,0,0,0,2,64,32
"C1orf106",3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,165,1
"KIF21B",1,0,1,0,0,0,2,0,0,0,0,0,1,5,3,0,2,0,4,0,1,0,0,0,2,23,1
"ASCL5",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"TMEM9",4,52,2,0,1,0,0,1,9,1,0,0,6,6,3,0,3,1,0,1,19,1,0,0,9,246,26
"IGFN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"PKP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"TNNT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"LAD1",0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,2,0,0,0,0,379,0
"TNNI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"PHLDA3",7,150,0,0,0,0,0,0,23,0,0,0,0,3,0,0,1,0,0,0,27,0,0,0,6,10,17
"CSRP1",34,163,3,6,6,1,0,3,13,4,1,1,12,6,6,2,4,0,2,0,185,6,1,2,21,198,109
"RP11-134G8.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
"RP11-134G8.5",2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,5,0
"NAV1",1,36,0,1,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0,20,0,0,0,1,5,56
"IPO9-AS1",0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"RP11-90L20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"IPO9",9,23,0,0,1,2,2,5,4,4,0,1,6,11,2,0,6,0,2,0,13,0,1,1,12,66,23
"SHISA4",1,43,0,0,0,0,0,1,11,0,0,0,0,2,0,0,1,0,0,0,18,0,1,0,1,7,35
"RP11-307B6.3",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LMOD1",0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,3
"TIMM17A",36,96,5,19,10,2,1,9,15,16,2,3,39,24,4,9,12,1,5,1,61,6,17,2,38,466,80
"RNPEP",45,30,1,5,3,1,1,0,7,3,0,0,9,6,3,1,5,0,1,1,37,1,7,1,11,185,34
"RP11-465N4.4",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0
"ELF3",13,17,2,1,4,0,2,1,6,2,0,2,9,12,1,1,6,0,2,1,11,2,7,0,20,2642,25
"GPR37L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARL8A",20,27,0,3,0,1,0,4,6,1,0,0,5,13,0,1,2,0,0,1,11,0,5,1,10,106,31
"PTPN7",14,1,19,6,23,5,9,0,0,21,3,1,67,66,27,21,35,4,15,3,0,11,9,4,87,9,8
"LGR6",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0
"UBE2T",4,14,1,0,2,0,0,0,3,3,0,0,6,3,0,0,2,0,1,0,7,4,0,2,6,100,12
"PPP1R12B",4,6,0,0,0,1,1,8,4,0,2,0,2,3,1,0,1,0,0,0,38,0,0,0,4,48,8
"RP11-569A11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"KDM5B",9,40,1,0,1,0,2,2,12,8,1,1,3,18,2,3,4,0,2,0,20,0,0,0,13,142,24
"PCAT6",0,20,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,3,25,7
"RABIF",8,25,4,5,15,5,2,5,5,12,0,5,18,34,8,0,16,0,4,0,18,1,4,1,50,162,24
"KLHL12",6,9,1,2,2,1,1,3,0,1,0,1,4,5,4,3,2,1,2,0,3,3,0,0,12,68,4
"ADIPOR1",48,55,3,16,8,2,5,2,17,6,2,3,41,22,7,4,10,0,4,2,30,1,19,0,31,312,64
"CYB5R1",14,19,3,2,1,0,0,2,10,3,2,0,12,3,4,3,4,1,0,0,16,2,1,0,9,77,39
"TMEM183A",12,61,3,4,7,4,1,1,6,9,1,3,11,22,6,5,10,0,3,4,47,7,4,1,45,296,63
"PPFIA4",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ADORA1",1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"MYBPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CHI3L1",110,112,0,0,0,0,0,0,13,1,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,12,1
"CHIT1",2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01353",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"LINC01136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0
"BTG2",50,130,14,7,7,1,8,25,141,12,5,3,77,54,11,26,34,2,9,3,142,23,6,1,73,1110,202
"FMOD",2,111,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,1,10,10
"PRELP",1,7,0,0,0,0,0,0,24,0,0,0,1,0,1,0,0,0,0,0,18,0,0,0,0,2,0
"ATP2B4",8,34,3,0,4,1,5,5,6,4,0,2,2,22,4,0,7,0,3,1,39,2,2,2,18,52,51
"LAX1",0,0,1,0,2,0,0,0,0,1,0,0,2,12,4,0,6,2,4,0,2,6,0,1,34,1,1
"ZC3H11A",23,71,1,3,5,3,6,3,13,8,0,3,16,19,5,7,8,1,4,1,43,2,5,2,27,256,82
"ZBED6",2,26,0,1,4,0,1,1,14,10,0,2,3,8,3,2,7,1,1,0,19,0,0,1,14,33,18
"SNRPE",65,166,6,15,23,3,9,8,38,19,0,3,94,60,13,21,27,2,7,10,119,15,22,4,114,1097,191
"LINC00303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SOX13",0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,58,13
"ETNK2",0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,36,3
"REN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"KISS1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
"GOLT1A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1
"PLEKHA6",0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"LINC00628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
"PPP1R15B",40,24,1,3,7,1,0,4,20,10,0,2,22,20,4,5,11,0,4,6,21,0,23,1,30,238,80
"PIK3C2B",0,2,0,0,1,0,0,0,0,2,0,0,4,2,1,2,1,0,1,0,0,0,1,0,2,66,42
"MDM4",9,25,7,3,6,5,3,8,7,4,1,0,40,14,4,8,15,2,2,0,22,4,5,1,19,172,41
"LRRN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0
"NFASC",0,1,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,43,0,0,0,1,10,8
"CNTN2",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM81",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4
"RBBP5",8,8,2,0,2,3,0,0,4,5,0,0,20,14,2,1,12,1,2,0,8,0,1,0,19,64,11
"DSTYK",3,5,1,1,4,2,0,0,1,5,0,0,8,10,1,2,7,0,1,0,11,1,0,0,8,28,15
"TMCC2",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"NUAK2",0,4,0,1,0,0,0,1,3,0,0,0,10,1,0,6,0,0,0,1,4,0,1,0,0,55,9
"KLHDC8A",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
"LEMD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,49,0
"BLACAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CDK18",4,4,0,0,1,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,13,1,0,0,0,48,9
"MFSD4",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,10
"ELK4",5,34,2,2,7,1,1,0,1,10,0,1,20,14,5,4,9,1,4,0,23,1,4,0,12,89,43
"SLC45A3",0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,0,0,7,1
"NUCKS1",60,201,3,7,12,4,3,20,50,10,8,6,42,46,8,9,10,3,6,4,172,6,8,4,49,745,162
"RAB29",12,24,3,0,6,0,2,2,7,1,1,0,18,6,7,4,4,2,2,4,12,1,2,0,10,24,30
"SLC41A1",1,7,0,0,3,2,0,0,2,2,1,0,5,2,0,1,1,1,0,0,11,0,0,0,8,12,42
"PM20D1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SLC26A9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RAB7B",4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0,0,1,0
"CTSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"C1orf186",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,3,1
"FAM72A",1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,3
"SRGAP2",6,14,4,3,2,0,0,3,1,0,0,1,9,1,1,2,0,0,0,1,9,0,2,1,5,14,25
"IKBKE",11,14,1,3,0,0,1,0,2,3,0,0,1,2,4,3,4,0,0,0,4,1,4,0,22,43,2
"RASSF5",34,8,7,22,15,5,4,1,3,15,1,6,44,46,3,9,30,4,3,15,5,4,16,3,66,22,5
"EIF2D",1,21,0,1,2,1,0,0,4,3,1,1,12,4,1,2,4,0,1,1,14,1,3,0,4,79,27
"RP11-343H5.6",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"DYRK3",4,26,0,2,1,0,0,1,10,0,0,0,1,3,1,0,3,0,0,1,21,0,0,0,4,9,28
"MAPKAPK2",25,77,3,9,3,1,3,2,11,4,0,2,17,21,6,4,4,1,0,2,51,5,11,0,20,185,74
"IL10",14,4,0,4,0,0,0,1,0,0,0,0,1,1,0,5,0,0,0,0,0,0,11,0,0,4,0
"IL19",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL20",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"IL24",0,39,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,11,0,0,0,1,3,6
"FCMR",1,2,1,1,0,1,4,0,0,3,1,0,76,17,13,17,29,4,1,1,7,0,0,0,57,16,3
"PIGR",28,32,4,3,8,1,0,1,6,10,1,0,26,21,6,7,8,0,3,3,21,4,8,1,23,9721,42
"C1orf116",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0
"PFKFB2",6,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,4,0,0,0,2,67,3
"YOD1",5,3,0,3,0,0,0,0,1,2,0,0,1,1,0,0,2,0,1,0,3,0,0,0,2,50,8
"C4BPB",1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,121,1
"C4BPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0
"RP11-164O23.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-6J21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CD55",43,146,5,32,7,3,2,2,53,9,2,1,186,43,16,66,61,2,5,6,61,6,43,1,42,797,133
"CR2",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,2,0
"CR1",5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"CR1L",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD46",38,44,4,4,5,0,3,4,15,16,1,2,27,22,8,9,11,1,2,3,57,3,5,1,29,1176,144
"C1orf132",4,1,0,0,0,0,0,0,1,0,0,0,20,5,0,2,5,0,0,0,13,3,2,0,6,5,8
"CD34",0,2,0,0,2,0,0,0,4,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,1,4,396
"PLXNA2",1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,96,102
"CAMK1G",6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1
"LAMB3",5,13,0,8,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,38,0,3,0,1,264,6
"RP1-28O10.1",2,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,2,0
"G0S2",917,187,2,301,3,0,2,1,64,39,1,0,21,5,2,1,5,0,0,0,132,0,551,0,16,71,24
"HSD11B1",11,39,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"TRAF3IP3",4,1,0,1,6,0,1,0,0,11,1,1,22,18,7,5,10,1,2,1,1,0,2,1,40,5,0
"C1orf74",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"IRF6",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,158,1
"DIEXF",4,11,0,1,1,0,0,0,6,2,0,0,5,6,2,1,3,0,0,1,9,0,1,0,12,36,16
"SYT14",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
