"","Anti-inflammatory macro/mono","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CUEDC1",1,0,0,0,0,0,0,0,0,0,0,0,0,230,0
"RP11-343K8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VEZF1",6,0,2,0,1,0,4,1,0,0,0,3,4,622,1
"RP11-159D12.5",0,0,0,0,0,0,0,0,0,0,0,0,0,73,0
"RP11-159D12.2",1,0,0,0,0,0,1,0,0,0,0,0,0,113,1
"SRSF1",17,2,5,0,9,4,10,3,3,1,1,2,7,2580,8
"RP11-159D12.10",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DYNLL2",1,0,2,1,3,0,4,2,0,0,0,1,5,1205,2
"RP11-506H21.5",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"MKS1",0,0,0,0,0,0,0,0,0,0,0,0,0,196,0
"LPO",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"MPO",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"BZRAP1",0,0,0,0,2,0,1,1,0,0,0,0,0,43,0
"BZRAP1-AS1",0,0,0,3,4,1,4,2,1,0,0,0,3,5,0
"RP5-1171I10.5",4,1,4,2,13,1,19,4,2,2,4,7,11,13,0
"SUPT4H1",36,0,11,2,20,5,42,6,3,3,1,9,27,1350,10
"RNF43",1,0,2,0,1,1,2,1,3,0,0,0,3,3228,0
"HSF5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MTMR4",1,0,4,0,3,0,6,0,0,0,0,0,4,302,0
"SEPT4-AS1",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"SEPT4",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"TEX14",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"RAD51C",7,0,0,0,1,1,1,2,0,0,0,0,5,437,1
"TRIM37",2,0,1,1,2,0,1,1,0,0,0,0,0,263,1
"AC099850.1",0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
"SKA2",5,4,6,2,10,0,14,1,4,0,2,1,8,1367,1
"PRR11",2,0,0,0,1,0,0,0,0,0,0,0,0,278,1
"SMG8",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"GDPD1",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"YPEL2",2,0,3,0,2,0,5,0,0,0,0,6,2,238,12
"DHX40",0,0,2,0,1,0,1,0,1,0,1,0,1,277,2
"RP11-758H9.2",1,0,2,0,0,0,3,1,1,0,0,0,1,180,0
"CLTC",38,1,5,1,4,1,1,2,4,0,0,1,6,2415,10
"PTRH2",3,0,0,1,2,0,2,0,1,0,0,1,2,729,4
"VMP1",42,6,7,4,12,0,33,4,11,0,2,33,21,4148,17
"TUBD1",0,0,0,0,4,0,2,1,0,0,0,2,3,111,1
"RPS6KB1",3,1,0,0,3,0,2,0,0,0,0,0,2,329,2
"RNFT1",6,0,0,0,3,0,2,0,0,0,1,2,1,392,0
"RP11-178C3.2",1,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"HEATR6",0,0,0,0,0,0,0,0,1,0,0,0,1,64,0
"CTD-2319I12.2",1,0,0,0,0,0,0,0,0,0,0,0,0,10,0
