"","GSM662182","GSM662183","GSM662190","GSM662212","GSM662213","GSM662214","GSM662215","GSM662216","GSM662217","GSM662218","GSM2086285","GSM2086286","GSM2086287","GSM2086288","GSM2086289","GSM2086290"
"1571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3177",1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1
"205",0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0
"204",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26289",1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1
"50808",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"109",0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0
"115",1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"112",1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
"107",1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0
"114",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"55811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1
"2030",1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0
"9154",0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
"64078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9153",1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1
"55315",1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0
"11164",0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1
"952",1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1
"1375",0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1
"1374",0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0
"126129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1376",0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0
"9061",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9060",1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
"158",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10331",1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1
"374907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10678",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"79369",0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0
"11041",0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
"93010",0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
"79814",1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1
"56894",1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0
"10555",1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0
"137964",0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1
"56895",1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1
"55326",1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0
