"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"CNOT6L",41,40,2,3,4,2,2,4,0,17,6,1,9,7,0,14,9,29,161,46,4
"MRPL1",36,95,0,2,19,0,2,8,4,8,1,3,3,2,3,12,6,16,373,37,11
"FRAS1",1,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,29,3,0
"ANXA3",28,42,0,2,3,0,0,4,0,4,2,2,0,2,48,4,4,9,2396,15,1
"LINC01094",131,7,0,1,2,0,0,2,0,0,0,0,0,0,0,0,9,0,3,0,0
"RP11-109G23.3",1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,9,0,0
"BMP2K",150,37,0,2,1,0,0,5,5,0,0,0,0,0,1,4,12,2,101,20,0
"PAQR3",8,11,0,0,6,0,1,1,0,1,0,0,0,0,0,3,1,2,33,2,0
"LINC01088",0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
"LINC00989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3
"RP11-234K19.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ANTXR2",79,188,0,0,21,0,2,8,4,5,0,5,1,0,1,12,11,4,448,18,5
"PRDM8",1,12,0,0,1,0,0,0,0,2,0,0,0,2,0,1,1,8,33,2,0
"FGF5",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"BMP3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRKG2",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0
"RP11-100N20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"RASGEF1B",51,6,0,1,1,0,1,0,0,4,0,0,1,1,0,10,14,0,72,2,7
"RP11-689K5.3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-127B20.2",0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0
"HNRNPD",205,376,1,6,67,3,3,8,2,31,8,0,5,6,7,43,41,35,1463,125,39
"RP11-127B20.3",2,14,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,2,32,1,1
"HNRNPDL",399,1009,12,18,147,3,15,29,6,92,21,10,30,23,8,161,117,128,2369,215,91
"ENOPH1",46,127,1,3,19,1,2,5,0,12,4,2,2,1,4,19,10,14,416,24,2
"TMEM150C",0,16,0,0,7,0,0,1,0,0,0,2,0,0,1,0,0,0,1,21,0
"SCD5",11,42,0,0,10,0,0,0,0,1,0,0,0,0,0,8,0,0,12,18,4
"SEC31A",113,553,0,2,61,0,1,7,0,10,1,3,1,3,0,56,12,17,543,67,27
"THAP9-AS1",17,72,0,0,9,0,0,1,2,5,2,1,1,3,0,15,3,4,330,27,6
"THAP9",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0
"LIN54",14,17,1,0,0,0,0,0,1,0,0,0,0,0,0,2,4,2,69,5,0
"COPS4",56,136,0,3,27,1,2,4,3,9,2,1,1,2,0,19,12,8,304,26,8
"PLAC8",28,4,1,11,0,3,0,0,0,10,0,0,9,38,5,1,135,3,645,2,0
"RP11-576N17.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"COQ2",51,33,0,4,9,0,0,1,0,2,0,0,1,0,3,3,4,2,102,9,2
"HPSE",31,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,22,3,38,2,0
"HELQ",14,33,0,1,9,0,0,0,0,1,1,2,1,3,0,4,1,5,50,6,6
"MRPS18C",141,318,2,1,39,0,4,15,2,12,4,4,2,4,11,37,29,26,961,65,30
"FAM175A",17,43,0,1,9,0,0,1,1,5,0,3,1,4,0,11,2,3,51,16,8
"GPAT3",39,2,0,5,1,0,0,0,1,2,1,0,0,0,0,0,10,10,114,1,1
"CDS1",6,9,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,382,5,1
"WDFY3",35,37,0,1,4,0,0,3,0,0,0,1,0,0,0,7,7,0,68,14,3
"ARHGAP24",18,86,0,2,15,0,0,0,0,0,0,1,0,1,0,36,7,0,7,20,5
"RP13-514E23.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAPK10",0,19,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2
"PTPN13",0,38,0,0,2,0,3,0,1,6,0,0,0,0,0,2,0,0,12,0,1
"SLC10A6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0
"C4orf36",7,16,0,0,3,0,2,1,0,0,0,0,0,0,0,3,2,1,68,10,0
"AFF1",55,44,1,0,18,0,0,0,0,4,3,0,0,1,0,6,14,4,175,24,6
"KLHL8",27,29,0,2,8,0,0,0,0,2,1,0,0,0,0,4,9,1,64,6,2
"HSD17B13",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"HSD17B11",205,238,2,5,56,3,3,11,6,28,5,9,5,9,18,36,65,25,1337,97,21
"NUDT9",27,119,0,1,22,0,0,6,0,4,0,2,1,1,3,17,6,3,300,25,9
"RP11-710E1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SPARCL1",18,730,0,0,951,0,0,2,0,4,1,23,0,1,1,1058,4,1,73,2028,954
"RP11-742B18.1",40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"IBSP",38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0
"MEPE",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"SPP1",23611,188,3,2,14,1,3,3,1,10,1,0,4,4,6,18,2821,19,560,48,13
"PKD2",27,158,0,3,28,0,0,0,0,1,0,1,1,0,0,18,2,2,48,25,2
"ABCG2",10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0
"PPM1K",36,78,1,1,20,1,1,1,1,16,6,2,4,1,0,19,5,27,68,11,2
"RP11-10L7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HERC6",18,23,0,0,7,0,2,1,0,5,0,0,0,1,0,1,0,9,134,6,1
"HERC5",26,18,0,0,6,0,1,0,0,3,1,2,2,1,0,6,7,5,5,4,2
"PYURF",172,522,4,7,93,2,3,20,7,53,9,7,7,11,7,86,45,59,919,144,56
