"","Anti-inflammatory macro/mono","CAFs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Vascular ECs","VSMCs"
"RP11-348P10.2",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
"ZNF502",0,1,0,0,22,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,2
"ZNF501",1,1,0,1,23,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
"KIAA1143",22,10,11,3,218,0,0,1,0,8,7,3,1,5,0,28,2,0,21,9,10
"KIF15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"TMEM42",5,4,2,8,177,0,1,4,0,3,3,0,1,4,0,16,1,0,4,5,1
"ZDHHC3",17,9,7,4,241,0,2,5,0,8,3,3,1,1,0,94,2,0,14,16,4
"EXOSC7",12,3,4,6,289,2,2,7,0,4,2,3,1,1,0,25,5,0,9,9,10
"CLEC3B",8,0,2,0,1407,0,0,0,0,0,0,0,0,0,0,6,1,0,2,6,1
"CDCP1",18,6,6,0,13,0,0,0,0,1,0,3,0,0,0,43,0,0,11,0,0
"TMEM158",0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
"LARS2",0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
"LIMD1",24,3,3,0,39,3,0,1,0,0,3,0,1,1,0,22,1,3,8,0,5
"LIMD1-AS1",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SACM1L",8,3,1,3,79,1,1,3,0,4,6,3,1,0,2,25,2,0,12,2,1
"SLC6A20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"LZTFL1",2,4,5,3,93,0,0,0,1,2,0,1,1,0,0,12,3,0,2,0,1
"CCR9",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FYCO1",1,6,0,0,70,0,0,0,0,5,3,1,1,0,0,3,1,0,1,4,4
"CXCR6",0,0,0,0,5,2,14,0,0,83,15,0,0,1,0,0,0,0,0,0,0
"XCR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCR3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCR1",56,0,15,0,8,0,0,0,0,0,8,0,0,1,0,0,0,0,33,1,0
"CCR2",3,0,6,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,32,0,0
"RP11-24F11.2",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"CCR5",7,0,4,0,1,2,3,0,0,8,6,0,0,0,0,1,0,0,12,0,0
"CCRL2",12,0,5,0,17,1,0,0,0,4,1,0,1,0,0,13,0,0,11,2,0
"LTF",0,45,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RTP3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRC2",0,4,0,0,133,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"TDGF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"ALS2CL",2,0,1,0,32,0,0,2,1,0,0,0,0,0,0,11,2,0,1,3,1
"TMIE",2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"MYL3",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTH1R",0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,4
"CCDC12",49,15,9,10,345,3,15,10,3,36,14,6,0,8,5,98,9,2,40,14,16
"NBEAL2",6,1,0,0,9,0,2,0,0,5,2,0,1,1,0,20,0,0,7,3,0
"SETD2",13,2,6,1,73,0,2,1,0,4,4,3,1,1,1,39,3,1,9,4,4
"KIF9-AS1",0,1,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"KIF9",9,4,0,2,40,0,0,2,0,0,1,0,0,0,0,59,0,0,2,4,1
"KLHL18",17,2,5,1,25,0,1,1,0,1,2,0,0,1,0,5,1,0,8,4,1
"RP11-708J19.1",3,1,0,1,41,0,0,0,0,4,3,0,0,2,0,10,0,1,3,1,0
"PTPN23",8,3,1,1,69,1,0,1,0,0,0,0,0,0,0,16,2,0,1,0,2
"SCAP",17,0,4,3,91,0,0,3,0,3,0,1,0,3,0,37,1,0,9,3,2
"ELP6",4,5,5,4,174,0,1,4,0,2,0,0,0,3,1,23,2,1,6,4,6
"SMARCC1",17,3,3,4,64,1,5,2,0,11,3,0,0,3,1,58,3,0,16,6,3
