"","GSM2359395","GSM2359396","GSM3109316","GSM3109317","GSM3109318","GSM3109319","GSM3319756","GSM3319795","GSM3319830","GSM3319865","GSM3387272","GSM3387276","GSM3387280","GSM3387282"
"3073",1,0,1,0,0,1,1,1,0,1,0,1,0,1
"10606",0,1,0,0,1,1,0,1,1,0,1,0,0,1
"8402",1,1,1,1,1,0,1,1,0,0,1,1,0,1
"1468",0,1,1,1,1,1,0,1,0,0,1,0,0,1
"64849",0,1,0,1,0,0,1,1,1,1,0,1,0,1
"1645",0,1,0,0,0,0,0,0,0,0,1,0,1,0
"1109",0,1,0,0,0,0,0,0,0,0,1,0,0,1
"6718",0,0,0,0,0,0,0,0,0,0,0,1,1,0
"6510",1,0,0,1,0,0,0,1,0,0,0,1,0,1
"6509",0,1,1,0,1,0,1,1,0,1,0,1,0,1
"56301",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6520",1,1,1,1,1,1,1,1,0,1,1,1,1,1
"211",1,1,0,1,1,1,1,1,0,1,1,1,1,1
"23464",0,1,0,0,0,0,0,1,0,0,1,0,0,1
"212",1,0,0,0,0,0,0,0,0,0,0,1,0,1
"59272",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6541",0,1,0,1,0,1,0,1,0,0,0,1,0,1
"84889",1,0,0,0,0,1,0,0,0,0,1,0,0,1
"54407",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81539",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"340024",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"11254",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57393",0,1,1,1,1,1,1,1,1,1,1,0,0,1
"55089",0,1,0,0,0,1,0,1,0,0,1,0,0,1
"2875",0,1,0,0,0,1,1,1,1,1,1,0,0,1
"84706",1,0,0,0,0,1,0,1,0,0,0,1,0,1
"92745",1,0,0,1,1,1,1,1,0,0,1,0,0,1
"10991",0,1,0,0,0,0,0,0,0,0,1,1,1,0
"284273",1,0,1,0,0,1,1,0,1,0,1,0,0,1
"10327",1,1,0,1,1,1,1,1,0,1,1,1,1,1
"8854",0,0,0,0,0,0,0,0,0,0,1,0,1,0
"224",1,0,0,1,1,0,0,0,1,1,1,0,0,1
"223",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216",1,0,0,0,0,0,0,0,0,0,0,1,1,0
"501",1,0,0,1,0,0,0,1,0,0,1,0,0,1
"217",1,0,0,0,0,1,1,0,0,0,0,1,0,1
"219",1,0,1,0,0,0,1,0,0,1,0,1,0,1
"239",0,1,1,0,0,1,0,0,0,1,1,0,0,1
"247",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"246",1,0,0,0,0,0,0,0,0,1,1,0,0,1
"231",1,1,1,1,1,1,1,1,0,0,1,1,1,1
"8574",1,1,1,1,0,1,1,1,0,0,1,1,0,1
"23600",1,0,0,0,0,0,0,1,0,0,0,1,0,1
"115286",1,1,1,0,1,0,1,0,1,1,1,1,1,0
"271",1,0,1,1,0,1,0,1,0,0,1,0,0,1
"272",1,0,1,0,0,1,1,0,0,0,1,0,0,1
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",1,0,0,0,0,0,0,0,0,1,1,0,0,1
"278",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"280",1,0,0,1,1,1,0,0,0,1,0,1,1,0
"6519",1,0,0,1,0,1,1,0,0,0,1,0,1,0
"276",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11136",1,0,0,0,0,0,1,0,0,0,0,1,0,1
"10998",1,0,1,0,1,0,1,0,0,1,1,0,0,1
"113451",1,0,1,0,1,0,0,1,0,0,1,0,0,1
"9057",1,0,1,1,0,0,1,1,0,0,1,0,0,1
"384",0,1,0,1,0,0,1,1,0,0,1,0,1,0
"445",1,1,0,0,0,0,0,1,0,0,1,1,1,0
"83884",0,1,0,0,0,0,0,0,0,1,0,1,0,1
"10166",0,1,1,0,0,1,1,0,0,0,1,0,0,1
"410",1,0,1,0,0,1,1,1,0,0,0,1,0,1
"427",1,0,0,1,0,1,1,1,0,1,0,1,1,0
"9963",0,1,0,0,0,0,1,1,0,0,1,0,1,0
"9962",0,1,0,0,1,1,0,0,1,1,1,0,1,0
"80150",1,0,1,0,0,0,1,1,0,0,1,0,0,1
"440",1,0,0,1,0,0,1,0,0,0,1,0,0,1
"790",1,0,0,1,1,1,1,0,0,0,1,0,0,1
"6505",1,0,1,1,1,1,1,0,0,0,1,0,0,1
"6512",0,1,0,1,0,0,0,0,0,1,1,0,0,1
"6511",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6507",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6506",1,0,0,0,0,0,0,1,0,0,0,1,1,0
"9296",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51606",1,1,1,1,1,0,1,1,0,1,1,1,1,0
"533",1,1,1,1,1,1,1,1,0,1,1,1,1,1
"90423",1,0,0,1,0,0,1,0,0,0,0,1,0,1
"528",1,0,0,0,1,0,1,1,0,1,1,0,0,1
"525",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"10312",1,1,1,1,1,1,1,1,0,1,1,1,0,1
"127124",0,1,1,1,1,1,1,1,1,1,0,1,0,1
"245973",0,1,0,1,1,0,1,1,0,0,0,1,1,0
"50617",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9114",1,1,1,1,0,1,1,1,0,0,1,1,0,1
"23545",0,1,1,1,0,1,1,0,0,1,0,1,0,1
"8992",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"535",1,0,1,0,1,0,0,1,0,1,1,0,0,1
"527",0,1,0,1,0,0,1,1,1,1,0,1,0,1
"526",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"523",1,1,1,1,0,0,0,1,0,0,1,1,1,0
"529",1,1,1,1,1,1,1,1,0,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51382",1,0,1,1,0,0,1,1,0,1,0,1,1,0
"245972",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"957",1,0,1,1,0,1,1,0,0,0,1,0,0,1
"956",0,1,0,0,0,0,0,0,0,0,1,0,0,1
"955",1,0,1,0,1,1,0,1,0,0,1,0,0,1
"953",1,0,1,1,0,0,1,1,0,0,0,1,1,0
"954",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"377841",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"291",1,0,0,1,1,0,1,1,0,0,0,1,0,1
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4126",1,0,0,1,0,1,1,0,0,1,1,0,1,0
"8706",0,1,1,1,1,1,0,0,0,0,1,0,0,1
"10317",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84002",1,0,0,1,0,0,1,0,0,1,1,0,0,1
"3141",0,1,0,1,1,1,1,1,0,0,1,0,0,1
"140679",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635",0,1,0,0,0,0,0,0,0,1,0,1,1,0
"23743",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1244",1,0,1,0,0,1,0,0,0,0,0,1,1,0
"8714",1,0,0,0,0,0,0,0,0,0,1,0,1,0
"28234",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645",1,0,0,1,0,1,1,1,0,1,0,1,1,0
"644",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"9488",0,1,0,1,1,0,1,1,0,1,0,1,1,0
"10380",1,0,1,1,0,0,1,1,0,0,1,0,0,1
"686",1,0,0,1,1,1,1,0,1,0,0,1,1,0
"8884",0,1,1,0,0,1,0,1,1,1,1,1,0,1
"80704",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51733",0,1,1,0,0,0,0,0,0,1,1,0,0,1
"7108",1,0,0,1,1,1,0,1,0,0,1,0,0,1
"50814",0,1,1,1,0,0,0,1,0,1,0,1,0,1
"3295",1,0,1,1,0,0,1,1,0,0,1,0,0,1
"6307",1,1,1,0,1,0,0,1,0,1,1,1,1,1
"493",0,1,0,0,1,0,1,1,0,1,0,1,0,1
"492",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"490",1,1,1,1,1,1,1,0,1,1,1,1,1,1
"847",1,1,1,1,0,1,1,1,0,1,1,1,1,1
"6543",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6547",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6546",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"166785",0,1,0,1,1,0,0,0,0,1,0,1,1,0
"2538",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92579",1,0,0,1,0,1,1,1,0,0,1,0,0,1
"1373",0,1,0,0,0,0,0,1,0,0,0,1,1,0
"873",1,0,1,1,0,0,1,1,0,1,1,0,0,1
"10423",1,1,0,1,1,1,1,1,0,1,1,1,0,1
"8760",1,1,1,1,1,1,1,0,1,1,1,1,1,1
"1040",0,1,1,1,1,1,0,0,0,0,0,1,1,0
"56994",0,1,0,0,0,1,0,0,1,0,0,1,1,0
"10390",1,0,1,1,1,0,1,0,0,0,1,0,1,0
"64781",1,1,1,1,0,1,1,1,0,0,1,1,1,1
"10087",1,0,0,0,1,1,1,0,0,1,0,1,1,0
"6565",1,0,0,0,0,0,0,1,0,0,1,0,0,1
"9023",1,0,1,1,1,1,0,0,0,1,0,1,1,0
"1103",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162466",0,1,0,0,1,0,1,1,1,1,0,1,0,1
"9468",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5130",0,1,1,0,1,0,1,1,0,0,0,1,1,0
"6579",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"6555",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6554",1,0,0,0,0,0,1,1,0,1,0,1,0,1
"55349",1,0,0,0,0,0,0,1,0,1,0,1,0,1
"1120",1,0,0,1,1,0,0,1,0,1,0,1,0,1
"1119",0,1,0,1,0,0,1,1,1,1,1,0,0,1
"60482",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6582",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6584",1,0,1,0,0,1,0,1,0,0,0,1,0,1
"6820",1,0,1,1,1,1,1,1,1,1,0,1,0,1
"10948",1,1,1,0,1,1,1,1,0,1,1,1,0,1
"19",0,1,1,0,0,0,0,0,1,1,1,0,1,0
"1118",1,0,1,1,1,1,0,1,0,0,1,0,1,0
"27159",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54682",0,1,1,1,1,1,0,1,0,0,0,1,0,1
"9058",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6576",1,1,0,1,0,1,1,1,0,0,1,1,0,1
"1159",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"548596",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1160",1,0,0,1,0,0,1,1,1,1,1,0,0,1
"1158",1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1152",1,0,1,1,1,1,1,0,0,0,1,0,0,1
"5172",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65010",1,0,0,1,1,1,0,1,0,0,1,0,0,1
"54675",1,0,1,1,0,1,1,1,0,0,0,1,0,1
"10559",0,1,0,1,0,1,1,1,0,1,0,1,0,1
"55907",1,1,1,1,1,1,1,1,0,0,1,1,1,1
"8034",0,1,0,1,1,1,0,0,1,0,1,0,1,0
"8824",0,1,0,1,0,1,1,0,0,0,0,1,0,1
"51805",1,0,1,0,0,0,0,1,0,0,1,0,1,0
"51004",0,1,0,1,1,1,1,1,0,0,0,1,1,0
"10229",0,1,0,1,0,1,1,0,0,0,0,1,0,1
"2650",1,0,0,1,1,0,1,1,0,0,0,1,0,1
"9245",0,0,0,0,0,0,0,0,0,0,1,0,1,0
"51301",0,1,1,1,0,1,0,0,1,1,1,1,1,1
"192134",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"386757",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6535",1,0,1,1,1,1,1,1,1,1,1,0,0,1
"1384",1,0,0,1,0,0,1,0,0,0,1,0,0,1
"6583",1,0,1,0,0,0,0,1,0,0,1,0,0,1
"1431",1,1,1,1,1,1,1,1,0,1,1,1,1,1
"54677",1,0,1,0,1,0,1,1,0,0,0,1,0,1
"8140",0,1,0,0,0,1,1,1,0,0,0,1,0,1
"23428",1,0,0,0,1,1,1,0,0,0,0,1,0,1
"1036",0,1,0,0,0,0,0,1,0,0,1,0,1,0
"23657",1,0,0,0,0,0,0,1,0,0,0,1,0,1
"57379",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"978",1,0,1,1,1,1,0,0,0,1,1,0,1,0
"7371",1,0,0,0,1,0,0,1,0,0,0,1,0,1
"83549",1,0,1,0,1,1,1,1,0,0,0,1,0,1
"51727",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"129607",0,1,1,1,1,1,1,0,0,0,0,1,0,1
"160851",1,0,0,1,0,1,1,1,0,0,0,1,0,1
"8526",1,0,0,1,1,0,1,1,0,0,0,1,0,1
"1606",1,1,1,1,1,1,1,1,0,1,1,1,1,1
