"","x"
"80271",0
"94005",2
"27115",0
"128869",1
"51477",1
"10026",2
"5138",2
"51604",2
"3631",0
"5139",1
"8821",3
"50940",0
"2595",0
"84693",1
"8733",2
"5136",0
"4594",2
"3028",3
"5152",0
"3033",1
"3037",0
"80168",0
"116255",0
"5146",0
"4507",1
"3038",0
"3036",1
"27235",0
"6521",0
"83697",0
"10797",1
"56913",2
"443",0
"91703",1
"6522",1
"6508",1
"5145",0
"4668",2
"9498",0
"57282",1
"6528",0
"3098",3
"80201",0
"8654",0
"2645",0
"483",3
"3101",0
"5149",1
"478",1
"480",0
"481",0
"3099",2
"5147",0
"482",0
"476",3
"477",0
"23439",0
"3081",1
"11112",2
"3067",1
"6549",0
"6550",0
"5148",0
"496",0
"6548",0
"495",3
"55748",3
"5158",0
"84735",0
"6559",1
"8942",0
"5162",3
"3157",0
"5161",1
"123041",0
"1737",3
"3158",1
"5160",3
"55163",1
"25769",0
"54511",0
"10396",0
"57419",0
"9187",0
"5105",0
"124583",1
"3155",1
"5106",1
"3162",0
"3163",3
"79077",1
"8310",0
"9583",1
"26062",0
"197257",0
"5833",0
"1841",2
"10400",0
"6448",1
"29922",0
"26227",0
"10201",1
"5730",1
"4830",3
"27306",0
"80142",0
"4831",3
"4832",0
"200576",0
"8396",1
"9536",3
"4833",1
"6005",3
"79837",2
"5740",3
"5289",0
"57127",0
"6557",0
"5277",0
"114971",0
"6558",0
"349565",0
"9489",2
"64802",0
"23057",1
"8818",0
"5743",1
"5742",0
"10135",2
"6898",0
"5053",0
"5283",0
"5264",0
"4837",0
"5409",1
"5728",2
"645740",1
"8871",0
"51227",0
"8395",1
"9091",0
"4842",0
"23396",1
"4843",0
"5279",1
"8394",1
"55361",0
"201288",1
"4846",0
"5297",2
"4860",3
"5298",1
"5294",2
"123745",1
"5290",0
"6580",0
"5295",3
"10870",1
"55808",0
"5251",0
"5320",0
"8503",0
"30833",0
"81579",0
"56953",0
"23533",1
"8398",1
"5296",1
"5322",0
"4907",0
"5291",0
"5293",2
"6476",0
"5009",0
"4952",1
"64600",0
"64064",0
"23236",1
"100137049",0
"30814",1
"26279",1
"5335",0
"8399",0
"5332",1
"257068",0
"5319",0
"6489",0
"5336",0
"23007",0
"29906",1
"5334",0
"10654",2
"9651",0
"9807",1
"412",1
"51196",0
"117283",0
"5331",0
"84812",0
"5330",1
"6391",0
"113026",0
"6392",1
"6390",3
"51447",1
"5333",2
"6389",3
"6821",0
"89869",1
"6533",0
"5288",0
"55350",0
"5092",0
"5287",1
"23530",3
"5286",0
"8876",0
"79178",0
"5305",3
"8875",0
"64499",2
"6567",0
"7177",2
"1890",0
"27068",2
"1636",0
"9365",0
"9331",0
"55217",0
"7368",1
"7296",2
"8613",0
"5315",3
"8611",2
"26063",1
"8612",0
"1666",3
"874",1
"5498",2
"11181",0
"10901",2
"126410",1
"80162",2
"7166",0
"8288",0
"2053",2
"9588",3
"121278",0
"8897",0
"4353",1
"8898",0
"169355",0
"6999",0
"2880",0
"5625",0
"9152",1
"6578",1
"6561",0
"9497",2
"115584",0
"6575",0
"6916",0
"23761",2
"6574",1
"7054",0
"142680",0
"9791",2
"6534",1
"81490",1
"10005",0
"3293",0
"1622",3
"225",1
"10965",0
"28965",0
"122970",0
"10020",0
"23205",1
"5805",0
"26061",1
"112483",1
"6303",1
"29880",2
"54716",0
"7355",0
"6564",0
"8566",1
"113235",1
"151531",0
"1200",3
"2168",1
"7358",2
"23169",1
"51056",3
"7378",2
"9390",0
"80146",2
"5184",2
"4891",1
"5168",0
"2944",0
"30061",0
"84912",0
"248",0
"64080",0
"4524",0
"3906",1
"65263",0
"8608",0
"25796",2
"5959",0
"7357",2
"28982",3
"6120",0
"11046",0
"54576",0
"54575",0
"51109",2
"157506",0
"54578",0
"54579",0
"10864",0
"9356",1
"54657",0
"195814",0
"9376",1
"112724",0
"50700",0
"54658",0
"348932",0
"54659",0
"54577",0
"57665",1
"120103",0
"1080",0
"85320",0
"145226",0
