"","x"
"5330",0
"6391",2
"113026",1
"6392",2
"6390",2
"51447",2
"5333",0
"6389",2
"6821",0
"89869",0
"6533",0
"5288",0
"55350",0
"5092",0
"5287",0
"23530",0
"5286",1
"8876",0
"79178",1
"5305",2
"8875",0
"64499",0
"6567",0
"7177",0
"1890",1
"27068",2
"1636",1
"9365",0
"9331",0
"55217",0
"7368",0
"7296",2
"8613",0
"5315",1
"8611",2
"26063",0
"8612",0
"1666",2
"874",0
"5498",0
"11181",0
"10901",1
"126410",1
"80162",0
"7166",0
"8288",0
"2053",0
"9588",2
"121278",0
"8897",1
"4353",0
"8898",2
"169355",0
"6999",0
"2880",0
"5625",0
"9152",1
"6578",0
"6561",0
"9497",1
"115584",0
"6575",0
"6916",1
"23761",1
"6574",2
"7054",0
"142680",0
"9791",2
"6534",1
"81490",0
"10005",1
"3293",0
"1622",2
"225",0
"10965",1
"28965",0
"122970",0
"10020",2
"23205",0
"5805",2
"26061",0
"112483",1
"6303",2
"29880",2
"54716",0
"7355",1
"6564",0
"8566",0
"113235",0
"151531",0
"1200",2
"2168",0
"7358",0
"23169",2
"51056",2
"7378",2
"9390",0
"80146",2
"5184",1
"4891",0
"5168",0
"2944",0
"30061",0
"84912",0
"248",0
"64080",0
"4524",0
"3906",0
"65263",0
"8608",1
"25796",1
"5959",0
"7357",1
"28982",0
"6120",0
"11046",1
"54576",0
"54575",1
"51109",2
"157506",1
"54578",1
"54579",1
"10864",0
"9356",0
"54657",1
"195814",0
"9376",1
"112724",0
"50700",0
"54658",1
"348932",0
"54659",1
"54577",1
"57665",2
"120103",0
"1080",0
"85320",0
"145226",0
"54600",0
"222962",0
"8228",0
"113278",0
"10351",0
"54981",0
"7364",-1
"9429",0
"7367",0
"55867",0
"54490",0
"364",0
"7366",0
"6482",2
"360",0
"6484",0
"7363",0
"89872",0
"7365",-1
"6483",0
"21",0
"10720",0
"24",0
"54963",0
"10057",0
"125206",0
"7498",1
"10090",1
"200010",0
"9653",0
"9942",0
"6524",1
"159963",0
"64131",2
"55065",0
"64132",0
"3423",2
"79581",0
"10060",0
"9957",0
"51181",2
"6833",0
"9951",0
"3764",0
"222537",0
"64077",1
"3767",0
"5464",2
"64220",0
"10724",2
"5950",0
"1356",1
"2495",2
"9956",1
"5947",0
"9955",0
"2512",2
"94033",-1
"5948",0
"29881",0
"1727",2
"9953",1
"64711",0
"949",0
"2350",1
"55501",0
"51706",0
"3248",0
"51700",0
"166929",0
"10587",0
"166012",0
"113189",0
"56261",0
"50515",2
"80347",2
"3658",0
"93034",0
"84618",0
"411",0
"203",1
"22978",2
"122481",0
"100526794",2
"159",2
"51251",0
"23563",1
"122622",0
"10164",0
"353",2
"11212",2
"3251",2
"383",1
"9435",1
"1371",2
"4166",0
"56954",2
"1503",2
"9469",1
"56474",1
"8534",1
"1491",0
"5313",1
"92086",0
"2987",2
"56548",0
"5860",2
"9394",1
"728441",0
"124975",0
"9453",0
"2686",0
"2023",2
"2027",0
"90161",0
"91227",0
"2026",2
"102724197",0
"266722",0
"9843",0
"2799",2
"80308",0
"10157",0
"118881",1
"5211",0
"7360",2
"2819",1
"3176",0
"26330",0
"1757",1
"81537",1
"2597",2
"29926",0
"2673",2
"9945",0
"6652",1
"29925",1
"51557",0
"875",0
"6342",2
"2752",2
"102724560",0
"1800",0
"249",0
"9056",0
"2762",0
"10558",2
"2643",2
"22934",2
"761",0
"51292",2
"55304",0
