"";"x"
"6391";1
"113026";0
"6392";2
"6390";3
"51447";1
"5333";0
"6389";3
"6821";0
"89869";0
"6533";0
"5288";0
"55350";0
"5092";0
"5287";0
"23530";1
"5286";1
"8876";0
"79178";0
"5305";3
"8875";0
"64499";0
"6567";0
"7177";0
"1890";0
"27068";2
"1636";1
"9365";0
"9331";0
"55217";0
"7368";1
"7296";2
"8613";0
"5315";3
"8611";1
"26063";0
"8612";0
"1666";3
"874";2
"5498";0
"11181";0
"10901";0
"126410";1
"80162";1
"7166";0
"8288";0
"2053";2
"9588";3
"121278";0
"8897";0
"4353";1
"8898";1
"169355";0
"6999";0
"2880";0
"5625";0
"9152";0
"6578";0
"6561";0
"9497";0
"115584";0
"6575";0
"6916";1
"23761";2
"6574";1
"7054";0
"142680";0
"9791";1
"6534";0
"81490";2
"10005";0
"3293";0
"1622";3
"225";0
"10965";2
"28965";0
"122970";0
"10020";1
"23205";1
"5805";1
"26061";1
"112483";1
"6303";1
"29880";1
"54716";0
"7355";0
"6564";0
"8566";2
"113235";2
"151531";0
"1200";2
"2168";0
"7358";0
"23169";3
"51056";3
"7378";2
"9390";0
"80146";2
"5184";2
"4891";1
"5168";0
"2944";0
"30061";1
"84912";0
"248";0
"64080";0
"4524";1
"3906";0
"65263";0
"8608";0
"25796";3
"5959";0
"7357";2
"28982";1
"6120";0
"11046";0
"54576";0
"54575";0
"51109";2
"157506";1
"54578";0
"54579";0
"10864";0
"9356";0
"54657";0
"195814";0
"9376";0
"112724";1
"50700";0
"54658";0
"348932";0
"54659";0
"54577";0
"57665";2
"120103";0
"1080";0
"85320";0
"145226";0
"54600";0
"222962";0
"8228";2
"113278";0
"10351";0
"54981";2
"7364";0
"9429";0
"7367";0
"55867";0
"54490";0
"364";0
"7366";0
"6482";2
"360";1
"6484";0
"7363";0
"89872";0
"7365";0
"6483";0
"21";0
"10720";0
"24";0
"54963";1
"10057";0
"125206";0
"7498";0
"10090";0
"200010";0
"9653";1
"9942";0
"6524";0
"159963";0
"64131";0
"55065";0
"64132";0
"3423";1
"79581";0
"10060";0
"9957";0
"51181";3
"6833";0
"9951";0
"3764";0
"222537";0
"64077";0
"3767";0
"5464";3
"64220";0
"10724";2
"5950";0
"1356";1
"2495";1
"9956";0
"5947";0
"9955";0
"2512";1
"94033";0
"5948";0
"29881";0
"1727";3
"9953";0
"64711";0
"949";0
"2350";1
"55501";0
"51706";2
"3248";0
"51700";0
"166929";0
"10587";0
"166012";0
"113189";0
"56261";2
"50515";0
"80347";1
"3658";2
"93034";0
"84618";0
"411";0
"203";0
"22978";0
"122481";0
"100526794";0
"159";2
"51251";1
"23563";0
"122622";0
"10164";0
"353";3
"11212";3
"3251";3
"383";0
"9435";2
"1371";1
"4166";0
"56954";2
"1503";0
"9469";0
"56474";1
"8534";0
"1491";1
"5313";1
"92086";0
"2987";1
"56548";1
"5860";3
"9394";0
"728441";0
"124975";0
"9453";0
"2686";1
"2023";3
"2027";0
"90161";0
"91227";0
"2026";3
"102724197";0
"266722";0
"9843";0
"2799";0
"80308";1
"10157";0
"118881";0
"5211";3
"7360";3
"2819";0
"3176";0
"26330";0
"1757";0
"81537";0
"2597";3
"29926";0
"2673";1
"9945";0
"6652";0
"29925";1
"51557";0
"875";0
