HG	Boundary_Reaction	HMDB	concentration	Name
m01660s	EX_dhea[e]	HMDB0000077	0.013294	dehydroepiandrosterone
m01790s	EX_estrone[e]	HMDB0000145	0.000163333333333333	Estrone
m00650s	EX_C05298[e]	HMDB0000343	0.00017	2-Hydroxyestrone
m00610s	EX_xol24oh[e]	HMDB0001419	0.06195	24-Hydroxycholesterol
m00623s	EX_xol27oh[e]	HMDB0002103	0.283666666666667	26-Hydroxycholesterol
m01675s	EX_dsmsterol[e]	HMDB0002719	1.834	Desmosterol
m01512s	EX_chsterols[e]	HMDB0000653	5.4	Cholesterol-sulfate
m00350s	EX_13_cis_retn[e]	HMDB0006219	0.003	13-cis-Retinoate
m00576s	EX_HC00460[e]	HMDB0000152	0.825	2,5-dihydroxybenzoate
m01839s	EX_fna5moxam[e]	HMDB0004259	6.5e-05	formyl-N-acetyl-5-methoxykynurenamine
m02714s	EX_CE5643[e]	HMDB0002179	38.6833333333333	peroxynitrite
m01927s	EX_glucys[e]	HMDB0001049	9.98333333333333	gamma-Glutamyl-cysteine
m02460s	EX_melatn[e]	HMDB0001389	0.0005866	Melatonin
m01161s	EX_6hoxmelatn[e]	HMDB0004081	0.00024	6-Hydroxymelatonin
m02752s	EX_C10164[e]	HMDB0002243	0.299	Picolinic acid
m03125s	EX_C05767[e]	HMDB0000936	0.0063	Uroporphyrin I
m02756s	EX_ppbng[e]	HMDB0000245	0.06	Porphobilinogen
m02771s	EX_12ppd_R[e]	HMDB0001881	8.93333333333333	propane-1,2-diol
m02425s	EX_xylu_L[e]	HMDB0000751	9	L-xylulose
m01759s	EX_xylu_D[e]	HMDB0001644	2.5	D-Xylulose
m02441s	EX_CE0737[e]	HMDB0006112	2.335	malonic-dialdehyde
m02166s	EX_im4ac[e]	HMDB0002024	0.1	imidazole-4-acetate
m02927s	EX_sphgn[e]	HMDB0000269	0.011	Sphinganine
m00635s	EX_C13856[e]	HMDB0004666	7.8	2-arachidonoylglycerol
m02766s	EX_prist[e]	HMDB0000795	1.675	Pristanic acid
m00314s	EX_CE2049[e]	HMDB0004705	0.0087825	12,13-hydroxyoctadec-9(z)-enoate
m01220s	EX_CE2047[e]	HMDB0004704	0.0502333333333333	9,10-hydroxyoctadec-12(Z)-enoate
m00294s	EX_11docrtstrn[e]	HMDB0000016	0.03677225	11-deoxycorticosterone
m00807s	EX_3ityr_L[e]	HMDB0000021	0.00069	3-iodo-L-tyrosine
m02978s	EX_thbpt[e]	HMDB0000027	0.0093	Tetrahydrobiopterin
m01758s	HMR_9203	HMDB0000098	2443.1	D-Xylose
m02914s	EX_glyc3p[e]	HMDB0000126	30	sn-glycerol-3-phosphate
m02949s	HMR_9088	HMDB0000240	1.23	Sulfite
m02803s	EX_ppp9[e]	HMDB0000241	0.76	protoporphyrin
m02933s	EX_sql[e]	HMDB0000256	1.9	Squalene
m02930s	HMR_9411	HMDB0000277	0.278	Sphingosine-1-phosphate
m02806s	EX_prpp[e]	HMDB0000280	5.31	PRPP
m03108s	EX_udpg[e]	HMDB0000286	155	UDP-glucose
m03114s	HMR_9436	HMDB0000288	184	UMP
m00674s	EX_2pg[e]	HMDB0000362	1.6	2-phospho-D-glycerate
3hpppn_s	EX_3hpppn[e]	HMDB0000375	0.143625	3-(3-Hydroxy-Phenyl)Propionate
2hiv_s	EX_2hiv[e]	HMDB0000407	8.63333333333333	2-Hydroxy-Isovalerate
m00407s	EX_CE1352[e]	HMDB0000416	2	17alpha-hydroxypregnenolone sulfate
3ohglutac_s	EX_3ohglutac[e]	HMDB0000428	0.15	3-Hydroxy-glutarate
3mhis_s	EX_3mhis[e]	HMDB0000479	2.85	3-Methylhistidine
acgly_s	EX_acgly[e]	HMDB0000532	89.57	Acetyl-glycine
m02482s	EX_mg2[e]	HMDB0000547	865.609941176471	Mg2+
m01385s	HMR_9276	HMDB0000561	35.2579429824561	beta-Carotene
abt_D_s	EX_abt_D[e]	HMDB0000568	1.5	D-Arabitol
dodecanac_s	EX_dodecanac[e]	HMDB0000623	109.91	Dodecanedioic acid
sucaceto_s	EX_sucaceto[e]	HMDB0000635	0.0815	Succinylacetone
m01624s	EX_cu2[e]	HMDB0000657	16.2212333333333	Cu2+
glutar_s	EX_glutar[e]	HMDB0000661	0.566666666666667	Glutarate
hexdiac_s	EX_hexdiac[e]	HMDB0000672	0.11	Hexadecanedioic acid
Lhcystin_s	EX_Lhcystin[e]	HMDB0000676	8.52	L-Homocystine
hmcr_s	EX_hmcr[e]	HMDB0000679	5	Homocitrulline
inds_s	EX_inds[e]	HMDB0000682	8.245	Indoxyl sulfate
ivcrn_s	EX_ivcrn[e]	HMDB0000688	0.215666666666667	Isovaleryl carnitine
m02000s	EX_HC02193[e]	HMDB0000698	0.009	glycolithocholate
c6crn_s	EX_c6crn[e]	HMDB0000705	0.06025	Hexanoy lcarnitine
4ohbut_s	EX_4ohbut[e]	HMDB0000710	24.6	4-Hydroxy-butyrate
m00788s	EX_hLkynr[e]	HMDB0000732	0.05	3-hydroxy-L-kynurenine
m03161s	HMR_9729	HMDB0000757	41.2	Glycogen
oxyp_s	EX_oxyp[e]	HMDB0000786	50	Oxypurinol
m02978s	EX_thbpt[e]	HMDB0000787	0.011	tetrahydrobiopterin
m00913s	EX_3pg[e]	HMDB0000807	52.7	3-Phospho-D-glycerate
m02940s	EX_stcrn[e]	HMDB0000848	0.05	Stearoylcarnitine
m02966s	EX_HC02195[e]	HMDB0000874	2	Tauroursodeoxycholate
m03129s	EX_HC02194[e]	HMDB0000946	0.16	Ursodeoxycholate
m01700s	HMR_9303	HMDB0001056	0.005	Dihydrofolate
m01841s	EX_fdp[e]	HMDB0001058	2.5	Fructose-1,6-bisphosphate
m03102s	EX_q10h2[e]	HMDB0001060	0.4	Ubiquinol
m03103s	EX_q10[e]	HMDB0001072	1.17933333333333	ubiquinone
m01922s	EX_4tmeabutn[e]	HMDB0001161	10	gamma-butyrobetaine
m02278s	HMR_9113	HMDB0001165	0.14	Keratan sulfate I
m02475s	HMR_9375	HMDB0001167	55.295	methylglyoxal
m01716s	HMR_9136	HMDB0001311	9.13	D-Lactate
m01595s	HMR_9288	HMDB0001361	72	CO
m02928s	HMR_9410	HMDB0001383	0.055	Sphinganine-1-phosphate
m02016s	HMR_9343	HMDB0001397	0.0097	GMP
m02583s	HMR_9378	HMDB0001406	0.235	nicotinamide
m01789s	HMR_9317	HMDB0001425	0.00232833333333333	Estrone 3-sulfate
m02751s	HMR_9072	HMDB0001429	902.815607142857	Pi
m02815s	HMR_9399	HMDB0001431	0.164	Pyridoxamine
m01690s	EX_dhap[e]	HMDB0001473	13.85	DHAP
m00775s	EX_3hanthrn[e]	HMDB0001476	0.079	3-Hydroxyanthranilate
m01935s	HMR_9153	HMDB0001492	11.564334	Gamma-Tocopherol
m01045s	EX_mlthf[e]	HMDB0001533	0.01	5,10-Methylene-THF
m02813s	HMR_9400	HMDB0001545	0.251	Pyridoxal
m01424s	EX_cdp[e]	HMDB0001546	36	CDP
m01614s	HMR_9294	HMDB0001547	0.027	Corticosterone
m02035s	EX_M02035[e]	HMDB0001842	0.29	Guanidine
m00727s	EX_34dhoxmand[e]	HMDB0001866	0.011	3,4-Dihydroxymandelate
m01380s	EX_bz[e]	HMDB0001870	20.784625	Benzoate
m02534s	EX_CE1310[e]	HMDB0001890	4	N-acetyl-L-cysteine
m01923s	EX_CE1926[e]	HMDB0001931	0.16	gamma-carboxyethyl-hydroxychroman
m02974s	EX_ttdcrn[e]	HMDB0002014	0.077	tetradecenoylcarnitine(5)
CE1297_s	EX_CE1297[e]	HMDB0002027	0.65	8-Dehydrocholesterol
m00981s	EX_T4hcinnm[e]	HMDB0002035	0.200875	4-coumarate
m02141s	HMR_9122	HMDB0002061	0.053	Hyaluronate
cynt_s	EX_cynt[e]	HMDB0002078	0.045	Cyanate
m02145s	HMR_9160	HMDB0002084	4.85	hydrogen-cyanide
oleth_s	EX_oleth[e]	HMDB0002088	23.4018	Oleoyl ethanolamine
pmeth_s	EX_pmeth[e]	HMDB0002100	12.5565	Palmitoylethanolamide
m01332s	EX_aact[e]	HMDB0002134	60	Aminoacetone
m02518s	EX_n8aspmd[e]	HMDB0002189	0.05	N8-Acetylspermidine
m01698s	EX_dhbpt[e]	HMDB0002215	4.18	dihydrobiopterin
m02134s	EX_CE1401[e]	HMDB0002287	0.00282	Homocysteine-thiolactone
m02661s	HMR_9165	HMDB0002329	10.29	Oxalate
c51crn_s	EX_c51crn[e]	HMDB0002366	0.05075	Tiglyl carnitine
m01231s	EX_CE1617[e]	HMDB0002369	0.0049	9-cis-Retinoate
m02950s	EX_HC02220[e]	HMDB0002586	0.1	sulfochenodeoxycholate
m02951s	EX_HC02197[e]	HMDB0002639	0.06	sulfoglycolithocholate
udca3s_s	EX_udca3s[e]	HMDB0002642	19.095	Ursodeoxycholic acid 3-sulfate
m02788s	EX_HC02214[e]	HMDB0002685	0.000376	Prostaglandin F1alpha
m01337s	EX_CE6031[e]	HMDB0002759	11.1	Androsterone sulfate
m01616s	EX_cortsn[e]	HMDB0002802	0.0471666666666667	Cortisone
m02784s	EX_HC02210[e]	HMDB0003034	0.000123	Prostaglandin D3
m02418s	HMR_9367	HMDB0003080	0.012921	LTD4
ch4s_s	EX_ch4s[e]	HMDB0003227	5.7	Methanethiol
m02995s	EX_HC02180[e]	HMDB0003252	0.1472121	Thromboxane B2
m02042s	HMR_9103	HMDB0003276	51.65	H2S
m01361s	HMR_9269	HMDB0003458	0.0002715	aquacob(III)alamin
m00739s	EX_35diotyr[e]	HMDB0003474	0.0036	3,5-Diiodo-L-tyrosine
m01966s	HMR_9461	HMDB0003514	98	Alpha-D-Glucose 1,6-bisphosphate
m02838s	EX_retfa[e]	HMDB0003598	0.1025	Retinyl-ester
m02837s	EX_M02837[e]	HMDB0003648	0.05605	Retinyl palmitate
m01633s	HMR_9222	HMDB0003911	1.64333333333333	D-3-amino-isobutanoate
m02325s	HMR_9221	HMDB0003911	1.64333333333333	L-3-amino-isobutanoate
dopa4sf_s	EX_dopa4sf[e]	HMDB0004148	0.0027	Dopamine 4-O-sulfate
15kprostgf2_s	EX_15kprostgf2[e]	HMDB0004240	0.0001985	15-Keto-prostaglandin F2a
m00293s	EX_CE1447[e]	HMDB0004242	0.00275	11-Dehydro-thromboxane B2
m02096s	EX_C04849[e]	HMDB0004688	0.000114	Hepoxilin A3
m01959s	HMR_9336	HMDB0004958	2.15	globoside
m00378s	EX_CE2537[e]	HMDB0005045	0.00046075	15(S)-HETrE
m02365s	EX_CE7083[e]	HMDB0005073	7.9e-05	Leukotriene B5
m01039s	EX_CE7085[e]	HMDB0005081	0.00072775	5(S)-HEPE
m02782s	EX_HC02208[e]	HMDB0005102	1E-05	Prostaglandin D1
34dhpe_s	EX_34dhpe[c]	HMDB0005784	0.16	3,4-Dihydroxyphenylethanol
m00619s	EX_xol25oh[e]	HMDB0006247	0.0105	25-Hydroxycholesterol
m01737s	HMR_9308	HMDB0006275	0.0265	Dopamine 3-O-sulfate
bvite_s	EX_bvite[e]	HMDB0006335	0.2	Beta-tocopherol
glyc_S_s	EX_glyc_S[e]	HMDB0006372	2	(S)-Glycerate
m01767s	EX_egme[e]	HMDB0006406	0.237	Ecgonine-methyl ester
m02370s	HMR_9163	HMDB0006465	0.000305	Leukotriene F4
m01641s	HMR_9097	HMDB0006483	11.7857142857143	D-Aspartate
m00365s	EX_CE7172[e]	HMDB0010204	0.001132	14,15-DiHETE
m00373s	EX_CE7081[e]	HMDB0010209	0.0005985	15(R)-HEPE
m00376s	EX_CE7082[e]	HMDB0010209	0.0005985	15(S)-HEPE
m01050s	EX_CE7096[e]	HMDB0010216	0.000340333333333333	5,15-DiHETE
pcholpalm_hs_s	EX_pcholpalm_hs[e]	HMDB0010382	92.98475	1-Palmitoylglycerophosphocholine
pcholpalme_hs_s	EX_pcholpalme_hs[e]	HMDB0010383	2.69422222222222	1-Palmitoleoylglycerophosphocholine (Delta 9)
pchollinl_hs_s	EX_pchollinl_hs[e]	HMDB0010386	33.6827777777778	1-Linoleoylglycerophosphocholine (Delta 9,12)
pcholn1836_hs_s	EX_pcholn1836_hs[e]	HMDB0010387	0.234	1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 6, 9, 12)
pcholn183_hs_s	EX_pcholn183_hs[e]	HMDB0010388	1.239	1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 9, 12, 15)
pcholn201_hs_s	EX_pcholn201_hs[e]	HMDB0010391	0.526	1-Eicosenoylglycerophosphocholine (Delta 11) ,Sn1-Lpc (20:1)
pcholeic_hs_s	EX_pcholeic_hs[e]	HMDB0010392	0.712	1-Eicosadienoylglycerophosphocholine (Delta 11,14)
pcholn203_hs_s	EX_pcholn203_hs[e]	HMDB0010394	2.49557142857143	1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14), Lysopc A C20:3
pcholar_hs_s	EX_pcholar_hs[e]	HMDB0010395	7.31711111111111	1-Arachidonoyl-Glycero-3-Phosphocholine
pcholn205_hs_s	EX_pcholn205_hs[e]	HMDB0010397	1.608	1-Eicosapentenoylglycerophosphocholine (Delta 5, 8, 11, 14, 17), Sn1-Lpc (20:5)
pcholn224_hs_s	EX_pcholn224_hs[e]	HMDB0010401	0.064	1-Docosatetraenoylglycerophosphocholine (Delta 7, 10, 13, 16), Sn1-Lpc (22:4)
pcholn2254_hs_s	EX_pcholn2254_hs[e]	HMDB0010402	0.107	1-Docosapentenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16), Sn1-Lpc (22:5)-W6
pcholn225_hs_s	EX_pcholn225_hs[e]	HMDB0010403	0.743	1-Docosapentenoylglycerophosphocholine (Delta 7, 10, 13, 16, 19), Sn1-Lpc (22:5)-W3
pcholn226_hs_s	EX_pcholn226_hs[e]	HMDB0010404	2.78	1-Docosahexenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16, 19), Sn1-Lpc (22:6)
pcholn28_hs_s	EX_pcholn28_hs[e]	HMDB0029206	0.465	Lysopc A C28:0
pcholn261_hs_s	EX_pcholn261_hs[e]	HMDB0029220	1.01	Lysopc A C26:1 (Delta 5)
pcholn281_hs_s	EX_pcholn281_hs[e]	HMDB0029221	0.62	Lysopc A C28:1 (Delta 5)
m00279s	EX_C14770[e]	HMDB0010409	0.000542	11,12-EET
m00308s	EX_CE1243[e]	HMDB0012535	0.00203	12(S)-HHT
m00028s	EX_CE7090[e]	HMDB0012611	0.000138	(18R)-HEPE
3bcrn_s	EX_3bcrn[e]	HMDB0013127	0.082	3-Hydroxy butyryl carnitine
c5dc_s	EX_c5dc[e]	HMDB0013130	0.0275	Glutaryl carnitine
c101crn_s	EX_c101crn[e]	HMDB0013205	0.216666666666667	Decenoyl carnitine
m02117s	EX_hdd2crn[e]	HMDB0013207	0.0316666666666667	Hexadecenoylcarnitine(9)
c81crn_s	EX_c81crn[e]	HMDB0013324	0.2	Octenoyl carnitine
ddece1crn_s	EX_ddece1crn[e]	HMDB0013326	0.193333333333333	Dodecenoyl carnitine
c12dc_s	EX_c12dc[e]	HMDB0013327	0.226666666666667	Dodecanedioyl carnitine
3hdececrn_s	EX_3hdececrn[e]	HMDB0013333	0.01	3-Hydroxyhexadecenoylcarnitine
3thexddcoacrn_s	EX_3thexddcoacrn[e]	HMDB0013335	0.015	3-Hydroxy Trans7,10-Hexadecadienoyl Carnitine
3hexdcrn_s	EX_3hexdcrn[e]	HMDB0013336	0.0125	3-Hydroxyhexadecanoylcarnitine
3octdece1crn_s	EX_3octdece1crn[e]	HMDB0013339	0.0115	3-Hydroxy-Octadecenoyl Carnitine
m01822s	HMR_9096	HMDB0015531	17.7777777777778	Fe3+
m03157s	HMR_9080	HMDB0015532	11.7164592857143	Zinc
m00017s	EX_M00017[e]	HMDB0035159	11.722	(13Z)-eicosenoic acid
m02579s	EX_nh4[e]	HMDB0041827	38.5	NH4+
3h3mglt_s	EX_3h3mglt[e]	HMDB0059737	46	3-Hydroxy-3-Methyl-Glutarate
m00003s	EX_M00003[e]	HMDB0060038	1.03	10Z-Heptadecenoic acid
m00010s	EX_M00010[e]	HMDB0060039	0.341	(11Z,14Z,17Z)-eicosatrienoic acid
m00384s	EX_CE5304[e]	HMDB0060046	0.00194	15-deoxy-PGD2
3ivcrn_s	EX_3ivcrn[e]	HMDB0061189	0.266	3-Hydroxy-isovaleryl carnitine
m01235s	EX_M01235[e]	HMDB0062436	11.722	9-Eicosenoic acid
m02015s	EX_gm3_hs[e]	HMDB0004844;HMDB0004849	5.067	GM3
m01430s	EX_crm_hs[e]	HMDB0004947;HMDB0004948;HMDB0004949;HMDB0004950;HMDB0004951;HMDB0004952;HMDB0004953;HMDB0004955;HMDB0000950;HMDB0011759;HMDB0011760;HMDB0011761;HMDB0011762;HMDB0011763;HMDB0011764;HMDB0011765;HMDB0011768;HMDB0011769;HMDB0011771;HMDB0011772;HMDB0011773;HMDB0011774;HMDB0004956;HMDB0004957	8.8795	Ceramide pool
m01972s	EX_gluside_hs[e]	HMDB0000140;HMDB0004969	9.6	Glucosylceramide pool
xolest_hs_s	EX_xolest_hs[e]	HMDB0005189;HMDB0005193;HMDB0000918;HMDB0000885;HMDB0000658;HMDB0000610;HMDB0006725;HMDB0006726;HMDB0006727;HMDB0006731;HMDB0006733;HMDB0006734;HMDB0006736;HMDB0006737;HMDB0006740;HMDB0010367;HMDB0010368;HMDB0010369;HMDB0010370;HMDB0010371;HMDB0010372;HMDB0010373;HMDB0010374;HMDB0010376;HMDB0060056;HMDB0060057;HMDB0060058;HMDB0060059;HMDB0060060	3927.45516666667	Cholesterol Ester
m00240s	EX_dag_hs[e]	HMDB0007011;HMDB0007012;HMDB0007013;HMDB0007014;HMDB0007015;HMDB0007016;HMDB0007017;HMDB0007018;HMDB0007020;HMDB0007021;HMDB0007022;HMDB0007023;HMDB0007024;HMDB0007025;HMDB0007026;HMDB0007028;HMDB0007029;HMDB0007030;HMDB0007031;HMDB0007032;HMDB0007033;HMDB0007035;HMDB0007036;HMDB0007040;HMDB0007041;HMDB0007042;HMDB0007043;HMDB0007044;HMDB0007045;HMDB0007049;HMDB0007050;HMDB0007051;HMDB0007052;HMDB0007053;HMDB0007057;HMDB0007058;HMDB0007059;HMDB0007060;HMDB0007064;HMDB0007065;HMDB0007068;HMDB0007095;HMDB0007096;HMDB0007098;HMDB0007099;HMDB0007100;HMDB0007101;HMDB0007102;HMDB0007103;HMDB0007104;HMDB0007105;HMDB0007106;HMDB0007107;HMDB0007108;HMDB0007109;HMDB0007110;HMDB0007111;HMDB0007112;HMDB0007113;HMDB0007114;HMDB0007115;HMDB0007116;HMDB0007117;HMDB0007118;HMDB0007119;HMDB0007120;HMDB0007121;HMDB0007124;HMDB0007125;HMDB0007127;HMDB0007128;HMDB0007129;HMDB0007130;HMDB0007131;HMDB0007132;HMDB0007133;HMDB0007134;HMDB0007136;HMDB0007137;HMDB0007138;HMDB0007139;HMDB0007140;HMDB0007141;HMDB0007142;HMDB0007144;HMDB0007145;HMDB0007146;HMDB0007147;HMDB0007148;HMDB0007149;HMDB0007153;HMDB0007154;HMDB0007156;HMDB0007157;HMDB0007158;HMDB0007159;HMDB0007160;HMDB0007161;HMDB0007162;HMDB0007163;HMDB0007164;HMDB0007165;HMDB0007166;HMDB0007167;HMDB0007168;HMDB0007169;HMDB0007170;HMDB0007171;HMDB0007172;HMDB0007176;HMDB0007179;HMDB0007182;HMDB0007183;HMDB0007185;HMDB0007186;HMDB0007187;HMDB0007188;HMDB0007189;HMDB0007190;HMDB0007191;HMDB0007192;HMDB0007193;HMDB0007194;HMDB0007195;HMDB0007196;HMDB0007197;HMDB0007198;HMDB0007199;HMDB0007200;HMDB0007201;HMDB0007206;HMDB0007207;HMDB0007208;HMDB0007211;HMDB0007212;HMDB0007214;HMDB0007215;HMDB0007216;HMDB0007217;HMDB0007218;HMDB0007219;HMDB0007220;HMDB0007221;HMDB0007222;HMDB0007223;HMDB0007224;HMDB0007225;HMDB0007226;HMDB0007227;HMDB0007228;HMDB0007229;HMDB0007230;HMDB0007235;HMDB0007236;HMDB0007237;HMDB0007240;HMDB0007241;HMDB0007243;HMDB0007244;HMDB0007245;HMDB0007246;HMDB0007247;HMDB0007248;HMDB0007249;HMDB0007250;HMDB0007252;HMDB0007253;HMDB0007254;HMDB0007255;HMDB0007256;HMDB0007257;HMDB0007258;HMDB0007262;HMDB0007263;HMDB0007264;HMDB0007265;HMDB0007269;HMDB0007272;HMDB0007273;HMDB0007274;HMDB0007275;HMDB0007276;HMDB0007277;HMDB0007281;HMDB0007282;HMDB0007283;HMDB0007284;HMDB0007285;HMDB0007290;HMDB0007292;HMDB0007298;HMDB0007301;HMDB0007302;HMDB0007303;HMDB0007304;HMDB0007305;HMDB0007306;HMDB0007310;HMDB0007311;HMDB0007312;HMDB0007313;HMDB0007314;HMDB0007319;HMDB0007321;HMDB0007330;HMDB0007332;HMDB0007333;HMDB0007334;HMDB0007339;HMDB0007340;HMDB0007341;HMDB0007347;HMDB0007349;HMDB0007356;HMDB0007357;HMDB0007359;HMDB0007360;HMDB0007361;HMDB0007362;HMDB0007363;HMDB0007364;HMDB0007365;HMDB0007366;HMDB0007367;HMDB0007373;HMDB0007374;HMDB0007385;HMDB0007386;HMDB0007388;HMDB0007389;HMDB0007390;HMDB0007391;HMDB0007392;HMDB0007393;HMDB0007394;HMDB0007395;HMDB0007396;HMDB0007400;HMDB0007401;HMDB0007404;HMDB0007414;HMDB0007415;HMDB0007417;HMDB0007418;HMDB0007419;HMDB0007420;HMDB0007421;HMDB0007422;HMDB0007423;HMDB0007424;HMDB0007425;HMDB0007428;HMDB0007431;HMDB0007432;HMDB0007433;HMDB0007443;HMDB0007444;HMDB0007446;HMDB0007447;HMDB0007448;HMDB0007449;HMDB0007450;HMDB0007451;HMDB0007452;HMDB0007453;HMDB0007456;HMDB0007458;HMDB0007459;HMDB0007460;HMDB0007461;HMDB0007472;HMDB0007473;HMDB0007475;HMDB0007476;HMDB0007477;HMDB0007478;HMDB0007479;HMDB0007480;HMDB0007481;HMDB0007482;HMDB0007485;HMDB0007487;HMDB0007488;HMDB0007489;HMDB0007490;HMDB0007501;HMDB0007504;HMDB0007505;HMDB0007506;HMDB0007507;HMDB0007508;HMDB0007509;HMDB0007513;HMDB0007515;HMDB0007516;HMDB0007517;HMDB0007530;HMDB0007533;HMDB0007534;HMDB0007535;HMDB0007536;HMDB0007537;HMDB0007538;HMDB0007542;HMDB0007544;HMDB0007545;HMDB0007546;HMDB0007562;HMDB0007564;HMDB0007565;HMDB0007566;HMDB0007572;HMDB0007573;HMDB0007588;HMDB0007589;HMDB0007591;HMDB0007592;HMDB0007599;HMDB0007617;HMDB0007618;HMDB0007620;HMDB0007621;HMDB0007626;HMDB0007627;HMDB0007646;HMDB0007647;HMDB0007649;HMDB0007650;HMDB0007654;HMDB0007657;HMDB0007675;HMDB0007676;HMDB0007678;HMDB0007679;HMDB0007680;HMDB0007683;HMDB0007684;HMDB0007685;HMDB0007704;HMDB0007707;HMDB0007708;HMDB0007710;HMDB0007711;HMDB0007712;HMDB0007733;HMDB0007736;HMDB0007737;HMDB0007739;HMDB0007740;HMDB0007741;HMDB0007765;HMDB0007767;HMDB0007768;HMDB0007769;HMDB0007791;HMDB0007792;HMDB0007820;HMDB0007821	556.701	1,2-diacylglycerol-LD-TAG pool
m02733s	EX_pa_hs[e]	HMDB0000674;HMDB0007858;HMDB0007859;HMDB0007860;HMDB0007861;HMDB0007862;HMDB0007863;HMDB0007864;HMDB0007865	1.739	phosphatidate-LD-TAG pool
