HG	Boundary_Reaction	HMDB	concentration	Name
m01306s	HMR_9259	HMDB0000208	10.5	AKG
m01307s	HMR_9061	HMDB0000161	358.609523809524	Alanine
m01309s	HMR_9261	HMDB0000037	0.000678246071428571	Aldosterone
m01327s	HMR_9151	HMDB0001893	32.4300619791667	alpha-Tocopherol
m01330s	HMR_9152	HMDB0006327	4.23	Alpha-Tocotrienol
m01334s	HMR_9262	HMDB0000045	19.075	AMP
m01338s	HMR_9263	HMDB0000031	0.060325	Androsterone
m01339s	HMR_9264	HMDB0002829	0.437075	Androsterone-glucuronide
m01362s	EX_arachd[e]	HMDB0001043	171.059889655172	Arachidonate
m01365s	HMR_9066	HMDB0000517	85.8045714285714	Arginine
m01368s	HMR_9158	HMDB0000044	43.61075	Ascorbate
m01369s	HMR_9062	HMDB0000168	53.1352941176471	Asparagine
m01370s	HMR_9070	HMDB0000191	21.7228571428571	aspartate
m01371s	EX_atp[e]	HMDB0000538	1792.75	ATP
m01373s	EX_docosac[e]	HMDB0000944	10.951	Behenic acid
m01383s	HMR_9260	HMDB0000056	2.635	beta-Alanine
m01393s	HMR_9341	HMDB0000043	72.545	Betaine
m01396s	HMR_9273	HMDB0000054	44.8128888888889	Bilirubin
m01401s	HMR_9109	HMDB0000030	0.025734	Biotin
m01410s	HMR_9809	HMDB0000039	1	Butyrate
m01413s	HMR_9082	HMDB0000464	2197.45495833333	Ca2+
m01415s	HMR_9215	HMDB0003550	0.0684379310344828	Calcidiol
m01419s	HMR_9275	HMDB0000058	0.0085	cAMP
m01432s	EX_hexc[e]	HMDB0002356	0.722857142857143	cerotic acid
m01433s	HMR_9220	HMDB0001314	0.0055	cGMP
m01435s	HMR_10026	HMDB0000518	1.0825	Chenodiol
m01442s	HMR_9150	HMDB0000492	103044.444444444	Chloride
m01445s	HMR_9280	HMDB0000619	0.84	Cholate
m01450s	HMR_9285	HMDB0000067	3123.86532	Cholesterol
m01513s	HMR_9083	HMDB0000097	13.275	Choline
m01582s	EX_M01582[e]	HMDB0002884	0.0295	cis-cetoleic acid
m01583s	EX_doco13ac[e]	HMDB0002068	7.164	cis-erucic acid
m01584s	EX_CE2510[e]	HMDB0002231	4.62766666666667	cis-gondoic acid
m01585s	EX_vacc[e]	HMDB0003231	98.6	cis-Vaccenic acid
m01587s	HMR_9286	HMDB0000094	125.7125	Citrate
m01588s	HMR_9201	HMDB0000904	41.8923076923077	Citrulline
m01596s	HMR_9058	HMDB0001967	21328.5714285714	CO2
m01603s	HMR_9701	HMDB0000643	0.0081	Coproporphyrin I
m01604s	HMR_9702	HMDB0000570	0.006	Coproporphyrin III
m01615s	HMR_9293	HMDB0000063	0.345537037037037	Cortisol
m01619s	HMR_9290	HMDB0000064	50.4530769230769	Creatine
m01621s	HMR_9460	HMDB0000562	60.5818088235294	Creatinine
m01626s	HMR_9279	HMDB0000078	51.8777777777778	cys-gly
m01628s	HMR_9065	HMDB0000574	140.7345	Cysteine
m01629s	HMR_9363	HMDB0000192	81.4571428571429	Cystine
m01630s	HMR_9295	HMDB0000089	0.175	Cytidine
m01632s	HMR_9291	HMDB0000630	6.4	Cytosine
m01638s	HMR_9098	HMDB0001310	446.75	D-Alanine
m01647s	HMR_9299	HMDB0006543	0.149	debrisoquin
m01648s	HMR_9815	HMDB0000511	11	decanoic acid
m01655s	HMR_9301	HMDB0001264	5.772	Dehydroascorbic acid
m01659s	HMR_9302	HMDB0001032	7.54688461538462	dehydroepiandrosterone sulfate
m01668s	HMR_9296	HMDB0000014	0.2	Deoxycytidine
m01673s	HMR_9310	HMDB0000012	0.284	Deoxyuridine
m01682s	HMR_9685	HMDB0000247	7.045	D-glucitol
m01689s	EX_crvnc[e]	HMDB0002183	105.618962173913	DHA
m01696s	EX_dlnlcg[e]	HMDB0002925	46.6641666666667	dihomo-gamma-linolenate
m01736s	HMR_9092	HMDB0000073	6.5e-05	Dopamine
m01740s	HMR_9454	HMDB0003374	89	D-Ornithine
m01741s	EX_clpnd[e]	HMDB0006528	30.728	DPA
m01744s	HMR_9407	HMDB0003406	2.58666666666667	D-Serine
m01771s	EX_arach[e]	HMDB0002212	7.2778	eicosanoate
m01778s	EX_elaid[e]	HMDB0000573	100	Elaidate
m01784s	EX_tmndnc[e]	HMDB0001999	143.446279130435	EPA
