"","GSM2579315","GSM2579319","GSM2579323","GSM2579327","GSM2579331","GSM2579335","GSM3045784","GSM1414742","GSM1414743","GSM1414744","GSM1414745"
"28234",0,0,0,0,0,0,0,0,0,0,0
"645",1,1,1,1,1,1,1,1,1,1,1
"644",1,1,1,1,1,1,1,1,1,1,1
"9488",0,1,1,1,0,1,0,0,0,1,1
"10380",1,0,1,1,1,1,1,1,1,1,0
"686",1,1,0,0,1,1,0,1,0,0,0
"8884",1,1,1,1,1,1,1,1,1,1,0
"80704",0,0,0,0,0,0,0,0,0,0,0
"51733",0,1,0,0,1,0,0,0,0,1,0
"7108",1,0,0,1,0,1,1,1,1,0,0
"50814",1,1,0,0,1,1,1,1,1,1,1
"3295",0,1,1,0,0,0,1,0,1,1,1
"6307",1,1,1,1,1,1,1,0,1,1,1
"493",0,0,0,0,1,1,0,0,1,1,1
"492",0,0,0,0,0,0,0,0,0,1,0
"491",0,0,0,0,0,1,0,1,0,0,0
"490",1,1,0,1,0,0,1,0,1,0,1
"847",1,1,1,1,1,1,1,1,1,1,1
"6543",1,0,0,0,0,0,0,1,1,0,0
"6547",0,0,0,0,0,0,0,0,0,0,0
"6546",0,0,0,1,0,0,0,0,0,1,0
"166785",1,0,1,1,1,1,0,0,1,1,1
"2538",0,0,0,0,0,0,0,0,0,0,0
"92579",1,1,0,0,0,0,0,1,0,1,0
"1373",0,0,0,1,1,0,0,0,1,1,1
"873",1,1,1,1,1,1,1,1,1,1,1
"10423",1,1,1,1,1,1,1,1,1,1,1
"8760",1,1,1,1,1,1,1,1,1,1,1
"1040",0,1,0,0,0,1,0,0,1,0,1
"56994",0,0,1,1,1,1,1,1,0,0,1
"10390",1,0,0,1,0,1,1,0,0,0,1
"64781",1,0,0,0,1,1,1,1,1,0,0
"10087",1,1,0,1,0,0,0,0,0,1,1
"6565",0,0,0,1,1,0,0,0,0,1,1
"9023",0,0,0,0,1,0,1,1,1,1,0
"1103",0,0,0,0,0,0,0,0,0,0,0
"162466",0,0,0,1,0,0,0,1,0,0,0
"9468",0,0,0,0,0,0,0,0,0,1,0
"5130",0,0,0,1,1,1,1,0,1,1,0
"6579",0,0,0,0,0,0,0,0,0,0,0
"6555",0,0,0,0,0,0,0,0,0,0,0
"6554",0,1,1,1,0,0,1,1,0,1,0
"55349",0,0,0,0,0,0,0,1,0,1,0
"1120",1,0,1,1,0,0,0,1,1,0,0
"1119",0,0,1,1,1,1,1,0,0,1,1
"60482",0,0,0,0,0,0,0,0,0,0,0
"6582",0,0,0,0,0,0,0,0,0,0,0
"6584",0,0,1,1,1,1,1,0,0,1,0
"6820",0,0,1,0,0,0,1,1,0,0,1
"10948",1,1,1,1,1,1,1,1,1,1,1
"19",0,0,1,0,0,0,1,0,1,1,1
"1118",1,0,0,0,0,1,0,0,0,1,1
"27159",0,0,0,0,0,0,0,1,0,0,0
"54682",1,1,0,1,0,0,1,1,1,1,0
"9058",0,0,0,0,0,0,0,0,0,0,0
"6576",1,1,1,1,1,1,1,1,1,1,1
"1159",0,0,0,0,0,0,0,0,0,0,0
"548596",0,0,0,0,0,0,0,0,0,0,1
"1160",1,1,0,0,0,0,1,0,0,1,1
"1158",1,1,1,1,1,1,1,1,0,1,1
"1152",1,1,0,1,0,0,1,1,0,0,0
"5172",0,0,0,0,0,0,0,0,0,1,0
"65010",1,0,1,1,0,0,1,1,0,0,0
"54675",1,0,0,0,1,1,1,1,0,1,1
"10559",0,1,1,0,1,1,0,0,0,1,1
"55907",1,1,1,1,1,1,1,1,1,1,1
"8034",0,1,0,1,1,0,1,0,1,1,1
"8824",1,0,0,0,1,0,0,1,1,0,0
"51805",0,1,1,1,0,1,0,0,0,1,0
"51004",0,1,0,1,1,0,1,0,1,1,0
"10229",0,1,1,0,1,0,0,1,0,1,0
"2650",0,1,0,1,1,0,0,1,0,1,0
"9245",0,0,0,0,0,0,0,0,1,0,1
"51301",1,1,0,0,1,0,1,0,1,0,1
"192134",0,0,0,0,0,0,0,0,0,0,0
"386757",0,0,0,0,0,0,0,0,0,0,0
"6535",0,1,1,1,0,0,1,1,0,1,0
"1384",1,1,0,0,1,0,0,1,1,0,0
"6583",0,0,1,1,1,0,1,0,1,0,1
"1431",1,1,1,1,1,1,1,1,1,1,1
"54677",1,1,0,1,0,1,0,0,1,1,1
"8140",1,1,1,1,0,1,1,1,1,1,0
"23428",0,1,0,1,0,0,1,0,0,0,1
