"","ImmProt_T4.naive_01","ImmProt_T4.naive_02","ImmProt_T4.naive_03","ImmProt_T4.naive_04","ImmProt_T4.naive_01_activated","ImmProt_T4.naive_02_activated","ImmProt_T4.naive_03_activated","ImmProt_T4.naive_04_activated"
"35",1,1,1,1,1,1,1,1
"3712",1,1,1,1,1,0,0,1
"1607",1,1,0,1,0,1,1,0
"8714",1,1,1,1,0,0,0,1
"28234",NA,NA,NA,NA,NA,NA,NA,NA
"644",0,0,0,1,1,1,1,1
"1468",1,0,1,0,0,0,0,0
"8402",1,1,1,1,1,1,1,1
"64849",NA,NA,NA,NA,NA,NA,NA,NA
"645",1,1,0,1,1,1,1,1
"9488",0,0,0,0,0,1,0,0
"1610",NA,NA,NA,NA,NA,NA,NA,NA
"10380",1,1,1,1,1,1,1,1
"686",0,0,0,0,1,0,0,0
"1645",1,1,1,1,1,1,1,1
"2745",1,1,1,1,1,1,1,1
"1109",NA,NA,NA,NA,NA,NA,NA,NA
"8884",0,0,0,0,1,1,1,1
"80704",NA,NA,NA,NA,NA,NA,NA,NA
"51022",NA,NA,NA,NA,NA,NA,NA,NA
"51733",NA,NA,NA,NA,NA,NA,NA,NA
"7108",1,1,0,0,0,0,0,0
"6718",1,0,0,0,0,0,0,0
"8528",NA,NA,NA,NA,NA,NA,NA,NA
"6510",0,0,0,0,1,1,1,1
"50814",0,0,0,0,0,1,1,0
"3295",0,0,0,0,1,1,1,1
"6307",0,0,0,0,0,1,1,0
"6509",0,0,0,0,0,1,1,1
"1632",1,1,1,1,1,1,1,0
"56301",NA,NA,NA,NA,NA,NA,NA,NA
"492",0,0,0,0,0,1,1,0
"10455",1,1,1,1,0,1,1,0
"490",1,0,1,0,0,1,0,1
"6520",0,0,0,0,1,1,1,1
"1633",1,1,1,1,1,1,1,1
"211",0,0,0,0,1,1,1,1
"493",0,0,1,0,0,1,1,0
"6319",0,0,0,0,1,1,1,1
"9415",0,0,0,0,1,1,1,0
"491",NA,NA,NA,NA,NA,NA,NA,NA
"23464",1,0,0,0,0,1,1,0
"3992",0,0,1,0,1,0,0,0
"212",NA,NA,NA,NA,NA,NA,NA,NA
"8694",1,0,0,0,0,0,1,1
"847",1,1,1,1,1,1,1,1
"84649",0,0,0,0,1,1,0,0
"1716",1,1,1,1,1,0,0,0
"6546",0,0,0,0,0,0,1,0
"6547",NA,NA,NA,NA,NA,NA,NA,NA
"54407",1,0,0,0,1,0,1,1
"6541",0,0,0,0,1,1,1,1
"6543",NA,NA,NA,NA,NA,NA,NA,NA
"6515",0,0,0,0,1,1,1,0
"59272",NA,NA,NA,NA,NA,NA,NA,NA
"84889",NA,NA,NA,NA,NA,NA,NA,NA
"6517",NA,NA,NA,NA,NA,NA,NA,NA
"81539",0,1,0,0,0,0,1,0
"340024",NA,NA,NA,NA,NA,NA,NA,NA
"6513",0,0,0,0,1,1,1,1
"55089",NA,NA,NA,NA,NA,NA,NA,NA
"1718",0,0,0,0,0,1,1,1
"2538",NA,NA,NA,NA,NA,NA,NA,NA
"1581",NA,NA,NA,NA,NA,NA,NA,NA
"57818",NA,NA,NA,NA,NA,NA,NA,NA
"92579",0,0,0,0,1,1,0,0
"1373",1,1,1,1,1,1,1,1
"873",1,1,1,1,1,1,1,1
"11254",NA,NA,NA,NA,NA,NA,NA,NA
"57393",NA,NA,NA,NA,NA,NA,NA,NA
"6542",NA,NA,NA,NA,NA,NA,NA,NA
"84706",1,1,0,1,0,0,0,0
"1717",0,0,0,0,0,1,1,1
"2875",NA,NA,NA,NA,NA,NA,NA,NA
"8560",1,0,0,1,1,0,0,0
"10423",1,1,1,1,0,0,0,0
"123099",NA,NA,NA,NA,NA,NA,NA,NA
"92745",0,0,0,0,1,1,1,1
"10991",NA,NA,NA,NA,NA,NA,NA,NA
"1040",NA,NA,NA,NA,NA,NA,NA,NA
"11309",1,1,1,1,1,1,1,1
"8760",0,1,1,1,0,0,0,0
"284273",0,0,1,1,1,0,0,0
"6783",1,0,1,1,0,0,0,0
"1723",0,0,0,0,0,1,1,0
"10327",1,1,1,1,1,1,1,1
"10390",0,0,1,0,1,1,1,0
"56994",1,1,1,1,1,1,1,1
"1807",NA,NA,NA,NA,NA,NA,NA,NA
"64781",1,1,1,1,1,1,1,1
"1809",NA,NA,NA,NA,NA,NA,NA,NA
"8854",0,0,0,0,1,0,1,1
"1808",1,1,1,1,1,1,1,1
"10087",0,0,0,0,1,1,1,0
"23539",NA,NA,NA,NA,NA,NA,NA,NA
"6565",NA,NA,NA,NA,NA,NA,NA,NA
"9023",NA,NA,NA,NA,NA,NA,NA,NA
"224",0,0,1,1,0,0,1,1
"501",0,0,0,0,1,1,0,1
"2224",1,0,0,1,1,1,1,1
"1103",NA,NA,NA,NA,NA,NA,NA,NA
"29958",NA,NA,NA,NA,NA,NA,NA,NA
"60386",0,0,0,0,1,1,1,1
"223",1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,1,1
"162466",0,0,0,0,0,0,1,1
"84920",1,1,0,0,1,0,0,0
"5130",0,0,0,0,1,1,1,1
"9468",NA,NA,NA,NA,NA,NA,NA,NA
