"","Transcriptomics","Proteomics","Final"
"197258",0,0,0
"125061",0,2,1
"1719",1,2,2
"2356",2,1,2
"155184",2,NA,1
"29988",0,2,1
"66035",0,NA,0
"6518",2,0,1
"6514",0,NA,0
"160428",0,NA,0
"25902",0,1,0
"4522",2,2,2
"2519",0,1,0
"2517",0,1,0
"2184",0,1,0
"2271",2,2,2
"2523",2,NA,1
"2525",1,NA,0
"10690",0,NA,0
"2683",2,1,2
"9334",2,1,2
"8704",0,NA,0
"8703",2,2,2
"2820",1,1,1
"5832",2,1,2
"9563",0,1,0
"2539",2,1,2
"2542",0,2,1
"2593",0,0,0
"9514",0,NA,0
"5476",2,1,2
"2720",2,1,2
"2588",0,1,0
"2581",1,0,0
"2583",2,NA,1
"55454",2,1,2
"55790",2,1,2
"79586",1,1,1
"337876",0,NA,0
"22856",2,2,2
"63917",1,NA,0
"11226",1,1,1
"55568",0,1,0
"2589",2,1,2
"51809",0,1,0
"8693",0,1,0
"2591",0,2,1
"117248",0,NA,0
"26290",1,NA,0
"114805",0,NA,0
"79695",0,NA,0
"50614",1,NA,0
"79623",1,NA,0
"2590",0,1,0
"11227",0,NA,0
"81031",0,NA,0
"126792",1,1,1
"11285",0,1,0
"8972",0,1,0
"175",1,0,0
"26301",0,NA,0
"4329",0,2,1
"7915",1,1,1
"2731",0,2,1
"275",0,1,0
"2653",0,1,0
"2651",0,NA,0
"55343",2,NA,1
"8836",0,1,0
"79017",2,0,1
"8908",1,NA,0
"2992",2,1,2
"2997",2,0,1
"2998",0,NA,0
"2687",2,NA,1
"6472",2,2,2
"6470",0,1,0
"2717",2,1,2
"2632",1,1,1
"2990",2,1,2
"8372",1,1,1
"26035",0,0,0
"54480",2,0,1
"2131",0,2,1
"2132",0,2,1
"27087",1,NA,0
"26229",2,1,2
"135152",0,NA,0
"4669",0,1,0
"64579",0,NA,0
"9348",0,NA,0
"8509",1,0,0
"3340",2,2,2
"2137",0,NA,0
"2135",0,2,1
"2134",2,NA,1
"144195",2,NA,1
"154091",0,NA,0
"11182",1,2,2
"56606",0,2,1
"6523",1,NA,0
"178",1,1,1
"5837",0,NA,0
"5834",2,2,2
"5836",0,1,0
"2729",0,1,0
"2730",2,1,2
"2746",2,2,2
"2747",1,2,2
"10841",0,NA,0
"27165",0,NA,0
"2744",2,2,2
"79751",1,1,1
"83733",0,NA,0
"2639",2,1,2
"57084",0,NA,0
"57030",2,NA,1
"246213",0,NA,0
"51179",2,NA,1
"54363",0,NA,0
"2628",0,2,1
"9380",2,2,2
"2712",0,0,0
"2713",0,NA,0
"2710",1,1,1
"3029",1,2,2
"6536",0,NA,0
"5226",2,2,2
"27232",0,NA,0
"57678",0,NA,0
"80055",0,NA,0
"54965",1,1,1
"93183",0,1,0
"2936",1,2,2
"2876",2,2,2
"7001",2,2,2
"5052",2,2,2
"2879",2,2,2
"2877",1,NA,0
"257202",2,NA,1
"2878",1,1,1
"2882",1,2,2
"10935",2,2,2
"2937",2,1,2
"2678",0,1,0
"2679",0,NA,0
"2983",0,1,0
"4881",2,NA,1
"3000",0,1,0
"2974",0,NA,0
"4882",0,NA,0
"2986",0,NA,0
"2982",0,2,1
"2984",0,NA,0
"2977",0,NA,0
"9615",0,NA,0
"763",1,NA,0
"11238",2,1,2
"23556",0,1,0
"55650",1,NA,0
"53905",0,NA,0
"50506",2,NA,1
"343",0,NA,0
"5281",0,NA,0
"84720",1,1,1
"54872",1,1,1
"80235",0,NA,0
"128869",1,1,1
"10026",2,1,2
"51604",2,1,2
"94005",2,1,2
"8733",2,1,2
"3028",2,2,2
"3033",0,2,1
"3037",0,NA,0
"3038",0,NA,0
"3036",2,NA,1
"27235",0,NA,0
"6522",1,1,1
"83697",0,NA,0
"6521",0,1,0
"6508",2,NA,1
"2645",1,NA,0
"3098",2,2,2
"3099",2,1,2
"80201",0,NA,0
"3101",0,0,0
"3081",0,2,1
"11112",1,2,2
"3067",0,2,1
"496",1,NA,0
"495",2,2,2
"8942",0,1,0
"3157",0,1,0
"3158",2,NA,1
"54511",0,NA,0
"3155",1,1,1
"3162",0,1,0
"26062",0,NA,0
"197257",0,0,0
"6448",2,1,2
"3290",0,2,1
"3291",1,NA,0
"3292",0,NA,0
"3294",0,NA,0
"51478",0,1,0
"3283",0,NA,0
"3284",1,NA,0
"80270",0,2,1
"57026",0,1,0
"3419",0,2,1
"3421",2,1,2
"3420",2,2,2
"3417",1,1,1
"3418",2,2,2
"7173",0,NA,0
"3425",1,1,1
"587",0,2,1
"8501",1,NA,0
"55586",0,NA,0
"114134",0,2,1
"6526",1,2,2
"3422",2,0,1
"91734",0,NA,0
"160728",1,NA,0
"8801",2,2,2
"8802",1,2,2
"8803",1,2,2
"9990",0,1,0
"6560",0,2,1
"57468",0,NA,0
"3795",1,0,0
"84679",0,1,0
"23315",0,NA,0
"8564",0,1,0
"3938",0,NA,0
"53",0,1,0
"3931",1,0,0
"387775",2,NA,1
"124637",0,NA,0
"366",0,2,1
"11283",0,1,0
"4047",2,1,2
"1178",1,1,1
"5321",2,0,1
"29124",1,NA,0
"51268",0,NA,0
"4023",0,2,1
"1056",1,NA,0
"3990",0,NA,0
"80339",0,NA,0
"11343",1,1,1
