"","GSM565281","GSM565282","GSM565283","GSM565284","GSM565285","GSM565286","GSM1070755","GSM1070756","GSM1070759","GSM1070760","GSM1070763","GSM1070764"
"10998",1,1,0,0,1,1,0,1,0,1,1,1
"113451",0,0,0,0,0,0,1,0,1,0,1,0
"9057",1,1,1,1,0,1,0,1,0,1,0,1
"384",1,1,1,1,1,1,1,0,1,0,1,1
"445",1,0,1,1,0,0,0,0,1,0,1,0
"83884",0,0,0,0,0,0,0,0,0,0,0,0
"10166",1,1,1,0,1,0,0,0,0,1,1,1
"410",0,0,0,1,1,1,0,0,1,0,1,1
"427",1,0,0,1,0,1,1,0,1,0,1,0
"9963",0,0,0,0,0,0,0,0,0,0,0,0
"9962",0,1,1,1,1,1,0,1,0,1,0,1
"80150",1,1,1,1,0,0,0,0,1,0,1,0
"440",1,1,1,1,1,1,1,1,1,0,1,1
"790",1,1,1,1,1,1,1,1,1,1,1,1
"6505",0,0,0,0,0,0,0,0,0,0,0,0
"6512",1,1,0,0,1,0,1,1,0,1,0,0
"6511",0,0,0,0,0,0,0,0,0,0,0,0
"6507",1,0,0,1,1,0,0,1,0,0,1,0
"6506",1,0,1,1,1,0,0,1,1,1,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1,1
"51606",1,1,1,1,1,1,1,0,1,0,1,0
"533",1,1,1,1,1,1,1,1,1,1,1,1
"90423",0,0,0,0,0,0,1,0,1,0,1,0
"528",0,0,1,0,0,1,1,1,1,1,0,0
"525",0,0,0,0,0,0,0,0,0,0,0,0
"10312",1,1,1,1,1,1,1,1,1,1,1,1
"127124",0,0,0,0,0,0,0,0,0,0,0,0
"245973",0,0,0,0,0,0,0,0,0,0,0,0
"50617",0,0,0,0,0,0,0,0,0,0,0,0
"9114",1,1,1,1,1,1,1,1,1,1,1,1
"23545",1,1,1,1,0,1,1,1,0,1,1,1
"8992",1,1,1,1,1,1,1,1,1,1,1,1
"535",1,1,0,0,1,0,0,0,1,1,0,1
"527",1,1,1,1,1,1,1,1,1,1,1,1
"526",1,1,1,1,1,1,1,1,1,1,1,1
"523",1,1,1,1,1,1,1,0,1,0,1,0
"529",1,1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1
"51382",1,0,0,1,1,0,1,1,1,1,0,0
"245972",0,0,0,0,0,0,0,0,0,0,0,0
"957",0,0,1,0,0,1,1,0,1,0,1,0
"956",1,0,1,0,1,0,0,0,1,1,0,0
"955",1,1,1,0,1,0,1,0,0,0,0,1
"953",1,0,1,1,0,1,1,1,0,0,1,1
"954",0,1,0,1,0,0,1,1,0,0,0,1
"377841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",1,1,1,1,1,1,1,1,1,1,1,1
"291",1,0,0,0,0,1,0,1,0,1,0,1
"292",1,1,1,1,1,1,1,1,1,1,1,1
"4126",0,0,0,1,0,1,1,0,1,0,1,0
