"","GSM2579316","GSM2579320","GSM2579324","GSM2579328","GSM2579332","GSM2579336","GSM2579317","GSM2579321","GSM2579325","GSM2579329","GSM2579333","GSM2579337"
"384",1,1,0,0,0,1,0,1,1,0,1,1
"28231",0,1,1,0,1,0,1,0,0,0,1,0
"54675",0,0,1,1,0,1,0,1,0,1,1,0
"10257",0,0,1,0,0,1,1,1,0,0,1,0
"10559",1,1,1,0,1,1,1,1,1,1,0,1
"445",1,0,0,0,0,0,0,0,0,0,0,0
"28232",0,1,1,0,0,0,0,1,0,1,0,1
"55907",1,1,1,1,1,1,1,1,1,1,1,1
"2108",1,1,1,1,1,1,1,1,1,1,1,1
"8034",1,0,1,0,0,1,1,1,0,1,0,1
"2109",0,1,0,0,0,0,0,1,0,1,1,0
"83884",0,0,0,0,0,1,0,0,0,0,0,1
"10166",0,1,0,1,0,0,0,1,0,0,1,1
"8824",1,0,0,0,1,1,1,1,0,0,1,1
"410",1,1,1,1,1,1,1,1,1,1,1,1
"2110",1,1,1,0,0,0,0,0,1,1,1,0
"51805",0,1,1,1,1,1,1,1,0,0,0,0
"55500",1,0,1,0,1,0,1,0,1,0,0,0
"427",1,0,1,0,1,0,1,0,1,0,0,0
"55224",0,1,1,0,1,0,1,1,0,0,0,0
"51004",1,1,1,1,0,1,0,0,0,0,0,0
"10229",1,0,1,1,1,1,0,0,0,1,1,0
"9962",1,1,0,0,1,1,0,1,0,1,0,1
"2181",1,0,0,1,1,0,1,0,0,0,1,0
"9245",1,0,0,0,0,1,0,0,1,0,0,1
"2650",0,0,1,0,0,0,0,1,1,0,1,0
"51301",1,1,1,1,1,1,0,0,0,0,1,1
"2182",0,0,1,0,0,0,1,1,0,0,1,1
"9963",0,0,1,0,0,1,0,0,0,1,1,1
"2180",0,0,0,0,0,0,0,1,1,0,1,1
"192134",0,0,0,0,0,0,0,0,1,1,0,0
"386757",1,1,1,1,1,1,1,1,1,1,1,1
"80150",1,1,1,1,0,1,1,0,1,0,0,1
"51703",1,1,1,1,1,1,1,1,1,1,1,1
"81616",0,1,0,0,0,0,0,0,0,0,0,0
"23305",0,1,1,0,0,1,0,1,0,1,0,1
"440",1,1,0,0,1,1,1,0,0,0,1,0
"6535",0,0,0,0,0,0,0,0,1,1,1,1
"1384",1,0,1,0,0,1,1,1,1,1,1,0
"116285",0,0,0,0,1,0,1,0,0,0,0,0
"6583",0,0,0,1,0,0,1,0,1,1,0,0
"5167",0,0,0,0,0,0,1,1,0,0,1,0
"790",1,0,1,1,0,1,1,1,0,0,0,0
"5169",0,1,0,1,0,0,0,1,0,0,0,1
"54898",1,1,1,1,1,1,1,1,1,1,1,1
"6511",1,1,1,1,1,1,1,1,1,1,1,1
"1431",1,1,1,1,1,1,1,1,1,1,1,1
"6785",0,0,1,1,0,1,1,0,0,1,0,1
"6505",1,0,0,0,0,1,0,1,0,0,0,0
"54677",1,1,0,0,1,1,1,0,1,1,1,0
"60481",1,1,1,1,1,1,1,1,1,1,1,1
"6507",1,1,1,1,1,1,1,1,1,1,1,1
"79071",1,1,0,1,1,0,1,1,0,1,0,1
"1579",1,1,1,1,1,1,1,1,1,1,1,1
"6512",0,0,0,0,0,0,0,1,1,0,0,0
"2194",1,0,1,0,0,1,0,0,0,1,0,1
"6506",0,1,0,0,1,1,1,0,0,1,0,1
"376497",1,1,1,0,0,0,1,0,0,0,1,0
"10999",1,0,0,1,0,1,0,1,1,1,0,1
"525",1,1,1,1,1,1,1,1,1,1,1,1
"11000",0,0,0,0,0,0,1,1,1,0,1,1
"230",1,1,1,1,1,0,0,1,1,1,1,1
"226",0,1,1,1,0,0,1,1,1,0,1,0
"527",1,0,0,0,1,1,0,0,1,1,1,1
"8140",0,0,0,1,0,0,1,0,1,1,1,1
"229",0,0,0,0,0,0,0,0,0,0,1,0
"23545",1,1,0,1,0,1,0,0,1,0,1,1
"5207",0,1,0,1,0,0,0,1,0,0,0,0
"526",1,1,1,1,1,1,1,1,1,0,1,1
"23428",0,1,1,1,0,1,0,1,0,0,1,0
"5208",0,0,0,1,0,0,1,0,0,0,0,1
"1036",1,1,0,0,0,0,1,1,0,1,0,0
"245973",0,1,0,0,0,0,1,0,0,1,0,1
"5210",1,1,1,0,0,1,0,1,0,0,1,0
"8789",1,1,1,1,1,1,1,1,1,1,1,1
"5209",1,1,1,1,0,0,1,0,0,1,1,0
"124935",0,1,1,1,0,0,0,0,1,1,0,1
"2203",1,0,1,0,1,0,1,0,1,0,0,0
"2235",0,1,1,0,0,0,1,1,0,0,0,0
"23657",0,0,0,0,0,0,1,0,1,0,1,0
"57379",0,0,0,0,1,0,0,0,0,0,0,0
"2629",1,0,1,1,0,0,1,1,1,1,0,0
"10840",1,0,1,0,0,1,0,0,0,0,0,0
"26301",0,0,1,0,1,0,0,0,0,1,0,0
"79901",0,0,0,0,1,0,0,0,1,0,0,1
"978",0,0,0,0,0,1,1,0,1,0,0,1
"7371",0,1,0,0,1,0,1,1,1,1,1,1
"83549",1,1,1,1,1,1,1,1,1,1,1,1
"7915",0,1,0,1,0,1,0,0,1,0,1,0
"125061",0,1,0,1,1,0,1,1,1,0,0,0
"4329",1,1,0,0,1,0,0,0,0,1,1,1
"51727",1,1,1,1,1,1,1,1,1,1,1,1
"1719",0,0,0,0,1,1,1,0,1,1,0,1
"129607",1,0,0,1,1,1,0,1,0,1,0,0
"2356",1,1,1,1,1,1,1,1,1,1,1,1
"2731",0,0,0,0,1,0,0,0,0,1,1,1
"29988",0,1,0,0,0,0,1,1,1,1,1,1
"275",1,1,1,0,0,0,0,0,0,0,0,0
"2653",0,0,0,1,0,0,1,1,0,1,0,0
"1609",0,1,0,0,0,1,0,0,1,1,0,1
"155184",1,1,1,1,1,1,1,1,1,1,1,1
"2651",1,1,1,1,1,0,1,0,0,0,0,1
"6514",0,0,0,0,0,1,0,0,0,0,0,0
