"","GSM900567","GSM900568","GSM900569","GSM900560","GSM900561","GSM900562","GSM1293941","GSM1293942","GSM1293943","GSM1293948","GSM1293949","GSM1293950","GSM2151972","GSM2151974","GSM2151976"
"1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6510",1,1,0,0,1,1,1,1,1,1,0,0,1,1,0
"6509",1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
"56301",1,0,0,1,1,0,0,1,1,0,1,1,1,1,0
"6520",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"211",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"23464",1,0,0,1,0,1,1,1,1,1,0,0,0,1,1
"212",0,1,1,0,0,1,0,1,0,0,1,1,1,0,1
"59272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6541",0,0,1,0,1,1,1,1,1,1,0,0,0,1,1
"84889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54407",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"340024",0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
"11254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2875",1,0,1,1,0,1,0,1,0,0,1,1,1,1,0
"84706",1,0,0,1,1,0,1,1,1,1,0,0,1,0,1
"92745",1,1,0,1,0,0,1,1,1,1,0,0,0,0,1
"10991",1,1,0,1,1,0,1,0,1,0,1,0,0,0,1
"284273",1,0,0,1,1,0,0,0,0,0,1,1,0,1,0
"10327",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"8854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",1,1,0,0,0,1,0,0,0,1,1,1,1,1,0
"223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
